Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.27828940749168396,1.7619378566741943,72.8274917602539,3.1491915884429096,8.801320557232216,-110.38514767650634,-25.434034,-5.785833,-6.624877,57.76443,-29.935694,-0.75316435,-31.331978,-14.665536,-1.1922277,85.24815,-25.971731,8.759728,1.3940159,1.8396972,9.398156,1.4873052,23.150257,-33.865192,-24.46743,-5.588068,-0.97206575,-7.4557147,-6.649996,-17.63248,23.818693,11.709132,-0.8624357,-3.0882006,-3.2867265
1,0.9214537143707275,2.330474853515625,72.5860366821289,3.0226510929023886,8.387061261354251,-110.666348926361,-26.47752,-6.071842,-6.4892287,59.450474,-29.700506,-0.65339714,-30.048616,-13.636702,-1.2286458,86.46959,-26.018229,9.475272,1.6484475,1.8342932,9.867679,0.49424216,23.008507,-33.4814,-26.443882,-5.4980984,-0.7577048,-7.4767404,-6.6224356,-17.87413,24.233301,15.662442,-1.0031219,-2.7921524,-3.7522721
2,1.558026909828186,2.89192795753479,72.35667419433594,2.877090509147322,7.966952772056937,-110.95680678048033,-27.561674,-6.343357,-6.357273,61.228264,-29.458632,-0.567843,-28.772375,-12.554444,-1.272029,87.72375,-26.076057,10.208416,1.8961142,1.91149,10.344016,-0.59558016,22.717665,-33.097744,-28.272856,-5.3683643,-0.54578775,-7.5331135,-6.5213394,-18.273294,24.640903,19.536287,-1.0915983,-2.4888642,-4.274037
3,2.1893343925476074,3.4434943199157715,72.15274810791016,2.76300486117179,7.554403343189502,-111.2238422273213,-28.5637,-6.633634,-6.2080364,62.818714,-29.227726,-0.47817725,-27.474525,-11.502809,-1.3197378,88.878815,-26.137262,10.929768,2.1636477,2.0028498,10.777024,-1.7760478,22.311506,-32.76221,-29.984564,-5.2488475,-0.33527553,-7.5742908,-6.292867,-18.793343,25.088112,23.224277,-1.138463,-2.1796443,-4.7314944
4,2.807114601135254,3.9857630729675293,71.9741439819336,2.7297752393361066,7.163434106865737,-111.43606075586122,-29.363237,-6.972899,-6.021408,63.946056,-29.026762,-0.3615471,-26.125116,-10.567522,-1.3697816,89.80003,-26.190496,11.608853,2.4476895,2.047716,11.121294,-3.009096,21.814926,-32.48061,-31.62972,-5.1882324,-0.12524518,-7.5599,-5.9087696,-19.411572,25.661774,26.629137,-1.1437678,-1.8656708,-5.0169253
5,3.4096593856811523,4.5124640464782715,71.82537078857422,2.8274365840379825,6.788012055983271,-111.58909424319582,-29.881714,-7.401816,-5.7731557,64.46531,-28.898632,-0.21066783,-24.708708,-9.798433,-1.3764511,90.4873,-26.23394,12.236508,2.7420871,1.9786453,11.3828945,-4.254092,21.243864,-32.229015,-33.28543,-5.264856,0.08813181,-7.444339,-5.3853126,-20.121769,26.3883,29.728987,-1.1730249,-1.5245388,-5.073149
6,3.982121229171753,5.014708518981934,71.70975494384766,3.0171783570103,6.424346842610018,-111.69998579857757,-30.200083,-7.8933067,-5.4827766,64.55017,-28.822165,-0.033630755,-23.240736,-9.144304,-1.3588802,90.99999,-26.271011,12.826583,3.0455816,1.8323399,11.585218,-5.5146675,20.611317,-31.99636,-34.937126,-5.437018,0.30287153,-7.257341,-4.756357,-20.912746,27.222055,32.60087,-1.2128295,-1.16453,-4.9641023
7,4.541943073272705,5.504501819610596,71.63232421875,3.2150417369721334,6.089963879805439,-111.7690841980077,-30.435844,-8.375871,-5.1944656,64.400215,-28.719093,0.17105505,-21.743351,-8.539758,-1.4073235,91.29638,-26.29485,13.379383,3.3610876,1.7022532,11.705758,-6.824076,19.933146,-31.805048,-36.494434,-5.5755835,0.51174283,-7.0738482,-4.031446,-21.759432,28.144184,35.309128,-1.1449299,-0.832906,-4.765671
8,5.100940704345703,5.966461658477783,71.58978271484375,3.33847858912246,5.802135975872891,-111.79554026649451,-30.706043,-8.778258,-4.9496117,64.21542,-28.511173,0.40481925,-20.24511,-7.9184847,-1.6042427,91.333595,-26.298317,13.894004,3.6891263,1.6787332,11.718795,-8.209237,19.226444,-31.678116,-37.86987,-5.5470448,0.7090812,-6.9702773,-3.2160099,-22.627592,29.134314,37.92045,-0.8545571,-0.57628584,-4.554877
9,5.639929294586182,6.4289727210998535,71.5796890258789,3.360841207864998,5.568751571858587,-111.78635580142048,-31.029598,-9.059003,-4.723995,64.03647,-28.211905,0.6935019,-18.741028,-7.3064256,-2.002009,91.101906,-26.308731,14.3299,4.0421405,1.779079,11.592192,-9.673692,18.5015,-31.617958,-39.060566,-5.2952433,0.8958405,-6.9651537,-2.3218513,-23.498665,30.269491,40.51435,-0.23203291,-0.4549265,-4.3774304
