Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,2.0402328968048096,0.295719176530838,77.26799011230469,0.32695022558257686,-1.0892596061963231,-174.55888752668318,4.781135,4.0679092,9.211745,7.3313456,-14.106063,-3.0020745,6.8401585,-6.2912593,-21.821001,6.911295,-10.553093,6.6597395,-2.5835059,-1.5142591,10.766403,0.3812148,10.267338,-20.79859,65.06621,-0.17055826,1.3497673,17.549545,-5.2017775,-5.9428816,22.410208,68.56581,-11.253629,-0.78423005,-7.5375214
1,2.0288734436035156,0.28878486156463623,77.26687622070312,0.32547105882893623,-1.0377869049755108,-174.57754148353402,4.7656064,4.0615706,9.234096,7.281361,-14.106648,-3.0119424,6.791628,-6.2946014,-21.800787,6.9080877,-10.573696,6.735898,-2.611295,-1.5095879,10.763698,0.339365,10.283297,-20.88593,65.12282,-0.17550609,1.3289208,17.565983,-5.2517095,-5.9253774,22.410034,68.60988,-11.223441,-0.7879465,-7.5695295
2,2.0162203311920166,0.2825356721878052,77.2636489868164,0.3223887508711456,-0.9855033715880139,-174.59297468508424,4.748122,4.0571246,9.253406,7.230968,-14.106424,-3.0226188,6.7425656,-6.297289,-21.78423,6.9055896,-10.595704,6.815378,-2.6208403,-1.5018873,10.760457,0.28687966,10.303384,-21.006897,65.18629,-0.19122344,1.3069777,17.585062,-5.2877784,-5.9129944,22.388163,68.64072,-11.195812,-0.7916634,-7.6001635
3,2.0043110847473145,0.27275288105010986,77.25861358642578,0.31848281849059096,-0.9349243601501578,-174.6139986176729,4.7305903,4.05435,9.277143,7.189082,-14.111531,-3.031142,6.693778,-6.2987375,-21.761648,6.9036074,-10.614661,6.8877206,-2.641269,-1.4883189,10.762135,0.24265303,10.31517,-21.096478,65.23939,-0.19596156,1.2877127,17.599161,-5.3282547,-5.9110045,22.379662,68.67089,-11.168125,-0.79644,-7.627532
4,1.993953824043274,0.259647935628891,77.25323486328125,0.3060791292702464,-0.8859572568865203,-174.6492741569789,4.6147976,4.079128,9.304754,7.372404,-14.236681,-3.0361824,6.6441965,-6.289069,-21.724047,6.9013186,-10.625936,6.9415135,-2.641741,-1.4632511,10.766231,0.20188327,10.323385,-21.178675,65.27892,-0.20808601,1.2794598,17.6081,-5.358488,-5.9137063,22.361368,68.69766,-11.146745,-0.8048084,-7.6544075
5,1.980293869972229,0.24564146995544434,77.2497787475586,0.288572738312333,-0.8402048196686767,-174.70137310866005,4.5111055,4.108299,9.346042,7.5478835,-14.358359,-3.0347419,6.592991,-6.272509,-21.667856,6.8996305,-10.625109,6.9677553,-2.6152644,-1.4291923,10.776521,0.1664084,10.330663,-21.252247,65.29877,-0.22422232,1.285298,17.60685,-5.383733,-5.9240694,22.321516,68.72799,-11.137083,-0.81980646,-7.678115
6,1.9615461826324463,0.2324795424938202,77.24797821044922,0.2689155699870959,-0.7974447530405903,-174.76661062484243,4.428771,4.13743,9.3991,7.693268,-14.465191,-3.0284796,6.541301,-6.252882,-21.597107,6.89939,-10.616417,6.9744596,-2.6042504,-1.3952329,10.789077,0.15176363,10.33139,-21.268269,65.29898,-0.22516942,1.3004643,17.597357,-5.4175806,-5.928895,22.308949,68.77087,-11.128761,-0.8360791,-7.705222
7,1.9411686658859253,0.21654218435287476,77.24601745605469,0.24840383852369363,-0.7573815786708606,-174.8427543748472,4.360969,4.167438,9.462709,7.8241878,-14.566379,-3.020226,6.4920187,-6.2311263,-21.515133,6.8986797,-10.606795,6.9772196,-2.5553515,-1.348302,10.811012,0.11995664,10.32737,-21.314907,65.297905,-0.24231392,1.3197267,17.586016,-5.442853,-5.956417,22.257713,68.80294,-11.129543,-0.85733736,-7.7225494
8,1.9179353713989258,0.2010217010974884,77.24559020996094,0.23372178907613042,-0.7240970528609817,-174.929696401774,4.3263245,4.189819,9.539886,7.9142275,-14.650939,-3.0120835,6.451087,-6.21493,-21.422504,6.8992763,-10.605395,6.992738,-2.5267656,-1.3137951,10.833019,0.108098455,10.323342,-21.3294,65.28479,-0.25540355,1.3366582,17.578403,-5.476073,-5.9727626,22.244009,68.84261,-11.1256485,-0.8729463,-7.7454863
9,1.8903175592422485,0.18549178540706635,77.24211120605469,0.23250078404904134,-0.7007308077843198,-175.0325070806176,4.323091,4.1984434,9.635465,7.9770494,-14.724291,-3.0006368,6.420907,-6.2110567,-21.312775,6.9013433,-10.6127405,7.0225863,-2.488418,-1.2913799,10.862281,0.09728321,10.317568,-21.343967,65.27032,-0.28896305,1.3485258,17.575762,-5.511994,-5.9943666,22.248419,68.883995,-11.117098,-0.88506866,-7.768929
