Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-2.232128858566284,-0.06751776486635208,79.81782531738281,0.23406541746462117,-2.441447132531243,1.0718586014162328,6.1620483,4.593616,6.452862,7.927451,-13.593908,-4.4244347,6.9746103,-5.6535606,-20.465221,6.8067884,-7.7323456,7.036203,-0.3387331,-0.86737067,8.685668,0.65917355,10.150585,-29.72937,65.06414,0.31167275,2.2130752,17.756754,-2.8663418,-6.183105,20.855284,69.258446,-13.23654,0.6627707,-7.202328
1,-2.226818084716797,-0.10047132521867752,79.82134246826172,0.2250971576298643,-2.472830365728592,1.0449615282000329,6.131587,4.639691,6.431141,8.091618,-13.63781,-4.3022366,7.0132294,-5.627316,-20.47915,6.815808,-7.8081627,6.8970685,-0.37206593,-0.89114004,8.702879,0.63924855,10.18918,-29.776796,65.212524,0.25476283,2.1598456,17.856672,-2.9210074,-6.1665998,20.798456,69.24082,-13.370659,0.6919327,-7.0925093
2,-2.229860305786133,-0.1161661371588707,79.82376861572266,0.21540199991415657,-2.5062094185463972,1.0342402501495787,6.0906305,4.686606,6.3899846,8.267365,-13.680521,-4.170854,7.055183,-5.601265,-20.506914,6.825876,-7.889883,6.7499804,-0.40425026,-0.9230183,8.733952,0.6213104,10.256728,-29.846275,65.33525,0.18846616,2.1051083,17.956457,-2.9716637,-6.146593,20.716513,69.20735,-13.515188,0.7204852,-6.9746866
3,-2.2230730056762695,-0.13267450034618378,79.82331848144531,0.20661296732058354,-2.5353063629233077,0.9914896733839341,6.0710893,4.732425,6.387401,8.417865,-13.724549,-4.058111,7.0897202,-5.5738916,-20.506632,6.8351874,-7.9614773,6.6186986,-0.40790555,-0.9514728,8.751635,0.6282632,10.332126,-29.91479,65.43654,0.1209431,2.0585778,18.046587,-3.010301,-6.1303606,20.64442,69.17251,-13.649997,0.746789,-6.8661985
4,-2.19319224357605,-0.14937709271907806,79.82018280029297,0.20092567144132298,-2.554567630248092,0.8681554154235177,6.108607,4.7746816,6.4824786,8.498917,-13.76819,-3.991801,7.1075797,-5.5433307,-20.436302,6.8415627,-8.007218,6.526768,-0.33488864,-0.96528935,8.729552,0.67198116,10.39615,-29.985489,65.52701,0.052373108,2.030663,18.118885,-3.0205796,-6.1226,20.58999,69.14542,-13.762838,0.7682939,-6.783282
5,-2.145625352859497,-0.16237615048885345,79.8161849975586,0.200702616499702,-2.5564007348228683,0.5850482945038821,6.2414737,4.8164496,6.7599573,8.4838295,-13.82178,-3.9885852,7.092316,-5.505625,-20.230165,6.8453717,-8.017887,6.4824257,-0.109437555,-0.9579311,8.632461,0.7862691,10.445401,-30.077518,65.60174,-0.029480506,2.0222652,18.186039,-2.9803536,-6.124992,20.55825,69.12974,-13.845758,0.78587174,-6.7202396
6,-2.0745646953582764,-0.16206686198711395,79.8148422241211,0.20455726001550106,-2.545780274834961,0.19018495708452599,6.443488,4.856471,7.1657004,8.396838,-13.879893,-4.031172,7.053915,-5.463231,-19.929077,6.8478737,-8.00367,6.4724855,0.2142184,-0.9356795,8.480207,0.94367224,10.472206,-30.16966,65.68023,-0.11309899,2.0264325,18.249088,-2.9141827,-6.1330934,20.549507,69.134056,-13.907394,0.8002649,-6.672551
7,-1.9955589771270752,-0.15451864898204803,79.81645202636719,0.20901116827626276,-2.535225779605815,-0.17436282220866794,6.6435976,4.8877378,7.5497303,8.28983,-13.929145,-4.0959287,7.0200753,-5.4244194,-19.650185,6.847149,-7.9763303,6.4884315,0.52720827,-0.91088927,8.336839,1.0867269,10.497939,-30.266302,65.751434,-0.19219942,2.0485177,18.28053,-2.8356752,-6.147551,20.53215,69.126465,-13.961562,0.80988824,-6.6568246
8,-1.9382065534591675,-0.15486876666545868,79.82349395751953,0.21049139921517213,-2.538677170941003,-0.3660426274664239,6.774731,4.90412,7.7613435,8.208371,-13.953006,-4.158043,7.017565,-5.39862,-19.510876,6.844957,-7.949221,6.521869,0.70443934,-0.8912168,8.271467,1.1589981,10.541331,-30.344835,65.805824,-0.2476235,2.0907912,18.247074,-2.7776067,-6.176124,20.485392,69.09022,-14.0212755,0.80996454,-6.6841745
9,-1.9307401180267334,-0.15320922434329987,79.82469177246094,0.20784554458134208,-2.565908349307683,-0.30578077879837534,6.814673,4.897035,7.7265153,8.151877,-13.937901,-4.228046,7.064334,-5.3917284,-19.572592,6.8395543,-7.9146647,6.592719,0.6426834,-0.8788005,8.321087,1.142224,10.596393,-30.32002,65.83385,-0.23569064,2.1759734,18.09191,-2.7825463,-6.2042775,20.431261,69.04903,-14.111469,0.79801804,-6.8117757
