Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,2.2401890754699707,1.2806683778762817,77.63462829589844,-1.0403646146941121,3.2852122086794346,-179.55242578554035,-3.499261,11.600632,11.491751,9.836983,-8.446798,-10.045544,-2.5029747,-5.616387,-13.902553,13.135852,-14.406823,3.997468,-2.142485,3.3767936,8.368663,-7.2911644,18.110174,-40.446507,55.078342,-8.444207,4.4060903,-2.1097178,-10.066758,-16.580656,36.15258,55.98552,13.32158,13.309399,-8.000472
1,2.270272731781006,1.359934687614441,77.6272964477539,-1.0241167945234397,3.3531211040103797,-179.5399050814178,-3.5875156,11.65768,11.474508,9.7710705,-8.349366,-10.143772,-2.7528706,-5.589003,-13.900464,13.45077,-14.558981,3.8981607,-2.1236894,3.375444,8.38835,-7.321382,18.136908,-40.4064,55.094902,-8.480821,4.3681374,-2.1156564,-10.164311,-16.601587,36.129997,55.983635,13.310415,13.273097,-7.993148
2,2.3103768825531006,1.452782154083252,77.61832427978516,-1.0080725764129153,3.420903495417343,-179.52921972431173,-3.6756866,11.715751,11.459802,9.707121,-8.253803,-10.241077,-3.003488,-5.5615625,-13.896331,13.766426,-14.711414,3.799161,-2.105784,3.3748274,8.411867,-7.3456306,18.17164,-40.36126,55.09762,-8.521059,4.3295383,-2.1221921,-10.257421,-16.632387,36.105267,55.967365,13.2959,13.239163,-7.9816732
3,2.339176654815674,1.5436114072799683,77.6079330444336,-0.9914650367722052,3.4888077346460107,-179.51480008581382,-3.764495,11.772764,11.440066,9.641679,-8.156585,-10.337788,-3.2530553,-5.5342712,-13.895951,14.082072,-14.863983,3.699348,-2.0881739,3.375175,8.436115,-7.37065,18.207218,-40.320457,55.10072,-8.554503,4.293561,-2.129871,-10.346694,-16.666784,36.085964,55.948154,13.290872,13.202906,-7.9762516
4,2.381612777709961,1.6575220823287964,77.5973892211914,-0.9729544824352278,3.5572341808742256,-179.4909214631963,-3.8571277,11.827565,11.4089,9.575966,-8.055747,-10.430666,-3.5008383,-5.5084352,-13.904853,14.3984585,-15.0170765,3.5977294,-2.0752788,3.3769674,8.467361,-7.3833904,18.2601,-40.280655,55.079952,-8.566786,4.2656364,-2.1422849,-10.4176,-16.72301,36.076817,55.90287,13.302625,13.162246,-7.9844217
5,2.40932297706604,1.758411169052124,77.58879852294922,-0.9493862484554476,3.628971281809211,-179.4561531763426,-3.9585602,11.875743,11.364817,9.512087,-7.9519796,-10.516137,-3.7569091,-5.4897037,-13.922612,14.730608,-15.176751,3.4940445,-2.0630343,3.375571,8.488259,-7.4114394,18.293814,-40.256756,55.095787,-8.540641,4.245804,-2.155255,-10.49305,-16.765343,36.08865,55.88741,13.337701,13.1041565,-8.024816
6,2.4354474544525146,1.8599470853805542,77.57909393310547,-0.9221958822192767,3.702967328488286,-179.41347880407446,-4.0640373,11.918561,11.311785,9.4451885,-7.8439264,-10.595679,-4.017435,-5.4758587,-13.946896,15.07101,-15.339634,3.3887966,-2.0555432,3.3754444,8.513045,-7.43383,18.337215,-40.23548,55.098923,-8.488581,4.233557,-2.1716352,-10.552864,-16.828838,36.117165,55.84872,13.392575,13.03741,-8.085192
7,2.4782276153564453,1.9625176191329956,77.56651306152344,-0.8973843865104519,3.773555695993433,-179.36396475176946,-4.16877,11.965305,11.249246,9.380269,-7.7345743,-10.676771,-4.2633057,-5.455775,-13.98049,15.394216,-15.496827,3.2820644,-2.0495865,3.3806686,8.542194,-7.453569,18.378923,-40.214592,55.100334,-8.438062,4.223058,-2.190781,-10.60289,-16.89953,36.14308,55.802433,13.454355,12.976913,-8.139503
8,2.517542839050293,2.0714333057403564,77.55569458007812,-0.8806613466434021,3.8350716978256854,-179.30865103743136,-4.2648335,12.02443,11.177353,9.316667,-7.624812,-10.766451,-4.474621,-5.418704,-14.025535,15.67333,-15.638942,3.1736426,-2.047031,3.3965712,8.579353,-7.468859,18.415838,-40.18857,55.09961,-8.420048,4.2089477,-2.2131305,-10.644026,-16.968916,36.14924,55.751995,13.507903,12.938582,-8.161585
9,2.542618989944458,2.1808552742004395,77.54795837402344,-0.8757971496693135,3.8809684844447982,-179.2479460388561,-4.3433056,12.102297,11.095172,9.253879,-7.5161943,-10.871334,-4.636368,-5.356396,-14.083417,15.89404,-15.762641,3.063655,-2.0502875,3.4245968,8.628794,-7.47759,18.447235,-40.15554,55.10196,-8.454159,4.187614,-2.244047,-10.680866,-17.030905,36.129528,55.699684,13.574706,12.922777,-8.130412
