Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.3968667685985565,1.488510012626648,77.81670379638672,-0.5074170718462269,6.334792651803709,-81.41254127792963,-6.643752,8.873576,1.2636566,12.677444,-12.3492365,-10.450241,-7.661673,-1.3811444,-11.326432,11.616081,-10.928854,1.8745097,-4.4643116,-0.19276232,1.3775761,19.084957,18.182829,-94.60183,9.455465,7.963307,-11.0774765,-13.602136,21.895002,-15.801794,82.11859,6.176989,-10.478635,15.643767,30.6523
1,-0.4093186855316162,1.476564645767212,77.8008804321289,-0.4720025682656709,6.361898563791049,-81.4004969865285,-6.6160746,8.849067,1.2584375,12.578127,-12.359948,-10.526706,-7.8347654,-1.4406929,-11.302448,11.981675,-11.263416,1.8551589,-4.4694934,-0.19842574,1.3536814,19.098145,18.305735,-94.59915,9.33404,7.9572253,-11.121153,-13.533752,21.899399,-15.910938,82.089096,6.087339,-10.454503,15.6184,30.690445
2,-0.4204278290271759,1.458726406097412,77.7806167602539,-0.43812937754741077,6.388821214719658,-81.38712234364915,-6.5908446,8.825359,1.2506428,12.482496,-12.369312,-10.597587,-7.9978538,-1.4969994,-11.279673,12.325848,-11.5882435,1.8367141,-4.4772987,-0.20305023,1.3287494,19.114998,18.411034,-94.59676,9.231153,7.9500527,-11.168944,-13.457334,21.945671,-16.007528,82.057495,6.004458,-10.474459,15.58956,30.728292
3,-0.43381500244140625,1.445300579071045,77.75450897216797,-0.4015227849985923,6.416102207096108,-81.37650378567396,-6.5595026,8.800554,1.2482858,12.376822,-12.380445,-10.6796255,-8.181258,-1.5589522,-11.25375,12.713167,-11.932353,1.8164281,-4.483986,-0.20894827,1.3045397,19.130663,18.501133,-94.59196,9.141213,7.943851,-11.209871,-13.3955145,21.969704,-16.09361,82.02784,5.9362845,-10.471619,15.567717,30.76582
4,-0.4515112340450287,1.4368408918380737,77.72529602050781,-0.3578476193598466,6.444304588158288,-81.37260412640732,-6.511251,8.772752,1.2597065,12.242939,-12.394091,-10.789666,-8.414604,-1.6354288,-11.219949,13.20566,-12.3234215,1.7917751,-4.4889326,-0.21815588,1.2805955,19.142347,18.577532,-94.57982,9.058081,7.941879,-11.233029,-13.370998,21.974022,-16.17075,82.00036,5.884143,-10.444193,15.563874,30.802795
5,-0.46304282546043396,1.4266024827957153,77.69477081298828,-0.30488522403365065,6.473284260539195,-81.37738396918253,-6.4365597,8.739759,1.2897661,12.062432,-12.406894,-10.939535,-8.715409,-1.7329279,-11.175633,13.841227,-12.782268,1.7634803,-4.491664,-0.2304161,1.2562417,19.15106,18.640924,-94.555016,8.973115,7.9452147,-11.226013,-13.407099,21.988111,-16.240227,81.97202,5.847001,-10.402601,15.590299,30.83849
6,-0.4793053865432739,1.4016975164413452,77.66197967529297,-0.24495909245471148,6.502960408820613,-81.38826787824294,-6.3415637,8.702608,1.3333038,11.845529,-12.417601,-11.119187,-9.063254,-1.8452035,-11.123343,14.5764885,-13.288218,1.7325128,-4.49342,-0.24521184,1.2315991,19.15644,18.680124,-94.52142,8.90206,7.9519677,-11.198025,-13.485708,22.013563,-16.288143,81.94346,5.835709,-10.357947,15.637864,30.872877
7,-0.49866190552711487,1.3866703510284424,77.6258316040039,-0.18087469330144107,6.533613498360681,-81.40328871092045,-6.2433233,8.664181,1.3843265,11.626277,-12.434783,-11.307904,-9.435357,-1.9631915,-11.066257,15.361416,-13.811149,1.6964102,-4.495053,-0.26420993,1.2066511,19.16235,18.706009,-94.48756,8.848438,7.960126,-11.170027,-13.568042,22.014923,-16.32372,81.919014,5.8394794,-10.310084,15.686439,30.907219
8,-0.5231676697731018,1.3669112920761108,77.58710479736328,-0.11546442985542114,6.565709529437438,-81.42033550294039,-6.1573668,8.62774,1.4367876,11.435781,-12.465148,-11.486139,-9.809489,-2.0778687,-11.006975,16.147388,-14.320965,1.652487,-4.5020695,-0.28840268,1.1791013,19.170074,18.725136,-94.45951,8.817907,7.9662104,-11.163493,-13.615577,22.025908,-16.352293,81.90059,5.8449984,-10.326508,15.715263,30.942463
9,-0.547694206237793,1.348048448562622,77.54805755615234,-0.04329332368135734,6.600397175901583,-81.44112457694709,-6.0818524,8.586954,1.494619,11.267961,-12.503796,-11.650323,-10.1994295,-2.1969914,-10.9415455,16.958525,-14.82194,1.5984464,-4.512119,-0.3244636,1.1482551,19.180758,18.741642,-94.439766,8.812763,7.9555964,-11.187075,-13.621293,22.021133,-16.377728,81.89369,5.8488584,-10.422833,15.712461,30.980593
