Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,1.6603204011917114,0.45967385172843933,77.19648742675781,1.1413486450233261,1.6793769073569962,-167.1868147605568,1.0137098,3.2815835,-12.4984045,7.012117,-11.40828,-9.864135,-9.563139,-15.248079,-16.116917,20.492804,-11.137955,10.462287,-0.6538544,-0.65570605,6.630965,-5.7321677,17.069857,-44.598747,64.517365,13.318534,0.9953144,2.9590516,-5.633224,-14.570502,34.810226,64.15291,-8.385195,-7.2659607,-7.0982375
1,1.6612907648086548,0.4666346609592438,77.18576049804688,1.2291549662079215,1.7227037896802364,-167.19361821382986,0.968752,3.183894,-12.483733,7.007152,-11.406951,-9.857969,-9.781674,-15.386564,-16.02821,20.829721,-11.322734,10.457384,-0.65369713,-0.7475465,6.6168494,-5.7328362,17.082832,-44.56791,64.50765,13.35151,1.0256675,2.95538,-5.61693,-14.577868,34.77928,64.13179,-8.423047,-7.2733827,-7.1010137
2,1.66259765625,0.4729841947555542,77.17252349853516,1.3124444867082372,1.764901708441541,-167.19924848099683,0.92662495,3.0913377,-12.471539,6.9978304,-11.4026375,-9.851463,-9.989098,-15.517624,-15.94445,21.147537,-11.499359,10.452993,-0.6305671,-0.83686215,6.585639,-5.5588064,17.093914,-44.306408,64.374916,13.667227,1.0641848,2.9447076,-5.501871,-14.587967,34.642654,64.0446,-8.557643,-7.2802887,-7.098748
3,1.660353660583496,0.4820227026939392,77.15509796142578,1.4043315829466572,1.809009870291859,-167.2069960087726,0.8796692,2.9893215,-12.45412,6.9957623,-11.403007,-9.845932,-10.216786,-15.660991,-15.8502865,21.498713,-11.689792,10.447841,-0.6236963,-0.9329468,6.5831857,-5.6068735,17.098282,-44.312965,64.39942,13.660328,1.0913615,2.9430113,-5.558805,-14.592381,34.667625,64.079994,-8.522051,-7.2896266,-7.1021905
4,1.6586323976516724,0.4901596009731293,77.13377380371094,1.518201402246143,1.8577960116410963,-167.21985605351023,0.8317008,2.8656106,-12.423501,6.9892797,-11.403274,-9.842954,-10.494998,-15.83597,-15.730388,21.933537,-11.914994,10.440716,-0.6707046,-1.0448967,6.569242,-5.684587,17.107658,-44.357,64.45853,13.546292,1.1106889,2.9479024,-5.5434437,-14.598888,34.658585,64.05067,-8.592891,-7.2940745,-7.1109114
5,1.653472661972046,0.5053785443305969,77.10962677001953,1.6591645904458434,1.912988311872563,-167.24165478545498,0.7804693,2.7145088,-12.371819,6.9809346,-11.403647,-9.842197,-10.838135,-16.049063,-15.576331,22.473167,-12.183829,10.430278,-0.6249554,-1.1955494,6.5462785,-5.65458,17.12013,-44.274975,64.419846,13.653232,1.1382565,2.9570231,-5.4758716,-14.609692,34.567516,63.993603,-8.669794,-7.298023,-7.1208377
6,1.6537690162658691,0.5206620693206787,77.0809326171875,1.8190172025974223,1.9724941973645433,-167.26925916857232,0.72766393,2.5441923,-12.305718,6.971045,-11.404437,-9.843082,-11.227014,-16.288555,-15.397628,23.085903,-12.4828615,10.417609,-0.5956676,-1.3624792,6.551317,-5.772448,17.135975,-44.35229,64.47408,13.55056,1.1568607,2.9744465,-5.5807548,-14.622647,34.64497,64.05597,-8.573585,-7.303651,-7.136452
7,1.6528915166854858,0.5410026907920837,77.04795837402344,1.99265676616244,2.03460217040658,-167.29712606814817,0.6725845,2.3608732,-12.236772,6.9602304,-11.407551,-9.847081,-11.643692,-16.54575,-15.204255,23.744848,-12.800769,10.404852,-0.56901324,-1.5445381,6.528202,-5.753658,17.149912,-44.259796,64.447914,13.627674,1.1742823,2.9909887,-5.517543,-14.632314,34.568188,63.996944,-8.658944,-7.305795,-7.1512747
8,1.649909257888794,0.5632957816123962,77.0120849609375,2.175089557106849,2.096402479412354,-167.31963229563428,0.6155455,2.1705692,-12.176895,6.949974,-11.415628,-9.855432,-12.068796,-16.812353,-15.006748,24.420877,-13.124653,10.394217,-0.570064,-1.7333834,6.527546,-5.8301935,17.168953,-44.265785,64.48864,13.551518,1.1732037,3.0064504,-5.4952006,-14.641445,34.516304,63.9476,-8.722272,-7.3105006,-7.1620154
9,1.6491748094558716,0.5908059477806091,76.9731216430664,2.3685204835190854,2.158884772612272,-167.33666253690095,0.55467635,1.9712511,-12.12786,6.9392853,-11.429459,-9.867398,-12.508625,-17.090656,-14.800934,25.123236,-13.4565735,10.385554,-0.5217324,-1.9429868,6.5386057,-5.8494534,17.190987,-44.180386,64.479706,13.603367,1.1572276,3.0178747,-5.5080953,-14.651339,34.471085,63.9211,-8.706342,-7.3191934,-7.165129
10,1.643666386604309,0.620521605014801,76.93350219726562,2.5740586943323085,2.2225170640731062,-167.35058885435043,0.49029422,1.7610574,-12.083881,6.9291887,-11.44836,-9.8826475,-12.968909,-17.383839,-14.583535,25.861034,-13.801384,10.378161,-0.51969796,-2.161485,6.5518403,-5.888075,17.22026,-44.101715,64.49248,13.58064,1.1238583,3.0275652,-5.460712,-14.658957,34.371502,63.83035,-8.791881,-7.325615,-7.163547
11,1.636741280555725,0.6571652889251709,76.8884506225586,2.7861166222403875,2.285968220825348,-167.36029101522232,0.4258362,1.5463418,-12.044787,6.918648,-11.469723,-9.90331,-13.4331,-17.683136,-14.364822,26.60754,-14.151056,10.373091,-0.4829637,-2.391561,6.577976,-5.926844,17.248579,-44.0194,64.49982,13.598505,1.0882843,3.0382597,-5.4907875,-14.665689,34.327755,63.802822,-8.754209,-7.338833,-7.164664
12,1.6271568536758423,0.6935916543006897,76.84233093261719,2.999285237441016,2.347362831031938,-167.36391230038882,0.3645423,1.3329308,-12.0105295,6.9080634,-11.491159,-9.93154,-13.881565,-17.979612,-14.156978,27.332579,-14.498057,10.371728,-0.4720343,-2.6168501,6.6022034,-5.9417553,17.281042,-43.92344,64.49273,13.630132,1.0632633,3.0498264,-5.4761205,-14.670779,34.24197,63.740715,-8.765228,-7.3550205,-7.1738515
13,1.6156984567642212,0.7338902950286865,76.79425811767578,3.2188167496984454,2.404354757337873,-167.36451626700713,0.3097829,1.113983,-11.978017,6.8974085,-11.512688,-9.968679,-14.321136,-18.28355,-13.954149,28.052872,-14.847951,10.378089,-0.46681604,-2.8502667,6.6411266,-5.9748344,17.343502,-43.88754,64.47429,13.612753,1.0489721,3.0605621,-5.457407,-14.678115,34.133984,63.666397,-8.765417,-7.382163,-7.1923895
14,1.6021575927734375,0.7774377465248108,76.74242401123047,3.445594830992157,2.4585425293851317,-167.36174999004749,0.25912002,0.889036,-11.948442,6.886529,-11.535281,-10.013347,-14.756289,-18.592962,-13.7540865,28.772207,-15.201592,10.390634,-0.46733475,-3.0910232,6.6833925,-6.0317225,17.418463,-43.91548,64.46858,13.537421,1.0398366,3.0731235,-5.4018817,-14.683492,33.978283,63.562004,-8.795642,-7.4162292,-7.2184687
15,1.5838630199432373,0.8254056572914124,76.69003295898438,3.6664476000798674,2.51425424835244,-167.3498504998546,0.20655292,0.6742104,-11.927669,6.8758106,-11.5586405,-10.06346,-15.176101,-18.892984,-13.568758,29.46957,-15.549192,10.402294,-0.45935917,-3.3246112,6.7293835,-6.0892506,17.490139,-43.94552,64.46723,13.4842415,1.0347921,3.0868804,-5.38932,-14.688209,33.8623,63.496967,-8.755737,-7.450479,-7.248409
16,1.5617784261703491,0.8760722279548645,76.6402816772461,3.8684670554647216,2.5759625822229686,-167.32319478014955,0.1463391,0.4857625,-11.921714,6.866068,-11.583016,-10.116891,-15.568121,-19.164764,-13.411547,30.118517,-15.878538,10.40516,-0.45843592,-3.5320036,6.759253,-6.109023,17.534899,-43.904705,64.47364,13.520222,1.0316211,3.101339,-5.3559456,-14.690168,33.74006,63.432945,-8.734866,-7.474159,-7.277456
17,1.537792682647705,0.9388895034790039,76.59164428710938,4.052309611232177,2.645025237882512,-167.2814329110912,0.07642045,0.32357603,-11.929719,6.858624,-11.610537,-10.171332,-15.93639,-19.409792,-13.28026,30.723066,-16.189837,10.398432,-0.46373892,-3.7232797,6.790143,-6.1651464,17.612736,-43.93616,64.49473,13.48339,1.0279347,3.1116393,-5.29712,-14.692564,33.595974,63.342762,-8.745327,-7.483458,-7.3021846
18,1.503448724746704,0.9926266074180603,76.54999542236328,4.223303840185603,2.7189403388825197,-167.2271489067715,0.0012531579,0.18103519,-11.9496,6.851143,-11.639971,-10.228283,-16.28462,-19.63626,-13.170347,31.293,-16.487886,10.385641,-0.47806862,-3.8929424,6.8062425,-6.204416,17.654985,-43.922493,64.54424,13.508475,1.0257229,3.1254842,-5.255979,-14.693108,33.489765,63.282677,-8.722541,-7.4832582,-7.3302894
19,1.4651557207107544,1.0539573431015015,76.50884246826172,4.377410776053747,2.7958402725045612,-167.15960944060697,-0.07951553,0.06123413,-11.984013,6.8446946,-11.668404,-10.292,-16.604904,-19.83832,-13.088576,31.819914,-16.77234,10.364797,-0.49169436,-4.0494676,6.8351016,-6.2995825,17.737131,-44.01052,64.60828,13.429143,1.0244436,3.1354337,-5.2084627,-14.694989,33.36379,63.212173,-8.710799,-7.4815326,-7.3543205
20,1.4296112060546875,1.1253985166549683,76.47210693359375,4.51041043742753,2.874109535167472,-167.0775985721969,-0.16443224,-0.03147199,-12.036096,6.8377323,-11.69213,-10.366332,-16.889214,-20.013163,-13.041415,32.29673,-17.043339,10.334435,-0.509683,-4.1743445,6.8513384,-6.316018,17.780487,-43.954865,64.65163,13.513861,1.0282457,3.1462228,-5.149819,-14.695862,33.235554,63.159786,-8.705401,-7.483103,-7.3766637
21,1.3895606994628906,1.1981977224349976,76.43588256835938,4.620270689717701,2.9555731985378264,-166.98094994568714,-0.25717947,-0.09556214,-12.106426,6.8317094,-11.711179,-10.457417,-17.136562,-20.156456,-13.031364,32.716854,-17.299397,10.293293,-0.53065944,-4.2750297,6.8793926,-6.350253,17.852516,-43.926384,64.690796,13.5713825,1.0286937,3.1489146,-5.085516,-14.700221,33.087124,63.10416,-8.717865,-7.4899416,-7.391593
22,1.3429034948349,1.277207374572754,76.40225219726562,4.709371891873288,3.040346139861071,-166.870269141831,-0.35697517,-0.13303816,-12.19368,6.8267083,-11.727683,-10.561332,-17.351023,-20.273363,-13.054816,33.087513,-17.541874,10.242419,-0.5656345,-4.346095,6.901453,-6.393451,17.905476,-43.889767,64.76252,13.637468,1.0267031,3.1507635,-5.017613,-14.705069,32.942745,63.060955,-8.739319,-7.497553,-7.404512
23,1.290236473083496,1.3645159006118774,76.37281799316406,4.780836318556691,3.1240914712623447,-166.74606752927133,-0.45772746,-0.14672685,-12.297272,6.82167,-11.74057,-10.667554,-17.531895,-20.366823,-13.109902,33.416504,-17.772104,10.182355,-0.62451875,-4.391989,6.9308605,-6.520394,17.949213,-43.9549,64.904686,13.5689745,1.0299361,3.1595385,-4.9790125,-14.710875,32.83335,63.045803,-8.736698,-7.5076804,-7.4179735
24,1.2346755266189575,1.4518842697143555,76.34662628173828,4.838355550870978,3.202305154797224,-166.60870806447045,-0.5545162,-0.14004822,-12.416764,6.8175726,-11.74969,-10.765726,-17.679342,-20.4406,-13.193973,33.712856,-17.992113,10.1137495,-0.63327914,-4.428313,6.9640326,-6.5036993,17.99164,-43.829098,64.92358,13.750384,1.0633825,3.1742702,-4.9128966,-14.718889,32.67751,63.029625,-8.718091,-7.523255,-7.4289412
25,1.179598093032837,1.543321132659912,76.3266830444336,4.88260477234359,3.27178771917474,-166.45807117674988,-0.6429957,-0.113981046,-12.552686,6.8153944,-11.754847,-10.848632,-17.78831,-20.496065,-13.308056,33.97634,-18.202251,10.038373,-0.68926835,-4.4441576,7.0136623,-6.561641,18.036732,-43.795597,64.98841,13.775741,1.1279297,3.2077675,-4.8768415,-14.728742,32.566574,63.035614,-8.669411,-7.545112,-7.445124
