Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.5105997920036316,2.200822591781616,76.59651947021484,6.294409632001082,-3.2645373214759275,-87.02667636402236,3.376367,-10.5779915,16.021059,6.901456,-10.18055,4.7691793,-14.063691,-19.901731,-2.5007334,39.309856,-20.039213,11.090142,-2.9612145,-6.900465,10.356537,1.8665543,10.281989,-23.906746,61.082474,21.866772,-5.9493585,2.5521448,8.585304,-9.608793,12.80107,54.18334,1.5135075,-8.441379,4.9042077
1,-0.5086493492126465,2.2039897441864014,76.596923828125,6.296185857939315,-3.2507476289483943,-87.05405244914769,3.3655174,-10.5759735,16.0483,6.9018335,-10.18505,4.7778897,-14.096237,-19.886604,-2.466053,39.320312,-20.043427,11.062938,-2.9119005,-6.905136,10.356106,1.9291354,10.282775,-23.64285,60.983395,21.762218,-5.96177,2.4493282,8.609518,-9.612151,12.777165,54.147945,1.4719553,-8.427755,4.9102197
2,-0.5057033896446228,2.202876567840576,76.59642791748047,6.298269585518524,-3.2355437018916637,-87.08120401991249,3.3519819,-10.574022,16.075731,6.903091,-10.188817,4.787533,-14.131019,-19.871977,-2.4307065,39.331314,-20.047737,11.035015,-2.8695395,-6.91242,10.348617,1.9859433,10.275883,-23.367317,60.900333,21.66308,-5.9759154,2.342619,8.623512,-9.61179,12.763151,54.128006,1.4288698,-8.414084,4.9115167
3,-0.5022829174995422,2.1990151405334473,76.59687805175781,6.298972838478858,-3.2233782419050265,-87.10900099443516,3.3432672,-10.572025,16.102964,6.9028225,-10.193349,4.795412,-14.160824,-19.857458,-2.3964636,39.341156,-20.051926,11.008602,-2.8659906,-6.923662,10.339897,2.0529914,10.258116,-23.037653,60.82055,21.584732,-5.9906955,2.2468395,8.603015,-9.611006,12.788867,54.13643,1.3917903,-8.402243,4.908267
4,-0.4994778335094452,2.1961312294006348,76.59756469726562,6.298398258224226,-3.2187050351204833,-87.13832741913714,3.343344,-10.567836,16.129923,6.9032893,-10.200737,4.798864,-14.178515,-19.840372,-2.3652384,39.3463,-20.055014,10.9859295,-2.8430643,-6.9283943,10.338397,2.1040108,10.237198,-22.748983,60.757454,21.490875,-5.9978266,2.186818,8.599039,-9.610892,12.797344,54.13363,1.3626113,-8.39446,4.9081545
5,-0.49569666385650635,2.1954898834228516,76.59841918945312,6.295608203714218,-3.2258632065427713,-87.17045847075217,3.3581529,-10.560599,16.156733,6.9041066,-10.212736,4.7949038,-14.177993,-19.822071,-2.3373454,39.346333,-20.057663,10.968669,-2.8024187,-6.9287252,10.351079,2.1452854,10.217872,-22.48896,60.701355,21.373653,-5.9939837,2.1748421,8.609374,-9.611052,12.788991,54.11762,1.3479486,-8.392787,4.9147906
6,-0.4904351234436035,2.190108060836792,76.5966796875,6.289058684769676,-3.241470255044418,-87.20454857107576,3.3836136,-10.551863,16.183357,6.9042387,-10.22742,4.785763,-14.163774,-19.80156,-2.3126006,39.341732,-20.059355,10.9550495,-2.782705,-6.9280276,10.370069,2.191492,10.190064,-22.20028,60.6486,21.259869,-5.984992,2.1950943,8.599753,-9.612572,12.801797,54.118023,1.3462259,-8.395857,4.9227
7,-0.48665380477905273,2.1866629123687744,76.59605407714844,6.282868409166969,-3.258199550678532,-87.2383972445501,3.4106944,-10.542671,16.209463,6.904119,-10.242163,4.776432,-14.14688,-19.781523,-2.289172,39.33546,-20.060299,10.943183,-2.768381,-6.9238954,10.3870125,2.2284818,10.155453,-21.926596,60.61251,21.155628,-5.9763546,2.2284641,8.5884905,-9.617779,12.822772,54.12158,1.3450152,-8.399691,4.9272556
8,-0.484591543674469,2.1829540729522705,76.59539031982422,6.27804659668069,-3.2684320587129463,-87.2695431445079,3.4293191,-10.532703,16.234484,6.905709,-10.254763,4.7718625,-14.139051,-19.761448,-2.2655444,39.331238,-20.060957,10.930865,-2.7348237,-6.917408,10.399376,2.2492347,10.133464,-21.721212,60.58819,21.062885,-5.974107,2.2507892,8.594762,-9.622684,12.822789,54.11243,1.3262721,-8.401099,4.9292574
9,-0.4819414019584656,2.18050479888916,76.59516143798828,6.272944927528347,-3.2694981514456862,-87.2975220248851,3.4371922,-10.524799,16.258877,6.906517,-10.262861,4.775604,-14.142416,-19.743238,-2.2415257,39.328007,-20.060408,10.916963,-2.7157438,-6.911476,10.3992815,2.2639253,10.114253,-21.534101,60.578278,21.00489,-5.985517,2.2555475,8.591067,-9.629767,12.838316,54.114006,1.2827148,-8.397944,4.9192734
10,-0.47840970754623413,2.177516460418701,76.5965805053711,6.2693786648509375,-3.2656048778783164,-87.323463652656,3.4386759,-10.516435,16.282564,6.9085383,-10.269035,4.784226,-14.152759,-19.72382,-2.2177339,39.326313,-20.059761,10.902673,-2.6989248,-6.904646,10.392996,2.271427,10.100124,-21.376068,60.578835,20.965473,-6.0047383,2.2549503,8.588766,-9.638039,12.858314,54.115463,1.2240285,-8.392306,4.902486
11,-0.47895652055740356,2.1744964122772217,76.59770202636719,6.265640868809137,-3.2602019476517827,-87.34767803829293,3.4375257,-10.507926,16.305021,6.911724,-10.274946,4.792578,-14.164637,-19.70603,-2.1950274,39.324673,-20.05823,10.889886,-2.7008145,-6.897564,10.382864,2.2780604,10.086947,-21.23183,60.58475,20.949064,-6.025324,2.2514107,8.573343,-9.652483,12.896312,54.127857,1.1702236,-8.387421,4.884709
