Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.04436373710632324,-2.848855495452881,78.29810333251953,0.4652979425907379,-3.9641053294304096,90.77914249217132,6.4216933,2.8778744,13.417228,7.068396,-12.491767,-3.5252318,5.0608387,-5.8249063,-15.127133,8.599798,-10.042646,4.3318386,-0.9279616,0.2582803,6.1366405,9.526088,6.3416657,-6.368921,60.16656,10.539186,5.2941732,15.441807,2.4502127,-6.440113,9.509065,67.47548,-3.9676683,3.7843332,-15.785913
1,-0.01522374339401722,-2.915706157684326,78.31336975097656,0.4352617215263733,-3.9670785413126524,90.75489062129112,6.35531,2.8655722,13.443411,7.066434,-12.406244,-3.484051,4.9756484,-5.841683,-15.077107,8.599438,-9.865672,4.4079084,-0.9720539,0.2982768,6.2891703,9.415578,6.312385,-6.451981,60.161743,10.518757,5.2588334,15.451974,2.2816195,-6.485535,9.503694,67.40918,-4.0218515,3.7798922,-15.814708
2,-0.07040837407112122,-3.001450300216675,78.32711029052734,0.4044339786860867,-3.9692765435590287,90.73526142760234,6.2889647,2.8545814,13.464358,7.0633965,-12.319935,-3.4467688,4.894093,-5.857035,-15.029931,8.5949335,-9.688349,4.4855847,-1.0092012,0.36218467,6.4417186,9.2957535,6.2624974,-6.5522695,60.169495,10.487888,5.2212863,15.4637985,2.1338544,-6.5675964,9.488804,67.32128,-4.0761147,3.776583,-15.831705
3,-0.12811943888664246,-3.0946738719940186,78.34339904785156,0.37745111129516434,-3.973213442939136,90.70597459633906,6.223466,2.8388436,13.496235,7.061216,-12.235205,-3.400262,4.808111,-5.876118,-14.976442,8.592168,-9.508304,4.5604906,-1.046543,0.4235686,6.5980954,9.180705,6.210259,-6.6466765,60.163296,10.473743,5.188054,15.4746685,1.9801537,-6.653601,9.477991,67.23091,-4.1229005,3.772128,-15.848429
4,-0.18917521834373474,-3.195068597793579,78.35792541503906,0.35727884361714607,-3.981455356498066,90.65256717845264,6.1597996,2.811889,13.555634,7.060112,-12.153271,-3.331157,4.702495,-5.9062343,-14.906593,8.612253,-9.330938,4.62801,-1.0739284,0.4835049,6.76401,9.071132,6.1506257,-6.739376,60.126076,10.497924,5.1663947,15.485367,1.8180848,-6.7536635,9.464392,67.12891,-4.153739,3.764511,-15.862813
5,-0.26053035259246826,-3.2986481189727783,78.37056732177734,0.34219395506334516,-3.9955214103150443,90.56951393021922,6.0973425,2.7761018,13.648283,7.069989,-12.083604,-3.2310529,4.5826383,-5.9446187,-14.817743,8.645749,-9.156975,4.683713,-1.087392,0.5284127,6.934961,8.976885,6.101293,-6.8303337,60.04566,10.58073,5.1599975,15.497511,1.6382043,-6.843289,9.45567,67.03418,-4.1618633,3.7518864,-15.883486
6,-0.3439311981201172,-3.4080944061279297,78.37781524658203,0.32765215370033857,-4.013265055239316,90.46587193023841,6.0299582,2.7397385,13.763395,7.0988717,-12.028506,-3.1087341,4.449469,-5.9857116,-14.71631,8.694265,-8.987521,4.7298365,-1.087792,0.5886923,7.1115813,8.88771,6.0388956,-6.929278,59.93841,10.704363,5.164329,15.511072,1.4610478,-6.9606767,9.44562,66.923294,-4.149888,3.7361474,-15.897928
7,-0.43075117468833923,-3.5319738388061523,78.37838745117188,0.3397801123309315,-4.023918488106483,90.34119723395631,5.9177027,2.679722,13.901763,7.200409,-12.009582,-2.9735665,4.064213,-6.119292,-14.571008,9.244788,-9.0633135,4.776337,-1.0825369,0.62204176,7.2908792,8.799271,5.973842,-7.0157504,59.811142,10.836483,5.1746364,15.519712,1.2723892,-7.0833063,9.428531,66.79876,-4.1367893,3.719547,-15.909836
8,-0.526762843132019,-3.670863151550293,78.37770080566406,0.3555159764966759,-4.032881763743132,90.21152169236677,5.7306633,2.629644,14.043612,7.4406276,-12.05388,-2.842035,3.62515,-6.267935,-14.4167185,9.877622,-9.15169,4.8230357,-1.0899608,0.64378786,7.488433,8.701522,5.909256,-7.078698,59.67493,10.942662,5.186017,15.517803,1.0650959,-7.203365,9.389991,66.65405,-4.142577,3.704031,-15.91811
9,-0.6170772314071655,-3.8192152976989746,78.37446594238281,0.3732356910883711,-4.040625913030236,90.08212503338262,5.530599,2.57587,14.185098,7.6809325,-12.083653,-2.7132099,3.1224668,-6.432629,-14.260764,10.618,-9.264089,4.865269,-1.1154547,0.6505752,7.7086825,8.591335,5.848909,-7.1086407,59.52719,11.015659,5.2033772,15.500687,0.8300082,-7.3136125,9.328174,66.49366,-4.1679773,3.6901436,-15.924315
10,-0.7154785394668579,-3.9675652980804443,78.36758422851562,0.3933064757363465,-4.048682443560888,89.94800177267852,5.3143845,2.5191326,14.331943,7.938148,-12.111113,-2.5813975,2.5702963,-6.611567,-14.098929,11.4394865,-9.395662,4.9005413,-1.1517798,0.6523491,7.94794,8.471722,5.784025,-7.116066,59.365967,11.073397,5.2271066,15.472686,0.5770569,-7.428451,9.2482395,66.31433,-4.2033124,3.6769578,-15.925862
11,-0.8173088431358337,-4.131862640380859,78.36053466796875,0.42135705388240907,-4.055816503880212,89.80140259577703,5.1041465,2.450999,14.495879,8.169486,-12.124723,-2.4514027,1.9731848,-6.8056946,-13.914973,12.325702,-9.534116,4.937108,-1.1926804,0.6439849,8.198873,8.347594,5.718304,-7.114011,59.199017,11.118118,5.2461348,15.442193,0.31509137,-7.544829,9.14995,66.11464,-4.255993,3.6637354,-15.924482
12,-0.9332309365272522,-4.309675693511963,78.35403442382812,0.46148128985519504,-4.060918825178125,89.63485433093456,4.9077597,2.3668947,14.687833,8.362654,-12.122911,-2.328749,1.3423395,-7.012461,-13.694372,13.244855,-9.660678,4.984073,-1.230162,0.6203972,8.4538355,8.224712,5.6590776,-7.117485,59.032516,11.150807,5.24906,15.415687,0.053550664,-7.6553755,9.030874,65.89373,-4.3342094,3.6494987,-15.9222
13,-1.0490612983703613,-4.488802433013916,78.34538269042969,0.5198434843811333,-4.071773175442591,89.44546740326491,4.7329626,2.2604654,14.912551,8.521941,-12.111268,-2.2182875,0.67915124,-7.239716,-13.4332285,14.213384,-9.794568,5.043758,-1.260583,0.5738522,8.722715,8.105494,5.6079597,-7.1282043,58.86308,11.162165,5.2296124,15.396647,-0.20583797,-7.7590466,8.879436,65.646545,-4.447528,3.635555,-15.912817
14,-1.165966510772705,-4.6803975105285645,78.33563995361328,0.5912956044079763,-4.08652473014211,89.23771038978548,4.5774403,2.1350856,15.163624,8.642555,-12.082607,-2.1168568,-0.017892787,-7.483318,-13.1394615,15.230693,-9.932881,5.110607,-1.2948375,0.49181384,9.003592,7.9946437,5.5782766,-7.1292677,58.68316,11.154575,5.1950617,15.379963,-0.48144644,-7.830732,8.709451,65.392525,-4.5907054,3.6216555,-15.906331
