Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.4945763945579529,2.3095414638519287,75.71294403076172,5.4422924341471735,1.5019668233115109,-92.62396502275035,-21.288061,-5.3715568,6.239806,35.032654,-15.455056,2.8296878,-11.847251,-13.73793,-5.3284802,85.38929,-16.487024,-3.877281,-1.3446599,-5.4086328,8.459401,-0.7643134,16.397038,-25.116701,58.346375,-7.1105986,3.3396664,-4.877505,-11.168709,-9.134181,22.90665,60.10863,5.9965,8.743256,-0.6772146
1,-0.43559959530830383,1.6637245416641235,75.90962982177734,5.3865202124534335,1.4482683508720193,-92.56076213985584,-20.201653,-5.5392494,6.043821,34.10789,-15.553542,3.0157123,-13.213443,-13.499872,-5.114007,85.28282,-16.774048,-3.6222985,-1.7757038,-5.259439,8.4148855,-1.1084527,16.407509,-24.922878,57.649956,-7.3104973,3.3655136,-4.6257353,-10.715818,-9.192742,22.918863,60.75768,6.029946,8.814101,-0.5535372
2,-0.369996041059494,1.0244039297103882,76.09417724609375,5.33230748235195,1.3965116737608896,-92.49630273452705,-19.118893,-5.7081017,5.8421664,33.186646,-15.654443,3.19106,-14.585574,-13.254034,-4.8946514,85.214554,-17.061909,-3.3665879,-2.2083094,-5.0825257,8.38468,-1.4606054,16.394224,-24.722654,56.956413,-7.5152454,3.3917701,-4.3609924,-10.208119,-9.334712,22.941784,61.32451,6.085952,8.89239,-0.41590577
3,-0.32636794447898865,0.35499638319015503,76.28602600097656,5.274691676721845,1.3383440395163153,-92.4327878013327,-18.021368,-5.865434,5.636555,32.25371,-15.754348,3.3603768,-15.928726,-13.016555,-4.69956,85.05084,-17.33954,-3.1149154,-2.6218321,-4.890609,8.363626,-1.8288859,16.363714,-24.536114,56.25999,-7.695941,3.41104,-4.1277175,-9.66684,-9.51662,22.95523,61.830563,6.140435,8.97602,-0.27326065
4,-0.28077933192253113,-0.3014523386955261,76.46932983398438,5.208867210179099,1.2656374514921767,-92.37263669673789,-16.892986,-5.99837,5.4292016,31.296629,-15.851088,3.5297258,-17.208344,-12.803166,-4.5576344,84.65919,-17.595037,-2.8712971,-3.019967,-4.6873746,8.356547,-2.1888127,16.330093,-24.345896,55.51159,-7.8137393,3.418036,-3.9780493,-9.103626,-9.728736,22.974546,62.260075,6.185798,9.066591,-0.12958895
5,-0.23725812137126923,-0.9335912466049194,76.63623046875,5.138952744335768,1.1712533250914365,-92.32381759060813,-15.717728,-6.10504,5.231725,30.3056,-15.947632,3.7191792,-18.410582,-12.624529,-4.4799757,84.0021,-17.843876,-2.609821,-3.3969228,-4.4841237,8.368239,-2.5312262,16.306158,-24.150105,54.692505,-7.835416,3.4221911,-3.9521568,-8.518294,-9.964502,23.010841,62.608707,6.2203517,9.164625,0.014257931
6,-0.18258407711982727,-1.5884222984313965,76.79112243652344,5.066227608109169,1.0612263236410546,-92.28265304274802,-14.510238,-6.192037,5.040604,29.29363,-16.045826,3.922086,-19.554016,-12.467994,-4.4508424,83.14948,-18.084024,-2.3342175,-3.7601569,-4.2835402,8.3952465,-2.8533456,16.297073,-23.948608,53.81061,-7.789886,3.4248433,-4.0158525,-7.916127,-10.217991,23.058779,62.89519,6.247617,9.26815,0.15882264
7,-0.15603385865688324,-2.213937282562256,76.93331146240234,4.98115632482482,0.9470638598856997,-92.23386103704655,-13.297099,-6.259174,4.835093,28.276917,-16.139273,4.104631,-20.646711,-12.315575,-4.461667,82.12188,-18.28595,-2.0958066,-4.127607,-4.0742173,8.431182,-3.146731,16.302862,-23.734648,52.861298,-7.733904,3.4082253,-4.108918,-7.309786,-10.484844,23.102772,63.13194,6.2653775,9.375492,0.3034172
8,-0.1612982302904129,-2.944481611251831,77.12267303466797,4.874859697029078,0.8404181342883214,-92.1620637406547,-12.105732,-6.304451,4.594657,27.272686,-16.22179,4.2320814,-21.69668,-12.150034,-4.502659,80.93895,-18.42006,-1.9465891,-4.516687,-3.8430169,8.4694805,-3.405478,16.320251,-23.50177,51.843346,-7.7240043,3.3546462,-4.17032,-6.7119102,-10.762241,23.127924,63.332237,6.2719436,9.4856415,0.44724926
9,-0.18415604531764984,-3.6513521671295166,77.285400390625,4.724605517540775,0.7403888466671672,-92.0273258886258,-10.958986,-6.32132,4.271517,26.309376,-16.29134,4.2875957,-22.694931,-11.947797,-4.586855,79.58671,-18.473553,-1.9159518,-4.9647703,-3.5644195,8.513992,-3.6364894,16.34762,-23.262611,50.771755,-7.756381,3.2227476,-4.1916313,-6.1314554,-11.051297,23.133705,63.50148,6.2627625,9.604968,0.5947312
