Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,4.458593368530273,0.16297848522663116,19.096206665039062,-1.5206003956067808,-13.188593378176021,177.97300036875345,-105.86406,16.946877,-26.7014,165.00038,-50.000305,-10.353087,-100.70667,-17.580282,30.280958,165.00038,-50.000305,15.000033,2.3225605,1.2789922,29.793802,-74.96073,18.859388,-89.2188,49.103817,5.1829805,-10.0743685,-5.326643,-74.17554,-20.488949,91.060486,50.430077,-22.928167,-8.474208,-21.74703
1,4.421710968017578,0.16463012993335724,19.122262954711914,-1.493723732395484,-13.020686597864824,177.96672493810252,-105.95013,16.959011,-26.671604,165.00038,-50.000305,-10.390265,-100.8267,-17.56039,30.324245,165.00038,-50.000305,15.000033,2.3175964,1.2537428,29.793802,-74.90483,18.763954,-89.126854,49.25965,5.3498664,-10.004162,-5.278285,-74.18877,-20.303059,91.1216,50.646214,-22.960855,-8.470761,-21.947493
2,4.384687900543213,0.16789740324020386,19.149620056152344,-1.4669152331045703,-12.853343452266875,177.9622600578045,-106.03679,16.972576,-26.63638,165.00038,-50.000305,-10.422185,-100.94719,-17.54131,30.370213,165.00038,-50.000305,15.000033,2.3187017,1.2367098,29.793802,-74.85314,18.698877,-89.0339,49.371666,5.518276,-9.933332,-5.2317667,-74.20022,-20.174997,91.17987,50.809757,-22.98776,-8.461229,-22.13825
3,4.346797943115234,0.17354772984981537,19.17841339111328,-1.4414963234198668,-12.682298541651022,177.955874387782,-106.12725,16.985361,-26.607435,165.00038,-50.000305,-10.457112,-101.07141,-17.52259,30.410675,165.00038,-50.000305,15.000033,2.3304474,1.227997,29.793802,-74.803566,18.654469,-88.94723,49.450336,5.681363,-9.857643,-5.1802382,-74.2086,-20.092432,91.241615,50.939133,-23.02706,-8.454489,-22.34464
4,4.307769298553467,0.1821317821741104,19.2078800201416,-1.416777224167356,-12.505040285637211,177.9455471093145,-106.2246,16.99789,-26.58923,165.00038,-50.000305,-10.497188,-101.20545,-17.504875,30.442257,165.00038,-50.000305,15.000033,2.352945,1.2254426,29.793802,-74.75325,18.618824,-88.87096,49.5105,5.8328795,-9.773294,-5.1175623,-74.213104,-20.033773,91.31579,51.060432,-23.094711,-8.459288,-22.593048
5,4.268044471740723,0.1927032321691513,19.237869262695312,-1.393046953697055,-12.320856483436243,177.93015506906949,-106.32858,17.0114,-26.582556,165.00038,-50.000305,-10.540897,-101.34827,-17.48866,30.463041,165.00038,-50.000305,15.000033,2.381646,1.2312604,29.793802,-74.69581,18.573147,-88.795044,49.582485,5.9660325,-9.685173,-5.037421,-74.21767,-19.969316,91.404976,51.197235,-23.194876,-8.471105,-22.85752
6,4.227547645568848,0.20357516407966614,19.267454147338867,-1.3705731942408557,-12.131067722252396,177.910936660371,-106.437935,17.024473,-26.586145,165.00038,-50.000305,-10.588739,-101.49798,-17.47287,30.475752,165.00038,-50.000305,15.000033,2.423008,1.228661,29.793802,-74.63915,18.545853,-88.7493,49.634098,6.0723004,-9.588687,-4.9407454,-74.21528,-19.937645,91.47374,51.297386,-23.334166,-8.486931,-23.129808
7,4.185673236846924,0.21324411034584045,19.296306610107422,-1.3486809143468794,-11.935363455659527,177.89018226897628,-106.55298,17.03694,-26.595722,165.00038,-50.000305,-10.640635,-101.65604,-17.459742,30.481472,165.00038,-50.000305,15.000033,2.4653358,1.2545395,29.793802,-74.579056,18.489775,-88.675026,49.698307,6.2021184,-9.488112,-4.8495293,-74.215805,-19.88465,91.60692,51.463676,-23.466646,-8.522116,-23.486876
8,4.143129825592041,0.2208489030599594,19.321809768676758,-1.352027575096376,-11.71621307495165,177.88932163554088,-106.7249,17.020422,-26.611448,165.00038,-50.000305,-10.677802,-101.83307,-17.478735,30.46283,165.00038,-50.000305,15.000033,2.510242,1.302393,29.793802,-74.55273,18.436415,-88.63041,49.718636,6.3501177,-9.363317,-4.7709846,-74.21776,-19.850256,91.75627,51.65516,-23.61849,-8.586498,-23.981157
9,4.099278926849365,0.2293427288532257,19.347270965576172,-1.3580692662198084,-11.486311668132384,177.88743837284582,-106.908,16.999868,-26.635483,165.00038,-50.000305,-10.723222,-102.023895,-17.504835,30.430761,165.00038,-50.000305,15.000033,2.5649943,1.3546655,29.793802,-74.536865,18.38503,-88.60454,49.70554,6.530481,-9.216053,-4.7004952,-74.21704,-19.830936,91.95683,51.869144,-23.81009,-8.677905,-24.644268
10,4.05438232421875,0.24070888757705688,19.373701095581055,-1.3667450584194827,-11.249712982085446,177.88421272524727,-107.10008,16.976461,-26.666983,165.00038,-50.000305,-10.7743635,-102.22525,-17.537783,30.38641,165.00038,-50.000305,15.000033,2.6346397,1.4322269,29.793802,-74.529236,18.304564,-88.57826,49.68197,6.73784,-9.052926,-4.6354733,-74.21278,-19.819109,92.218666,52.124138,-24.024956,-8.788358,-25.442364
11,4.0078125,0.2560059130191803,19.401824951171875,-1.3740315477191376,-11.006625525836032,177.88203715459375,-107.29516,16.956894,-26.695223,165.00038,-50.000305,-10.825309,-102.43243,-17.571405,30.340631,165.00038,-50.000305,15.000033,2.7091339,1.5005527,29.793802,-74.53161,18.23176,-88.56619,49.631176,6.957837,-8.873315,-4.592169,-74.19734,-19.821892,92.48426,52.386456,-24.21721,-8.928213,-26.3349
12,3.9589669704437256,0.27308395504951477,19.43135643005371,-1.381015316090645,-10.762703326086006,177.88026551059835,-107.488365,16.944271,-26.72047,165.00038,-50.000305,-10.873761,-102.63147,-17.601904,30.295412,165.00038,-50.000305,15.000033,2.7994637,1.5920448,29.793802,-74.54837,18.123861,-88.53469,49.5681,7.1940618,-8.682752,-4.591566,-74.16263,-19.843277,92.76513,52.678562,-24.3081,-9.104212,-27.292225
13,3.909838914871216,0.29014086723327637,19.46339988708496,-1.3863299744481563,-10.52233250968402,177.8810184386791,-107.67486,16.937613,-26.741356,165.00038,-50.000305,-10.920713,-102.81801,-17.625057,30.25743,165.00038,-50.000305,15.000033,2.9084375,1.6976894,29.793802,-74.583496,17.995771,-88.50339,49.464672,7.3968034,-8.467425,-4.6329546,-74.10269,-19.886915,93.06191,53.01009,-24.269817,-9.355241,-28.362133
14,3.861433982849121,0.305765300989151,19.49845314025879,-1.3902081689693573,-10.281419492665513,177.88327463209677,-107.85856,16.935492,-26.760132,165.00038,-50.000305,-10.967554,-102.999954,-17.64307,30.223541,165.00038,-50.000305,15.000033,3.0335102,1.8160638,29.793802,-74.63287,17.845898,-88.47132,49.332382,7.585443,-8.231054,-4.7083282,-74.02328,-19.956347,93.381996,53.36933,-24.143044,-9.667635,-29.544262
15,3.812892436981201,0.3197612464427948,19.535808563232422,-1.393209654421829,-10.03585633537238,177.88636081187784,-108.04565,16.94341,-26.770292,165.00038,-50.000305,-11.008157,-103.18335,-17.664259,30.184374,165.00038,-50.000305,15.000033,3.1708982,1.9455385,29.793802,-74.695915,17.679892,-88.425995,49.195396,7.8442936,-7.9992414,-4.820887,-73.92727,-20.049807,93.671425,53.723507,-23.989296,-9.976937,-30.72215
16,3.762733221054077,0.3332233428955078,19.57506561279297,-1.39073311685363,-9.77941795789983,177.89094238810185,-108.23878,16.96845,-26.76004,165.00038,-50.000305,-11.037382,-103.38255,-17.695606,30.139711,165.00038,-50.000305,15.000033,3.3085427,2.070195,29.793802,-74.76781,17.505663,-88.35624,49.086758,8.257194,-7.798299,-4.9745126,-73.81999,-20.160185,93.87619,54.03411,-23.865982,-10.216035,-31.779236
17,3.71409273147583,0.3466063439846039,19.619911193847656,-1.3852102908841994,-9.512458950922523,177.89392713586815,-108.44364,17.018677,-26.732597,165.00038,-50.000305,-11.057578,-103.5993,-17.742249,30.085756,165.00038,-50.000305,15.000033,3.4496734,2.1943567,29.793802,-74.85371,17.330515,-88.27171,49.001472,8.847813,-7.6314707,-5.186354,-73.70641,-20.280352,94.00404,54.307724,-23.776737,-10.38101,-32.69838
