Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,1.2688442468643188,1.242175817489624,74.66950225830078,2.0314517414986035,3.1555814276724345,-140.48093917698762,4.9245996,-14.545538,-2.2313035,26.449398,-21.454369,7.030803,-24.07123,-2.3042145,-44.02232,30.67855,-8.204952,-15.000033,-19.207989,-4.8687487,6.33984,-22.393438,13.670107,-33.15473,50.90463,11.899677,2.2646065,2.5576184,14.088418,-16.116796,30.597157,73.185104,-5.363345,-1.4144014,-4.646
1,1.5176986455917358,1.958235502243042,74.65940856933594,2.348554752031596,2.903566216780082,-140.5673211117213,5.451615,-14.5808735,-2.2728868,24.91385,-21.693323,7.692671,-25.55813,-2.7007322,-41.84601,32.40858,-6.4005795,-14.7169075,-19.057165,-5.4019403,6.7315784,-22.6587,13.739118,-32.829796,50.93192,11.352658,1.9101571,3.3385015,14.028423,-16.09484,31.041569,72.95994,-5.571754,-1.3867133,-4.835615
2,1.7595396041870117,2.6612026691436768,74.66860961914062,2.6989780211644563,2.6059613759151383,-140.57974492797382,6.101205,-14.694551,-2.4039717,23.24414,-21.904423,8.376853,-27.07182,-3.1175034,-39.56475,34.302734,-4.704268,-13.818529,-18.99987,-6.0034776,7.158254,-22.87871,13.895836,-32.475487,50.856495,10.805179,1.5491109,4.1084576,13.898768,-16.005514,31.553448,72.82867,-5.762643,-1.3685127,-5.0379505
3,1.9968541860580444,3.357142686843872,74.6900405883789,3.0310595092945793,2.3032146226706582,-140.60416846628794,6.7722273,-14.79395,-2.5057287,21.557959,-22.077145,8.939229,-28.403463,-3.2914107,-37.258564,35.742012,-2.9018977,-12.182645,-18.952864,-6.5990715,7.5864587,-23.016216,14.117454,-32.137215,50.76351,10.255634,1.1868571,4.8616457,13.713644,-15.878359,32.04728,72.73342,-5.9798226,-1.3388331,-5.2464175
4,2.2095720767974854,4.0387864112854,74.72578430175781,3.3187330612833854,1.9898200585800074,-140.6565244294352,7.4545903,-14.821388,-2.5350373,19.897526,-22.14939,9.261641,-29.31101,-3.1184568,-34.913303,36.305393,-0.96847105,-8.930733,-18.910954,-7.1430225,8.013762,-23.0273,14.378316,-31.83748,50.736015,9.711272,0.8285141,5.59211,13.468891,-15.746049,32.458927,72.63265,-6.2577777,-1.2769523,-5.4548607
5,2.4248151779174805,4.699046611785889,74.76384735107422,3.563724747935028,1.6462469029033973,-140.72595441592742,8.186866,-14.753103,-2.4815717,18.224365,-22.087574,9.279882,-29.590458,-2.479053,-32.424366,35.575504,1.1699371,-3.0019534,-18.889452,-7.6286893,8.451154,-22.907097,14.656424,-31.585344,50.814964,9.123681,0.4376048,6.3582287,13.177537,-15.635427,32.775097,72.49668,-6.6702332,-1.1418262,-5.6480355
6,2.6370325088500977,5.3433732986450195,74.81330871582031,3.773063744197552,1.2825976098284593,-140.80572160927434,8.96014,-14.610173,-2.3729973,16.52359,-21.911684,9.085486,-29.411404,-1.5032812,-29.803583,33.994167,3.1661868,4.8305197,-18.88226,-8.060781,8.896403,-22.697372,14.938064,-31.367277,50.97624,8.508343,0.021671245,7.146437,12.866759,-15.557835,33.018566,72.31576,-7.1754556,-0.9539682,-5.8264766
7,2.8330986499786377,5.962507247924805,74.86734008789062,3.928721560109105,0.9391198490364848,-140.92055995580384,9.669794,-14.396303,-2.2125993,14.914234,-21.660748,8.796293,-29.108093,-0.5060375,-27.271868,32.451134,4.5181584,12.62828,-18.853054,-8.41131,9.326182,-22.41764,15.212965,-31.164547,51.199272,7.9699397,-0.34392256,7.8442044,12.547129,-15.515918,33.182365,72.08528,-7.6363506,-0.7855906,-6.0099535
8,3.0062849521636963,6.634987831115723,74.92252349853516,3.8531005923932664,0.7992925629619831,-141.40280362049424,9.763824,-13.881332,-1.6237901,14.110051,-21.73842,8.440283,-28.903095,0.53102344,-25.997105,31.21165,5.3912487,15.000033,-18.464233,-8.493906,9.643058,-22.105997,15.454778,-30.974463,51.500965,7.6135583,-0.5817424,8.341997,12.249438,-15.502683,33.254112,71.79481,-7.915382,-0.7083671,-6.2229643
9,3.1683452129364014,7.281013011932373,74.99263000488281,3.6983951700345155,0.7259448920932088,-141.99257180069029,9.603329,-13.285765,-0.9359337,13.698468,-21.86233,8.133025,-28.998447,1.3487154,-24.917023,30.816027,5.725131,15.000033,-17.97674,-8.465325,9.920906,-21.72065,15.713828,-30.77667,51.813625,7.4813714,-0.650156,8.595653,11.940038,-15.514185,33.20385,71.44484,-7.9297833,-0.7868004,-6.4922028
