Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.4452071487903595,0.9230395555496216,50.50346755981445,-4.840787613210446,12.71700865065462,-90.25452730277262,-77.57737,-1.0925872,-11.192087,117.78484,-45.314957,-7.7459154,-90.04755,-9.430293,-4.096091,112.184105,-30.522314,5.5171523,0.185878,1.8066374,29.793802,-42.91193,32.21784,-22.761185,-6.9925394,8.916712,-8.839064,-3.511272,-48.078472,-43.427944,52.142708,20.617088,-10.605191,18.314611,1.2371444
1,0.3380972445011139,0.6209442615509033,50.397640228271484,-5.0942040833929125,12.56826322734443,-90.46410929257641,-77.36222,-0.78573847,-11.646012,118.62246,-45.556717,-7.9991584,-90.39375,-9.007824,-4.189873,110.05069,-30.172512,5.8295784,0.35463673,1.9378793,29.793802,-43.084602,32.313774,-22.739882,-6.5718064,8.982735,-8.908449,-3.0938246,-47.55477,-43.295437,51.285904,21.146763,-9.854692,18.434872,1.1579399
2,0.2272047996520996,0.3130727708339691,50.25638961791992,-5.3629151599062,12.421952809729643,-90.68824971959539,-77.13386,-0.45269862,-12.10725,119.43812,-45.80387,-8.260608,-90.71969,-8.596659,-4.3124313,107.85163,-29.824903,6.140423,0.538745,2.0546558,29.793802,-43.260406,32.456585,-22.739462,-6.1557775,9.029016,-8.971456,-2.6511943,-47.017025,-43.127098,50.38483,21.69444,-9.100044,18.555534,1.0935777
3,0.11214867979288101,-0.0007073329179547727,50.07678985595703,-5.594958943396374,12.275655448564919,-90.88166309385039,-76.91668,-0.16408357,-12.528494,120.286644,-46.05916,-8.509563,-91.03913,-8.189489,-4.3664613,105.75539,-29.509499,6.4277124,0.6678312,2.1241395,29.793802,-43.42015,32.626274,-22.727667,-5.7515507,9.086667,-9.036802,-2.2240899,-46.527264,-42.930515,49.541714,22.221685,-8.383222,18.663765,1.0097312
4,0.0040282453410327435,-0.32337045669555664,49.85287857055664,-5.7420251536519515,12.122157970501798,-90.99857858581716,-76.730125,0.012130886,-12.864805,121.22295,-46.31984,-8.721479,-91.361206,-7.7823515,-4.260552,103.9342,-29.253685,6.6638255,0.706618,2.1321023,29.793802,-43.51648,32.81042,-22.694378,-5.4219275,9.175729,-9.109062,-1.848645,-46.100918,-42.7197,48.803993,22.69691,-7.76969,18.745562,0.8772682
5,-0.09729738533496857,-0.6515084505081177,49.57896041870117,-5.793262867600535,11.971396771894481,-91.03115687070203,-76.59259,0.055479947,-13.11033,122.26618,-46.588383,-8.887431,-91.687584,-7.3261876,-3.9248028,102.33733,-29.193073,6.859068,0.6448409,2.065316,29.793802,-43.574867,32.992718,-22.645151,-5.1334248,9.304644,-9.1886635,-1.552116,-45.751755,-42.508812,48.18242,23.098278,-7.3109546,18.796316,0.6941822
6,-0.19015730917453766,-0.9852624535560608,49.26014709472656,-5.776588596074137,11.818520365344671,-91.0017687930729,-76.48027,0.0018684764,-13.291811,123.387596,-46.871937,-9.021954,-92.008064,-6.8388157,-3.4236467,100.9078,-29.27116,7.021231,0.52497196,1.9623222,29.793802,-43.581997,33.1738,-22.582613,-4.910724,9.454584,-9.272714,-1.3151473,-45.44854,-42.31,47.63669,23.453583,-6.961743,18.825157,0.473137
7,-0.2711581885814667,-1.3261058330535889,48.90037536621094,-5.693935044338149,11.65458701556909,-90.912315039746,-76.37699,-0.13303463,-13.400286,124.568504,-47.15827,-9.129383,-92.34886,-6.4111605,-2.8618267,99.816986,-29.206457,7.123877,0.31969234,1.8008713,29.793802,-43.598724,33.33867,-22.510096,-4.6762466,9.648229,-9.366329,-1.087609,-45.180214,-42.11913,47.18446,23.73481,-6.6240454,18.834791,0.21301134
8,-0.3428865075111389,-1.6649467945098877,48.50159454345703,-5.552676356279076,11.456392104533034,-90.7635360164956,-76.248795,-0.33367184,-13.437194,125.79301,-47.446247,-9.219352,-92.72442,-6.127292,-2.3496563,99.23682,-28.723225,7.153084,0.046072986,1.6119452,29.793802,-43.58477,33.495636,-22.419342,-4.4924045,9.874608,-9.470706,-0.82974076,-44.929615,-41.934143,46.827312,23.97457,-6.206303,18.82825,-0.09082235
9,-0.4069220721721649,-2.002244472503662,48.065284729003906,-5.326438959508717,11.219222068486646,-90.53654261160263,-76.09023,-0.6197542,-13.360275,127.056786,-47.731243,-9.281358,-93.161575,-6.0243573,-1.9127122,99.24856,-27.416985,7.1069145,-0.34130737,1.3663116,29.793802,-43.519615,33.647827,-22.3148,-4.3474646,10.143231,-9.573588,-0.4965484,-44.717896,-41.74832,46.58849,24.16705,-5.6146555,18.790161,-0.46903145
10,-0.47152653336524963,-2.3564493656158447,47.6031494140625,-5.02298828234994,10.95085250745436,-90.23803122362429,-75.9119,-0.9917577,-13.190539,128.37071,-48.023552,-9.317255,-93.65097,-6.046258,-1.4971901,99.74824,-25.540752,7.0013804,-0.83041525,1.0673174,29.793802,-43.40948,33.796436,-22.192629,-4.2413945,10.450974,-9.67695,-0.12235626,-44.547028,-41.55851,46.45776,24.314955,-4.9264526,18.721647,-0.9090185
11,-0.5271216630935669,-2.710942506790161,47.12353515625,-4.6960603685481095,10.656805566373253,-89.90758474232977,-75.723526,-1.4012082,-13.009034,129.7377,-48.32346,-9.3421755,-94.165276,-6.1411657,-1.0950259,100.62714,-23.795181,6.8380866,-1.3512903,0.75409764,29.793802,-43.30625,33.94339,-22.034782,-4.17382,10.786986,-9.805635,0.22143237,-44.392937,-41.36728,46.414074,24.4278,-4.287365,18.651518,-1.3483722
12,-0.5849043130874634,-3.0580294132232666,46.625431060791016,-4.397913919794734,10.344202787981867,-89.58369015567523,-75.52982,-1.8024981,-12.894169,131.1632,-48.639854,-9.376965,-94.67153,-6.2548037,-0.6909584,101.782326,-22.893269,6.6260414,-1.8318276,0.46781415,29.793802,-43.262405,34.089737,-21.825596,-4.1448236,11.139686,-9.985288,0.46375206,-44.216858,-41.179913,46.424133,24.506395,-3.849758,18.612362,-1.7258569
