Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.2280951887369156,-2.7597451210021973,78.01618957519531,-0.27233909412150115,-5.522351473625821,83.76035832403997,8.566485,5.3772826,15.365992,7.102557,-9.987089,-6.232611,3.0838149,-5.705273,-6.650764,9.706765,-8.234321,5.2235,-0.15944338,-2.8273654,6.6449666,-16.023735,19.268234,0.7829246,58.5312,-7.036861,1.0439192,-7.3514023,-23.260809,-17.382704,12.371685,57.5867,16.121716,10.286809,-1.409585
1,-0.225818932056427,-2.770792245864868,78.01689147949219,-0.2684573005954904,-5.520218280296569,83.762366149598,8.551527,5.375686,15.362941,7.106531,-9.977204,-6.229452,3.0698693,-5.707327,-6.649433,9.710062,-8.226842,5.2209854,-0.15819806,-2.808734,6.655496,-16.025854,19.276949,0.7628155,58.53273,-7.0763516,1.0498306,-7.3518333,-23.264559,-17.381292,12.378333,57.58041,16.10331,10.30131,-1.4510325
2,-0.22398917376995087,-2.7824807167053223,78.01741027832031,-0.26521010015994756,-5.517798299514229,83.76401673010649,8.537972,5.373517,15.360561,7.1067686,-9.965083,-6.2261357,3.0550952,-5.7093062,-6.647484,9.713797,-8.21936,5.2185407,-0.15298305,-2.7907665,6.662397,-16.033321,19.287735,0.7312113,58.541733,-7.123645,1.0561081,-7.3494506,-23.267136,-17.379766,12.38565,57.578014,16.08625,10.316966,-1.4956917
3,-0.22470273077487946,-2.7933709621429443,78.01818084716797,-0.26183014009372646,-5.515918049579686,83.76631996149484,8.522875,5.37202,15.357372,7.1118045,-9.956036,-6.2231927,3.0417435,-5.7112865,-6.6466904,9.716911,-8.212134,5.215934,-0.14647071,-2.7753463,6.6697035,-16.045021,19.301134,0.69848174,58.55548,-7.167223,1.0603462,-7.348604,-23.266981,-17.378136,12.389583,57.573853,16.071993,10.328754,-1.5357175
4,-0.22357869148254395,-2.804009199142456,78.01876831054688,-0.25952223890029347,-5.515598039024502,83.77017518184255,8.510335,5.370393,15.35321,7.113996,-9.946106,-6.2210793,3.0309157,-5.71345,-6.6483865,9.719765,-8.205342,5.21308,-0.14175501,-2.7617333,6.679622,-16.06143,19.315752,0.6755103,58.57628,-7.1969724,1.0592873,-7.353338,-23.260448,-17.375265,12.384786,57.561485,16.058739,10.331918,-1.563943
5,-0.2228354513645172,-2.8148162364959717,78.0185546875,-0.2569915801076028,-5.517255483217956,83.77661920011981,8.500421,5.3692336,15.347127,7.114636,-9.936782,-6.2214932,3.0227463,-5.7158704,-6.6542096,9.72401,-8.200106,5.2094626,-0.14601368,-2.7424097,6.6916237,-16.067045,19.31861,0.67582375,58.593197,-7.201597,1.0500572,-7.3618703,-23.258587,-17.374207,12.381993,57.55137,16.050432,10.31949,-1.5795916
6,-0.22314150631427765,-2.82513427734375,78.01966857910156,-0.2561450607936007,-5.520308439269534,83.78546302925294,8.490627,5.3684483,15.339243,7.117308,-9.929628,-6.223575,3.0163918,-5.7187333,-6.6632986,9.7294445,-8.196277,5.2053485,-0.15279363,-2.7244713,6.704664,-16.088314,19.320608,0.6840701,58.633816,-7.1934447,1.0308747,-7.377094,-23.24922,-17.37274,12.373139,57.532764,16.042345,10.296184,-1.5863568
7,-0.22176703810691833,-2.8379340171813965,78.0194320678711,-0.2546579405844264,-5.523977715189653,83.79371918177878,8.4828415,5.367232,15.331868,7.117635,-9.920914,-6.2242575,3.0113285,-5.721633,-6.672195,9.733887,-8.192224,5.2017484,-0.15976477,-2.7068448,6.7200255,-16.10875,19.322187,0.6989308,58.669086,-7.176546,1.0135717,-7.392321,-23.240051,-17.370392,12.359496,57.51406,16.03605,10.272862,-1.5862038
8,-0.22076202929019928,-2.8476686477661133,78.0203857421875,-0.25149321920925843,-5.52736036499597,83.79872252559592,8.47407,5.3653193,15.326833,7.1216984,-9.913177,-6.220349,3.0056827,-5.7251616,-6.677234,9.737451,-8.187259,5.19988,-0.16340306,-2.6872768,6.731202,-16.113691,19.322443,0.7027616,58.680855,-7.1692896,1.0062851,-7.3987203,-23.2378,-17.36969,12.355955,57.507473,16.044502,10.260578,-1.5854572
9,-0.2184353768825531,-2.8576648235321045,78.02165222167969,-0.24665351704636349,-5.529965195950184,83.8001345367029,8.463238,5.361868,15.324046,7.1305914,-9.905564,-6.2087536,2.9983544,-5.729724,-6.677776,9.7411585,-8.181881,5.200921,-0.16457331,-2.667643,6.7436147,-16.120378,19.32277,0.7072457,58.6834,-7.1627164,1.0064256,-7.3996625,-23.237226,-17.36842,12.350776,57.5047,16.063114,10.259491,-1.5820476
10,-0.21600550413131714,-2.867884635925293,78.02355194091797,-0.2392938454585707,-5.532242134089485,83.79848608280452,8.452356,5.3571,15.3233185,7.140758,-9.897354,-6.191863,2.9887638,-5.7356024,-6.6747684,9.747628,-8.177508,5.2040668,-0.16192104,-2.6490536,6.757916,-16.126793,19.323635,0.7084336,58.67381,-7.1565256,1.0150993,-7.3950667,-23.24187,-17.36537,12.343287,57.506325,16.091198,10.268004,-1.5740641
11,-0.21310201287269592,-2.878009557723999,78.02354431152344,-0.23270087731080713,-5.534432714093791,83.79659313239048,8.441023,5.352691,15.322899,7.152643,-9.890107,-6.174758,2.9801044,-5.7411666,-6.671354,9.752082,-8.172459,5.207139,-0.15810329,-2.629944,6.768673,-16.126259,19.324291,0.7034837,58.655804,-7.1536107,1.0264252,-7.3874364,-23.247946,-17.363653,12.341368,57.515846,16.121033,10.280106,-1.565671
