Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-3.138148307800293,0.6367541551589966,75.6205062866211,-4.07500019559393,-20.865423173453628,0.4123453992678734,13.024567,16.26703,7.1469812,31.37286,-23.35011,-10.913618,15.853786,-4.9993634,-16.094004,25.596474,-19.035614,6.079602,-2.4277115,-0.95510083,11.829159,-12.575034,24.142094,-8.8782015,56.471966,-15.9601145,5.8768773,-9.701719,-12.59249,-17.299723,6.3285546,59.518578,12.383705,-1.7268327,-1.6142446
1,-3.116131067276001,0.6582819819450378,75.614013671875,-4.118272487005491,-20.867154376966344,0.4297907623386612,12.9852,16.296217,7.114737,31.488379,-23.42706,-10.869591,15.872469,-4.980528,-16.11568,25.59952,-19.031784,6.097367,-2.400974,-1.0216666,11.80349,-12.573511,24.156107,-8.885126,56.389664,-15.949291,5.916125,-9.705338,-12.570988,-17.294819,6.3520617,59.592945,12.418377,-1.7941628,-1.5828818
2,-3.094590187072754,0.6864689588546753,75.6087417602539,-4.161050000330666,-20.8688712616064,0.44819175225710123,12.943362,16.32438,7.0802474,31.605757,-23.503633,-10.823581,15.889914,-4.96303,-16.13939,25.604181,-19.027464,6.1149173,-2.3741076,-1.0878708,11.77659,-12.578678,24.166845,-8.893837,56.316223,-15.940566,5.9534116,-9.712162,-12.547219,-17.29278,6.375341,59.666862,12.453237,-1.8645686,-1.548438
3,-3.0799560546875,0.709815263748169,75.60160064697266,-4.2050706228487496,-20.871578510900367,0.4646951524615954,12.906176,16.354912,7.049912,31.719858,-23.581156,-10.781439,15.910268,-4.942422,-16.158978,25.604641,-19.023537,6.1328096,-2.3498173,-1.1555634,11.749137,-12.576737,24.188072,-8.904119,56.236183,-15.935213,5.993761,-9.715299,-12.5265465,-17.289885,6.409766,59.74103,12.497704,-1.9282067,-1.5195547
4,-3.066880226135254,0.7332033514976501,75.59379577636719,-4.252573752059404,-20.8774360188934,0.4766564912162233,12.880264,16.391489,7.029868,31.82658,-23.662003,-10.748919,15.938801,-4.9134254,-16.168629,25.591661,-19.019138,6.1515365,-2.317354,-1.2154634,11.728088,-12.576891,24.203545,-8.913309,56.151356,-15.912887,6.039266,-9.703186,-12.504448,-17.287867,6.4324956,59.805386,12.539043,-1.9743098,-1.5024623
5,-3.0516562461853027,0.7553333640098572,75.58248901367188,-4.306104379342279,-20.89049231165526,0.48345604822196564,12.871972,16.43798,7.024563,31.920918,-23.74793,-10.734062,15.981021,-4.871297,-16.16463,25.558554,-19.016243,6.172157,-2.2756217,-1.2636105,11.714852,-12.581348,24.210974,-8.921828,56.062767,-15.870378,6.0916348,-9.665348,-12.482877,-17.286667,6.444706,59.85868,12.569885,-1.9935861,-1.504975
6,-3.0332274436950684,0.7776913642883301,75.57196044921875,-4.364073356946459,-20.907541372630245,0.4867944680958748,12.875858,16.49175,7.0296025,32.00668,-23.837616,-10.73169,16.033018,-4.8194847,-16.150967,25.51086,-19.014235,6.194051,-2.229221,-1.3046829,11.704756,-12.584432,24.21574,-8.932977,55.969013,-15.82002,6.1494637,-9.609192,-12.459802,-17.285372,6.4559336,59.903366,12.599685,-1.9939964,-1.5222929
7,-3.0147480964660645,0.8032477498054504,75.56098937988281,-4.422126457362804,-20.92460942976029,0.4866356256779182,12.8820915,16.546282,7.0385065,32.09133,-23.926783,-10.727633,16.08573,-4.7662663,-16.132904,25.459257,-19.008883,6.2152514,-2.1782768,-1.3476739,11.690951,-12.584153,24.225967,-8.956038,55.872883,-15.770848,6.2101364,-9.550034,-12.433377,-17.281408,6.4707947,59.94766,12.647325,-1.9916162,-1.5451458
8,-2.9981789588928223,0.8341888189315796,75.55189514160156,-4.475046315576906,-20.937768619740098,0.48256228519280636,12.880827,16.593422,7.045296,32.1827,-24.011494,-10.707284,16.128178,-4.7212696,-16.11471,25.418455,-18.997976,6.2340093,-2.12719,-1.3927685,11.677155,-12.592365,24.230495,-8.97049,55.78844,-15.709867,6.2677627,-9.51159,-12.416678,-17.279528,6.4785366,60.005005,12.719767,-2.0013287,-1.5551137
9,-2.9755661487579346,0.864454448223114,75.54798889160156,-4.521182406162078,-20.94295186717519,0.47400132980863635,12.863553,16.631834,7.047351,32.288475,-24.090193,-10.658889,16.153687,-4.686782,-16.098005,25.393744,-18.977468,6.245891,-2.075374,-1.4435745,11.65589,-12.603203,24.234894,-8.989278,55.713543,-15.642623,6.3224783,-9.501577,-12.405401,-17.278551,6.4882708,60.07678,12.85406,-2.0292962,-1.5520445
