Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,2.5716190338134766,-0.8880584239959717,78.47730255126953,-0.8432361203710387,-5.994835979777814,168.38343463114467,7.109628,11.82482,16.263985,8.855174,-7.279868,-11.432988,0.69897145,0.007751202,0.7217222,12.01921,-8.538398,0.6306337,-3.93327,5.1380773,1.3262008,16.686255,10.787753,-24.653772,56.435013,20.599812,6.769439,-4.784247,2.313284,-7.6269603,70.654594,77.314766,-28.706154,12.126822,19.206034
1,2.573166847229004,-0.9073283672332764,78.47307586669922,-0.7792988191685244,-5.960309816392687,168.33313607604126,7.0271664,11.732043,16.286253,8.95222,-7.3571496,-11.242604,0.48316938,-0.072951004,0.7972856,12.345237,-8.687733,0.66941166,-3.9306848,5.1164403,1.3464504,16.679089,10.806913,-24.65747,56.423252,20.881033,6.80768,-4.855888,2.2294846,-7.5715723,70.664055,77.4055,-28.718103,12.135458,19.174133
2,2.581446409225464,-0.9405455589294434,78.46365356445312,-0.7412459892360059,-5.920551372566541,168.2987228319692,6.800796,11.709699,16.262526,9.342465,-7.588707,-11.0706835,0.29281607,-0.12830332,0.852285,12.612614,-8.811127,0.70501983,-3.9395094,5.1205397,1.3598771,16.6731,10.819979,-24.656445,56.41266,21.161709,6.847975,-4.930648,2.1553931,-7.534606,70.673485,77.475296,-28.729532,12.143988,19.14624
3,2.596256732940674,-0.9785627126693726,78.45154571533203,-0.6915151642824999,-5.880348982267488,168.2467198323991,6.570366,11.675037,16.253967,9.747769,-7.828307,-10.868058,0.06944,-0.19365884,0.92668813,12.936118,-8.957394,0.7428571,-3.9400306,5.1234803,1.3806214,16.654259,10.824638,-24.66424,56.414032,21.447716,6.8832636,-4.9960856,2.077341,-7.524082,70.68436,77.52306,-28.743958,12.155382,19.115599
4,2.616013526916504,-1.0222394466400146,78.43704986572266,-0.6136679058921325,-5.837339909277422,168.15223583912686,6.306851,11.616354,16.278343,10.2351465,-8.110346,-10.589837,-0.24051842,-0.2824642,1.0480889,13.405414,-9.163228,0.78591317,-3.9244032,5.113067,1.4191827,16.6165,10.828769,-24.686157,56.428204,21.747972,6.905881,-5.0427914,1.9715893,-7.5184402,70.70699,77.57595,-28.759125,12.171353,19.073261
5,2.635687828063965,-1.074872612953186,78.419677734375,-0.5105554000476233,-5.786416017557868,168.0166914980515,5.983383,11.541071,16.324184,10.848141,-8.454077,-10.219508,-0.6462278,-0.39196154,1.2131988,14.027228,-9.432879,0.83383197,-3.8973591,5.0937223,1.4725239,16.557947,10.833288,-24.7306,56.45891,22.072903,6.911813,-5.0601745,1.8346237,-7.516411,70.74518,77.63553,-28.800854,12.181321,19.043034
6,2.659723997116089,-1.1305056810379028,78.39618682861328,-0.3909298021997794,-5.728610206772541,167.85188347716297,5.621259,11.455398,16.38532,11.541957,-8.841826,-9.781827,-1.1205109,-0.5135777,1.410041,14.755924,-9.746531,0.88540226,-3.8568292,5.0713587,1.5296086,16.483475,10.841718,-24.815351,56.504383,22.396132,6.90877,-5.0513654,1.6815331,-7.5197697,70.80563,77.69724,-28.844238,12.18895,19.01793
7,2.688746213912964,-1.191902995109558,78.36788940429688,-0.24777016569664104,-5.675852424283298,167.6473761759368,5.2570696,11.351194,16.485567,12.277444,-9.258929,-9.294045,-1.6512609,-0.6503997,1.653341,15.589916,-10.099853,0.94276136,-3.7956235,5.0365977,1.6101385,16.395588,10.849777,-24.902859,56.552406,22.719318,6.899653,-5.0395813,1.5076194,-7.530662,70.86567,77.7606,-28.860437,12.214191,18.950674
8,2.721607208251953,-1.2645907402038574,78.33184814453125,-0.07541212407638562,-5.635286274435806,167.39404191293568,4.9158845,11.223401,16.645844,13.026151,-9.695901,-8.77444,-2.2306535,-0.80371296,1.9560283,16.52595,-10.487039,1.0079266,-3.704342,4.9844594,1.7184665,16.299515,10.860138,-24.995485,56.5933,23.007442,6.893107,-5.0370383,1.3181407,-7.554301,70.93429,77.82238,-28.785452,12.281014,18.78879
9,2.7564330101013184,-1.347122073173523,78.28805541992188,0.1258234040706329,-5.603630680288991,167.0852115951565,4.5784454,11.077441,16.87025,13.825239,-10.172316,-8.204883,-2.8750992,-0.96975905,2.324456,17.588974,-10.916613,1.0805991,-3.5814629,4.9202394,1.8580638,16.192003,10.870369,-25.079582,56.62693,23.27045,6.8841023,-5.0514383,1.1053802,-7.5847316,71.002,77.89324,-28.579355,12.419383,18.490145
10,2.7907891273498535,-1.4369779825210571,78.23986053466797,0.3522337949928266,-5.577810861408378,166.7276460551974,4.238649,10.916018,17.146513,14.676259,-10.686309,-7.582877,-3.5801857,-1.1443704,2.7504132,18.766575,-11.385437,1.1610134,-3.430639,4.8467784,2.0219884,16.076351,10.884487,-25.17177,56.654247,23.508892,6.8723817,-5.0717626,0.8783139,-7.6367984,71.07429,77.95405,-28.276508,12.608752,18.090586
11,2.8249566555023193,-1.5325180292129517,78.1851577758789,0.6057524704937641,-5.566465494742903,166.33163933560138,3.9424396,10.725768,17.471245,15.497015,-11.194867,-6.953268,-4.3096337,-1.3309397,3.2260346,20.010242,-11.877697,1.2523974,-3.262933,4.748853,2.2195346,15.957633,10.903723,-25.259249,56.668648,23.721056,6.8647814,-5.0965977,0.6385199,-7.7206616,71.17207,77.98367,-27.947165,12.792733,17.661882
12,2.8614661693573,-1.6348520517349243,78.12144470214844,0.8907572161851887,-5.577694138811327,165.90712599961213,3.7359092,10.491195,17.843372,16.205938,-11.655391,-6.359536,-5.029081,-1.535584,3.7443705,21.274546,-12.37579,1.3579478,-3.0940213,4.6119046,2.4550233,15.84008,10.922755,-25.328169,56.673218,23.903053,6.867329,-5.123191,0.38040817,-7.812646,71.31995,78.00553,-27.662954,12.911063,17.273237
13,2.904634475708008,-1.7482538223266602,78.0526123046875,1.2083619820632365,-5.620505783042684,165.44343268812602,3.6338022,10.2133,18.272112,16.800173,-12.066171,-5.8053093,-5.72833,-1.752417,4.314118,22.560379,-12.87989,1.4793313,-2.9254205,4.4330726,2.7482321,15.742547,10.948915,-25.359148,56.63943,24.055973,6.889317,-5.1556993,0.11679304,-7.9699883,71.55665,77.948044,-27.445854,12.949359,16.928648
14,2.9409992694854736,-1.8668737411499023,77.97779083251953,1.5571337170844786,-5.6866266209951535,164.93922233791125,3.6055782,9.898123,18.753923,17.324183,-12.44808,-5.2704988,-6.4280305,-1.9786628,4.9355564,23.891272,-13.397934,1.6153812,-2.7448595,4.2222524,3.08677,15.64593,10.972507,-25.368954,56.593193,24.182585,6.9250784,-5.1916394,-0.16010846,-8.147091,71.84996,77.86956,-27.261387,12.937079,16.593796
15,2.971289873123169,-1.9858349561691284,77.90129089355469,1.93783494059058,-5.758347292265891,164.41876723283067,3.6344562,9.533705,19.270054,17.754093,-12.791873,-4.763241,-7.1308355,-2.2273653,5.588972,25.23585,-13.922341,1.7659389,-2.5733604,3.9752562,3.4404643,15.54717,10.996462,-25.373966,56.54759,24.276112,6.958389,-5.22595,-0.45182973,-8.336938,72.168724,77.78393,-27.078762,12.893833,16.294632
16,2.9914066791534424,-2.1106343269348145,77.82083892822266,2.3506569131617314,-5.818279668420788,163.90654756976141,3.6962574,9.111408,19.800188,18.082386,-13.091319,-4.29167,-7.839344,-2.5104623,6.2544436,26.563873,-14.445813,1.9316307,-2.4298801,3.6869807,3.7800753,15.443791,11.026827,-25.391987,56.513004,24.330288,6.97245,-5.254339,-0.75816834,-8.539003,72.47574,77.69591,-26.87,12.839538,16.057533
17,3.011727809906006,-2.240412712097168,77.73550415039062,2.8107247587011708,-5.8692266372180075,163.39749769734095,3.815223,8.605103,20.357769,18.266378,-13.328646,-3.8640249,-8.547699,-2.8419743,6.9417233,27.876743,-14.980322,2.1188912,-2.3130085,3.3388379,4.1073847,15.344127,11.0679,-25.417145,56.479008,24.32402,6.959912,-5.278813,-1.0830487,-8.754421,72.73993,77.60985,-26.632391,12.754866,15.9005
18,3.029994249343872,-2.375950336456299,77.6491928100586,3.313137434111628,-5.916544155578485,162.88260332398335,3.9925075,8.024277,20.945578,18.321285,-13.510141,-3.4748847,-9.25225,-3.209174,7.6555977,29.183249,-15.524599,2.32797,-2.2119572,2.9370983,4.4352875,15.249156,11.121401,-25.44552,56.4391,24.26622,6.9304523,-5.3015633,-1.4245402,-8.983778,72.98445,77.51759,-26.381584,12.63815,15.806428
19,3.0461995601654053,-2.510972738265991,77.55907440185547,3.8281553964856547,-5.947760030296039,162.3799779625926,4.172415,7.4145455,21.530182,18.32244,-13.665621,-3.1097798,-9.956877,-3.5863643,8.36951,30.459988,-16.050266,2.5506477,-2.1304963,2.5123649,4.7508345,15.143338,11.189125,-25.500332,56.410995,24.1931,6.893759,-5.318665,-1.775889,-9.224983,73.25953,77.41226,-26.110394,12.5345125,15.747355
20,3.0567216873168945,-2.651930093765259,77.46580505371094,4.326772902578069,-5.951392057311452,161.90777227136044,4.300049,6.820921,22.078913,18.34524,-13.824599,-2.7562997,-10.673756,-3.9488506,9.057788,31.700077,-16.531633,2.7780833,-2.0734055,2.0943446,5.0405674,15.010812,11.272807,-25.60433,56.413074,24.1409,6.859026,-5.3258605,-2.1300924,-9.473893,73.61372,77.2895,-25.813272,12.489093,15.694865
21,3.0656137466430664,-2.7971818447113037,77.37329864501953,4.819136054753018,-5.9171343895603465,161.47235158319629,4.36204,6.226176,22.587063,18.383427,-13.987319,-2.3868258,-11.409081,-4.3126135,9.724974,32.891056,-16.974941,3.0176365,-2.0452416,1.6722687,5.287859,14.847923,11.373923,-25.78371,56.45749,24.113388,6.8220086,-5.3086824,-2.4864376,-9.725948,74.112236,77.15541,-25.464626,12.521786,15.6485
22,3.07344651222229,-2.933238983154297,77.28240203857422,5.314417426543881,-5.854015331024832,161.06390609264903,4.3881173,5.6159196,23.071724,18.404037,-14.139516,-2.0164611,-12.155138,-4.683799,10.381412,34.04334,-17.391226,3.2720177,-2.0448225,1.2347646,5.503491,14.664817,11.492092,-26.017403,56.53015,24.093441,6.779736,-5.2742257,-2.8495057,-9.978842,74.71403,77.01653,-25.075256,12.605884,15.619807
23,3.0811028480529785,-3.073714017868042,77.18962097167969,5.782196785517903,-5.7809805682989825,160.67684238904673,4.384902,5.0431256,23.535223,18.452608,-14.293698,-1.6947455,-12.899433,-5.025673,11.0099745,35.173595,-17.760624,3.5256326,-2.0650046,0.8110862,5.7155256,14.464573,11.625744,-26.260214,56.61152,24.086006,6.7439294,-5.2507954,-3.2201667,-10.231423,75.30907,76.86469,-24.689068,12.716606,15.59765
24,3.0883986949920654,-3.2106828689575195,77.09696197509766,6.192944468723785,-5.716719537988742,160.30498261950922,4.3582187,4.5596323,23.980867,18.57457,-14.461031,-1.4710418,-13.629652,-5.3020105,11.593378,36.29714,-18.062105,3.7633479,-2.0965383,0.43018815,5.952098,14.248835,11.77308,-26.469057,56.683094,24.095531,6.7264757,-5.266326,-3.6016705,-10.484614,75.78967,76.694534,-24.346136,12.828603,15.571386
25,3.099120616912842,-3.3456509113311768,77.0023422241211,6.541137650326697,-5.664559376355165,159.94708735491594,4.311505,4.174143,24.4145,18.767649,-14.635143,-1.3817064,-14.3387165,-5.5059776,12.123424,37.40557,-18.300718,3.978252,-2.138425,0.09404716,6.2154255,14.013594,11.935227,-26.642239,56.750614,24.142548,6.7368865,-5.3443217,-3.9959989,-10.739126,76.14862,76.49898,-24.065107,12.953631,15.545489
26,3.108597993850708,-3.479011058807373,76.91065979003906,6.843277398267353,-5.616059146195948,159.6056298449772,4.2372518,3.8602946,24.835508,19.018993,-14.814651,-1.3931704,-15.036444,-5.658722,12.6104765,38.49825,-18.48524,4.1809626,-2.1926262,-0.21214251,6.4920454,13.758356,12.113101,-26.802126,56.82082,24.217543,6.7665973,-5.4644804,-4.4013457,-10.9950075,76.43239,76.28239,-23.82349,13.09909,15.523303
27,3.117067337036133,-3.6169064044952393,76.81855773925781,7.103022504557209,-5.573043835654071,159.28031630231172,4.1310425,3.6136436,25.238646,19.343441,-15.015966,-1.4499179,-15.736198,-5.763246,13.064559,39.60271,-18.600653,4.3848042,-2.2550623,-0.48408905,6.786361,13.490166,12.303702,-26.941446,56.878902,24.280226,6.80079,-5.589239,-4.8154244,-11.254175,76.61531,76.05861,-23.599691,13.232927,15.493148
28,3.131868362426758,-3.745323896408081,76.7310791015625,7.323498450269961,-5.5371229279641225,158.97072316497625,3.9879448,3.4316854,25.617626,19.759552,-15.256815,-1.4964826,-16.450842,-5.824441,13.49568,40.74689,-18.63292,4.605946,-2.3211567,-0.7161554,7.102653,13.21323,12.502157,-27.05479,56.913277,24.28939,6.8250713,-5.6800833,-5.2341356,-11.520072,76.66652,75.83953,-23.377192,13.323563,15.444191
29,3.1454172134399414,-3.877627372741699,76.6392593383789,7.496708830742286,-5.5109481747978615,158.67146934309915,3.8025026,3.3325098,25.976315,20.295116,-15.547017,-1.5378245,-17.180244,-5.8207703,13.905864,41.93987,-18.585089,4.8162456,-2.3852828,-0.89597243,7.442592,12.918765,12.7052555,-27.152142,56.940037,24.232002,6.833363,-5.727339,-5.655368,-11.796398,76.585594,75.62384,-23.139559,13.362205,15.365218
30,3.1664445400238037,-4.015166282653809,76.55113220214844,7.623391231067446,-5.493956973318962,158.38430953513375,3.5813193,3.30999,26.317434,20.928997,-15.873756,-1.5985994,-17.917576,-5.754076,14.2878895,43.164295,-18.462446,5.0260825,-2.4511793,-1.0280982,7.8034916,12.6047735,12.912418,-27.234276,56.9639,24.130829,6.8344736,-5.7504277,-6.0818787,-12.085866,76.387314,75.404884,-22.898666,13.365543,15.265838
31,3.1836743354797363,-4.148773670196533,76.4672622680664,7.720300000306294,-5.482259654096391,158.11953685607315,3.335593,3.328191,26.632215,21.611773,-16.222898,-1.6517255,-18.664808,-5.659601,14.638242,44.40719,-18.257421,5.3109827,-2.5290112,-1.1321177,8.183236,12.285583,13.122419,-27.28084,56.9551,23.99904,6.835901,-5.7549543,-6.5153213,-12.3898,76.05928,75.18331,-22.684845,13.340574,15.166878
32,3.200228452682495,-4.286298751831055,76.37872314453125,7.803303485786681,-5.471798079074035,157.8876097497186,3.0782778,3.3519473,26.911333,22.29143,-16.578693,-1.6688924,-19.423698,-5.5746684,14.955641,45.65618,-17.966394,5.745911,-2.6283422,-1.2271333,8.579662,11.97578,13.333922,-27.271622,56.88418,23.850233,6.84515,-5.7466097,-6.95852,-12.708398,75.59447,74.95947,-22.520992,13.294289,15.08893
33,3.2225608825683594,-4.423066139221191,76.29167938232422,7.86913802844811,-5.457979872210116,157.69548617360962,2.798529,3.384062,27.146622,22.974005,-16.946604,-1.6291691,-20.234295,-5.455278,15.297495,46.988644,-17.575867,6.2368083,-2.757749,-1.3098853,8.995449,11.673834,13.544835,-27.189661,56.741886,23.68307,6.8698344,-5.7301636,-7.4158134,-13.043194,74.96133,74.73752,-22.429083,13.214523,15.04765
34,3.2463557720184326,-4.566483020782471,76.20478057861328,7.910043571013756,-5.444687378628408,157.53641407781564,2.495792,3.4421015,27.343851,23.680323,-17.331102,-1.5516523,-21.079485,-5.292707,15.645623,48.380802,-17.09806,6.795634,-2.9107337,-1.3714249,9.4304495,11.3727,13.754808,-27.049606,56.54641,23.49227,6.903973,-5.701172,-7.8834934,-13.396447,74.17662,74.51728,-22.388288,13.102065,15.028894
35,3.2702536582946777,-4.698381423950195,76.12478637695312,7.935932897247209,-5.439517700548635,157.39886678429198,2.1971302,3.5136533,27.513693,24.3832,-17.716017,-1.4666262,-21.884003,-5.1726413,15.889523,49.683895,-16.583569,7.641986,-3.0742354,-1.4221107,9.878114,11.079216,13.966133,-26.877487,56.30742,23.28474,6.9349337,-5.6518135,-8.348178,-13.76686,73.29207,74.28992,-22.37264,12.984638,15.008209
36,3.294857978820801,-4.829005718231201,76.04443359375,7.957900342499029,-5.449359763809814,157.27163434772592,1.9270092,3.585702,27.66816,25.05973,-18.087933,-1.4043195,-22.581623,-5.187769,15.924717,50.763084,-16.09279,8.979093,-3.235136,-1.4739306,10.33152,10.803284,14.18242,-26.697308,56.030914,23.068382,6.9501715,-5.574615,-8.799961,-14.151,72.36947,74.05242,-22.345785,12.888852,14.960875
37,3.3108086585998535,-4.962486267089844,75.96248626708984,7.988398867410529,-5.483111289210777,157.16308645702733,1.7048942,3.6341586,27.802263,25.681118,-18.436457,-1.3681426,-23.14204,-5.378912,15.7324095,51.566166,-15.610029,11.079491,-3.4015532,-1.5431274,10.795622,10.549278,14.40667,-26.503603,55.712383,22.836224,6.944003,-5.462802,-9.234185,-14.546152,71.39253,73.80934,-22.308138,12.81538,14.877061
38,3.3195536136627197,-5.071671962738037,75.87849426269531,8.018455515406247,-5.533243589074004,157.07466284377864,1.5086519,3.67532,27.913008,26.277546,-18.77396,-1.3429681,-23.622318,-5.6877894,15.3707,52.20648,-15.140781,13.742463,-3.5759206,-1.6201254,11.270899,10.314254,14.639328,-26.287022,55.346107,22.586905,6.923566,-5.322952,-9.655213,-14.951405,70.34246,73.564705,-22.271551,12.7515545,14.77052
39,3.338892698287964,-5.151495456695557,75.8005599975586,7.887069799878746,-5.589255142541572,156.9563215231648,1.2439657,3.9934168,27.999641,27.102774,-19.217747,-1.3829036,-24.046658,-5.9161906,14.500479,52.7137,-14.681967,15.000033,-3.7186801,-1.550257,11.759146,10.092082,14.870217,-26.059847,54.947166,22.338089,6.895171,-5.1655955,-10.07188,-15.35076,69.270966,73.338,-22.232527,12.70398,14.650451
40,3.3693652153015137,-5.203629970550537,75.73046875,7.470468997381058,-5.627726382775821,156.75527430757492,0.8242733,4.79729,28.074612,28.351591,-19.860481,-1.5150341,-24.444242,-5.9446635,13.141976,53.082493,-14.218287,15.000033,-3.7683907,-1.1945285,12.260247,9.884056,15.116618,-25.848783,54.50467,22.100399,6.86505,-5.006009,-10.47454,-15.773848,68.20851,73.08253,-22.19147,12.682984,14.527977
41,3.3946547508239746,-5.252888202667236,75.66051483154297,7.079883535579493,-5.639848404545579,156.54345344286327,0.4131529,5.5588093,28.15929,29.518703,-20.453487,-1.6357951,-24.881144,-6.048713,11.807886,53.46537,-13.87626,15.000033,-3.8005753,-0.8535864,12.729878,9.686521,15.368769,-25.65455,54.03244,21.868402,6.826932,-4.8330607,-10.868289,-16.199635,67.18013,72.8207,-22.154505,12.697298,14.417905
