Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,1.2820185422897339,-0.729413628578186,77.17330169677734,-4.197282198239682,7.506894160682996,175.62362905694297,-15.208267,30.905119,27.891123,43.747185,-15.641979,-10.984448,-6.996098,7.0804777,-11.996153,7.255294,-10.7960615,-3.8721912,-2.8625643,1.8918253,3.1704578,-3.549341,21.164957,-24.607847,62.73645,2.5113702,-0.0043127,-4.64241,-18.312422,-17.03048,57.203274,70.64448,7.9071856,3.084684,-1.2414688
1,1.559755802154541,-0.5648893713951111,77.17512512207031,-4.110070450334453,7.673575882330531,175.81968090040866,-14.585263,29.830229,27.522816,44.18721,-16.093407,-11.2655525,-7.4211907,7.1020107,-12.179451,7.303999,-10.627065,-4.028495,-3.1040797,1.9279567,2.9916768,-3.4701748,21.172415,-24.639263,62.61346,2.5531342,-0.016026203,-4.6613455,-18.300293,-17.04337,57.00327,71.007195,8.004449,3.1066177,-1.2401992
2,1.8180960416793823,-0.3915431797504425,77.17354583740234,-4.019956694431237,7.839106696360143,176.01244254602642,-13.963937,28.769857,27.17754,44.647232,-16.551146,-11.541945,-7.955158,7.0968947,-12.372538,7.587141,-10.581008,-4.1803613,-3.2455919,1.9436828,2.8145308,-3.4914763,21.178677,-24.79513,62.556114,2.568063,-0.029422536,-4.6790266,-18.219152,-17.119265,56.669975,71.302025,8.05744,3.134121,-1.2340422
3,2.0754001140594482,-0.2270144820213318,77.17076110839844,-3.9345305400232458,8.007294475674826,176.21048980544046,-13.35231,27.673223,26.777443,45.06837,-17.00314,-11.826033,-8.710747,7.039189,-12.598221,8.344317,-10.783616,-4.3306713,-3.4084306,1.9806335,2.6329455,-3.500032,21.17019,-24.919834,62.494793,2.5970268,-0.04089232,-4.6905007,-18.123426,-17.233839,56.371243,71.54772,8.13831,3.1569767,-1.2323236
4,2.335960626602173,-0.06760857254266739,77.16275024414062,-3.8617879513161886,8.181280758816898,176.42228622971936,-12.754785,26.491266,26.245697,45.39098,-17.43667,-12.1298275,-9.434024,6.990027,-12.834752,9.023799,-10.941566,-4.4887457,-3.5793746,2.0414817,2.4385068,-3.510052,21.14924,-25.020668,62.43759,2.652619,-0.04541852,-4.688329,-17.990627,-17.375225,56.062584,71.73154,8.239308,3.1614254,-1.2424545
5,2.5927391052246094,0.08637133985757828,77.15105438232422,-3.803959746871016,8.36809286797957,176.65649475419067,-12.18132,25.192574,25.521936,45.60195,-17.885609,-12.457654,-10.123609,6.9499264,-13.089571,9.611068,-11.050964,-4.6624975,-3.7649193,2.1300557,2.221057,-3.5238407,21.118038,-25.106,62.388073,2.7520347,-0.039932586,-4.6725593,-17.818855,-17.539198,55.74089,71.85696,8.379292,3.137019,-1.2734257
6,2.8542673587799072,0.2369833141565323,77.13702392578125,-3.7573236501643903,8.56379257510858,176.90671639501505,-11.618257,23.813555,24.663368,45.735016,-18.34577,-12.800678,-10.790477,6.915588,-13.358121,10.135781,-11.125904,-4.847019,-3.9595108,2.2402058,1.9877785,-3.5398376,21.078154,-25.177849,62.34337,2.884874,-0.02726264,-4.646843,-17.61141,-17.721298,55.39503,71.93288,8.532436,3.092751,-1.3191134
7,3.110504388809204,0.377397745847702,77.12191009521484,-3.7182175832533573,8.755413007034338,177.15864428862002,-11.033436,22.403486,23.770086,45.79718,-18.74662,-13.151411,-11.434659,6.8855147,-13.628353,10.620781,-11.176035,-5.02864,-4.145809,2.3627417,1.7546977,-3.5620675,21.030558,-25.233606,62.30383,3.0081255,-0.011726196,-4.6082506,-17.385502,-17.918043,55.064793,71.97289,8.706454,3.0421178,-1.3635411
8,3.3672213554382324,0.5212644338607788,77.10739135742188,-3.6828459092349783,8.930101001798842,177.39796510099868,-10.399188,21.00956,22.937922,45.792408,-19.015842,-13.504168,-12.056823,6.8587675,-13.888183,11.089411,-11.211668,-5.1938205,-4.309654,2.4885824,1.5385579,-3.5927565,20.975569,-25.267445,62.268467,3.0790956,0.0021162655,-4.5538263,-17.149878,-18.124117,54.76522,71.98312,8.881145,2.999974,-1.3910987
9,3.6313693523406982,0.6579924821853638,77.09125518798828,-3.6531517003411245,9.088686898924955,177.62202982275488,-9.716977,19.63505,22.166931,45.7231,-19.105104,-13.85002,-12.657997,6.8369217,-14.140764,11.542188,-11.229242,-5.3386836,-4.448996,2.6191905,1.339353,-3.6338253,20.912916,-25.275997,62.23888,3.0816717,0.015579457,-4.480765,-16.911179,-18.335579,54.51112,71.96704,9.086669,2.9690132,-1.3940854
10,3.897235155105591,0.789474606513977,77.06978607177734,-3.630069485508297,9.236506019874648,177.83829199895865,-8.998376,18.25747,21.40891,45.58314,-19.06052,-14.19598,-13.239872,6.8199944,-14.391151,11.973228,-11.228582,-5.471284,-4.5736823,2.7571476,1.1490375,-3.6808195,20.84267,-25.259235,62.214012,3.041678,0.030009208,-4.3913655,-16.66948,-18.550001,54.297653,71.929985,9.32564,2.9411967,-1.3820904
11,4.163886070251465,0.9237399101257324,77.04438781738281,-3.6100457296383186,9.36861709937066,178.04719571621735,-8.234554,16.886051,20.685385,45.36084,-18.95115,-14.561061,-13.801332,6.8058968,-14.629487,12.391912,-11.221682,-5.5960336,-4.6862025,2.897011,0.97213894,-3.730138,20.766394,-25.22141,62.190952,2.9751472,0.041486923,-4.2901506,-16.418781,-18.763268,54.104164,71.8779,9.533472,2.9156387,-1.365905
12,4.428732872009277,1.0588089227676392,77.01898956298828,-3.5893677950074117,9.479524761303862,178.24919719131648,-7.4188776,15.530014,20.017973,45.04688,-18.847902,-14.962951,-14.34166,6.7923307,-14.845795,12.807976,-11.220483,-5.7170467,-4.7880573,3.0314102,0.81255436,-3.77707,20.686298,-25.16588,62.166084,2.9002018,0.046196405,-4.181894,-16.160757,-18.971626,53.928024,71.82345,9.66427,2.890458,-1.3563429
13,4.701087474822998,1.1811987161636353,76.99315643310547,-3.516687038188769,9.593117329111012,178.47634319706927,-6.5657163,14.079548,19.435453,44.57749,-18.726097,-15.000033,-14.953457,6.6889625,-15.047346,13.371053,-11.301674,-5.812689,-4.909741,3.1220727,0.6464788,-3.8176746,20.60242,-25.085451,62.13545,2.8108418,0.044055995,-4.062993,-15.897541,-19.172863,53.778843,71.771324,9.695582,2.8621027,-1.3623539
14,4.975667953491211,1.3013322353363037,76.96355438232422,-3.432719927149339,9.687648491769663,178.70105063148412,-5.65369,12.611024,18.900244,43.99177,-18.574747,-15.000033,-15.5618305,6.5662313,-15.22509,13.967641,-11.404451,-5.895542,-5.0262833,3.19928,0.49473628,-3.8520603,20.514507,-24.976957,62.099556,2.7042727,0.0368502,-3.9331899,-15.630064,-19.36505,53.654842,71.71887,9.654628,2.8324523,-1.3761673
15,5.256323337554932,1.4265096187591553,76.9286117553711,-3.348287814850784,9.771111902841,178.9182689307387,-4.7237916,11.166076,18.397297,43.330917,-18.409126,-15.000033,-16.156034,6.445127,-15.390051,14.551105,-11.5033045,-5.981135,-5.133173,3.2692068,0.35025218,-3.890052,20.426388,-24.863903,62.067074,2.5890872,0.023211451,-3.8002572,-15.363308,-19.54551,53.551476,71.670746,9.5856085,2.8061657,-1.3843434
16,5.540020942687988,1.5472853183746338,76.892578125,-3.2683586045522603,9.856566923726161,179.12846893208024,-3.8259747,9.776476,17.915678,42.637127,-18.242025,-15.000033,-16.739935,6.335117,-15.557821,15.095592,-11.58222,-6.0833015,-5.2303143,3.3333151,0.2013379,-3.939214,20.343412,-24.768984,62.043064,2.4748268,0.0019820333,-3.672259,-15.097195,-19.71016,53.45296,71.62666,9.523109,2.7884793,-1.3737332
