Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,1.1674139499664307,2.625843048095703,78.14877319335938,0.893238238831057,-4.745291892331475,-88.45698027798673,8.181106,0.17553452,5.714356,6.9432755,-10.656322,-3.493118,7.825664,-7.913426,-13.485993,10.917046,-14.270948,8.357971,1.6995934,-0.46065164,11.615372,-11.13418,18.363768,-63.890392,58.32538,-10.621603,4.692413,-2.80779,-5.900318,-15.007589,48.142834,48.526108,8.806527,8.172068,-2.282052
1,1.2249016761779785,2.6139400005340576,78.14334869384766,0.8968690865131166,-4.74614786410273,-88.4454517207818,8.196589,0.112278685,5.706671,6.9428515,-10.682051,-3.4588418,7.828244,-7.9835987,-13.49306,10.957471,-14.2955475,8.417628,1.7705301,-0.46564454,11.652289,-11.088258,18.378992,-63.82127,58.332912,-10.592798,4.6929445,-2.8294594,-5.900421,-15.030417,48.170998,48.539433,8.839911,8.193824,-2.2734823
2,1.2871273756027222,2.596876621246338,78.13707733154297,0.9001857093937863,-4.745518608283663,-88.43416534863138,8.209821,0.051939406,5.6987643,6.9428782,-10.707756,-3.4265504,7.835531,-8.049193,-13.501256,10.982931,-14.312814,8.476314,1.8257008,-0.4664456,11.690612,-11.0366535,18.398151,-63.7349,58.338184,-10.559239,4.6925597,-2.854428,-5.9044766,-15.06748,48.222233,48.538082,8.878622,8.219261,-2.2632346
3,1.349266767501831,2.576141834259033,78.13185119628906,0.9077947500016561,-4.747981613608668,-88.42285653677497,8.22762,-0.014797165,5.6910396,6.942298,-10.7337675,-3.3899949,7.8346057,-8.124259,-13.507384,11.03588,-14.343344,8.537098,1.8717195,-0.46701545,11.7369,-10.970423,18.429966,-63.62027,58.311493,-10.51404,4.694373,-2.8752701,-5.8924904,-15.138738,48.27858,48.50277,8.926435,8.242344,-2.2585726
4,1.4145071506500244,2.555824041366577,78.12528228759766,0.9251407002562166,-4.758183893762722,-88.41149640086657,8.255237,-0.09729855,5.683806,6.9430304,-10.762387,-3.342938,7.812036,-8.22284,-13.508256,11.160517,-14.408736,8.602943,1.9234467,-0.47659612,11.788216,-10.892742,18.456692,-63.482403,58.262226,-10.455745,4.6999817,-2.885016,-5.8671417,-15.210928,48.30967,48.477287,8.977721,8.252634,-2.266518
5,1.4844485521316528,2.5346734523773193,78.11610412597656,0.950774725992698,-4.779163479813091,-88.39717261638957,8.297372,-0.19460489,5.6740556,6.9421906,-10.79225,-3.2853692,7.776941,-8.343624,-13.509197,11.347347,-14.505987,8.673056,1.9668196,-0.49157616,11.848588,-10.789631,18.483467,-63.293056,58.17289,-10.358953,4.709657,-2.8815794,-5.8280687,-15.294889,48.33208,48.451794,9.042732,8.250884,-2.2917588
6,1.5536596775054932,2.51228666305542,78.1052474975586,0.9848241559561514,-4.807674849762083,-88.38086701564531,8.349202,-0.30335042,5.6627235,6.942016,-10.824258,-3.2199545,7.7318625,-8.481177,-13.509832,11.581672,-14.627795,8.746332,2.0041406,-0.5106464,11.916168,-10.667702,18.511103,-63.065987,58.052746,-10.234841,4.7225146,-2.8686926,-5.777807,-15.390707,48.347717,48.423443,9.117206,8.240556,-2.3293164
7,1.6291731595993042,2.4868011474609375,78.09278869628906,1.0276285116648105,-4.839385630622039,-88.36838138972544,8.405916,-0.42717957,5.6554794,6.94164,-10.8568,-3.1449828,7.6558022,-8.641542,-13.498583,11.890216,-14.782428,8.825673,2.0392334,-0.53919554,11.986452,-10.537322,18.537725,-62.817493,57.916393,-10.121077,4.7386665,-2.8493567,-5.7189565,-15.495222,48.35055,48.39686,9.193112,8.21919,-2.3747625
8,1.7055342197418213,2.4656982421875,78.0776596069336,1.0869954989484627,-4.870008805540199,-88.3657539360477,8.462785,-0.57072526,5.6582065,6.9406285,-10.888924,-3.0585325,7.5269747,-8.831604,-13.463436,12.30238,-14.979726,8.9137335,2.0750704,-0.5823128,12.056032,-10.406941,18.561462,-62.560555,57.777298,-10.052688,4.758273,-2.8265226,-5.651272,-15.609698,48.33539,48.37145,9.262266,8.184663,-2.4236133
9,1.7896645069122314,2.44008731842041,78.05918884277344,1.1638640600001302,-4.896013302165772,-88.37376639362138,8.5159645,-0.73784524,5.671516,6.93978,-10.920036,-2.9503932,7.344731,-9.055782,-13.400731,12.810371,-15.22399,9.017804,2.1184747,-0.6425264,12.118025,-10.277606,18.579556,-62.29426,57.641964,-10.050782,4.7819047,-2.797802,-5.5700135,-15.736015,48.302696,48.345985,9.327223,8.129525,-2.483749
