Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.06412778794765472,3.2789077758789062,76.58621215820312,-1.8222289612676295,-7.093493572422325,-83.0563211384209,2.3511,6.640195,-1.5767413,73.18348,-1.0851902,-11.034331,-6.352356,-0.23822442,-13.141992,22.45119,-11.546384,-0.33003488,-3.7979944,4.8418403,17.69253,-15.669942,23.631544,-59.508907,48.78315,-8.284665,4.456819,0.001065919,-7.120617,-18.192951,45.288918,57.87898,7.65992,9.598974,-1.4394196
1,-0.0045030987821519375,2.6354308128356934,76.70246887207031,-1.6424861892028473,-7.17168917217785,-83.24423002897483,1.3906225,7.227249,-0.63352466,74.078285,-2.230434,-9.617445,-5.4830294,-0.16834274,-12.931178,21.917006,-11.803929,-0.2609172,-3.3733459,4.700657,17.706886,-15.092777,23.65363,-59.958908,49.10188,-7.500209,4.6944714,-0.39353117,-7.9886146,-18.238762,45.51698,58.045498,7.611454,9.688939,-1.3981878
2,-0.07121998071670532,1.9968376159667969,76.81954956054688,-1.4648040808240383,-7.254891110389072,-83.42972741791564,0.44885236,7.825541,0.29463515,75.02933,-3.4263132,-8.174661,-4.60948,-0.09849311,-12.7210045,21.393017,-12.069107,-0.19933869,-2.931574,4.5661154,17.7232,-14.5413265,23.65543,-60.463127,49.450268,-6.6986217,4.9209776,-0.7914191,-8.833546,-18.303213,45.75249,58.203297,7.5622196,9.783319,-1.3505718
3,-0.13464607298374176,1.3714795112609863,76.93085479736328,-1.281453239272395,-7.3291577345264605,-83.62283099899827,-0.4725105,8.369581,1.1837976,75.869576,-4.606639,-6.8366013,-3.7400346,-0.03806603,-12.501495,20.8517,-12.320308,-0.13078171,-2.4722722,4.4308577,17.73183,-13.999161,23.62982,-60.932915,49.82398,-5.9442286,5.1495795,-1.1864763,-9.639472,-18.399855,45.93381,58.27998,7.5148144,9.874256,-1.3088382
4,-0.19794917106628418,0.7504002451896667,77.04501342773438,-1.0820409035903085,-7.380654920477348,-83.83384127871872,-1.3752089,8.794819,2.0192125,76.4306,-5.695027,-5.732808,-2.8843215,0.003920482,-12.26301,20.268042,-12.537551,-0.041807316,-2.0061839,4.2815433,17.719881,-13.435474,23.583166,-61.26814,50.20614,-5.3011503,5.3951006,-1.5716938,-10.416061,-18.510468,46.015987,58.242775,7.4750977,9.952072,-1.2880759
5,-0.2544671893119812,0.132351815700531,77.15814971923828,-0.8658387673706688,-7.402822499981731,-84.0656605631026,-2.267077,9.089679,2.8179936,76.66812,-6.69801,-4.8982916,-2.045223,0.02191223,-11.998895,19.630749,-12.713073,0.07540699,-1.53,4.1127515,17.680965,-12.839017,23.520243,-61.446045,50.582912,-4.724891,5.6843762,-1.9741181,-11.158,-18.637762,45.96256,58.071705,7.4239116,10.0305605,-1.2822691
6,-0.30995768308639526,-0.4906802773475647,77.2708969116211,-0.6364150361894474,-7.403666373343053,-84.31243773536023,-3.149699,9.289511,3.5942945,76.66924,-7.633889,-4.2607465,-1.2177505,0.021472199,-11.716631,18.95703,-12.860386,0.210339,-1.0466156,3.9305973,17.623878,-12.217815,23.445007,-61.509537,50.953392,-4.1988387,6.0033717,-2.3881395,-11.872147,-18.782906,45.81178,57.79768,7.3652267,10.109544,-1.2872617
7,-0.3622910976409912,-1.110922932624817,77.37948608398438,-0.40256125825569666,-7.390770320730101,-84.57003993419461,-4.0161905,9.403599,4.3333745,76.46132,-8.439694,-3.7855954,-0.39746436,0.011151279,-11.42792,18.260122,-12.987773,0.34879082,-0.5590962,3.7427006,17.559431,-11.584975,23.362,-61.487267,51.321056,-3.8434901,6.3084164,-2.7536266,-12.563585,-18.94752,45.613003,57.436047,7.3389063,10.157971,-1.3201995
8,-0.4083598554134369,-1.735365390777588,77.48374938964844,-0.17454616308583615,-7.371556161876577,-84.83429338974483,-4.8599825,9.442265,5.018882,76.07225,-9.05386,-3.4366817,0.42210025,-0.00018633937,-11.144113,17.547583,-13.100896,0.47774732,-0.07131327,3.5562587,17.49832,-10.952165,23.276371,-61.404736,51.688465,-3.7786949,6.557842,-3.008416,-13.23598,-19.133356,45.414593,57.00044,7.3827963,10.145,-1.398327
9,-0.4574822187423706,-2.3507838249206543,77.583984375,0.0448054396622484,-7.344822467052493,-85.11565215684725,-5.6834435,9.416059,5.6629057,75.49816,-9.408451,-3.2465513,1.2438791,-0.005462818,-10.859937,16.806744,-13.188845,0.5878079,0.42269388,3.3734455,17.44193,-10.314674,23.192318,-61.26228,52.054306,-4.0794005,6.7555723,-3.112901,-13.889496,-19.341312,45.220795,56.48176,7.5222645,10.053831,-1.5318178
