Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.01307949610054493,2.380401849746704,124.64933776855469,0.4477432324212513,-1.9438807440274035,-92.0090262402177,6.4591346,4.4911575,6.5913177,7.269917,-12.579857,-5.378868,5.6439815,-4.443866,-1.0345308,8.807882,-13.117522,5.267844,-2.5837688,-0.30549017,7.6436815,-6.7369146,18.79849,-50.202663,60.696404,1.5611606,-1.3970984,10.249145,-5.4720516,-15.930141,39.125233,60.33442,-4.8557644,-0.3220747,-7.7704606
1,0.022896897047758102,2.3860926628112793,124.65133666992188,0.44881500038298977,-1.9506446252329384,-92.04270759238194,6.477306,4.483117,6.6270285,7.2605352,-12.587661,-5.3728848,5.643763,-4.4512744,-1.007434,8.80165,-13.103669,5.288739,-2.564301,-0.3045937,7.673301,-6.731386,18.806108,-50.1974,60.666317,1.5482538,-1.4088328,10.265332,-5.499838,-15.9359045,39.13166,60.34995,-4.851279,-0.33216268,-7.765911
2,0.03333817422389984,2.3872432708740234,124.65086364746094,0.44961635354398855,-1.9590314217238065,-92.0752222944396,6.4965363,4.475653,6.6620855,7.250359,-12.595145,-5.368621,5.6442947,-4.458443,-0.9817206,8.797251,-13.090273,5.309697,-2.546974,-0.30336785,7.7051206,-6.7284822,18.811834,-50.190136,60.640507,1.535789,-1.4234889,10.281913,-5.529896,-15.941791,39.140938,60.36714,-4.8446045,-0.34503928,-7.761007
3,0.04490853101015091,2.3918709754943848,124.65139770507812,0.45017302884342714,-1.9641843182386018,-92.11026083430703,6.5129457,4.466536,6.6986084,7.241921,-12.602884,-5.361112,5.639981,-4.4665995,-0.9528399,8.795572,-13.078986,5.33056,-2.5339682,-0.30163336,7.733396,-6.718041,18.818483,-50.175903,60.6085,1.524336,-1.4357889,10.295971,-5.5617566,-15.9509535,39.15773,60.382584,-4.8352613,-0.35408896,-7.7553697
4,0.061788201332092285,2.3876211643218994,124.64913177490234,0.4522755774503488,-1.9609317161411188,-92.15159519372533,6.5222964,4.455651,6.7387357,7.2352214,-12.608885,-5.3458686,5.6266503,-4.4759045,-0.91608936,8.792954,-13.068522,5.350716,-2.513668,-0.30357668,7.748271,-6.7061486,18.821302,-50.168617,60.583626,1.5093337,-1.444151,10.30237,-5.585406,-15.956532,39.169888,60.39466,-4.829459,-0.3545914,-7.7491293
5,0.07731354236602783,2.3850257396698,124.64741516113281,0.4550793252217455,-1.9452514639069975,-92.20542546393729,6.5220175,4.4430604,6.7869835,7.2318697,-12.613043,-5.31886,5.597747,-4.4858966,-0.8659287,8.791303,-13.060341,5.3686786,-2.4948525,-0.3052966,7.7456093,-6.6755805,18.82586,-50.154495,60.54754,1.4892633,-1.4451746,10.300535,-5.6109123,-15.968185,39.202133,60.40733,-4.817137,-0.3427316,-7.7391787
6,0.09368540346622467,2.385305166244507,124.64759063720703,0.458117566519446,-1.920710272208272,-92.2679511023,6.513377,4.4294043,6.8407764,7.2332606,-12.616854,-5.283501,5.556212,-4.49641,-0.80618006,8.794121,-13.056114,5.385098,-2.4608984,-0.31226626,7.730344,-6.6475916,18.8274,-50.152435,60.518982,1.4640473,-1.4418683,10.291122,-5.628739,-15.974476,39.222828,60.419582,-4.8127456,-0.32231352,-7.7268476
7,0.11384478211402893,2.374441146850586,124.64781188964844,0.46192254099375907,-1.894059301470482,-92.3284983360615,6.5035014,4.412807,6.8921847,7.232747,-12.61931,-5.2458177,5.5136356,-4.509517,-0.746198,8.796248,-13.051937,5.403236,-2.4358308,-0.3192664,7.709689,-6.6122193,18.828812,-50.14569,60.48915,1.4401867,-1.4374353,10.278443,-5.644104,-15.983625,39.250156,60.426655,-4.802762,-0.29922026,-7.717205
8,0.13281090557575226,2.3659508228302,124.64620208740234,0.46701540442297224,-1.8723216004475447,-92.37599389025216,6.4966207,4.391698,6.9325385,7.2300587,-12.622558,-5.211796,5.4811845,-4.527296,-0.6959434,8.795914,-13.046648,5.4262223,-2.4272366,-0.32591215,7.695051,-6.5759344,18.829863,-50.12915,60.460625,1.4278202,-1.4348096,10.264653,-5.6559663,-15.995527,39.266544,60.423347,-4.794599,-0.2789272,-7.7130504
9,0.15307007730007172,2.360581159591675,124.64482879638672,0.47473881414026137,-1.8621776771304037,-92.40441623781648,6.499965,4.3649716,6.9569864,7.22247,-12.625029,-5.184188,5.466661,-4.5505533,-0.6580662,8.7944145,-13.039545,5.457506,-2.4281669,-0.3376173,7.690109,-6.5516973,18.829664,-50.118908,60.44689,1.4190042,-1.4361082,10.250089,-5.662446,-15.9990635,39.25788,60.41802,-4.7905693,-0.2622159,-7.716918
10,0.17479249835014343,2.3522491455078125,124.64391326904297,0.48407507334941957,-1.8575471394245828,-92.4214479448882,6.508726,4.332378,6.9719205,7.210008,-12.625477,-5.159159,5.4591813,-4.57937,-0.6262857,8.797077,-13.033755,5.4947724,-2.4402106,-0.34566686,7.698993,-6.5223336,18.828884,-50.081837,60.42134,1.4385933,-1.4376236,10.230087,-5.663658,-16.011576,39.212067,60.393635,-4.810149,-0.24416658,-7.7154016
11,0.19564002752304077,2.3500821590423584,124.64388275146484,0.4930640192718762,-1.8489432590182213,-92.43441583417408,6.5127673,4.2976093,6.983153,7.196796,-12.62779,-5.133839,5.451144,-4.610678,-0.59963053,8.79536,-13.027817,5.5318346,-2.4520037,-0.35662058,7.701709,-6.5009866,18.827452,-50.060352,60.407482,1.4553914,-1.4394219,10.209031,-5.6566114,-16.023586,39.160973,60.363495,-4.824841,-0.23157771,-7.7231226
12,0.2168455421924591,2.3429887294769287,124.64578247070312,0.503205768660262,-1.825476155911325,-92.45171744476393,6.504547,4.262354,6.9981904,7.179279,-12.632193,-5.104971,5.4256887,-4.642793,-0.5751785,8.795031,-13.026746,5.5629263,-2.4613142,-0.3669737,7.6870794,-6.478253,18.825531,-50.05013,60.39927,1.4757626,-1.4394017,10.187243,-5.647927,-16.03406,39.11451,60.337746,-4.8327894,-0.23016743,-7.7411413
13,0.24194496870040894,2.33251953125,124.64677429199219,0.5111819757549162,-1.7781810022899733,-92.48092579287149,6.476538,4.227861,7.023504,7.157503,-12.641415,-5.071625,5.374442,-4.6747313,-0.5501246,8.792057,-13.030091,5.5837326,-2.462694,-0.37402973,7.6464596,-6.452881,18.823185,-50.054028,60.39499,1.503951,-1.4387003,10.156676,-5.632777,-16.04493,39.068306,60.309025,-4.835469,-0.24593477,-7.772672
14,0.26996639370918274,2.3156893253326416,124.64737701416016,0.5182425972533629,-1.7147486105439875,-92.51587675811665,6.4358907,4.19234,7.0538497,7.1305695,-12.653489,-5.0355473,5.3067365,-4.7078176,-0.52653813,8.786023,-13.035817,5.598275,-2.463254,-0.379862,7.586125,-6.4231806,18.820522,-50.066006,60.395023,1.5395209,-1.4375763,10.120129,-5.614683,-16.05601,39.02427,60.280678,-4.8319464,-0.27398404,-7.8163013
