Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,2.072045087814331,-0.3498418629169464,78.13318634033203,0.3752208687462161,-3.0095528891917693,171.66444044178928,5.795534,4.6476517,5.3840775,11.74884,-13.327551,-6.9490023,11.40664,-3.0043888,-17.562737,6.964733,-14.794097,6.835556,-5.630119,-0.16274868,6.4506803,1.306189,16.301357,-30.070316,56.350994,-3.9104884,2.2663121,1.0046041,1.1456409,-16.416073,30.332666,58.741653,4.220448,8.90862,-6.7628736
1,2.0521280765533447,-0.36696216464042664,78.12164306640625,0.3602355595490219,-2.949225328040256,171.58958192870483,5.6161613,4.672017,5.4379997,12.060365,-13.52825,-6.889559,11.331533,-2.9973288,-17.453514,6.967968,-14.841395,6.898798,-5.603899,-0.13802734,6.4177785,1.360744,16.30181,-30.072205,56.31287,-3.925269,2.2525826,0.9992258,1.0992714,-16.419765,30.337116,58.6625,4.236139,8.917531,-6.7645016
2,2.0395708084106445,-0.3831173777580261,78.1084213256836,0.34785189006573936,-2.890200959892828,171.5161165803125,5.4473577,4.692332,5.4915824,12.35255,-13.720224,-6.830602,11.259666,-2.9934292,-17.345896,6.9703655,-14.888051,6.9625816,-5.5811486,-0.11287518,6.3817153,1.4235033,16.299534,-30.07179,56.270325,-3.9385822,2.239227,0.99551445,1.0471114,-16.424133,30.350388,58.596607,4.2512727,8.927503,-6.767239
3,2.025517463684082,-0.39827457070350647,78.09439086914062,0.32864075649973623,-2.8275694419486532,171.44048638190196,5.2528496,4.723381,5.544053,12.690618,-13.933441,-6.7703605,11.182943,-2.980688,-17.236153,6.9710546,-14.93461,7.025229,-5.5663805,-0.080282904,6.34563,1.4864527,16.293774,-30.06535,56.23009,-3.9529123,2.224956,0.99246967,0.98731136,-16.427656,30.367884,58.52681,4.2763734,8.93476,-6.768455
4,2.0157086849212646,-0.4187699556350708,78.07725524902344,0.29156152961690396,-2.755325727547857,171.3589551203351,4.989545,4.7819867,5.594155,13.150686,-14.203622,-6.7073746,11.089654,-2.9465208,-17.120216,6.9742217,-14.983802,7.084762,-5.5570307,-0.029605374,6.314346,1.543336,16.285368,-30.055641,56.19041,-3.971222,2.209759,0.98927474,0.92153215,-16.429047,30.374222,58.433735,4.3147235,8.934824,-6.7624373
5,2.006281614303589,-0.4388607442378998,78.05755615234375,0.23853717571980834,-2.6726328179186294,171.26791838687478,4.659087,4.866218,5.645998,13.731887,-14.536125,-6.6400647,10.982572,-2.8923454,-16.994692,6.9754667,-15.037521,7.1477966,-5.5539465,0.03958816,6.283775,1.5954968,16.26838,-30.03901,56.155125,-3.9974418,2.191773,0.98599625,0.8474325,-16.427359,30.365076,58.318817,4.371977,8.923728,-6.7468057
6,1.999613881111145,-0.45782577991485596,78.03713989257812,0.17326493226319153,-2.5824677167370065,171.1702389461399,4.2790804,4.9696517,5.6982064,14.402887,-14.913447,-6.569673,10.8651085,-2.8234568,-16.862526,6.976404,-15.094341,7.212823,-5.551118,0.11952129,6.2546253,1.6493081,16.256815,-30.026617,56.11175,-4.035831,2.1731262,0.982933,0.7739289,-16.423735,30.34102,58.18099,4.4431977,8.9049015,-6.725049
7,1.9946539402008057,-0.4817923605442047,78.0132827758789,0.08659094719009627,-2.4848848558377217,171.07238654169004,3.838398,5.1031485,5.7408943,15.178288,-15.332698,-6.4992194,10.7345085,-2.7295117,-16.729658,6.978557,-15.149104,7.2651668,-5.551303,0.22215846,6.234027,1.686817,16.236115,-30.013773,56.078136,-4.0649815,2.1549761,0.98117775,0.6880387,-16.414248,30.303957,58.034824,4.5134344,8.884156,-6.6979156
8,1.9940171241760254,-0.5116598010063171,77.98411560058594,-0.030819190311484106,-2.3794485599851334,170.9812886758059,3.3182724,5.278498,5.762684,16.0876,-15.79364,-6.4314914,10.590584,-2.5988555,-16.602617,6.978963,-15.194769,7.2898316,-5.561818,0.35239717,6.228407,1.7179377,16.225267,-30.008577,56.032547,-4.086962,2.141294,0.9824025,0.59729743,-16.407898,30.279514,57.86387,4.5904474,8.869203,-6.6722054
9,1.996757984161377,-0.5419639348983765,77.95056915283203,-0.1839488518690301,-2.2628885946783277,170.9002257783724,2.7058127,5.501722,5.7608013,17.148106,-16.30889,-6.365787,10.427716,-2.4259477,-16.481298,6.9802327,-15.232197,7.279218,-5.58085,0.519717,6.2386074,1.726487,16.208899,-30.00293,55.991943,-4.0753818,2.1353326,0.99077266,0.48987842,-16.396437,30.24125,57.684757,4.654495,8.862381,-6.642734
10,2.0021231174468994,-0.573792576789856,77.91426849365234,-0.3683965521682063,-2.1363337211659257,170.8253562919242,2.0132022,5.766498,5.738803,18.341034,-16.872717,-6.3011465,10.250684,-2.216154,-16.362835,6.9798126,-15.263563,7.241639,-5.6103673,0.7176872,6.2589936,1.725706,16.19291,-30.000505,55.94722,-4.0481205,2.1356232,1.0059627,0.3759569,-16.383335,30.201931,57.486126,4.7219176,8.8608465,-6.613085
11,2.0155889987945557,-0.608282744884491,77.87493896484375,-0.5787942196581181,-2.007117851444057,170.7514782083435,1.2708924,6.064287,5.697628,19.620625,-17.453417,-6.240446,10.066653,-1.9770479,-16.247622,6.9812303,-15.289779,7.186461,-5.6389904,0.93998605,6.2938924,1.6993593,16.169573,-30.009619,55.921364,-4.0214596,2.1330187,1.0187984,0.24593146,-16.362164,30.165829,57.287827,4.7853966,8.858326,-6.5831017
12,2.0355677604675293,-0.6428244709968567,77.8300552368164,-0.8098165067426488,-1.882414166738799,170.67402438441889,0.5022153,6.386855,5.6375,20.95603,-18.021194,-6.1866817,9.8849535,-1.71515,-16.13695,6.9815397,-15.307469,7.123152,-5.6734395,1.1792773,6.3562613,1.6811124,16.163517,-30.02273,55.866764,-4.018991,2.1238282,1.0175067,0.11278129,-16.356005,30.165535,57.056564,4.8573537,8.853572,-6.554742
13,2.0553433895111084,-0.6851117014884949,77.78112030029297,-1.0696902860992192,-1.7663764227245207,170.59272482355,-0.29934704,6.7430644,5.554275,22.370115,-18.58753,-6.139087,9.709613,-1.4203209,-16.032545,6.9798865,-15.3133955,7.048099,-5.7050514,1.4472154,6.4458814,1.6391487,16.149588,-30.053757,55.83004,-4.055165,2.0982735,1.0012076,-0.04831578,-16.34205,30.191381,56.83582,4.9283953,8.841312,-6.5292425
14,2.075758218765259,-0.7315136194229126,77.72705841064453,-1.3589376556072272,-1.6541136256571685,170.50997536628017,-1.1411557,7.1328874,5.4476943,23.866453,-19.159435,-6.0977983,9.534846,-1.0927746,-15.932908,6.978687,-15.310427,6.9577622,-5.7407837,1.7421914,6.559124,1.5879644,16.140871,-30.090595,55.792313,-4.1132336,2.0617306,0.9702642,-0.21835175,-16.333248,30.239517,56.59884,4.9998465,8.824847,-6.5034094
15,2.095183849334717,-0.7810602188110352,77.67153930664062,-1.6601312819182805,-1.5410189665178704,170.42398485729913,-1.9963083,7.533629,5.3268003,25.379822,-19.701939,-6.0673003,9.358525,-0.75387347,-15.833667,6.976498,-15.304059,6.862093,-5.781448,2.0457683,6.6881886,1.5299528,16.133583,-30.136568,55.749443,-4.174025,2.0278146,0.93846965,-0.40464398,-16.326292,30.31943,56.35443,5.0820804,8.808807,-6.480975
16,2.1111483573913574,-0.8296846151351929,77.61036682128906,-1.9568221278987894,-1.4279789504197438,170.33630331471224,-2.8562539,7.9289265,5.1940694,26.895514,-20.206755,-6.0547957,9.162869,-0.4289379,-15.734091,7.0222616,-15.327987,6.770035,-5.8296204,2.3386714,6.8348,1.4696375,16.128979,-30.186907,55.691383,-4.2107725,2.0090528,0.914998,-0.60875875,-16.323973,30.432709,56.10135,5.180355,8.797312,-6.4617434
17,2.1275787353515625,-0.8778664469718933,77.54582977294922,-2.2457122410665584,-1.313479751975259,170.24461019339114,-3.7096608,8.313716,5.0517693,28.38557,-20.652416,-6.063945,8.962731,-0.11582094,-15.631341,7.077153,-15.362496,6.681441,-5.865333,2.6151845,7.004443,1.3937178,16.129778,-30.248457,55.61625,-4.204245,2.0171278,0.90137476,-0.81481034,-16.326927,30.551834,55.812206,5.283729,8.794765,-6.4384604
18,2.1491565704345703,-0.9293588995933533,77.48167419433594,-2.535583584181636,-1.1969499905119627,170.1490296288183,-4.5670023,8.696835,4.8978868,29.870478,-21.049118,-6.091195,8.760137,0.19621578,-15.526885,7.1309905,-15.396731,6.5925407,-5.9238615,2.888346,7.181761,1.3327523,16.135408,-30.311165,55.519608,-4.1859846,2.0416317,0.89864826,-1.0439756,-16.339344,30.751986,55.51388,5.4300065,8.797601,-6.4244833
19,2.1708149909973145,-0.9932529926300049,77.41775512695312,-2.8225005179411062,-1.0725908821888073,170.04845639517234,-5.4191065,9.07086,4.7428246,31.320875,-21.400517,-6.127072,8.55093,0.5008097,-15.421385,7.1796966,-15.428891,6.5092177,-5.9773707,3.1545148,7.374347,1.2585318,16.145517,-30.381796,55.413708,-4.16034,2.065836,0.8931587,-1.2817403,-16.356966,30.949488,55.20389,5.567335,8.800706,-6.4100137
20,2.184159278869629,-1.059385061264038,77.3558349609375,-3.104302973827167,-0.9343581008298669,169.94232528777354,-6.260448,9.431105,4.5955143,32.713486,-21.712101,-6.1616364,8.327927,0.79255366,-15.3164015,7.224645,-15.455033,6.437538,-6.0328712,3.4152231,7.5706844,1.17968,16.160679,-30.46686,55.29867,-4.1560197,2.072607,0.8825368,-1.5319586,-16.379946,31.149422,54.90384,5.6960874,8.798793,-6.402504
21,2.1973376274108887,-1.1331204175949097,77.29484558105469,-3.3785883151009446,-0.7827268300541433,169.83376810276823,-7.089427,9.774139,4.455326,34.043957,-21.97562,-6.1956153,8.091254,1.0678656,-15.215777,7.266029,-15.476282,6.3781953,-6.0974164,3.6680355,7.7735677,1.102459,16.189386,-30.572739,55.163418,-4.1910305,2.0549278,0.86128694,-1.794571,-16.419691,31.364025,54.60379,5.819579,8.790994,-6.4042945
22,2.2130353450775146,-1.2126613855361938,77.23384094238281,-3.6467614763547216,-0.6204144943759498,169.72183013660396,-7.910014,10.103666,4.318999,35.326237,-22.192623,-6.2326717,7.8424373,1.3304125,-15.118041,7.3042183,-15.493092,6.3291206,-6.149301,3.9117584,7.98237,0.99873143,16.217388,-30.71247,55.03871,-4.2473526,2.021749,0.8347002,-2.0665696,-16.45529,31.563562,54.311577,5.925217,8.778406,-6.4106636
23,2.2220966815948486,-1.2951407432556152,77.17476654052734,-3.9122318154887785,-0.4437623875013155,169.59974079495166,-8.7262,10.425703,4.1907067,36.565308,-22.382336,-6.266096,7.5777254,1.5853789,-15.017758,7.3374825,-15.500726,6.2921157,-6.1993732,4.150619,8.195373,0.89713794,16.254679,-30.855484,54.895027,-4.304972,1.9834146,0.80910724,-2.3435812,-16.49963,31.763575,54.019054,6.028922,8.763613,-6.421005
24,2.2267379760742188,-1.3797863721847534,77.11857604980469,-4.179264574588282,-0.24915727837426715,169.46055687082776,-9.540117,10.747133,4.074546,37.762234,-22.562445,-6.2890744,7.286572,1.8367627,-14.909175,7.379266,-15.502499,6.268812,-6.2431293,4.3888617,8.415691,0.81139183,16.310223,-30.977516,54.71002,-4.3376174,1.9503702,0.788441,-2.6116028,-16.559355,31.947098,53.71046,6.128771,8.748915,-6.4292903
25,2.226810932159424,-1.4670946598052979,77.05948638916016,-4.4447809275757955,-0.04114388715919141,169.30189746911898,-10.335603,11.064663,3.9737911,38.89979,-22.733425,-6.298798,6.9821935,2.0823605,-14.791472,7.4154496,-15.491923,6.2642527,-6.276689,4.6221347,8.633428,0.72700804,16.363844,-31.084581,54.524742,-4.3244433,1.9205569,0.77511686,-2.8838258,-16.60906,32.114765,53.4276,6.217777,8.72971,-6.4396167
26,2.2265286445617676,-1.5625042915344238,76.99774169921875,-4.708481771367674,0.17960835543398654,169.1275748627681,-11.117522,11.37761,3.8852081,39.98398,-22.887333,-6.2982,6.661711,2.3204384,-14.667859,7.452441,-15.473769,6.2762647,-6.2917204,4.8503637,8.845674,0.6037416,16.382069,-31.18157,54.39237,-4.263467,1.8873788,0.7666274,-3.177063,-16.623882,32.238796,53.201736,6.2698884,8.704387,-6.4492617
27,2.2344329357147217,-1.6608208417892456,76.9356918334961,-4.978226085032413,0.42351322040386175,168.93966396625316,-11.922084,11.696553,3.8022962,41.055977,-23.03246,-6.288809,6.3099,2.5613437,-14.538849,7.4902735,-15.444305,6.294962,-6.3161087,5.0840034,9.049059,0.50227284,16.417566,-31.277193,54.218716,-4.2299232,1.8578141,0.7747184,-3.4796076,-16.64816,32.39604,52.980305,6.355187,8.680625,-6.470632
28,2.2379913330078125,-1.761878252029419,76.872314453125,-5.262595458814272,0.6990686800029333,168.7403642366463,-12.782763,12.032059,3.7181327,42.153084,-23.17479,-6.2719975,5.9115963,2.8155615,-14.404738,7.5305095,-15.399716,6.3105845,-6.344025,5.32568,9.273688,0.42726016,16.4981,-31.323761,53.943005,-4.2195497,1.8391197,0.7862281,-3.778946,-16.691076,32.517853,52.708298,6.434438,8.666731,-6.4824166
29,2.2498233318328857,-1.86654794216156,76.80309295654297,-5.566691275763879,1.006074422198277,168.52739763249681,-13.704335,12.390555,3.6298282,43.285435,-23.320541,-6.2481318,5.4648786,3.0885794,-14.263533,7.5749073,-15.337571,6.318199,-6.3490295,5.5875583,9.497955,0.31189847,16.56269,-31.354248,53.658596,-4.2311826,1.8407869,0.8129071,-4.085795,-16.716019,32.56827,52.44354,6.4863214,8.664692,-6.4839983
30,2.2643637657165527,-1.984464168548584,76.73056030273438,-5.885534974753692,1.3402289754213048,168.29996527426417,-14.670228,12.765367,3.5400357,44.431637,-23.464111,-6.215068,4.9769707,3.3740628,-14.116145,7.6215124,-15.26197,6.3245044,-6.3430095,5.8666916,9.716136,0.16338474,16.602192,-31.3672,53.381824,-4.25324,1.8548932,0.85474455,-4.406267,-16.726795,32.579353,52.198963,6.524391,8.670056,-6.482228
31,2.280090093612671,-2.10544490814209,76.65263366699219,-6.213147921392413,1.704911665745551,168.06225126016145,-15.686469,13.1479845,3.4483643,45.590927,-23.599339,-6.170663,4.4460063,3.6646588,-13.968021,7.669612,-15.174446,6.336768,-6.3363476,6.138668,9.952858,0.054031152,16.70952,-31.354374,52.9971,-4.310392,1.8622463,0.90106964,-4.72655,-16.74511,32.565197,51.911068,6.5684605,8.676512,-6.479761
32,2.308459758758545,-2.226980447769165,76.5682373046875,-6.544298830563432,2.1034434695950543,167.81848627538946,-16.75874,13.53059,3.3546653,46.762085,-23.71962,-6.113013,3.590968,3.8823054,-13.842304,8.328204,-15.400909,6.364711,-6.3301444,6.4078403,10.188681,-0.06568778,16.817059,-31.327173,52.61241,-4.4030375,1.8281837,0.9614568,-5.061917,-16.757267,32.541325,51.6155,6.6312933,8.674253,-6.4882216
33,2.3285326957702637,-2.355100631713867,76.48357391357422,-6.883825817281631,2.5299006375236313,167.56881863896388,-17.881445,13.916885,3.253017,47.948765,-23.826803,-6.040161,2.7165928,4.1104317,-13.721455,8.950841,-15.608491,6.409257,-6.324974,6.687424,10.418802,-0.21868426,16.895063,-31.300484,52.273804,-4.525245,1.7413064,1.0333227,-5.415346,-16.764788,32.510162,51.328945,6.7107506,8.660584,-6.497038
34,2.358236312866211,-2.4942305088043213,76.39300537109375,-7.232958723554397,2.9845893633055463,167.31077215255903,-19.054197,14.308904,3.1445138,49.150726,-23.923557,-5.9528475,1.818229,4.3490973,-13.604257,9.543538,-15.796999,6.4659476,-6.3207355,6.964396,10.660252,-0.35701096,17.010946,-31.260805,51.88402,-4.6821327,1.6227324,1.1092684,-5.776559,-16.774767,32.461376,51.018547,6.801185,8.640598,-6.502845
35,2.386531114578247,-2.6380534172058105,76.29459381103516,-7.581269820234053,3.4798345546095457,167.0446471722846,-20.29123,14.695672,3.0397887,50.3602,-24.004091,-5.851949,0.82904124,4.570754,-13.498363,10.213437,-16.007742,6.529992,-6.31706,7.229418,10.906088,-0.48395094,17.148947,-31.187069,51.447083,-4.878438,1.4796693,1.203999,-6.1415243,-16.78605,32.400085,50.670918,6.913602,8.617663,-6.533023
36,2.4310925006866455,-2.7889599800109863,76.19451904296875,-7.919469832115624,4.028923427413657,166.77031560183232,-21.607235,15.068361,2.9488997,51.570534,-24.06331,-5.7376823,-0.31604365,4.7501154,-13.411517,11.061828,-16.275682,6.596509,-6.312746,7.4768744,11.14528,-0.6172432,17.2769,-31.059084,50.991405,-5.1162424,1.3176217,1.3336285,-6.5107107,-16.798286,32.332172,50.281734,7.058473,8.594955,-6.614639
37,2.4811036586761475,-2.9517416954040527,76.08891296386719,-8.255051977707744,4.645546899513623,166.48796598533397,-23.013592,15.434166,2.8695118,52.77209,-24.094362,-5.6174498,-1.6149391,4.896361,-13.345658,12.053617,-16.585451,6.670928,-6.3126736,7.7133074,11.374659,-0.7347378,17.421162,-30.865334,50.476135,-5.4133325,1.1802498,1.4778616,-6.8887596,-16.815973,32.26247,49.83818,7.237594,8.592096,-6.752315
38,2.5414562225341797,-3.1282598972320557,75.97203826904297,-8.591000542033242,5.320263398933217,166.19554418132685,-24.500868,15.794608,2.7985582,53.97076,-24.102215,-5.4853716,-3.040176,5.016747,-13.297125,13.154778,-16.925638,6.754301,-6.312572,7.945011,11.592641,-0.8551343,17.560915,-30.622656,49.937214,-5.7594733,1.047843,1.639234,-7.2738914,-16.838245,32.18627,49.35529,7.4442806,8.600766,-6.93329
