Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.3283758759498596,1.5717623233795166,78.05087280273438,-0.21375550995605425,-1.2803023292374918,-89.43324522889061,4.9426084,5.092434,0.08155128,7.44869,-11.257179,-7.1839876,6.2154684,-4.5414653,-18.264698,6.804277,-11.413945,8.935952,-3.6715846,0.6867433,6.3943176,0.7267951,12.475148,-27.968372,56.728874,9.49302,3.6173968,3.3963246,-3.90854,-13.606224,35.93753,54.75757,1.3781295,8.470696,-6.610242
1,0.33130475878715515,1.5695343017578125,78.05084228515625,-0.2348106383039262,-1.2828062951307657,-89.45453199443041,4.9519024,5.122524,0.096486524,7.450886,-11.275478,-7.2004976,6.212061,-4.5090446,-18.234694,6.8048816,-11.413819,8.907416,-3.6509087,0.70410734,6.403196,0.72692704,12.476485,-27.960524,56.72542,9.480816,3.6204436,3.391758,-3.92874,-13.610611,35.93845,54.788555,1.3647051,8.465279,-6.6011567
2,0.33066871762275696,1.5685971975326538,78.05073547363281,-0.2551251243628381,-1.2865866074544647,-89.47462056616062,4.9617453,5.15141,0.11071067,7.4552484,-11.295124,-7.215793,6.2103014,-4.4778104,-18.205765,6.8076916,-11.416238,8.879772,-3.639116,0.7241264,6.4164906,0.7312956,12.477655,-27.936693,56.716488,9.473543,3.6212811,3.3842032,-3.9565163,-13.621096,35.9461,54.823273,1.3527341,8.457729,-6.588449
3,0.32762810587882996,1.5695620775222778,78.05087280273438,-0.27602742794735163,-1.2879172298756623,-89.49707871786542,4.968433,5.182617,0.1260851,7.4598193,-11.314479,-7.2334876,6.2046065,-4.4442325,-18.174747,6.8088117,-11.415564,8.850634,-3.6275885,0.74453443,6.428554,0.7327438,12.477479,-27.915918,56.71168,9.4662485,3.6229093,3.3774676,-3.9868808,-13.630854,35.95675,54.855885,1.3424047,8.452222,-6.578226
4,0.32143524289131165,1.5706754922866821,78.05097961425781,-0.29940850195064944,-1.2834568459690847,-89.52575461110217,4.970471,5.2201858,0.14504498,7.4581604,-11.329603,-7.2573385,6.188035,-4.4043274,-18.13781,6.8102446,-11.411387,8.817289,-3.6205873,0.769058,6.4434776,0.72869843,12.476215,-27.892096,56.710304,9.462348,3.6253242,3.3697681,-4.0265803,-13.644786,35.976837,54.87887,1.3364743,8.450392,-6.5711327
5,0.3129102885723114,1.57469642162323,78.05095672607422,-0.3258406657087835,-1.271543229254004,-89.56127837529824,4.9641404,5.266266,0.16632193,7.454071,-11.342907,-7.28851,6.1590424,-4.3559957,-18.094315,6.810376,-11.4011755,8.779765,-3.602554,0.79459375,6.4562483,0.7116142,12.475904,-27.887268,56.7199,9.454913,3.6282868,3.3626366,-4.073308,-13.649649,35.990227,54.901955,1.3253369,8.455537,-6.570139
6,0.3030961751937866,1.5809324979782104,78.05128479003906,-0.3554419390750583,-1.2545931635465564,-89.60216426997383,4.9545484,5.3181944,0.19004723,7.4431677,-11.352224,-7.3248925,6.1199517,-4.302315,-18.045563,6.811861,-11.387367,8.739275,-3.597221,0.82661474,6.474296,0.6924448,12.47456,-27.872887,56.728283,9.446031,3.6298583,3.3536952,-4.1394897,-13.66385,36.03005,54.92294,1.3266851,8.465005,-6.573327
7,0.2903982996940613,1.5901026725769043,78.05167388916016,-0.3842796002532869,-1.2341545996904812,-89.64735334817696,4.938831,5.3732862,0.21729293,7.435428,-11.361879,-7.3654537,6.0744305,-4.2448897,-17.993034,6.812848,-11.37206,8.69426,-3.5846965,0.85610855,6.4909816,0.6668264,12.474478,-27.868671,56.743305,9.442552,3.6362567,3.346958,-4.2047772,-13.671275,36.053703,54.937218,1.3221871,8.474211,-6.5768266
8,0.27308931946754456,1.6022762060165405,78.05310821533203,-0.40948583328552357,-1.2121571148691987,-89.69645103128114,4.925251,5.428495,0.25087878,7.4200754,-11.365545,-7.409085,6.025508,-4.186741,-17.937397,6.8136716,-11.357762,8.643201,-3.5824046,0.88364434,6.5124793,0.6371605,12.475344,-27.858955,56.763298,9.445844,3.648922,3.3431406,-4.2787766,-13.678987,36.080986,54.93872,1.3324234,8.477149,-6.578657
9,0.2532704472541809,1.615594744682312,78.05415344238281,-0.434534327248175,-1.1894073228931286,-89.74781343742812,4.908658,5.4856453,0.28978735,7.406622,-11.367425,-7.4564734,5.9728513,-4.1272516,-17.880075,6.8160925,-11.345686,8.5840025,-3.5799801,0.90817094,6.5323706,0.60344565,12.476715,-27.855867,56.79165,9.465778,3.6780584,3.3430946,-4.3440623,-13.682247,36.086174,54.920464,1.3451576,8.471666,-6.5776687
10,0.22964973747730255,1.6287860870361328,78.0557861328125,-0.4602799288291194,-1.165801534723978,-89.80215238928807,4.891883,5.547368,0.33329275,7.3901415,-11.365954,-7.5079007,5.9178033,-4.0639634,-17.820116,6.8174295,-11.3337965,8.517506,-3.5833287,0.9339136,6.5664144,0.5543641,12.481892,-27.848722,56.8257,9.495476,3.7163658,3.3417368,-4.425042,-13.687931,36.082634,54.889698,1.3690298,8.459334,-6.5717473
11,0.20359063148498535,1.6432216167449951,78.05928039550781,-0.485162176681816,-1.1381697968502205,-89.86210122499378,4.873388,5.612291,0.38244092,7.3690653,-11.359841,-7.562123,5.8559356,-3.997879,-17.754244,6.8191614,-11.3215685,8.44625,-3.5831666,0.95910496,6.589563,0.50859755,12.484884,-27.84892,56.86887,9.5253,3.7521553,3.3470297,-4.497672,-13.68908,36.076244,54.851845,1.3899745,8.446058,-6.5668445
12,0.1760568916797638,1.6552023887634277,78.06169128417969,-0.5075540948907141,-1.105764261866403,-89.93064649600203,4.849926,5.6784906,0.43822506,7.3505645,-11.352335,-7.617917,5.7866426,-3.9301403,-17.679201,6.8206806,-11.307887,8.37301,-3.5741842,0.9804922,6.6181407,0.44691914,12.490513,-27.848001,56.924107,9.543657,3.7671297,3.355372,-4.5787673,-13.689308,36.064556,54.809914,1.3998969,8.433783,-6.5574756
13,0.141302689909935,1.6711983680725098,78.0645751953125,-0.524700094549102,-1.0658049343751317,-90.0109280089937,4.824632,5.7430253,0.50402635,7.3215065,-11.334445,-7.6740346,5.705163,-3.8632662,-17.590559,6.822436,-11.29192,8.298305,-3.554916,0.99380326,6.642584,0.38179842,12.5009,-27.845417,56.98891,9.546404,3.748656,3.371319,-4.6610184,-13.687808,36.049145,54.76382,1.3948448,8.422959,-6.544787
