Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.16529731452465057,1.3992187976837158,79.80049896240234,-0.27970346284719627,6.258646512605616,-85.06707633915774,-0.8384121,5.072085,-1.8284887,7.4155087,-16.021303,-8.86941,2.1851025,-6.0711145,-14.44449,6.9373064,-10.177365,5.5563474,-2.8354292,1.0223348,-3.5798552,17.492516,93.856575,34.639385,70.48995,-9.113956,22.62307,0.5067245,43.720993,-92.35118,-44.865803,72.69845,3.726799,13.011876,5.1812377
1,-0.1697748303413391,1.4120721817016602,79.8162841796875,-0.1482899862492765,6.2528930942872964,-85.05850420224066,-0.899892,4.956005,-1.62155,7.4415984,-15.48033,-7.5450177,2.1831574,-6.2307568,-14.428774,6.9425573,-10.168566,5.5772567,-2.8302755,0.91016746,-3.5756114,17.456753,93.765625,34.576572,70.43545,-9.189752,22.622993,0.6055726,43.679234,-92.29961,-44.814342,72.683655,3.7768497,12.996172,5.1464963
2,-0.18645809590816498,1.4258935451507568,79.83480072021484,-0.005685214581596849,6.256163473182199,-85.04575889094684,-1.1829313,4.8227577,-1.4079723,7.9066796,-15.139686,-6.1403966,2.1699202,-6.405314,-14.41477,6.953367,-10.16164,5.6012225,-2.8299148,0.78336215,-3.5807827,17.433996,93.683075,34.516968,70.378494,-9.2869425,22.626894,0.7166462,43.64413,-92.25179,-44.76708,72.67134,3.8363032,12.977086,5.117231
3,-0.17216365039348602,1.4204964637756348,79.85375213623047,0.11782611346162232,6.261948916955338,-85.03639159543465,-1.7305117,4.703376,-1.2264166,8.935643,-15.161602,-4.887951,2.151414,-6.5568175,-14.400809,6.963816,-10.153465,5.620642,-2.82742,0.6737162,-3.5872638,17.417126,93.607994,34.461155,70.32544,-9.381515,22.630535,0.8200314,43.614796,-92.207405,-44.723648,72.65893,3.8922744,12.961499,5.089281
4,-0.1645650863647461,1.430294156074524,79.87079620361328,0.19778373604389426,6.265774821283541,-85.039429178523,-2.1039827,4.633368,-1.0834967,9.630353,-15.165092,-4.0224094,2.1306832,-6.65327,-14.382451,6.9720073,-10.143867,5.628779,-2.8131642,0.6056393,-3.586317,17.398264,93.53981,34.409847,70.27825,-9.45585,22.632055,0.90442765,43.58956,-92.16629,-44.683918,72.64534,3.936058,12.956323,5.0586095
5,-0.16341286897659302,1.4324254989624023,79.87516021728516,0.21861467966450637,6.262695577802934,-85.0680414903987,-2.2593348,4.6251736,-1.003695,9.922277,-15.1754265,-3.6996195,2.107806,-6.6739163,-14.349135,6.976189,-10.129465,5.619355,-2.7733154,0.59184223,-3.5676243,17.370684,93.47788,34.363705,70.23738,-9.499141,22.630375,0.96338487,43.566944,-92.12824,-44.647945,72.63099,3.9627671,12.968864,5.0212216
6,-0.17882812023162842,1.4558840990066528,79.8764419555664,0.2201156925644736,6.252405352127986,-85.07214730963061,-2.235025,4.62601,-1.0082533,9.861306,-15.1492815,-3.7569697,2.1002138,-6.6712728,-14.346632,6.9764323,-10.118266,5.6065454,-2.7724044,0.59359884,-3.56158,17.371569,93.44778,34.358013,70.23578,-9.49828,22.629513,0.9643349,43.568386,-92.109474,-44.642765,72.62992,3.9617524,12.969133,5.0202646
7,-0.18883275985717773,1.4838573932647705,79.8761215209961,0.16971793489287554,6.234368194171108,-85.16279695038466,-2.1685336,4.6962085,-0.9631368,9.78503,-15.192915,-3.9775834,2.076384,-6.599081,-14.262935,6.9745507,-10.094986,5.5762353,-2.6624217,0.6484237,-3.4894092,17.325647,93.394196,34.31945,70.18821,-9.5109825,22.62382,1.0017352,43.545044,-92.075584,-44.612015,72.60381,3.9775302,13.022396,4.9566464
8,-0.1874099224805832,1.5047913789749146,79.87529754638672,0.16804267386015906,6.227642387275835,-85.1657696390391,-2.1141124,4.6948566,-0.97779,9.671298,-15.175688,-4.1012077,2.0713792,-6.5973806,-14.26323,6.975096,-10.088751,5.571346,-2.6619737,0.6497233,-3.4868793,17.326048,93.37611,34.31676,70.187645,-9.510358,22.623505,1.0020673,43.545788,-92.06382,-44.60952,72.603455,3.9769483,13.022555,4.9562554
9,-0.1883906126022339,1.5219690799713135,79.87677764892578,0.16614891713854568,6.224852066887123,-85.16834263483838,-2.1180875,4.6929197,-0.9808531,9.6818495,-15.185306,-4.1036224,2.0712912,-6.598658,-14.266195,6.9748607,-10.088615,5.5732074,-2.6611083,0.652281,-3.48374,17.326723,93.35897,34.31384,70.18668,-9.509347,22.622896,1.0027156,43.546677,-92.05251,-44.60683,72.60263,3.9761894,13.022459,4.955644
10,-0.18877199292182922,1.5209399461746216,79.87661743164062,0.16561459917716517,6.225317638480705,-85.16829247239697,-2.1207154,4.6884766,-0.98511493,9.689895,-15.196812,-4.1013346,2.0725112,-6.6030655,-14.272631,6.974685,-10.092025,5.5789595,-2.6610868,0.65236366,-3.4836657,17.326746,93.358345,34.31376,70.18666,-9.509315,22.622879,1.0027323,43.546703,-92.05209,-44.606762,72.60261,3.9761689,13.022453,4.955629
11,-0.1714392602443695,1.5017149448394775,79.87284851074219,0.16471080174456237,6.230131024088977,-85.16908382601198,-2.1285744,4.6781974,-0.99154866,9.706985,-15.215661,-4.0908527,2.071695,-6.613,-14.280272,6.974909,-10.096491,5.592201,-2.6557033,0.6711332,-3.4782214,17.32739,93.32167,34.30034,70.17715,-9.501263,22.61613,1.0090412,43.548004,-92.028496,-44.59626,72.59389,3.9722364,13.017844,4.944972
12,-0.16510866582393646,1.5012876987457275,79.87318420410156,0.16304150304954765,6.229185324495865,-85.16921712391472,-2.1376882,4.67703,-0.9935804,9.722339,-15.224822,-4.0878515,2.069845,-6.6138697,-14.282036,6.974617,-10.096055,5.5973444,-2.655585,0.6715784,-3.4780009,17.327473,93.31877,34.299973,70.176994,-9.5010805,22.61602,1.0091628,43.54808,-92.02657,-44.595955,72.59372,3.9721386,13.017754,4.9448056
13,-0.1715066283941269,1.529219150543213,79.87750244140625,0.16637095573850788,6.219378152273995,-85.16462359892445,-2.1388786,4.670504,-0.9956237,9.711221,-15.205199,-4.0832343,2.0652654,-6.6196456,-14.281246,6.9748816,-10.084724,5.602124,-2.6535633,0.6822205,-3.4658353,17.329927,93.28994,34.29007,70.17027,-9.495392,22.611937,1.0136408,43.55163,-92.00818,-44.587326,72.58737,3.9685028,13.015023,4.937332
14,-0.17309683561325073,1.5642510652542114,79.8834457397461,0.1706616920537648,6.203527554830282,-85.14200211479279,-2.1442773,4.664978,-1.0127819,9.696399,-15.171858,-4.0806613,2.065023,-6.6230097,-14.293786,6.974343,-10.070095,5.6042595,-2.666942,0.71003497,-3.4127154,17.296959,93.24774,34.257675,70.13077,-9.477444,22.60909,1.0571134,43.55,-91.980774,-44.562004,72.532555,3.983677,13.036973,4.8303695
15,-0.17491695284843445,1.5753885507583618,79.8836898803711,0.17144262726657497,6.1931936349289165,-85.1413452283763,-2.151494,4.666959,-1.0090599,9.690674,-15.149355,-4.079874,2.054742,-6.620674,-14.284748,6.9744267,-10.054519,5.6041956,-2.6667802,0.71048045,-3.4103637,17.297417,93.23877,34.256126,70.13055,-9.477081,22.609087,1.0573521,43.55072,-91.974884,-44.56048,72.532166,3.9833128,13.03704,4.8301272
16,-0.17769646644592285,1.6011234521865845,79.88687133789062,0.17160929822478907,6.182551872775599,-85.13891739621806,-2.1608484,4.6676626,-1.0094457,9.690859,-15.1318035,-4.0797,2.0466259,-6.619005,-14.280824,6.9739447,-10.039853,5.6031437,-2.6664548,0.71369314,-3.3975573,17.299437,93.218445,34.25,70.12847,-9.475509,22.608517,1.0586264,43.554203,-91.96138,-44.554066,72.52984,3.9816074,13.037292,4.829094
17,-0.17274853587150574,1.599532961845398,79.88655853271484,0.1705245508432426,6.178643440056165,-85.13882107233509,-2.1723738,4.6664133,-1.0128808,9.701025,-15.130389,-4.080102,2.0399885,-6.6199965,-14.282907,6.9747996,-10.034113,5.603867,-2.6665812,0.71513546,-3.3939009,17.299957,93.2102,34.248276,70.12771,-9.475137,22.60824,1.0588005,43.555237,-91.95562,-44.552097,72.529205,3.9811356,13.037381,4.8291097
18,-0.170929417014122,1.6009010076522827,79.88713073730469,0.16971624304634034,6.176506043194984,-85.13895051345635,-2.1833525,4.6635413,-1.0188595,9.718389,-15.139697,-4.081387,2.0378292,-6.622495,-14.289359,6.9746723,-10.0335655,5.605419,-2.666673,0.71547234,-3.3933208,17.300022,93.20859,34.248005,70.12754,-9.475096,22.608173,1.058777,43.555416,-91.95441,-44.551743,72.52913,3.9810617,13.037408,4.8291826
19,-0.1675224006175995,1.6173083782196045,79.888916015625,0.16818785433799366,6.170749043261849,-85.13959700276813,-2.1909838,4.659874,-1.0247405,9.732228,-15.145281,-4.0811067,2.037517,-6.6256742,-14.295929,6.9740644,-10.030149,5.6060514,-2.6674953,0.7181829,-3.389608,17.300333,93.20035,34.246338,70.1263,-9.474921,22.607615,1.0583575,43.556526,-91.94801,-44.549522,72.528625,3.9806457,13.037568,4.830019
20,-0.16789619624614716,1.6355924606323242,79.88966369628906,0.1684746725076888,6.165490600755625,-85.1401192532249,-2.194786,4.655726,-1.0280012,9.735188,-15.143557,-4.079281,2.0346243,-6.6296916,-14.299333,6.974704,-10.025409,5.604288,-2.6689143,0.7235666,-3.3826532,17.300827,93.186966,34.24319,70.12381,-9.474642,22.60662,1.057208,43.558243,-91.9377,-44.545605,72.5274,3.9800851,13.037731,4.831983
21,-0.17131862044334412,1.6475517749786377,79.89025115966797,0.1689150377543158,6.160508464157921,-85.13978494689096,-2.1961174,4.654298,-1.0285608,9.731651,-15.137469,-4.0760827,2.0319352,-6.631087,-14.300475,6.974581,-10.019653,5.597705,-2.6691506,0.7249284,-3.3808048,17.301102,93.18229,34.242237,70.12334,-9.47447,22.606543,1.0568923,43.5586,-91.93411,-44.544632,72.527084,3.9799805,13.037766,4.8325295
22,-0.17005500197410583,1.6576015949249268,79.89190673828125,0.16903169332908968,6.154727746139491,-85.13919525808635,-2.1969981,4.654707,-1.0277492,9.724745,-15.127211,-4.071865,2.0281968,-6.6306434,-14.300029,6.9732046,-10.010351,5.5870023,-2.6691668,0.7262316,-3.3787642,17.301603,93.17733,34.241062,70.123085,-9.474134,22.606735,1.0565851,43.55884,-91.9304,-44.543747,72.52674,3.9799228,13.037788,4.83309
23,-0.1704140156507492,1.6682852506637573,79.89321899414062,0.16941741516713402,6.148610687526917,-85.13815672373325,-2.1965349,4.654927,-1.0265436,9.714362,-15.114207,-4.0674458,2.0236993,-6.630445,-14.298732,6.9741316,-10.001978,5.576456,-2.6689742,0.727409,-3.3766146,17.30232,93.17244,34.23972,70.123055,-9.473636,22.607176,1.0563157,43.558964,-91.92681,-44.542984,72.52639,3.979914,13.037796,4.8336334
24,-0.17255279421806335,1.6834890842437744,79.8952865600586,0.17015382924385644,6.141279687893642,-85.13605827375874,-2.1984499,4.654697,-1.0269438,9.707414,-15.100383,-4.0643535,2.0193117,-6.630733,-14.297042,6.9749203,-9.992047,5.5689006,-2.6684496,0.7297139,-3.371936,17.304068,93.163765,34.236767,70.123146,-9.472353,22.608313,1.055815,43.559067,-91.92049,-44.5416,72.525635,3.9799654,13.03778,4.834761
25,-0.1719237118959427,1.7001742124557495,79.896484375,0.17028550072145032,6.13416195035422,-85.13507567319482,-2.2053864,4.6547737,-1.027978,9.711308,-15.091587,-4.063002,2.0152771,-6.630535,-14.293708,6.9759703,-9.982832,5.5658417,-2.667936,0.7322221,-3.3667874,17.306047,93.15526,34.233566,70.12313,-9.470837,22.609453,1.0552946,43.559162,-91.9142,-44.540165,72.524765,3.9800608,13.037731,4.836074
