Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.1912522315979004,1.9283376932144165,77.90060424804688,-0.28955416797434774,-2.6748019040716895,-96.45108739997498,4.7063603,4.186013,2.065957,8.870597,-12.485653,-4.3500834,4.8108873,-2.8181689,-11.1677065,7.2688084,-13.231228,2.0155149,0.15927362,3.8689597,6.729261,2.790342,12.103314,-34.68323,53.793186,-8.246363,6.4368634,13.869854,-4.235086,-9.946047,30.78945,65.30788,9.781628,3.7240145,-8.764329
1,0.18929678201675415,1.9183489084243774,77.9032211303711,-0.2783627563488233,-2.6385284891340515,-96.45758127596666,4.6901045,4.176275,2.0751002,8.844993,-12.481326,-4.351681,4.793732,-2.819011,-11.135443,7.253785,-13.280957,2.0097146,0.17442872,3.8598704,6.7018695,2.805241,12.118655,-34.672813,53.76012,-8.250314,6.4372525,13.8993,-4.2624917,-9.9448805,30.795013,65.34023,9.806904,3.7196422,-8.767187
2,0.18812359869480133,1.90390944480896,77.90379333496094,-0.27044629046227076,-2.602178965536254,-96.46334180983656,4.671492,4.1678224,2.0843885,8.82296,-12.47658,-4.355056,4.7751184,-2.8201365,-11.103197,7.241128,-13.328328,2.003918,0.18391055,3.8518934,6.675515,2.823081,12.1362,-34.653427,53.724934,-8.2502775,6.435863,13.928257,-4.2895074,-9.945629,30.804705,65.36919,9.835251,3.7150333,-8.771576
3,0.18175318837165833,1.88983952999115,77.90501403808594,-0.2630962986499492,-2.5660100983205933,-96.46989260829166,4.6533866,4.1611953,2.0920596,8.802242,-12.476959,-4.354966,4.7595468,-2.817841,-11.071495,7.2237606,-13.380881,1.9973491,0.19389108,3.8466501,6.6490483,2.8363287,12.14903,-34.636932,53.696014,-8.252933,6.4360147,13.954703,-4.31828,-9.947964,30.8194,65.39984,9.862443,3.7118242,-8.771671
4,0.17752376198768616,1.8821041584014893,77.90522003173828,-0.2564641323647594,-2.5303566948659117,-96.47884761688202,4.6355906,4.157089,2.096077,8.787199,-12.491989,-4.34608,4.749695,-2.8093238,-11.040546,7.197319,-13.447412,1.9890571,0.19478905,3.841448,6.6261196,2.857227,12.17148,-34.615875,53.656185,-8.262839,6.440942,13.972062,-4.355862,-9.954729,30.861408,65.43229,9.892207,3.7123241,-8.761175
5,0.16894854605197906,1.8711950778961182,77.9039535522461,-0.25154640992816624,-2.490680117918825,-96.49285123785728,4.613897,4.1580873,2.0967045,8.777142,-12.525539,-4.3285494,4.73792,-2.7932668,-11.008198,7.1645412,-13.522605,1.9759315,0.22034612,3.836558,6.5960627,2.8410625,12.178509,-34.618313,53.659775,-8.283595,6.4542737,13.981586,-4.3906164,-9.957974,30.889965,65.46881,9.899937,3.717626,-8.732662
6,0.15891133248806,1.8602774143218994,77.89749145507812,-0.24594921484149113,-2.4481245761791715,-96.51027557057047,4.5897136,4.159956,2.0950375,8.769527,-12.571716,-4.304523,4.7060304,-2.7791421,-10.973406,7.168377,-13.627062,1.959401,0.21806574,3.830485,6.566399,2.8564627,12.203555,-34.605694,53.62636,-8.322659,6.475832,13.987226,-4.438585,-9.970942,30.986057,65.50484,9.932675,3.7272344,-8.697305
7,0.14308327436447144,1.8435932397842407,77.89057159423828,-0.2372019204906967,-2.4119408177402155,-96.52744234906037,4.571015,4.1597185,2.090425,8.769367,-12.626556,-4.271939,4.682242,-2.7660427,-10.939662,7.1771736,-13.760655,1.9446975,0.22827876,3.8232775,6.542817,2.8530462,12.224917,-34.60867,53.614384,-8.360098,6.4921722,13.984771,-4.4840364,-9.98306,31.06422,65.54255,9.956165,3.7372286,-8.656965
8,0.13183440268039703,1.8341392278671265,77.87113189697266,-0.22626756074910118,-2.384384288722356,-96.5404086549348,4.4101415,4.159677,2.0707588,9.093254,-12.850045,-4.229617,4.472005,-2.7967615,-10.900598,7.6227527,-14.167517,1.9384601,0.24132815,3.8166647,6.523363,2.835554,12.240602,-34.629288,53.62737,-8.392463,6.4905334,13.975675,-4.532356,-9.992885,31.128859,65.59299,9.9856415,3.7438223,-8.622432
9,0.12041214853525162,1.8231900930404663,77.84817504882812,-0.20990374002291878,-2.3721181081413105,-96.54879261504033,4.2420154,4.149874,2.0454316,9.4686365,-13.092723,-4.1725707,4.2620387,-2.841383,-10.86617,8.120225,-14.656632,1.955955,0.24753605,3.8111317,6.5188704,2.8160465,12.256011,-34.665592,53.6474,-8.420255,6.4642043,13.957435,-4.583236,-10.003017,31.187994,65.64869,10.038066,3.7470279,-8.603954
