Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-2.2694921493530273,0.22373811900615692,78.40151977539062,0.514433715282053,-3.024796617608426,-5.6384560115422895,2.6986887,1.1300657,2.7056198,8.545671,-9.230451,-1.8465974,4.7775187,-2.6521978,-11.601799,6.9370775,-10.587524,4.9036336,-0.16424848,1.9567304,9.161795,0.92890346,13.104991,-37.4803,52.992786,-3.601332,7.1573896,14.738673,-6.7882357,-8.47382,44.873703,62.91501,14.085767,3.9130929,-11.193044
1,-2.26631498336792,0.22525347769260406,78.39881896972656,0.521049463162524,-3.038323756440899,-5.641270999751554,2.726499,1.1228081,2.7260342,8.539303,-9.232144,-1.8481667,4.799149,-2.6590948,-11.598622,6.937843,-10.599161,4.910586,-0.16600317,1.9545302,9.177891,0.94496024,13.110665,-37.486332,52.956673,-3.6359665,7.154211,14.78825,-6.7880654,-8.467909,44.874485,62.91054,14.141404,3.9264672,-11.248569
2,-2.266209125518799,0.22552742063999176,78.39810943603516,0.5283299313870596,-3.0535011903239493,-5.6442431070572425,2.7565687,1.1148756,2.748582,8.532951,-9.233602,-1.8494128,4.82283,-2.666753,-11.595862,6.9381857,-10.611002,4.9186172,-0.16213304,1.9461504,9.19338,0.95672184,13.12245,-37.504086,52.925335,-3.6732414,7.146813,14.840955,-6.7839837,-8.456103,44.87219,62.90505,14.201329,3.941284,-11.310408
3,-2.2552521228790283,0.2223476767539978,78.39855194091797,0.5342796203246514,-3.0652169062006265,-5.647053181633819,2.7820837,1.1083226,2.766922,8.526521,-9.235624,-1.8513683,4.8426256,-2.6728468,-11.593281,6.9380403,-10.621288,4.925431,-0.15991102,1.942101,9.206502,0.9651951,13.126464,-37.51261,52.900127,-3.7132146,7.14437,14.887885,-6.777715,-8.45185,44.870716,62.89398,14.2534,3.954722,-11.363331
4,-2.2418344020843506,0.22046184539794922,78.40174102783203,0.5363934370604929,-3.068066145593057,-5.649400248515835,2.7959347,1.1062554,2.7744699,8.520266,-9.238769,-1.855332,4.8519287,-2.6743467,-11.591227,6.9388857,-10.629351,4.9290175,-0.1532135,1.9413247,9.206767,0.9771693,13.131171,-37.523323,52.874832,-3.778069,7.155393,14.92635,-6.771325,-8.446762,44.869682,62.89169,14.290014,3.9623146,-11.399575
5,-2.2306973934173584,0.2203868180513382,78.4018783569336,0.5312322072361989,-3.055791409110727,-5.650765531082703,2.7897236,1.1124977,2.7637823,8.513552,-9.243378,-1.8643049,4.8431225,-2.6674109,-11.5896225,6.9387712,-10.630517,4.9265633,-0.14551799,1.9467955,9.191833,0.9931512,13.132723,-37.52212,52.847744,-3.8785367,7.1919284,14.95722,-6.7657623,-8.444553,44.868263,62.892365,14.301747,3.9672623,-11.403025
6,-2.223170757293701,0.21919314563274384,78.39923858642578,0.5213967602632098,-3.0324794899906267,-5.651475002167661,2.7688377,1.1242646,2.7402322,8.507409,-9.249422,-1.8767216,4.821964,-2.6545625,-11.588381,6.9382067,-10.627855,4.9198804,-0.13854611,1.9564263,9.164484,1.0180466,13.134104,-37.51212,52.81394,-4.004123,7.246785,14.983315,-6.7628813,-8.441482,44.8683,62.899918,14.295926,3.9699965,-11.383783
7,-2.21752667427063,0.21770600974559784,78.3954849243164,0.5121245636396663,-3.0100016138555468,-5.652529480477654,2.7490134,1.1351309,2.7167358,8.501438,-9.2560625,-1.8869017,4.8016458,-2.6427956,-11.587628,6.937851,-10.62589,4.9140487,-0.13249181,1.9659972,9.134836,1.0381984,13.134454,-37.499603,52.791073,-4.125654,7.2965803,14.994047,-6.7588396,-8.438034,44.874332,62.9124,14.284801,3.9646459,-11.367537
8,-2.2133703231811523,0.21836604177951813,78.39537811279297,0.5091152953709397,-2.999378673903254,-5.654123070044818,2.7432497,1.1386917,2.7054937,8.499106,-9.264455,-1.8891542,4.795115,-2.6390293,-11.588423,6.938386,-10.6302,4.9142737,-0.12801506,1.9777066,9.109629,1.0552204,13.134324,-37.49731,52.778027,-4.215922,7.3214426,14.982767,-6.7529063,-8.435816,44.890007,62.935143,14.281973,3.9442384,-11.3784075
9,-2.20770525932312,0.2195885181427002,78.39572143554688,0.5165153157672673,-3.0075218826043035,-5.657804983357371,2.7612512,1.1298597,2.7144985,8.500442,-9.274896,-1.8788007,4.812439,-2.6484184,-11.591662,6.937913,-10.6445875,4.9252563,-0.1182739,1.9889823,9.090798,1.0553378,13.134526,-37.5133,52.793915,-4.257432,7.3042645,14.930828,-6.7375793,-8.434938,44.914555,62.97087,14.286153,3.8941562,-11.440118
10,-2.195895195007324,0.2161545753479004,78.39685821533203,0.5306622801652164,-3.027043993500479,-5.662884828267876,2.7934918,1.1130528,2.735535,8.505017,-9.2878,-1.8599093,4.8427596,-2.66659,-11.59658,6.9392414,-10.6664505,4.943128,-0.105807625,2.0012658,9.064968,1.0500402,13.135468,-37.559296,52.831047,-4.2843194,7.2601337,14.855087,-6.7085505,-8.433775,44.968277,63.01784,14.308537,3.820352,-11.540445
11,-2.1886956691741943,0.21340222656726837,78.39773559570312,0.5446144958341006,-3.0481962222041403,-5.667292061816412,2.826877,1.0965277,2.7576792,8.510568,-9.300304,-1.8399926,4.8748417,-2.6843607,-11.600973,6.940791,-10.687848,4.960066,-0.09443142,2.0113053,9.045223,1.0411613,13.13715,-37.604023,52.870243,-4.3048043,7.2125683,14.7789955,-6.681753,-8.433205,45.014862,63.05937,14.330457,3.753883,-11.6337805
12,-2.1821393966674805,0.21244096755981445,78.39769744873047,0.5526630951092171,-3.0613853668622566,-5.669353721617659,2.8489828,1.0878314,2.7704887,8.5163555,-9.312118,-1.8263865,4.897736,-2.6937926,-11.602095,6.9406033,-10.700812,4.968395,-0.08955251,2.01387,9.035109,1.0350072,13.139506,-37.631073,52.89656,-4.3403654,7.1845007,14.731621,-6.6668706,-8.433184,45.0419,63.080563,14.349671,3.7240887,-11.681176
13,-2.1809136867523193,0.20733624696731567,78.39324951171875,0.5515547153929505,-3.06287029327723,-5.66774179855096,2.8538785,1.0908267,2.7701383,8.523194,-9.322328,-1.8210831,4.905462,-2.690595,-11.597046,6.9406567,-10.701537,4.963361,-0.09617391,2.0041456,9.046823,1.0309885,13.141068,-37.621365,52.90247,-4.3946667,7.186448,14.723013,-6.6726475,-8.433286,45.034966,63.066277,14.359514,3.7507756,-11.656482
14,-2.1709468364715576,0.2029906064271927,78.39215087890625,0.5450759792953344,-3.0580926571746057,-5.663791029162189,2.8489428,1.1009461,2.7624657,8.532165,-9.332371,-1.8201623,4.9047003,-2.6800945,-11.58776,6.9413433,-10.694909,4.950021,-0.11204293,1.983518,9.0773115,1.0248668,13.146416,-37.578175,52.897038,-4.453385,7.203806,14.732759,-6.694205,-8.433281,45.000874,63.027412,14.360723,3.8140392,-11.584177
15,-2.1633331775665283,0.2020324170589447,78.39270782470703,0.5369314143986436,-3.0526058096190707,-5.6589732645502275,2.8425326,1.1131368,2.7514768,8.540686,-9.342387,-1.8221345,4.9037657,-2.667211,-11.579929,6.940858,-10.687173,4.9350786,-0.13442504,1.9640315,9.116331,1.0229104,13.153332,-37.51529,52.877613,-4.492083,7.2263064,14.744021,-6.727003,-8.433174,44.95103,62.986572,14.343564,3.8894036,-11.494622
16,-2.1536214351654053,0.20365583896636963,78.39457702636719,0.5311237636561966,-3.0489623854015315,-5.655838224206896,2.8406148,1.1221019,2.7418952,8.545574,-9.351929,-1.8255302,4.905265,-2.6577687,-11.577848,6.941249,-10.685853,4.925256,-0.14935508,1.9573802,9.129083,1.0291396,13.160983,-37.48161,52.864143,-4.521769,7.238384,14.751429,-6.742462,-8.432611,44.91788,62.96846,14.334135,3.9411128,-11.43335
17,-2.142876386642456,0.20278717577457428,78.39571380615234,0.5283227614145417,-3.0479403484063674,-5.654713443949683,2.8450458,1.1269461,2.7319562,8.545022,-9.362232,-1.8315209,4.911585,-2.6529193,-11.58574,6.9413924,-10.6937475,4.9238257,-0.15760116,1.9716563,9.104028,1.0459396,13.166197,-37.48616,52.86046,-4.5396166,7.2355237,14.753297,-6.737281,-8.4320965,44.900993,62.984325,14.326929,3.969999,-11.403011
18,-2.1346492767333984,0.20235376060009003,78.39730834960938,0.5263972119696191,-3.0481031851737446,-5.654773433007271,2.8535616,1.1300721,2.7205212,8.538953,-9.371876,-1.8403463,4.9200883,-2.649712,-11.599903,6.941814,-10.707184,4.926682,-0.16692953,1.9973943,9.061535,1.0640389,13.16832,-37.500652,52.864655,-4.54419,7.2250395,14.752373,-6.7240624,-8.431802,44.89303,63.016266,14.319181,3.989935,-11.385516
19,-2.128596782684326,0.19851228594779968,78.39452362060547,0.5254030121362225,-3.048461877636353,-5.654962897732885,2.862167,1.1323636,2.7116911,8.533528,-9.380362,-1.8492751,4.928891,-2.6473608,-11.614492,6.9419227,-10.721202,4.9295664,-0.14399722,2.0273335,9.002662,1.0848261,13.175089,-37.57096,52.868855,-4.554922,7.213037,14.757965,-6.6903133,-8.430988,44.86567,63.05692,14.309736,3.9915884,-11.38369
20,-2.1232337951660156,0.19350901246070862,78.3902359008789,0.5254730561134576,-3.051405608173526,-5.655938122936166,2.873148,1.134292,2.7115495,8.531133,-9.386365,-1.8554285,4.939158,-2.6452427,-11.622036,6.9420934,-10.731658,4.928214,-0.12121736,2.043374,8.970423,1.0855421,13.1812105,-37.618793,52.881615,-4.545213,7.2048974,14.755648,-6.667247,-8.430846,44.85529,63.08547,14.309519,3.9690104,-11.402732
21,-2.119997978210449,0.18997487425804138,78.38887786865234,0.5278493892737144,-3.059399521888608,-5.656895049874945,2.8887322,1.13465,2.726005,8.533429,-9.387182,-1.8573315,4.95342,-2.644816,-11.620029,6.943304,-10.738985,4.9206038,-0.10096876,2.0437646,8.97076,1.073163,13.184952,-37.633774,52.896313,-4.5019364,7.2006583,14.739353,-6.659217,-8.431028,44.878727,63.109703,14.325672,3.8993688,-11.462275
22,-2.116270065307617,0.1837654709815979,78.39016723632812,0.5322256177215705,-3.070981644165104,-5.658188010329781,2.9081602,1.1333323,2.7507358,8.538238,-9.38427,-1.8566908,4.9711576,-2.6459105,-11.612232,6.9430428,-10.743555,4.909368,-0.09395565,2.0341067,8.986055,1.067125,13.19403,-37.62664,52.90162,-4.440243,7.1980014,14.71656,-6.6592326,-8.431446,44.95615,63.134678,14.368147,3.792572,-11.559363
23,-2.1106698513031006,0.18063785135746002,78.39232635498047,0.5357946293680459,-3.0807233352398606,-5.659569793104098,2.92475,1.1331115,2.7738037,8.543762,-9.381711,-1.855645,4.98545,-2.645712,-11.603194,6.944941,-10.746832,4.8970337,-0.09732728,2.0206976,9.010663,1.0639637,13.204267,-37.59779,52.90064,-4.3630543,7.1982875,14.692821,-6.669873,-8.431803,45.034603,63.153934,14.406979,3.6932487,-11.645256
24,-2.1033802032470703,0.17716099321842194,78.39485931396484,0.5357068769021047,-3.083387405915335,-5.660770757737485,2.9321735,1.1369117,2.7827456,8.54724,-9.382944,-1.8564029,4.991539,-2.641188,-11.597694,6.944815,-10.745217,4.886341,-0.09405319,2.010893,9.03002,1.0515722,13.208716,-37.58215,52.909718,-4.293435,7.2020345,14.682392,-6.678013,-8.431944,45.059494,63.154152,14.420414,3.6452816,-11.676483
25,-2.097405195236206,0.17277203500270844,78.3955078125,0.5293046325355245,-3.073452419600056,-5.662160755464188,2.9227712,1.1473968,2.7689705,8.550855,-9.39363,-1.8585836,4.983085,-2.6293025,-11.596453,6.944034,-10.73694,4.876598,-0.12650031,2.0034525,9.045368,1.0661002,13.221432,-37.52907,52.892246,-4.213945,7.215245,14.6844635,-6.699715,-8.43209,45.056995,63.124474,14.413037,3.6824908,-11.619483
26,-2.092454671859741,0.16627199947834015,78.39389038085938,0.5189402130460483,-3.054994083654341,-5.663876520279645,2.902661,1.1622882,2.7409322,8.553337,-9.4093685,-1.8613393,4.9637413,-2.6126332,-11.596962,6.9434342,-10.723337,4.866874,-0.15385161,1.9975814,9.055139,1.0725543,13.230199,-37.488697,52.884037,-4.1365085,7.2346897,14.70017,-6.718615,-8.432157,45.004787,63.071144,14.385092,3.7734659,-11.504635
27,-2.093136787414551,0.1613597273826599,78.3914566040039,0.5085360872508029,-3.0372408917967237,-5.664543504466959,2.8812838,1.1773816,2.7112796,8.557869,-9.424716,-1.8661612,4.9454036,-2.59586,-11.599866,6.9426613,-10.710636,4.85923,-0.17135094,1.990327,9.074003,1.073515,13.244608,-37.452763,52.86955,-4.0648737,7.2522826,14.716649,-6.7397084,-8.432599,44.925766,63.0149,14.340007,3.8665168,-11.384709
28,-2.091346502304077,0.1570897102355957,78.391357421875,0.5027650573066211,-3.0287636499082553,-5.662936423466358,2.8726308,1.1873714,2.6931822,8.557078,-9.428879,-1.8743361,4.937595,-2.5847473,-11.605479,6.942237,-10.704145,4.855914,-0.1819357,1.9844213,9.093301,1.069003,13.255022,-37.443615,52.86596,-4.034064,7.2575364,14.740937,-6.7568793,-8.433235,44.895714,62.98703,14.323305,3.9069808,-11.329394
