Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.29500964283943176,1.3969788551330566,77.97959899902344,-0.9408965712000184,1.3278553192630083,-88.8549107924145,0.41588673,10.392461,18.203846,10.834709,-10.56776,-7.44313,-0.5115595,-5.3302126,-11.976416,10.616551,-11.807434,4.86276,-2.504097,1.4903333,9.367577,-7.62895,18.727444,-45.11522,55.340546,-10.917856,3.7735422,-2.1341832,-9.385747,-15.07212,40.275784,57.89824,10.804053,12.066353,-8.433251
1,-0.3017597496509552,1.3965777158737183,77.9861068725586,-0.9326341524691325,1.3351795041089238,-88.8622214949896,0.46279278,10.376184,18.219707,10.729565,-10.516492,-7.456742,-0.5146261,-5.329224,-11.96894,10.612169,-11.805902,4.8625083,-2.4825644,1.4866462,9.380377,-7.6327114,18.736147,-45.101246,55.335526,-10.926303,3.7908099,-2.1526866,-9.381469,-15.072967,40.27986,57.881252,10.809428,12.0588875,-8.4480295
2,-0.3104778230190277,1.3926955461502075,77.99002838134766,-0.923471390376915,1.3412673559424038,-88.87015334606792,0.5156053,10.357175,18.236935,10.615051,-10.460578,-7.470598,-0.51733315,-5.3298316,-11.960798,10.609123,-11.804064,4.8632064,-2.4683626,1.4827273,9.397285,-7.6287103,18.748316,-45.072186,55.319324,-10.931512,3.8104885,-2.1745715,-9.382138,-15.074396,40.29205,57.86243,10.815568,12.051944,-8.464053
3,-0.321880966424942,1.3796077966690063,77.99181365966797,-0.9157171162722737,1.349472825499435,-88.87683237684728,0.55981505,10.34202,18.251879,10.513606,-10.411102,-7.4840665,-0.52113473,-5.3281603,-11.953804,10.605036,-11.803769,4.8621798,-2.4573586,1.4798514,9.410895,-7.624281,18.761145,-45.044865,55.30827,-10.932626,3.826209,-2.1931942,-9.382249,-15.075762,40.304497,57.846603,10.82072,12.044852,-8.477488
4,-0.33446773886680603,1.3657317161560059,77.99067687988281,-0.9110889158645136,1.362368214300308,-88.87999002690101,0.5846073,10.335013,18.261066,10.440998,-10.375748,-7.4962244,-0.5290451,-5.3228135,-11.9500065,10.601807,-11.808437,4.8572426,-2.449926,1.4819326,9.417923,-7.6212707,18.766912,-45.03307,55.306557,-10.926141,3.83468,-2.200893,-9.3797245,-15.076092,40.30931,57.835777,10.821246,12.038685,-8.484585
5,-0.34915176033973694,1.349281907081604,77.98826599121094,-0.9122230965796477,1.3818117704680632,-88.87868266274835,0.58189267,10.34144,18.26309,10.410411,-10.361366,-7.5036573,-0.53470653,-5.3088284,-11.951736,10.582987,-11.812006,4.8470507,-2.454884,1.4911518,9.417961,-7.6163564,18.769897,-45.030876,55.31615,-10.902026,3.8314657,-2.193976,-9.376678,-15.075948,40.310055,57.83231,10.812769,12.032446,-8.4823675
6,-0.3600374460220337,1.3424482345581055,77.98567962646484,-0.9168779788793828,1.4057919365390195,-88.87425158508029,0.5598528,10.356744,18.259995,10.408906,-10.361332,-7.5076504,-0.5395548,-5.289519,-11.957165,10.554757,-11.8155775,4.833184,-2.467827,1.5033091,9.414104,-7.607417,18.778294,-45.03616,55.32709,-10.865175,3.820323,-2.1770556,-9.373783,-15.0744095,40.306538,57.83306,10.797833,12.026289,-8.473029
7,-0.36829477548599243,1.3401877880096436,77.984130859375,-0.9208861006950873,1.4317848156702382,-88.86821216149727,0.5314833,10.373165,18.254269,10.416395,-10.3655405,-7.5152054,-0.5557182,-5.2726936,-11.961909,10.547975,-11.831852,4.817302,-2.4814193,1.5157181,9.407254,-7.5981035,18.782757,-45.04498,55.33833,-10.830622,3.8075514,-2.1585288,-9.3695,-15.073021,40.300854,57.835163,10.784392,12.021843,-8.461558
8,-0.37823909521102905,1.338600754737854,77.98152923583984,-0.9197990715987263,1.4576977381271146,-88.86177602593781,0.5090258,10.383091,18.247852,10.412669,-10.363341,-7.533233,-0.5940539,-5.2657795,-11.961924,10.58947,-11.871417,4.8010936,-2.484744,1.5215387,9.398129,-7.590244,18.792025,-45.056293,55.34423,-10.811468,3.7980964,-2.1481187,-9.358387,-15.069102,40.28654,57.832085,10.776739,12.021244,-8.451394
9,-0.389863520860672,1.3282670974731445,77.98046112060547,-0.9107202365961807,1.4826929936916462,-88.85743203392188,0.49969175,10.381386,18.24339,10.385553,-10.347694,-7.565215,-0.65867877,-5.2733817,-11.953509,10.688214,-11.937675,4.7885547,-2.4803433,1.5208211,9.389613,-7.5826483,18.798649,-45.055412,55.341656,-10.8108,3.795702,-2.1493452,-9.344643,-15.065981,40.27141,57.822487,10.779932,12.029065,-8.442669
10,-0.4027360677719116,1.3181616067886353,77.97830200195312,-0.8969355656231782,1.5081276635847394,-88.85343637393164,0.49389154,10.374152,18.238232,10.350834,-10.326915,-7.606988,-0.74207497,-5.289895,-11.940378,10.826063,-12.023225,4.777482,-2.474605,1.5166807,9.380157,-7.574108,18.803732,-45.04499,55.3357,-10.8191595,3.7956254,-2.1574438,-9.329755,-15.063365,40.258335,57.80822,10.793151,12.0435,-8.433771
11,-0.41580697894096375,1.3097723722457886,77.9748764038086,-0.8811648491602194,1.5338131395864483,-88.8465600300352,0.48754182,10.365546,18.230658,10.316953,-10.3076515,-7.65358,-0.84340197,-5.3118114,-11.926107,11.005166,-12.130621,4.76086,-2.4719758,1.5102736,9.369336,-7.5637436,18.808699,-45.029118,55.328537,-10.828804,3.795271,-2.1699922,-9.313958,-15.060719,40.24667,57.794147,10.807162,12.055486,-8.425936
12,-0.4299951195716858,1.2981489896774292,77.9682846069336,-0.866074414434558,1.55941647027231,-88.83376763197315,0.47651932,10.359972,18.218935,10.2920265,-10.296132,-7.700033,-0.9581962,-5.3345494,-11.914836,11.219591,-12.258233,4.731612,-2.47966,1.5023829,9.357973,-7.546668,18.819853,-45.006794,55.315884,-10.829196,3.7922614,-2.1859896,-9.299275,-15.054713,40.237606,57.784798,10.812502,12.055559,-8.420016
13,-0.4535088837146759,1.2815580368041992,77.95599365234375,-0.8537367036430429,1.5837819525464893,-88.81215249561764,0.4579775,10.359858,18.200733,10.283021,-10.297112,-7.7457604,-1.0887048,-5.357291,-11.907694,11.477409,-12.40768,4.686124,-2.4948652,1.4983925,9.341482,-7.5298023,18.82673,-45.000736,55.310734,-10.834816,3.7797036,-2.1963406,-9.280966,-15.050528,40.2393,57.784107,10.81594,12.036034,-8.420517
14,-0.47146809101104736,1.2609336376190186,77.94599151611328,-0.8419997608665738,1.6074493421468123,-88.7842652564358,0.43370107,10.362669,18.177763,10.286614,-10.307629,-7.793092,-1.2362692,-5.382391,-11.902102,11.778339,-12.579162,4.628669,-2.516585,1.4924477,9.321974,-7.509845,18.837358,-44.999126,55.30555,-10.843325,3.7607625,-2.2063675,-9.2608,-15.043393,40.246807,57.790043,10.816237,12.003359,-8.425493
15,-0.4921890199184418,1.2414257526397705,77.93880462646484,-0.8279265421456511,1.6327413416875483,-88.75435149194462,0.4115086,10.363648,18.153936,10.283198,-10.316,-7.841583,-1.3960081,-5.410867,-11.897359,12.107629,-12.770803,4.564286,-2.5392368,1.4853184,9.298426,-7.4926643,18.843927,-44.997955,55.306496,-10.844714,3.7472925,-2.222871,-9.234043,-15.038332,40.24895,57.789032,10.813505,11.970252,-8.430134
