Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.08162548393011093,1.8881456851959229,78.10386657714844,-0.19885460694505713,1.8335906400952655,-88.17526647517145,-1.3672656,9.855686,14.976086,11.196024,-10.536854,-8.144863,0.06443557,-7.4265003,-14.906472,12.352726,-14.113546,5.597261,-2.9130616,2.3016155,8.4526615,-6.065953,19.537796,-37.396973,54.335114,-13.556495,2.9528959,-1.6515572,-6.051363,-19.209003,27.877449,54.51437,19.047014,8.945833,-11.17827
1,-0.09920375049114227,1.9190291166305542,78.09923553466797,-0.23215014681483137,1.8464580078255273,-88.25220730472996,-1.5213948,9.963605,14.982167,11.468668,-10.61568,-8.155578,-0.13390926,-7.38351,-14.824228,12.629649,-14.176272,5.52303,-2.8501935,2.3390372,8.473202,-6.079519,19.561853,-37.38006,54.330086,-13.5250845,2.930889,-1.6150978,-6.1020813,-19.218794,27.861797,54.51956,19.077076,8.916225,-11.195867
2,-0.12516407668590546,1.9518659114837646,78.09569549560547,-0.2662042415710273,1.858214535687299,-88.32894754450825,-1.6654344,10.070249,14.988526,11.725427,-10.691293,-8.1666765,-0.32364762,-7.3381953,-14.741663,12.894014,-14.234132,5.4509706,-2.791979,2.3752208,8.495571,-6.0851707,19.600605,-37.370235,54.30753,-13.49044,2.911573,-1.57839,-6.1434264,-19.231714,27.840948,54.511562,19.109161,8.886609,-11.213798
3,-0.15823233127593994,1.9922722578048706,78.0953140258789,-0.29923450255921574,1.872039641989652,-88.40610760131477,-1.8293873,10.180202,14.9930105,12.012456,-10.772375,-8.176588,-0.5290593,-7.295685,-14.660458,13.1805935,-14.300108,5.3740525,-2.7252765,2.4113452,8.520838,-6.0921073,19.636229,-37.34168,54.289494,-13.463834,2.8887424,-1.5453392,-6.1961308,-19.243979,27.82434,54.51363,19.133244,8.857857,-11.228355
4,-0.18188373744487762,2.0355234146118164,78.0964584350586,-0.33005671281403,1.8910801755749187,-88.48460063597987,-2.0473776,10.300074,14.992453,12.383714,-10.871451,-8.183633,-0.77695495,-7.2608085,-14.581962,13.528815,-14.389222,5.285157,-2.6434739,2.4487786,8.558948,-6.087696,19.676283,-37.25336,54.260056,-13.453239,2.8583663,-1.5238473,-6.274516,-19.264256,27.822405,54.528084,19.138332,8.832702,-11.2333145
5,-0.21185916662216187,2.0843827724456787,78.09580993652344,-0.3569714333464259,1.9165705155852109,-88.57114404653848,-2.316633,10.430089,14.99598,12.8357115,-10.987295,-8.187711,-1.077502,-7.235922,-14.499738,13.953766,-14.507441,5.182985,-2.5390954,2.4874244,8.6044,-6.0761137,19.705229,-37.08719,54.23294,-13.460535,2.8143737,-1.5157648,-6.384055,-19.291147,27.844383,54.568737,19.11827,8.812772,-11.224131
6,-0.2488025277853012,2.1506001949310303,78.0918960571289,-0.38088489096158706,1.9466720257963612,-88.66316984782442,-2.624318,10.568114,15.001369,13.349136,-11.116787,-8.188793,-1.4119037,-7.2169294,-14.415737,14.425183,-14.645234,5.0713177,-2.4383612,2.532744,8.661801,-6.0369334,19.73402,-36.834713,54.18123,-13.472328,2.7620173,-1.5209634,-6.519507,-19.338379,27.905834,54.613785,19.088314,8.798731,-11.204359
7,-0.28192993998527527,2.2263379096984863,78.08364868164062,-0.4050858073735701,1.9799465137194205,-88.74736416655854,-2.9813573,10.714527,14.989102,13.935536,-11.259392,-8.184666,-1.7693586,-7.200602,-14.343102,14.927574,-14.790791,4.950554,-2.3265395,2.5850089,8.730072,-6.0087385,19.752535,-36.564228,54.146683,-13.497186,2.7068243,-1.5312119,-6.6664023,-19.398245,27.964655,54.657528,19.048044,8.785712,-11.18264
8,-0.31800100207328796,2.304534435272217,78.07123565673828,-0.4320160951713428,2.014848270551809,-88.81058383271281,-3.4001892,10.870052,14.939617,14.610406,-11.415954,-8.172714,-2.1388626,-7.18406,-14.295129,15.445545,-14.935124,4.8212605,-2.2112305,2.6481595,8.814971,-6.0014524,19.763378,-36.307858,54.138115,-13.532198,2.6563287,-1.5423532,-6.815049,-19.472466,28.00093,54.68182,19.001587,8.770633,-11.167291
9,-0.3570060133934021,2.4010770320892334,78.0575180053711,-0.4612453704592182,2.0545576134702377,-88.85355678846089,-3.9046113,11.038136,14.8479395,15.414049,-11.601917,-8.14922,-2.54225,-7.171163,-14.269843,16.013346,-15.087608,4.677656,-2.0854008,2.720826,8.913714,-6.0237546,19.76842,-36.079876,54.163605,-13.590739,2.6095977,-1.5590978,-6.96387,-19.556063,27.998863,54.68401,18.941605,8.7509575,-11.162929
10,-0.41183942556381226,2.5107004642486572,78.04095458984375,-0.4917374163330233,2.098656402338412,-88.88199762019106,-4.4824104,11.218029,14.723369,16.328442,-11.811676,-8.113587,-2.9766471,-7.162079,-14.262209,16.62569,-15.248609,4.5218043,-1.9501989,2.8035448,9.026713,-6.0647755,19.768942,-35.857723,54.209465,-13.669356,2.5639865,-1.5824969,-7.11318,-19.656963,27.973198,54.663494,18.868746,8.729959,-11.163486
11,-0.4620532989501953,2.616943120956421,78.02741241455078,-0.5252642943751251,2.140156734302306,-88.8901309768003,-5.0835447,11.401153,14.568349,17.263695,-12.013694,-8.07027,-3.39264,-7.147748,-14.280299,17.203245,-15.393468,4.365676,-1.812073,2.895641,9.158936,-6.1182933,19.765182,-35.63819,54.269344,-13.744848,2.5238526,-1.60034,-7.2676916,-19.773272,27.940416,54.632675,18.797976,8.710293,-11.162921
12,-0.5088141560554504,2.7237422466278076,78.01081848144531,-0.5640902975774912,2.1721084617368547,-88.87221397652193,-5.6584797,11.577589,14.386639,18.130224,-12.17656,-8.025292,-3.7419164,-7.1189895,-14.33325,17.669996,-15.499741,4.221485,-1.6803496,2.9993947,9.317121,-6.1780524,19.757944,-35.416634,54.33455,-13.796703,2.4933457,-1.6009077,-7.430584,-19.907179,27.920954,54.59785,18.747305,8.695323,-11.154953
13,-0.5606933832168579,2.8341569900512695,77.99776458740234,-0.6226173179885406,2.180495216381979,-88.82841325928341,-6.2038536,11.765158,14.171488,18.955671,-12.315022,-7.9804444,-3.9912827,-7.0560923,-14.429467,17.994848,-15.556349,4.088074,-1.559738,3.128144,9.5138,-6.2364063,19.747534,-35.18513,54.40452,-13.8144245,2.476897,-1.5790269,-7.6027274,-20.061382,27.920683,54.557785,18.72042,8.684158,-11.138016
14,-0.6140114068984985,2.9679527282714844,77.98535919189453,-0.6956725627775353,2.1732889275208787,-88.76118713997943,-6.7431483,11.961062,13.923726,19.76959,-12.437524,-7.9342375,-4.1760626,-6.9699326,-14.562072,18.227356,-15.579908,3.960404,-1.446066,3.2780766,9.742667,-6.296841,19.734318,-34.945915,54.48045,-13.810103,2.4712474,-1.5419033,-7.7821302,-20.236189,27.931059,54.506794,18.71019,8.675992,-11.115179
15,-0.6875313520431519,3.105059862136841,77.98015594482422,-0.7557737874890935,2.1762785824212467,-88.66825431578832,-7.261486,12.122108,13.660129,20.47505,-12.496346,-7.8935704,-4.34017,-6.8955965,-14.718621,18.389917,-15.578438,3.8441796,-1.3348086,3.4236393,9.980808,-6.3687587,19.719547,-34.71042,54.557774,-13.79579,2.4690895,-1.4962106,-7.966009,-20.430466,27.946367,54.447662,18.711184,8.673911,-11.087021
16,-0.7468838691711426,3.248790740966797,77.976318359375,-0.775165173366247,2.2154307526499304,-88.54727490467542,-7.747016,12.206285,13.397766,20.982653,-12.447281,-7.8673315,-4.539008,-6.872184,-14.884742,18.531527,-15.5691595,3.7449796,-1.2208093,3.537737,10.205061,-6.4619255,19.705236,-34.490868,54.632362,-13.784703,2.463163,-1.4485377,-8.157919,-20.643341,27.964563,54.389626,18.72214,8.680776,-11.054197
