Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,1.7334043979644775,0.039987340569496155,77.9000244140625,-1.0059688851515476,2.119688516963206,-179.08559496602226,0.91715574,10.166352,18.621763,9.399345,-10.625248,-7.7443914,0.045576457,-6.2615323,-16.596786,10.488013,-12.764117,4.6321483,-2.7170398,2.3340232,8.385214,-6.731006,18.88389,-41.6159,54.417267,-8.931949,3.802524,-1.6000208,-10.342025,-14.43965,38.77806,57.629116,12.722227,12.712591,-7.1043425
1,1.7426775693893433,0.06489748507738113,77.89396667480469,-0.9911868001453439,2.157359096014809,-179.11887012276873,0.87772506,10.17554,18.654627,9.394048,-10.618712,-7.7794085,-0.15901358,-6.295503,-16.544926,10.805737,-12.918185,4.5972223,-2.7032456,2.3303626,8.387797,-6.7232857,18.899061,-41.56877,54.41618,-8.932681,3.8080945,-1.6015838,-10.348766,-14.437572,38.7243,57.597282,12.754584,12.699872,-7.0938954
2,1.7541004419326782,0.08305732160806656,77.88776397705078,-0.9783008150280256,2.1941250884797783,-179.15203854343986,0.8393296,10.186014,18.687101,9.388905,-10.613354,-7.8151712,-0.3564507,-6.3263583,-16.494242,11.110515,-13.066121,4.5642915,-2.6881177,2.3280225,8.393706,-6.712803,18.916382,-41.51494,54.40778,-8.926902,3.8148077,-1.6043024,-10.355979,-14.432532,38.663082,57.56586,12.771859,12.68907,-7.0783453
3,1.7611665725708008,0.10955023765563965,77.8835678100586,-0.9613596658633673,2.2318837145893844,-179.1854087168871,0.7996351,10.193466,18.720335,9.383964,-10.606131,-7.849398,-0.56753397,-6.363645,-16.440441,11.441616,-13.226895,4.5269566,-2.6740024,2.321056,8.398948,-6.7050405,18.934717,-41.46623,54.403137,-8.924772,3.8221865,-1.6071264,-10.366632,-14.425203,38.600613,57.53756,12.803486,12.675227,-7.0691814
4,1.7732707262039185,0.13376973569393158,77.8792724609375,-0.9342986828000064,2.2715473791134886,-179.2192785269978,0.7567395,10.192901,18.755497,9.380603,-10.594896,-7.879754,-0.8126881,-6.417353,-16.378912,11.837904,-13.4187,4.478975,-2.660828,2.3029294,8.404365,-6.707937,18.953709,-41.43052,54.410492,-8.930466,3.8313363,-1.6107206,-10.38289,-14.416958,38.5325,57.509937,12.870392,12.654844,-7.0753994
5,1.7887847423553467,0.1669987142086029,77.87128448486328,-0.8923133131179563,2.3162639756655827,-179.2551563484215,0.705966,10.180583,18.79452,9.38267,-10.5796795,-7.9037604,-1.1158519,-6.4971733,-16.30387,12.341438,-13.660018,4.415603,-2.6386502,2.2608569,8.413277,-6.716397,19.00123,-41.41954,54.402245,-8.952041,3.8487315,-1.6201549,-10.404728,-14.398323,38.43426,57.48306,12.989405,12.620305,-7.103529
6,1.803425669670105,0.20521101355552673,77.86019134521484,-0.8396886694832997,2.3644146848397223,-179.29232665725152,0.64991134,10.159557,18.836157,9.387888,-10.561247,-7.923112,-1.4590104,-6.5949473,-16.219038,12.917887,-13.934822,4.34152,-2.6210923,2.211259,8.419146,-6.7373524,19.037695,-41.41706,54.413662,-8.981564,3.8687842,-1.631321,-10.43048,-14.38533,38.340965,57.454277,13.159985,12.576497,-7.1501713
7,1.8156683444976807,0.2472733110189438,77.84597778320312,-0.7821853357412385,2.410696093180234,-179.32793820011096,0.59735805,10.134442,18.877562,9.389165,-10.539,-7.941994,-1.8017645,-6.695826,-16.133451,13.499371,-14.214517,4.264116,-2.5953555,2.1496313,8.431422,-6.7570796,19.099623,-41.432808,54.410484,-9.017359,3.887878,-1.639704,-10.456852,-14.366974,38.228725,57.421547,13.318174,12.535737,-7.1966457
8,1.8285059928894043,0.2931816875934601,77.83209991455078,-0.727314193371995,2.4495697878090574,-179.35912441726302,0.55835515,10.111458,18.915356,9.377141,-10.511506,-7.9646797,-2.102899,-6.78321,-16.056885,14.015723,-14.46815,4.190466,-2.5874872,2.1005912,8.445868,-6.7790813,19.13451,-41.43057,54.441303,-9.037013,3.8937297,-1.6375741,-10.487389,-14.35741,38.14631,57.38632,13.43258,12.5120125,-7.231969
9,1.8396271467208862,0.343538761138916,77.8182601928711,-0.6736333332419786,2.4763675091987865,-179.38479800974096,0.54393363,10.086259,18.952139,9.3399935,-10.475851,-7.9920106,-2.3512769,-6.8588877,-15.990752,14.457826,-14.6966915,4.1215343,-2.5823994,2.051711,8.470107,-6.7974644,19.17561,-41.43594,54.47907,-9.048089,3.8853712,-1.6176747,-10.515327,-14.346377,38.062794,57.343063,13.463024,12.516611,-7.2509394
10,1.8426306247711182,0.38775351643562317,77.80850219726562,-0.6185051082957029,2.4951497479782976,-179.4068038421898,0.54593533,10.058085,18.988651,9.285475,-10.433216,-8.021957,-2.5708282,-6.9301434,-15.930141,14.864208,-14.9146595,4.053583,-2.580303,1.9944228,8.505318,-6.798409,19.250473,-41.44788,54.490917,-9.058366,3.8698633,-1.5868232,-10.546181,-14.326076,37.976105,57.294655,13.440135,12.53902,-7.2612925
11,1.8488701581954956,0.43366947770118713,77.79853820800781,-0.5676281022301138,2.5133464676519623,-179.42577036030056,0.5451114,10.037206,19.01797,9.2359495,-10.390107,-8.054175,-2.7638857,-6.987023,-15.877115,15.217108,-15.109117,3.98682,-2.5916083,1.9527487,8.537007,-6.8128114,19.288288,-41.44065,54.547203,-9.056467,3.8465714,-1.5564464,-10.584647,-14.316423,37.91637,57.251274,13.413177,12.561529,-7.265025
12,1.8630311489105225,0.48428142070770264,77.78935241699219,-0.5255438902276398,2.538435149084979,-179.44274000798984,0.5237687,10.033234,19.03405,9.209791,-10.349897,-8.088536,-2.9351907,-7.0210657,-15.833554,15.504659,-15.270465,3.921546,-2.5955431,1.9136081,8.573334,-6.816813,19.363125,-41.42352,54.56774,-9.058614,3.8281326,-1.5439874,-10.633199,-14.302326,37.85016,57.212357,13.403227,12.563756,-7.2570467
13,1.8727710247039795,0.5416951775550842,77.78243255615234,-0.4957594671350439,2.569289460550125,-179.46380996261757,0.4818605,10.051032,19.03732,9.214037,-10.3165865,-8.125419,-3.0817244,-7.0246954,-15.794443,15.717084,-15.390854,3.8554683,-2.5964968,1.8979598,8.601175,-6.850306,19.393763,-41.38218,54.649193,-9.052126,3.8058755,-1.5577272,-10.692452,-14.300542,37.8069,57.18645,13.439127,12.536546,-7.233596
14,1.8798377513885498,0.6053217649459839,77.77700805664062,-0.47447564443208806,2.6025782092997023,-179.4866083196387,0.4305666,10.083393,19.030655,9.231431,-10.283299,-8.164725,-3.2026753,-7.005167,-15.760722,15.865516,-15.478844,3.7894928,-2.5958,1.8922125,8.639801,-6.871327,19.442616,-41.313885,54.701878,-9.035363,3.787337,-1.5912286,-10.764409,-14.305288,37.765858,57.15753,13.485225,12.492915,-7.1923623
15,1.8922619819641113,0.676475465297699,77.77332305908203,-0.45823748499439715,2.643677790141941,-179.4989098363675,0.3538644,10.128013,19.009521,9.275196,-10.255653,-8.205405,-3.304607,-6.972119,-15.743232,15.96043,-15.543915,3.7273126,-2.6045744,1.8933685,8.6758,-6.888162,19.504286,-41.238922,54.742626,-9.023743,3.7689173,-1.6238041,-10.83308,-14.319179,37.733955,57.120056,13.534823,12.445269,-7.152744
