Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.5268769264221191,-2.5763518810272217,78.48905181884766,-0.3522651801842907,-4.280195496338009,82.34528245157918,7.3730154,5.4453516,10.189164,10.11402,-12.412422,-3.1315138,5.88092,-0.3572137,-2.0865197,8.803158,-11.087617,3.1685076,7.9546127,4.5079494,8.06216,0.16115278,8.982114,-32.252556,61.125072,-9.757718,9.4707,5.6950727,-1.2856622,-11.352347,25.655052,67.25899,-13.344295,4.5976305,-4.2792654
1,-0.5300418734550476,-2.589425802230835,78.49430084228516,-0.35183085541165793,-4.253111440571721,82.35105817004172,7.3380184,5.442146,10.184435,10.093443,-12.388875,-3.143701,5.84041,-0.3582567,-2.082067,8.798945,-11.073685,3.161191,7.9770536,4.5172973,8.047334,0.22699592,8.988397,-32.15703,61.095306,-9.795178,9.456941,5.673474,-1.2483215,-11.361564,25.609665,67.26318,-13.300196,4.5976787,-4.296018
2,-0.531315267086029,-2.5975565910339355,78.49888610839844,-0.3524920982614149,-4.225487253403502,82.35701420786745,7.302305,5.4398327,10.179382,10.072819,-12.365925,-3.158463,5.799882,-0.35840362,-2.0766633,8.7932205,-11.059297,3.1528063,7.9864492,4.527112,8.035932,0.2873834,8.991073,-32.036648,61.073288,-9.8141985,9.444062,5.6413655,-1.2266222,-11.370046,25.571268,67.27942,-13.260942,4.595618,-4.310156
3,-0.5319823026657104,-2.613826036453247,78.50321197509766,-0.35232282481592936,-4.199529648241739,82.36276061192464,7.266845,5.436245,10.174713,10.055678,-12.343674,-3.1680856,5.7607045,-0.3600709,-2.0732558,8.788355,-11.044431,3.1465108,7.984863,4.536811,8.029819,0.3541433,8.988684,-31.89112,61.046608,-9.83299,9.426779,5.6165824,-1.2143239,-11.376655,25.540062,67.30074,-13.220598,4.593461,-4.3246193
4,-0.5338184833526611,-2.6298203468322754,78.50631713867188,-0.3488967639467692,-4.176164651844801,82.36628859684795,7.2307057,5.430023,10.17231,10.046342,-12.32346,-3.165045,5.723518,-0.36539632,-2.0736141,8.784271,-11.027226,3.145257,8.007743,4.5425687,8.013934,0.4247241,8.98407,-31.769562,61.024815,-9.900205,9.39714,5.6245522,-1.1848819,-11.378472,25.493925,67.32118,-13.16632,4.5908833,-4.346289
5,-0.5361144542694092,-2.6456658840179443,78.50792694091797,-0.3413390079678746,-4.158208640836651,82.36783059112979,7.1944222,5.418663,10.172705,10.050922,-12.30722,-3.1394134,5.6911225,-0.37723216,-2.0818312,8.781363,-11.006883,3.1520197,8.026417,4.544021,8.013232,0.50295305,8.977568,-31.611723,60.9916,-9.984922,9.349217,5.664823,-1.1615092,-11.378703,25.43434,67.33967,-13.112874,4.5838923,-4.365739
6,-0.5393701791763306,-2.6603002548217773,78.50995635986328,-0.33094692470037057,-4.144574190189656,82.36743968780296,7.15849,5.40363,10.175529,10.064449,-12.292855,-3.0979078,5.6621485,-0.39378294,-2.0951521,8.779829,-10.984427,3.1645062,8.002255,4.542616,8.0383,0.59061825,8.956253,-31.340042,60.948402,-10.039639,9.288837,5.7159214,-1.1774704,-11.376478,25.385618,67.37472,-13.071098,4.572806,-4.3797083
7,-0.545175313949585,-2.6756160259246826,78.51155090332031,-0.31970331773219823,-4.130813640681132,82.36650198055176,7.1221094,5.389036,10.178623,10.078887,-12.278723,-3.0576408,5.633114,-0.4099833,-2.107758,8.77829,-10.961097,3.1778462,8.008547,4.540672,8.046934,0.6828317,8.936261,-31.112904,60.907333,-10.138316,9.226501,5.7812157,-1.1670952,-11.372595,25.324636,67.40068,-13.018155,4.5651855,-4.4020777
8,-0.5513849258422852,-2.6896610260009766,78.5140609741211,-0.31170038890556573,-4.114861829863225,82.36589932189537,7.088384,5.378493,10.180411,10.081399,-12.260305,-3.0356233,5.6028695,-0.420782,-2.1134238,8.773737,-10.936649,3.1871743,8.007975,4.5402613,8.0555315,0.77762604,8.906225,-30.834778,60.86641,-10.21637,9.175412,5.8203273,-1.1617707,-11.366084,25.262688,67.42445,-12.984393,4.5642986,-4.427804
9,-0.5554732084274292,-2.7035655975341797,78.5191421508789,-0.3103272905802543,-4.095930506090599,82.36726853035736,7.0565195,5.3744664,10.178504,10.06894,-12.23613,-3.0420463,5.5695257,-0.42350465,-2.108937,8.768656,-10.911921,3.1903064,8.011336,4.543378,8.058445,0.8785582,8.867516,-30.515669,60.8221,-10.281744,9.138295,5.823263,-1.1512191,-11.357649,25.192589,67.44146,-12.975794,4.5746837,-4.46156
10,-0.5555869340896606,-2.7179245948791504,78.5251693725586,-0.3111264851231857,-4.075246767543726,82.36934788981827,7.0266542,5.3741274,10.174543,10.045775,-12.207255,-3.0658972,5.534402,-0.42122236,-2.0980713,8.763451,-10.886843,3.1900694,8.028696,4.5471044,8.058685,0.98526734,8.829914,-30.178656,60.767498,-10.349402,9.10973,5.805954,-1.1264464,-11.349821,25.103012,67.44261,-12.986343,4.592741,-4.500347
11,-0.5566560626029968,-2.7339589595794678,78.53048706054688,-0.3124151852312434,-4.0536983557181525,82.37003516428183,6.9972806,5.3748584,10.172173,10.021322,-12.178855,-3.0926623,5.499468,-0.41793537,-2.0854435,8.755238,-10.861229,3.1892521,8.030897,4.5523176,8.057924,1.0941243,8.777137,-29.801172,60.71992,-10.401656,9.086566,5.784499,-1.1132429,-11.339865,25.028841,67.44905,-12.995798,4.611558,-4.5389833
