Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.10402480512857437,2.0042622089385986,76.18282318115234,-0.9403813858819585,-0.4213542934951074,-91.64622611584441,-14.582178,-2.6047134,2.9113626,10.142833,-0.118626945,-9.926951,6.9591236,2.8165395,0.32782775,43.590523,-8.856561,0.28474128,-1.2647372,-0.47860372,6.738281,-6.0318317,22.085129,-40.391087,61.092228,-2.9113543,-1.5020286,9.912511,3.8828583,-13.79986,12.723373,50.82449,-9.63705,-6.05589,-8.342156
1,-0.16571779549121857,2.7439322471618652,76.06291961669922,-1.0265801376787702,-0.39341627708672766,-91.68093306561482,-15.296056,-2.388513,2.9143963,10.135548,0.5489894,-10.206844,7.3361044,2.9330046,0.080461666,42.13341,-10.151119,-0.6951749,-1.1692705,-0.3656939,6.9374814,-6.2102256,22.122288,-40.14738,60.714943,-2.941799,-1.5702443,10.038688,3.5280957,-13.809134,12.797838,50.61133,-9.667458,-6.03131,-8.3586445
2,-0.23554927110671997,3.4952991008758545,75.93415069580078,-1.1102401675403317,-0.36671687765525507,-91.71797876198893,-16.011698,-2.169317,2.917703,10.147118,1.188106,-10.497223,7.750314,3.0928833,-0.14148916,40.62794,-11.456879,-1.6538879,-1.0707905,-0.25150463,7.1293845,-6.4055223,22.139433,-39.908993,60.37192,-2.9789581,-1.6428072,10.163468,3.17668,-13.824313,12.87695,50.40122,-9.692485,-6.0045514,-8.3728485
3,-0.30819031596183777,4.258480548858643,75.80712890625,-1.2065405291098663,-0.33919350631846046,-91.75148299000807,-16.727898,-1.9386508,2.8971672,10.142582,1.8632677,-10.780428,8.1433325,3.2902484,-0.3660557,39.148796,-12.771582,-2.513092,-0.99071985,-0.12028104,7.325453,-6.59483,22.148329,-39.647537,60.030285,-2.99253,-1.715919,10.292043,2.81583,-13.846621,12.970033,50.193253,-9.716561,-5.98111,-8.39079
4,-0.3754773736000061,5.037012577056885,75.6750259399414,-1.3307265615599448,-0.3090991396258729,-91.77657950724634,-17.441315,-1.6872048,2.8286614,10.08059,2.6388078,-11.039343,8.458899,3.5159848,-0.62359077,37.764038,-14.084315,-3.199926,-0.93012595,0.04389534,7.533091,-6.78445,22.14864,-39.367886,59.690224,-2.9632502,-1.7893863,10.430747,2.4485946,-13.877968,13.065438,49.979347,-9.746437,-5.9673305,-8.416208
5,-0.4424174726009369,5.830714702606201,75.53985595703125,-1.4719555053727211,-0.2641545102859129,-91.79376632975111,-18.192635,-1.4296706,2.7253084,10.001997,3.516129,-11.204008,8.666592,3.7320297,-0.9532457,36.50734,-15.433095,-3.6907575,-0.8869858,0.23529923,7.7464023,-6.985268,22.138124,-39.073868,59.353413,-2.8730862,-1.8664517,10.582047,2.080837,-13.9180565,13.152506,49.740788,-9.794583,-5.9574404,-8.47044
6,-0.5073586702346802,6.6290507316589355,75.4069595336914,-1.6281558817659894,-0.20903642998978966,-91.8054040134663,-18.967941,-1.1675968,2.5956519,9.905424,4.470458,-11.304524,8.8038,3.9439342,-1.335392,35.329105,-16.797441,-4.0337443,-0.8505087,0.44609544,7.9628263,-7.200856,22.114492,-38.776962,59.027542,-2.7396996,-1.9460586,10.743278,1.7171197,-13.965011,13.226957,49.48312,-9.856673,-5.9507985,-8.543499
7,-0.5825162529945374,7.4573798179626465,75.28715515136719,-1.817642935271591,-0.16789573351607154,-91.81042625533262,-19.68185,-0.8740041,2.4071708,9.689342,5.524795,-11.472984,8.909737,4.202421,-1.7114762,34.18503,-18.083328,-4.272683,-0.8142825,0.6925226,8.198199,-7.423851,22.078209,-38.48571,58.71718,-2.599111,-2.0209458,10.911941,1.3590448,-14.016642,13.294925,49.230515,-9.911365,-5.9613333,-8.59284
8,-0.6521815061569214,8.25537109375,75.17581176757812,-2.069032548316432,-0.16632973701263717,-91.8084675031943,-20.237215,-0.5217374,2.1232455,9.230353,6.7079897,-11.842888,9.024004,4.5579004,-2.0183816,33.032352,-19.198063,-4.458162,-0.7916206,1.0004097,8.4704485,-7.6322365,22.019838,-38.1775,58.4224,-2.4749246,-2.0850832,11.084957,0.9977084,-14.09154,13.387845,49.009106,-9.927016,-6.001885,-8.575619
9,-0.7156946659088135,9.056321144104004,75.07494354248047,-2.3857239834487416,-0.21423230614471397,-91.79202539378232,-20.649399,-0.1178538,1.7146134,8.563181,8.027173,-12.373666,9.152121,5.0134635,-2.240128,31.86099,-20.12495,-4.5931644,-0.7768818,1.3711345,8.799509,-7.8397026,21.94254,-37.85871,58.143642,-2.3749068,-2.1325462,11.278205,0.6310595,-14.190938,13.497151,48.814156,-9.87865,-6.0935597,-8.453733
10,-0.7794504165649414,9.870156288146973,74.98140716552734,-2.7551772062702944,-0.29884411553307955,-91.76498407104044,-20.939354,0.32602942,1.2040288,7.6956034,9.482326,-13.020467,9.270995,5.5342712,-2.4077234,30.699461,-20.911364,-4.67253,-0.77251256,1.7958152,9.173911,-8.045662,21.848091,-37.52718,57.876698,-2.2838507,-2.16839,11.487157,0.26153332,-14.313641,13.620512,48.634033,-9.784224,-6.223109,-8.257973
