Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.1255483627319336,2.5910563468933105,78.46089935302734,0.450644933745837,-6.50979480869543,-88.58027626764448,12.290506,3.292054,5.675065,8.889099,-12.359593,-4.8066893,12.081593,-4.246342,-1.1495789,8.7842045,-14.26102,6.896236,3.059251,1.8598111,6.590053,8.19248,6.2568145,-14.782156,57.907295,16.95397,1.0274365,7.200787,7.5358114,-14.879571,34.52557,58.12324,1.6467551,3.5706944,-19.20365
1,-0.12061350047588348,2.6019842624664307,78.46327209472656,0.4191400605372995,-6.521117758656045,-88.68628827963111,12.305113,3.3327005,5.7543674,8.909953,-12.404558,-4.7862806,12.049044,-4.1958785,-1.0252888,8.802134,-14.23595,6.875136,3.0078783,1.910584,6.613116,8.204242,6.2568684,-14.8680525,57.926243,17.143604,1.0135419,7.180276,7.4891467,-14.886941,34.489178,58.222305,1.664433,3.6115854,-19.216927
2,-0.11431247740983963,2.6188242435455322,78.46171569824219,0.3891614992205159,-6.530689115131464,-88.79695267852799,12.319311,3.3738322,5.835831,8.929275,-12.44994,-4.764414,12.015465,-4.1440973,-0.8960179,8.8167305,-14.207802,6.855249,3.002353,1.9686551,6.6286764,8.202388,6.264541,-15.0208235,57.953804,17.313644,1.0012699,7.1580634,7.464906,-14.890751,34.39656,58.32295,1.6692314,3.6545997,-19.228823
3,-0.11153307557106018,2.638622999191284,78.46095275878906,0.35907276500516433,-6.543814012562293,-88.89835493978826,12.335209,3.4139547,5.9127707,8.94941,-12.493608,-4.745702,11.985133,-4.094604,-0.77713597,8.835679,-14.184414,6.83289,2.971909,2.014426,6.6524224,8.203328,6.272695,-15.131704,57.980755,17.493397,0.9912717,7.14835,7.430524,-14.888034,34.338165,58.413723,1.6808382,3.6907616,-19.241814
4,-0.1031867116689682,2.6487889289855957,78.46028137207031,0.33329598981416253,-6.565332423182623,-88.97552843646618,12.357445,3.4519067,5.9773064,8.9657955,-12.529364,-4.7346673,11.969152,-4.049778,-0.68577623,8.853172,-14.166919,6.804402,2.9758508,2.046515,6.686784,8.178067,6.2901945,-15.284233,58.027912,17.649935,0.9981732,7.1896462,7.4330163,-14.872641,34.253353,58.451996,1.6896294,3.7071354,-19.25502
5,-0.09678541123867035,2.669262170791626,78.46006774902344,0.31022978575889854,-6.601492093775111,-89.01520917680459,12.388107,3.4873416,6.0233674,8.98367,-12.558809,-4.7333894,11.97304,-4.01277,-0.63910306,8.875185,-14.162943,6.762662,2.9476688,2.0556788,6.7506943,8.140931,6.3073015,-15.396399,58.08139,17.803585,1.0244275,7.286484,7.4344187,-14.847039,34.21189,58.447727,1.719219,3.6948116,-19.284056
6,-0.1037503033876419,2.694800853729248,78.45951080322266,0.2903526505984199,-6.64775083407398,-89.0279554311466,12.425873,3.5208569,6.056095,8.999416,-12.581964,-4.739208,11.99122,-3.9813209,-0.6242619,8.899895,-14.168324,6.71166,2.9050095,2.0477102,6.832733,8.093382,6.32589,-15.4930935,58.142365,17.951117,1.0662482,7.426022,7.4352856,-14.806159,34.193478,58.42064,1.7613337,3.6617892,-19.325453
7,-0.11128323525190353,2.7187206745147705,78.4604263305664,0.2730650105463283,-6.694198698077378,-89.03662860110327,12.4640465,3.55245,6.0860195,9.012051,-12.599763,-4.749295,12.009872,-3.9513688,-0.6109533,8.92472,-14.172909,6.6644397,2.869536,2.0244055,6.9051805,8.043912,6.3481264,-15.575999,58.218727,18.101145,1.1103294,7.588678,7.43269,-14.737546,34.192448,58.39267,1.7970402,3.6218708,-19.351486
8,-0.12051458656787872,2.7399611473083496,78.46238708496094,0.25568989670502,-6.730800186799342,-89.06359281574926,12.497418,3.5821493,6.1229095,9.018012,-12.611819,-4.761213,12.016937,-3.9190607,-0.56945556,8.942484,-14.163761,6.6340704,2.8544114,1.9874835,6.942491,8.003971,6.3727617,-15.635756,58.314827,18.2679,1.1432911,7.7552943,7.4200697,-14.6303835,34.213875,58.382786,1.8111849,3.5913994,-19.33549
9,-0.1274268925189972,2.7628722190856934,78.46195220947266,0.23882730539824423,-6.75592456346469,-89.11716398533106,12.525415,3.6113658,6.171203,9.017613,-12.617738,-4.7770543,12.009863,-3.8804467,-0.48240465,8.951529,-14.135206,6.6262684,2.8789368,1.9486926,6.934451,7.9689136,6.3840194,-15.674867,58.447758,18.484398,1.1626234,7.9367914,7.450871,-14.545645,34.253395,58.315914,1.8103629,3.5796678,-19.2432
10,-0.13105592131614685,2.7832205295562744,78.46344757080078,0.22312962691439936,-6.7746699088833084,-89.18445617346435,12.552103,3.6393073,6.22492,9.009994,-12.616741,-4.797303,11.995735,-3.8387313,-0.36905992,8.95363,-14.093696,6.63328,2.9332635,1.8938384,6.8877025,7.932195,6.391128,-15.699077,58.621067,18.73347,1.176976,8.141254,7.4824677,-14.421248,34.310043,58.262363,1.7939003,3.5730162,-19.104181
11,-0.12934620678424835,2.8028202056884766,78.45942687988281,0.20846055647504216,-6.78681643349149,-89.25681314644419,12.572671,3.6641183,6.2792625,8.999728,-12.612585,-4.816539,11.97476,-3.799984,-0.25342786,8.952524,-14.048305,6.6483035,2.981228,1.8452957,6.839813,7.8998504,6.3903093,-15.701427,58.786007,18.955242,1.1834226,8.336762,7.512882,-14.303969,34.384094,58.18543,1.7599041,3.5706916,-18.956564
12,-0.12551183998584747,2.802872896194458,78.45803833007812,0.19541712454411758,-6.7922885103775785,-89.32511823584683,12.582162,3.6845047,6.329064,8.992473,-12.609734,-4.8295074,11.948588,-3.769503,-0.15994518,8.948684,-14.006902,6.6643896,2.988642,1.8184577,6.821378,7.87722,6.383334,-15.67785,58.901047,19.087822,1.1792738,8.492668,7.5166116,-14.203874,34.476715,58.0927,1.7038659,3.5688274,-18.842522
13,-0.11854895949363708,2.8082144260406494,78.45637512207031,0.18540376976984546,-6.79297647203342,-89.38494031015662,12.580295,3.6949759,6.3661804,8.985673,-12.605651,-4.8326383,11.919784,-3.7530334,-0.10053955,8.939434,-13.968578,6.686812,2.9183915,1.8164482,6.8516784,7.8751097,6.3676195,-15.595044,58.946068,19.123438,1.1503193,8.595408,7.444117,-14.092266,34.60901,58.03065,1.605956,3.5684853,-18.784233
14,-0.10777140408754349,2.8199353218078613,78.45577239990234,0.17945153800285316,-6.787893567587501,-89.44179767280983,12.56807,3.6987526,6.3952703,8.979584,-12.600145,-4.829639,11.887403,-3.7459552,-0.060490105,8.92371,-13.929606,6.7169447,2.8047252,1.8367538,6.9162483,7.8882933,6.346201,-15.475288,58.937263,19.087915,1.1012719,8.66064,7.347772,-14.003214,34.7635,57.940178,1.4755098,3.5731485,-18.750332
15,-0.10420690476894379,2.8422696590423584,78.45629119873047,0.17146539706948535,-6.774081205990103,-89.50179439140786,12.549568,3.703931,6.4319024,8.972307,-12.595538,-4.8254104,11.845202,-3.7394452,-0.023679243,8.910498,-13.894929,6.7417436,2.6902986,1.8621345,6.9719253,7.8988085,6.3185434,-15.3552685,58.920803,18.988703,1.0603458,8.711424,7.254161,-13.919681,34.929234,57.835896,1.3496183,3.5741446,-18.725027
16,-0.09746837615966797,2.866042137145996,78.45914459228516,0.15904404368068328,-6.748261191184052,-89.57092143082663,12.527646,3.718878,6.491233,8.963959,-12.595063,-4.824956,11.788557,-3.7247405,0.02560831,8.905728,-13.868845,6.7484026,2.637013,1.8793043,6.9819517,7.8864107,6.293933,-15.294855,58.933533,18.825092,1.0555564,8.76845,7.2213273,-13.852853,35.069633,57.68678,1.261778,3.5643077,-18.686731
