Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,2.577188730239868,-0.017861943691968918,77.75174713134766,0.2669569019138428,-7.030599327961647,178.64397622136383,13.610496,1.7898927,5.970851,9.427378,-13.8025,-2.4902344,12.283587,-6.224413,-0.626143,10.548368,-14.762346,6.8219686,3.4570348,0.8809471,6.2492046,7.8312154,5.530971,-15.303618,58.216118,18.250444,0.04590417,7.8883824,4.6743903,-10.677412,33.522247,60.407864,0.88853085,3.4491656,-20.27017
1,2.592531681060791,-0.010102130472660065,77.75717163085938,0.2702600360432096,-7.056095104773436,178.60933483062723,13.632989,1.8012183,6.0079484,9.445618,-13.806721,-2.4684913,12.298037,-6.2167172,-0.5940138,10.549077,-14.761406,6.8310895,3.4411623,0.87922066,6.2854104,7.8173447,5.5260415,-15.305902,58.121826,18.19868,0.02711601,7.873412,4.688204,-10.681139,33.507824,60.3891,0.9561421,3.4219844,-20.289457
2,2.600191831588745,0.004432570654898882,77.75875091552734,0.27468166671000344,-7.083642725626036,178.57382817661104,13.658227,1.8112899,6.046158,9.463187,-13.810107,-2.4439611,12.314192,-6.210726,-0.56171143,10.550986,-14.76184,6.8418703,3.4519322,0.89410055,6.330057,7.7837257,5.499324,-15.3349695,58.035957,18.14961,0.012049452,7.8645997,4.710192,-10.697481,33.441784,60.3654,1.0028533,3.3935678,-20.303432
3,2.605679750442505,0.011398488655686378,77.75921630859375,0.27678370662226626,-7.108678818939898,178.53949692188985,13.6804085,1.823582,6.082647,9.48064,-13.8143015,-2.4247737,12.328148,-6.201521,-0.5294194,10.551221,-14.76008,6.849544,3.4567747,0.9032505,6.3671885,7.748706,5.479027,-15.356314,57.963543,18.099297,-0.004422278,7.853458,4.727415,-10.707521,33.395348,60.34657,1.0590711,3.3644638,-20.319012
4,2.6037981510162354,0.012720281258225441,77.75965881347656,0.27370752708024704,-7.1292017490434745,178.50772276367204,13.69966,1.8407559,6.1148734,9.492102,-13.81743,-2.4187613,12.337689,-6.1847286,-0.49702728,10.549946,-14.75455,6.849565,3.483938,0.9291268,6.398007,7.676887,5.4326305,-15.391803,57.9473,18.05556,-0.018148946,7.8465633,4.746666,-10.730624,33.325333,60.323887,1.1090665,3.333515,-20.329643
5,2.6123671531677246,0.021875018253922462,77.75926971435547,0.2618699850836809,-7.140495892660328,178.47883825615642,13.711778,1.866615,6.141978,9.4939,-13.818185,-2.4337862,12.334506,-6.1548414,-0.46237448,10.551584,-14.745307,6.8383045,3.4861255,0.9333775,6.4189997,7.644162,5.4259496,-15.389993,57.90768,18.009613,-0.03197923,7.8186383,4.7370315,-10.734056,33.312508,60.316154,1.1891669,3.2893736,-20.339808
6,2.618546962738037,0.02910931408405304,77.7596435546875,0.24340147216518482,-7.147326245628042,178.45117959123957,13.720809,1.8995694,6.1664863,9.489691,-13.818164,-2.4638205,12.326154,-6.115071,-0.42540106,10.551001,-14.730909,6.8190856,3.5082617,0.9535061,6.447891,7.551946,5.3926344,-15.378835,57.934093,17.976849,-0.04807363,7.7852874,4.718113,-10.752809,33.269302,60.301113,1.2635869,3.2361786,-20.33963
7,2.628964900970459,0.04417022317647934,77.75785827636719,0.22594750748070758,-7.1534849484314424,178.42686976035736,13.729914,1.9296803,6.1865196,9.483122,-13.8171,-2.4954047,12.316104,-6.077609,-0.3922805,10.555813,-14.719947,6.7976227,3.5177684,0.972446,6.4684906,7.4793596,5.3606253,-15.367508,57.955566,17.946922,-0.06099244,7.757073,4.6940928,-10.773684,33.25186,60.290806,1.3402697,3.195021,-20.342936
8,2.6342103481292725,0.052095927298069,77.75933074951172,0.21593825130820096,-7.165221477565001,178.40753433180495,13.742687,1.9496449,6.200779,9.481909,-13.816854,-2.5155745,12.315878,-6.052757,-0.3690796,10.560468,-14.713191,6.7792554,3.5153568,0.97622514,6.4860153,7.4284563,5.3522396,-15.367954,57.963474,17.920578,-0.07445516,7.739175,4.6653333,-10.779851,33.251118,60.290985,1.3996587,3.185928,-20.353941
9,2.6338207721710205,0.06031883507966995,77.75950622558594,0.21806853033694,-7.1870303748176925,178.394564875081,13.764825,1.9518758,6.20615,9.48608,-13.816902,-2.5171888,12.328686,-6.0489383,-0.35948807,10.572544,-14.716178,6.765551,3.498978,0.9890151,6.507857,7.367004,5.321769,-15.391068,57.993603,17.898129,-0.092159994,7.750824,4.6298394,-10.803837,33.2674,60.29457,1.4395539,3.2321677,-20.381752
10,2.63222336769104,0.06950879096984863,77.75991821289062,0.22804598924656475,-7.214475966713713,178.38691991747126,13.792281,1.9422765,6.2039423,9.491819,-13.81601,-2.5084646,12.348766,-6.058732,-0.35992107,10.590772,-14.725829,6.7533965,3.4721963,0.9906031,6.5289392,7.3260818,5.30739,-15.426861,58.01147,17.878763,-0.112745136,7.774132,4.584704,-10.817346,33.296482,60.310097,1.4603314,3.3158853,-20.42015
11,2.6399426460266113,0.07459484040737152,77.76355743408203,0.23926526013109678,-7.241622770223219,178.3814642070862,13.819342,1.9317495,6.2011533,9.498277,-13.815476,-2.4989083,12.369831,-6.070485,-0.36320123,10.608471,-14.737507,6.742349,3.4423993,0.98751104,6.5479703,7.291106,5.299065,-15.459345,58.02636,17.87487,-0.12515764,7.795869,4.540168,-10.8266115,33.323112,60.32797,1.4658533,3.3983643,-20.448685
12,2.6443889141082764,0.07507538795471191,77.76374816894531,0.24493739917731194,-7.2623974029663225,178.37454135267956,13.840194,1.9311373,6.205365,9.501714,-13.814224,-2.4979024,12.38569,-6.072453,-0.3618648,10.6182,-14.745922,6.7319107,3.4168255,0.99022585,6.5569196,7.2560973,5.289686,-15.495559,58.045197,17.874998,-0.114527725,7.812721,4.506797,-10.838199,33.352257,60.3454,1.4840683,3.440028,-20.454643
13,2.644179105758667,0.08435774594545364,77.76188659667969,0.2421955788539678,-7.274207801674099,178.36447344879315,13.853469,1.9464021,6.2223535,9.500368,-13.813231,-2.5108144,12.392819,-6.0591526,-0.35265273,10.618128,-14.750986,6.7214065,3.3957903,0.99549395,6.55782,7.219554,5.279814,-15.510319,58.06245,17.90646,-0.07133434,7.805165,4.488197,-10.851528,33.362793,60.35731,1.4942529,3.4184952,-20.410242
14,2.6484122276306152,0.09522391855716705,77.76215362548828,0.2346874565623216,-7.280180987819782,178.3534277664083,13.8613205,1.9709284,6.2468033,9.49656,-13.812246,-2.5317433,12.394873,-6.037345,-0.33987233,10.611995,-14.754721,6.711188,3.3750885,0.9985111,6.5523577,7.19053,5.275664,-15.511027,58.07167,17.96146,-0.004358508,7.7840023,4.4766254,-10.857918,33.362797,60.36988,1.4944715,3.360067,-20.334042
15,2.660714626312256,0.10059889405965805,77.76266479492188,0.22699452398449646,-7.2848513243061115,178.34385936455453,13.867537,1.9952741,6.2694263,9.492523,-13.810512,-2.5529497,12.396926,-6.015148,-0.3279384,10.603334,-14.757108,6.70266,3.3562224,1.0052972,6.5492163,7.1462135,5.2666965,-15.504998,58.097332,18.02611,0.063715175,7.7622585,4.467897,-10.871752,33.35647,60.379177,1.489471,3.2924848,-20.254179
16,2.6645641326904297,0.10524263232946396,77.7603759765625,0.2230420197967184,-7.290299143955254,178.33901561338453,13.871653,2.0110393,6.2796955,9.492793,-13.807638,-2.5669463,12.399728,-6.000615,-0.32186738,10.599793,-14.7597,6.6971474,3.3359325,1.0082015,6.5494213,7.1142497,5.263225,-15.503804,58.114784,18.08699,0.113263085,7.756153,4.461163,-10.877917,33.353313,60.386936,1.474578,3.2515647,-20.21146
17,2.6659936904907227,0.11805043369531631,77.7579574584961,0.22552864638959846,-7.2969330544724835,178.3415935814315,13.874149,2.012223,6.270377,9.495988,-13.80006,-2.569503,12.40782,-5.998289,-0.32546395,10.595803,-14.758764,6.697773,3.3138373,1.0102011,6.557237,7.081735,5.2601027,-15.507534,58.13723,18.145845,0.13380726,7.7710056,4.454611,-10.884173,33.350826,60.394093,1.4475428,3.244432,-20.218107
18,2.667205810546875,0.12361519038677216,77.75796508789062,0.2317458125333938,-7.303120303599631,178.3493178969799,13.872766,2.0048966,6.248539,9.504172,-13.790806,-2.56538,12.416018,-6.0033216,-0.3350276,10.595724,-14.758078,6.702871,3.2902691,1.011063,6.5675073,7.0532994,5.258351,-15.514253,58.160934,18.206738,0.13835712,7.799852,4.451084,-10.888441,33.34919,60.40117,1.410441,3.2548442,-20.255743
19,2.669921875,0.13011594116687775,77.75973510742188,0.2379939285562227,-7.3102224695863836,178.35751672194132,13.873051,1.9966488,6.225529,9.510935,-13.781889,-2.5602987,12.424298,-6.008802,-0.34475204,10.597838,-14.757258,6.706735,3.2695715,1.0134408,6.5805755,7.025823,5.256365,-15.523018,58.183426,18.261465,0.14023204,7.833099,4.447085,-10.894321,33.346264,60.405617,1.3714666,3.2725368,-20.302303
20,2.676053285598755,0.13475686311721802,77.76146697998047,0.2402799305095728,-7.319758365684274,178.36178511702332,13.876309,1.996077,6.2123213,9.5184355,-13.7795315,-2.5601342,12.43402,-6.0077505,-0.3494246,10.598235,-14.754708,6.7035484,3.2610898,1.0214578,6.595461,6.98648,5.2531657,-15.536733,58.214302,18.300278,0.15051161,7.8614116,4.449901,-10.906529,33.333603,60.392754,1.3367808,3.289047,-20.33436
21,2.681187868118286,0.14734013378620148,77.76117706298828,0.2364639636719316,-7.331744209420025,178.3613774884483,13.885884,2.0066457,6.212236,9.520845,-13.784893,-2.5684252,12.441034,-5.996291,-0.34654477,10.60581,-14.755088,6.6859756,3.2519515,1.0309571,6.6074314,6.961557,5.252434,-15.536981,58.228016,18.32527,0.17980841,7.8782864,4.448201,-10.914098,33.32441,60.376846,1.2977802,3.31078,-20.347673
22,2.6809139251708984,0.1479186862707138,77.76268005371094,0.22921097131983997,-7.34642593466954,178.35864693414345,13.900082,2.0232663,6.219071,9.521266,-13.796113,-2.5814195,12.447023,-5.9790273,-0.33933878,10.619216,-14.757274,6.6591206,3.249673,1.0406053,6.6266923,6.923067,5.2533956,-15.527278,58.247795,18.342056,0.216662,7.8880434,4.4512815,-10.924379,33.305515,60.339443,1.2493664,3.3420603,-20.351067
23,2.6855199337005615,0.1543608456850052,77.76313781738281,0.22168940581525215,-7.361797275491842,178.35201286538813,13.915351,2.041004,6.231745,9.521982,-13.807421,-2.5938373,12.453807,-5.9614954,-0.32900476,10.628262,-14.756481,6.635518,3.246422,1.0515655,6.6424904,6.8991523,5.255838,-15.515554,58.25815,18.352774,0.25060874,7.8978915,4.446299,-10.930886,33.29405,60.31415,1.2185704,3.3607814,-20.35254
24,2.691927194595337,0.15586279332637787,77.76470947265625,0.21699950087188397,-7.377430130070147,178.3393555329274,13.93094,2.0542285,6.24977,9.523022,-13.812051,-2.6005235,12.461967,-5.949147,-0.3163261,10.630328,-14.752666,6.6278625,3.2475994,1.0602939,6.6621656,6.869954,5.261002,-15.499244,58.278088,18.368902,0.2640281,7.9066315,4.441655,-10.938141,33.282364,60.287098,1.218215,3.350662,-20.352032
25,2.6992390155792236,0.16027437150478363,77.76282501220703,0.2174407154140253,-7.39336269800828,178.3143203350913,13.945513,2.0607817,6.2796464,9.527354,-13.806554,-2.5978284,12.470105,-5.9452744,-0.2973483,10.621178,-14.7427845,6.647185,3.25775,1.0686342,6.6782694,6.848212,5.267308,-15.4893875,58.305027,18.386946,0.24894021,7.9227304,4.4311376,-10.943651,33.278233,60.277992,1.2856826,3.2826633,-20.353434
