Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.20404858887195587,2.4818527698516846,72.69654083251953,2.4141752262460576,-6.07032333648286,-85.7719442511835,33.027073,-1.267972,14.238841,7.0072875,-18.901041,-7.3183646,-21.418472,-8.5936575,-17.260035,6.5561132,-6.8446765,8.26457,-9.336913,-3.9295113,15.190208,-15.799584,21.501171,-25.734055,55.51297,12.885019,-4.7850466,17.174755,5.7283144,-13.639328,30.928371,70.16348,-5.626637,-4.304855,-4.705234
1,-0.31630629301071167,1.396699070930481,72.71168518066406,1.893272270517208,-5.388388555452777,-86.28462501343837,33.168526,-0.59080166,14.574721,7.1247067,-17.792452,-7.9711223,-21.667725,-7.4273095,-16.942417,6.6136866,-4.2325535,6.6371603,-8.882299,-3.216931,14.722595,-15.749777,21.523005,-25.566359,55.02347,13.168909,-4.671351,17.341166,5.5325923,-13.649537,31.014727,70.59572,-5.514139,-4.3409214,-4.6304097
2,-0.4183947443962097,0.2846788465976715,72.71156311035156,1.33348466833709,-4.674514652223742,-86.79994180230666,33.282207,0.12091794,14.931015,7.257198,-16.77161,-8.67842,-21.982744,-6.228241,-16.672348,6.6767735,-1.5333145,4.9576483,-8.447594,-2.4732487,14.217257,-15.724893,21.53604,-25.373396,54.551537,13.486007,-4.5512757,17.504414,5.30482,-13.648085,31.129078,71.07829,-5.4010262,-4.3864784,-4.559232
3,-0.5232381820678711,-0.8467870950698853,72.70818328857422,0.8054320618070554,-4.02538848640173,-87.30630879995232,33.437874,0.7835006,15.252113,7.4243727,-15.613064,-9.291596,-22.224838,-5.1057787,-16.46881,6.7549663,1.0731853,3.4636066,-8.057457,-1.78629,13.73569,-15.610156,21.546265,-25.12057,54.084976,13.776964,-4.4556513,17.666704,5.041694,-13.629442,31.29532,71.588806,-5.2642736,-4.42115,-4.4925947
4,-0.6516629457473755,-1.9826209545135498,72.72050476074219,0.35018463732845867,-3.534788569743152,-87.78812280489133,32.749584,1.6171442,15.464633,9.740896,-15.193632,-9.672216,-23.673288,-4.5692906,-16.226923,9.988493,1.7386515,2.381271,-7.6446614,-1.2077626,13.349226,-15.406869,21.535576,-24.913948,53.69169,13.938112,-4.417535,17.8405,4.821618,-13.606417,31.420599,72.032486,-5.1073074,-4.4282227,-4.419838
5,-0.7739132642745972,-3.131230115890503,72.74056243896484,-0.07410394074360939,-3.2146023789804383,-88.20738699897429,31.729834,2.553283,15.50828,13.13499,-14.919098,-9.789394,-24.792,-4.1763434,-16.170609,13.100587,2.1997907,1.8724474,-7.3190713,-0.6903514,13.048645,-15.039693,21.492252,-24.662756,53.36216,13.97235,-4.470925,18.043152,4.5833373,-13.560518,31.592106,72.49493,-4.884677,-4.3921504,-4.3376927
6,-0.8930044174194336,-4.29868221282959,72.78763580322266,-0.5190118011206777,-2.9966107892023017,-88.5557642036322,30.685717,3.5526056,15.421465,16.770004,-14.456901,-9.718093,-25.545732,-3.8419518,-16.285374,15.836696,2.6512647,1.7312111,-7.0407667,-0.16812387,12.796439,-14.595778,21.416245,-24.438807,53.1012,13.897877,-4.588015,18.26929,4.368208,-13.509529,31.744999,72.93572,-4.627969,-4.325743,-4.245165
7,-1.0055612325668335,-5.482183933258057,72.85602569580078,-0.9667552881301728,-2.854321744911211,-88.86565865431169,29.558369,4.585561,15.290038,20.630999,-13.774789,-9.472054,-26.044575,-3.5429013,-16.438007,18.32948,2.9000447,1.6192033,-6.801126,0.34173515,12.593845,-14.074175,21.303268,-24.18637,52.89962,13.769281,-4.720313,18.477566,4.137192,-13.46055,31.91027,73.33749,-4.371178,-4.2537055,-4.1636853
8,-1.124940037727356,-6.688891887664795,72.9439468383789,-1.3738736066383137,-2.772223252788328,-89.16907388450169,28.314901,5.594295,15.194797,24.682243,-12.826878,-9.05773,-26.362942,-3.2440298,-16.49423,20.628983,2.7962546,1.2380435,-6.5826635,0.79048,12.448741,-13.480479,21.149185,-23.860758,52.754974,13.639086,-4.81874,18.627464,3.856815,-13.420122,32.110558,73.68217,-4.1490526,-4.201198,-4.1150765
9,-1.220776915550232,-7.875393390655518,73.0529556274414,-1.6981957854137582,-2.79489556328567,-89.52764914109574,27.01756,6.524701,15.222915,28.948212,-11.542163,-8.405727,-26.50513,-2.9035466,-16.32886,22.801113,2.2228873,0.46101058,-6.3543243,1.1332419,12.405868,-12.7631035,20.941593,-23.382782,52.655636,13.524762,-4.8642936,18.713776,3.5092845,-13.394391,32.386955,73.982445,-3.937569,-4.1775384,-4.1044035
10,-1.3190618753433228,-9.012028694152832,73.17650604248047,-1.9594253337458722,-2.9255694773442564,-89.926418046564,25.69243,7.424142,15.348754,33.41353,-9.955201,-7.512517,-26.439037,-2.5106382,-16.009157,24.80352,1.2982895,-0.51030976,-6.120442,1.3981905,12.458519,-11.937537,20.67782,-22.788527,52.60802,13.401229,-4.8856587,18.757328,3.116718,-13.385213,32.726097,74.239235,-3.725655,-4.1679287,-4.1193357
11,-1.41798734664917,-10.153881072998047,73.32827758789062,-2.1981265544121658,-3.087593285975017,-90.28270095858831,24.259394,8.374337,15.476012,37.973583,-8.173161,-6.483712,-26.177494,-2.0763865,-15.689562,26.500368,0.234063,-1.4718066,-5.9095373,1.6380686,12.539949,-11.108516,20.375282,-22.215517,52.630585,13.254521,-4.903943,18.756268,2.712427,-13.388413,33.05639,74.409645,-3.5723944,-4.161422,-4.1552095
12,-1.5022962093353271,-11.288893699645996,73.4832992553711,-2.462160458109384,-3.201595137488128,-90.5141776294526,22.614004,9.451706,15.491573,42.563366,-6.319378,-5.435108,-25.743181,-1.6377429,-15.531366,27.782417,-0.7843982,-2.2277718,-5.745941,1.9059817,12.5817585,-10.373264,20.063627,-21.807026,52.73437,13.067417,-4.9398084,18.707756,2.3272347,-13.395398,33.297955,74.45173,-3.5401037,-4.147722,-4.2077923
13,-1.6073966026306152,-12.402863502502441,73.64053344726562,-2.7608606039878785,-3.2375545362699785,-90.57835457561387,20.602892,10.707608,15.330021,47.417156,-4.290066,-4.3164506,-25.139338,-1.2359141,-15.591685,28.62802,-1.8071911,-2.7357724,-5.652126,2.197984,12.563231,-9.751053,19.768644,-21.619816,52.91594,12.783873,-4.995724,18.60643,1.9622185,-13.396589,33.428104,74.34883,-3.6947744,-4.1229687,-4.279142
14,-1.7129989862442017,-13.49950122833252,73.80318450927734,-3.071931393404248,-3.2406591863618277,-90.53582184232768,18.312696,12.113995,15.065849,52.511387,-2.0772512,-3.062854,-24.363117,-0.8405727,-15.769536,29.1162,-2.91854,-3.105031,-5.5958633,2.4870114,12.526399,-9.179113,19.494852,-21.578213,53.15249,12.421765,-5.0599685,18.452312,1.5987163,-13.388111,33.482044,74.12933,-3.9909844,-4.0934095,-4.371016
15,-1.8480446338653564,-14.559417724609375,73.96080780029297,-3.406111915483063,-3.243323585637975,-90.45617082838281,15.980533,13.600669,14.772963,57.42255,0.037659068,-1.7975619,-23.423288,-0.39970714,-15.994391,29.280346,-3.9946692,-3.3666108,-5.5248566,2.7888188,12.493296,-8.6306305,19.238527,-21.62503,53.43106,12.075857,-5.132223,18.250671,1.2296913,-13.375122,33.472458,73.82583,-4.318789,-4.064162,-4.4794393
16,-1.9860520362854004,-15.58263874053955,74.12513732910156,-3.774341939741937,-3.2765732816255584,-90.40234593648958,13.824656,15.073043,14.503995,61.76135,1.7634839,-0.68777674,-22.33333,0.13467616,-16.198381,29.156446,-4.908018,-3.5485816,-5.391011,3.1243749,12.484953,-8.086359,18.9887,-21.709087,53.743458,11.839363,-5.2128763,18.008131,0.8571985,-13.367405,33.40759,73.45896,-4.5696745,-4.040026,-4.5991406
17,-2.121462345123291,-16.621004104614258,74.30274200439453,-4.21098441221896,-3.3288693803286833,-90.39429247017827,11.849258,16.552986,14.280889,65.49681,3.165957,0.16281849,-21.079361,0.813045,-16.385849,28.674566,-5.6068463,-3.6306133,-5.173186,3.5375996,12.487809,-7.5614605,18.737864,-21.840897,54.107788,11.725493,-5.3196864,17.685896,0.48374903,-13.374768,33.272587,73.011444,-4.6881986,-4.0262666,-4.704073
