Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-2.343749761581421,-0.42223072052001953,74.8171615600586,0.579710114378727,-1.0313837402255897,7.833620636853409,3.5417128,-12.000305,5.1939216,43.020638,-16.998798,-6.183061,-21.353224,0.63491666,-18.45038,33.039204,-16.636087,-7.372604,-5.4841924,2.5945382,7.6174135,-11.678384,19.121311,-46.62259,62.051426,4.11705,-3.698082,12.071035,-1.8833872,-20.270214,20.159037,68.39432,-12.948048,-5.12527,0.28476298
1,-2.8415539264678955,-0.7884959578514099,74.70497131347656,0.637954599522282,-0.973017706141368,7.841519643081722,3.5655932,-11.777318,5.4740386,42.12263,-17.991972,-3.2004821,-21.843832,0.8204581,-18.612944,32.851025,-16.336056,-7.330297,-5.5444245,2.4187994,7.735418,-11.886889,19.181238,-46.80595,62.062263,3.9248793,-3.7378972,12.038772,-1.744756,-20.11119,20.385176,68.069305,-13.061714,-5.140265,0.3525433
2,-3.3466036319732666,-1.1609560251235962,74.59005737304688,0.707899092915887,-0.9120172293199826,7.838633401419245,3.5839157,-11.614119,5.755047,41.242455,-19.04821,-0.10143008,-22.344364,0.9991343,-18.755781,32.676983,-16.046062,-7.297324,-5.6067867,2.1929047,7.826529,-12.089729,19.256422,-46.993988,62.10346,3.7239456,-3.7793067,12.010068,-1.6800939,-19.847351,20.632072,67.86357,-13.191746,-5.154797,0.38660854
3,-3.860825300216675,-1.5428322553634644,74.46376037597656,0.7840983477885919,-0.8584240051828409,7.856432472476258,3.5810595,-11.491246,5.989055,40.427994,-20.191257,2.7309625,-22.831108,1.1585641,-18.921274,32.494232,-15.74601,-7.240977,-5.684346,1.9287237,7.91721,-12.299497,19.346832,-47.184776,62.159874,3.5358484,-3.8137853,11.976911,-1.6591303,-19.520607,20.894585,67.71658,-13.3317795,-5.169783,0.4138376
4,-4.383297443389893,-1.9396069049835205,74.3283462524414,0.857280429971366,-0.8224959366507009,7.927160772665943,3.549985,-11.378421,6.1242785,39.701836,-21.421068,4.901964,-23.280794,1.2893105,-19.154268,32.277897,-15.415258,-7.129125,-5.7903585,1.6359999,8.030546,-12.53026,19.452118,-47.376766,62.224625,3.3838055,-3.8333611,11.931627,-1.6614046,-19.157816,21.169743,67.583824,-13.477252,-5.1863956,0.45697895
5,-4.917154788970947,-2.3431339263916016,74.18175506591797,0.9081434280144689,-0.8036035962168557,8.06733953514515,3.5181692,-11.23582,6.1367044,39.008404,-22.759697,6.190056,-23.686516,1.401105,-19.488838,32.01591,-15.063663,-6.9566903,-5.935951,1.3352064,8.169644,-12.78995,19.572899,-47.57671,62.29163,3.2834482,-3.826565,11.864794,-1.6757838,-18.7759,21.46735,67.441444,-13.629401,-5.205084,0.5357939
6,-5.447268486022949,-2.751288890838623,74.0367660522461,0.9418947224723386,-0.7971255893401997,8.258195124103617,3.488746,-11.067627,6.066719,38.32135,-24.157349,6.834752,-24.05976,1.4990906,-19.896778,31.71861,-14.6954775,-6.740013,-6.110738,1.0306259,8.328584,-13.067268,19.707886,-47.78002,62.353455,3.220936,-3.8010116,11.782258,-1.6969175,-18.383987,21.7817,67.28784,-13.783926,-5.22552,0.6410338
7,-5.985649108886719,-3.160050868988037,73.89838409423828,0.9847993111263447,-0.8074785018386706,8.47836311074705,3.4179811,-10.90422,5.961476,37.707985,-25.501762,7.137197,-24.406122,1.5678186,-20.328552,31.396015,-14.281418,-6.479452,-6.296185,0.7042292,8.514192,-13.353947,19.853245,-47.976704,62.41049,3.1668477,-3.7772558,11.699659,-1.7192142,-17.987677,22.083038,67.12354,-13.93655,-5.2476773,0.74903893
8,-6.529211044311523,-3.5672199726104736,73.76554870605469,1.0644416753621655,-0.8393983743020739,8.706004917590711,3.2598457,-10.782615,5.85715,37.250267,-26.697128,7.4097867,-24.731873,1.5913284,-20.73359,31.061792,-13.793656,-6.175405,-6.4722304,0.3358445,8.732694,-13.644367,20.003353,-48.15944,62.467533,3.0902734,-3.7761688,11.633017,-1.7383822,-17.591309,22.341185,66.95127,-14.083451,-5.2713394,0.8354632
9,-7.083865165710449,-3.9797847270965576,73.63864135742188,1.1955188869158724,-0.8962418022594275,8.947904425486154,2.9824817,-10.712994,5.752441,37.010605,-27.721157,7.7007194,-25.045677,1.5457519,-21.117218,30.741352,-13.2342005,-5.872597,-6.637515,-0.089415014,8.991378,-13.952947,20.15444,-48.340588,62.532223,2.9767735,-3.8122852,11.591459,-1.7462002,-17.195536,22.534876,66.75731,-14.225069,-5.2993097,0.9004784
