Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.6731616854667664,-2.1895618438720703,74.33733367919922,-6.150367551149797,-5.022020256125822,83.91004525365615,-25.70808,11.578604,7.7239146,6.497473,-4.129841,-5.8350477,23.16015,8.432354,3.6071048,8.017408,-16.469107,-0.22096594,8.165968,6.676889,16.090714,23.801172,13.434901,-4.7467775,67.016716,7.962738,1.3954563,14.986316,-19.549461,-24.426199,8.026054,56.050186,-7.755318,-5.3682547,-6.194364
1,-0.75862717628479,-1.2336194515228271,74.23277282714844,-6.174528801689304,-5.034300344453014,83.89593535724943,-25.448019,11.482846,7.932695,6.4870343,-3.6615267,-5.6058483,23.556072,8.263221,3.70261,8.942811,-16.59104,-0.04148686,8.088036,6.73161,16.018135,23.920408,13.446722,-4.836766,67.1206,8.028886,1.3867347,14.950257,-19.388784,-24.41736,8.086795,55.853268,-7.9895997,-5.404612,-6.1350245
2,-0.8351063132286072,-0.22040894627571106,74.1069564819336,-6.202667825676735,-5.071680803892961,83.86434875240946,-25.184275,11.391416,8.172066,6.4855814,-3.2376404,-5.4112124,24.028234,8.114047,3.8185263,9.785643,-16.705408,0.14348808,8.029802,6.785585,15.944565,24.076977,13.468772,-4.952975,67.22354,8.072549,1.3736173,14.9005165,-19.263481,-24.381237,8.181969,55.696953,-8.22111,-5.4482975,-6.099267
3,-0.924037754535675,0.7964359521865845,73.98052978515625,-6.185753185546885,-5.048842539590139,83.85833734624558,-24.96947,11.211276,8.383731,6.5469646,-2.760719,-5.1709385,24.3732,7.9271545,3.8785048,10.76191,-16.840471,0.35248184,7.9306073,6.7678256,15.833875,24.191225,13.505482,-5.035049,67.33038,8.119578,1.3716615,14.884201,-19.131107,-24.311934,8.257975,55.561077,-8.468258,-5.476361,-6.0623107
4,-1.0137995481491089,1.8214104175567627,73.86946105957031,-6.102959947305914,-4.90100064661941,83.8962699730939,-24.784128,10.894259,8.522162,6.6076355,-2.0660715,-4.818925,24.46364,7.672867,3.8497198,11.9477005,-16.935173,0.5947668,7.772612,6.626173,15.635132,24.20687,13.598185,-5.0653443,67.441185,8.162411,1.3982792,14.947793,-18.945518,-24.168406,8.259719,55.455997,-8.754503,-5.46454,-6.0148797
5,-1.0966613292694092,2.8847758769989014,73.75447082519531,-5.937777729182389,-4.591866570209061,83.99594408610861,-24.630346,10.404455,8.557525,6.676768,-1.152256,-4.324669,24.250736,7.3255405,3.7024105,13.362253,-17.003757,0.8891979,7.5527444,6.367266,15.332886,24.066439,13.737751,-5.0722747,67.5819,8.214939,1.4691746,15.120774,-18.675188,-24.000631,8.161392,55.342274,-9.089758,-5.400648,-5.9330134
6,-1.1851917505264282,3.9060733318328857,73.68437194824219,-5.713511813198977,-4.16926189286695,84.12953050844648,-24.707495,9.830401,8.492236,7.1912446,-0.30576286,-3.7351975,23.835459,6.9103856,3.487596,14.918362,-17.042427,1.2270714,7.3083644,6.0208383,14.951895,23.817495,13.929368,-5.0694385,67.73894,8.267424,1.5714327,15.367559,-18.336493,-23.8054,7.983206,55.22206,-9.459958,-5.300051,-5.826826
7,-1.3022111654281616,4.859224319458008,73.6435546875,-5.451184348798345,-3.6842678743581985,84.25415513402952,-25.657768,9.340238,8.284725,9.493045,-0.20565286,-3.0941184,23.269924,6.4549346,3.2782989,16.618225,-17.008701,1.5840112,7.0726733,5.6191716,14.510417,23.514227,14.166193,-5.041612,67.88554,8.292938,1.6786561,15.6440525,-17.9207,-23.585268,7.7444324,55.1087,-9.818675,-5.180077,-5.7060614
8,-1.405153751373291,5.816015720367432,73.61680603027344,-5.170336011081328,-3.185911130177604,84.33026753023323,-26.512749,8.863754,8.164944,11.515792,0.270416,-2.4401772,22.608109,5.985224,3.1444454,18.454416,-16.856329,1.9334973,6.8718123,5.1923428,14.027896,23.209503,14.435102,-4.9719663,67.99676,8.265897,1.7645081,15.908502,-17.424686,-23.346287,7.471804,55.01905,-10.11414,-5.057285,-5.5809627
9,-1.526353359222412,6.8238325119018555,73.58766174316406,-4.882005278055086,-2.6357371486371823,84.32851124440224,-27.376059,8.44693,8.127633,13.3271885,1.3180699,-1.7238932,21.819323,5.5023303,3.1350865,20.403381,-16.585281,2.281449,6.717182,4.754456,13.446149,22.933863,14.72039,-4.835943,68.05685,8.168817,1.7786071,16.187561,-16.847555,-23.095184,7.181384,54.957428,-10.332659,-4.916266,-5.4271593
