Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.08789314329624176,2.798229217529297,75.84310913085938,-5.326018717163369,-8.273885637860229,-80.51428448452842,-25.598312,5.4144373,-6.7802687,69.80344,-12.111808,-4.5199814,3.6961854,6.0357122,-11.75831,23.650608,-20.106901,-3.2600622,-2.0665839,2.3523383,18.399487,12.889708,11.95022,-79.787476,42.412,-54.57562,15.324284,-31.270575,13.917033,-13.893109,101.267715,16.88007,-14.306814,9.06404,-20.562956
1,0.10210388898849487,1.8979713916778564,75.87870788574219,-5.429260337862436,-8.708996587153198,-80.40678765756256,-25.456593,5.1485767,-6.8949895,66.65545,-11.872587,-4.629538,5.7252474,6.424534,-11.691945,22.073914,-20.024931,-3.21199,-2.245854,2.4984012,18.774408,12.960033,12.01398,-79.95148,42.289486,-54.90899,15.325204,-31.241352,13.980565,-13.986175,101.22492,16.895193,-14.451386,5.623641,-14.600504
2,0.12235352396965027,1.0126885175704956,75.88815307617188,-5.527783409110149,-9.162000636758163,-80.29396002144964,-25.289804,4.861758,-7.0065546,63.513237,-11.640911,-4.7501216,7.8071833,6.8079133,-11.6042595,20.441309,-19.922024,-3.1550865,-2.4207702,2.6394558,19.164438,13.030628,12.0736475,-80.12573,42.169132,-55.252712,15.3263,-31.213799,14.045924,-14.0801325,101.16376,16.912327,-14.2618265,1.9899384,-8.359909
3,0.14362415671348572,0.14945228397846222,75.87056732177734,-5.619219327490479,-9.575579697126546,-80.19323983743236,-25.113596,4.5924463,-7.097718,60.290485,-11.392871,-4.854929,9.824419,7.175692,-11.502837,18.84935,-19.825207,-3.0991583,-2.5850337,2.7734716,19.526182,13.085337,12.134875,-80.30193,42.055653,-55.580463,15.323545,-31.182087,14.104517,-14.181074,101.11063,16.909704,-13.676902,-1.2613969,-2.6141603
4,0.17888525128364563,-0.717409074306488,75.8329086303711,-5.70834799912533,-9.892766048598904,-80.12171697983732,-24.94606,4.3798895,-7.152529,56.9077,-11.110016,-4.918136,11.6485615,7.51933,-11.399527,17.41589,-19.77346,-3.0548782,-2.7338748,2.9012063,19.815762,13.107229,12.195117,-80.47073,41.962933,-55.865444,15.312665,-31.14083,14.151402,-14.277512,101.09402,16.882366,-12.828339,-3.5571835,1.8142369
5,0.20917712152004242,-1.5629483461380005,75.77565002441406,-5.7975377598958495,-10.09281827817086,-80.08238934078783,-24.79663,4.2463984,-7.1627054,53.307674,-10.775608,-4.932935,13.244192,7.8447065,-11.301355,16.154995,-19.77011,-3.0359879,-2.8650815,3.0254993,20.021082,13.082955,12.254561,-80.638985,41.89886,-56.104416,15.286048,-31.076082,14.185748,-14.360359,101.12909,16.83494,-11.842847,-4.59018,4.4616604
6,0.24585562944412231,-2.402648448944092,75.69559478759766,-5.88497719254519,-10.208361286240274,-80.06841541991375,-24.649546,4.167256,-7.135587,49.53198,-10.397215,-4.915425,14.672972,8.154268,-11.204758,15.026079,-19.804409,-3.0339773,-2.9819627,3.1468396,20.164907,13.025822,12.313264,-80.80618,41.854748,-56.30971,15.248443,-30.995121,14.211969,-14.424389,101.202,16.783289,-10.841094,-4.7556515,5.846076
7,0.2918563783168793,-3.2563257217407227,75.59854125976562,-5.9669382294108155,-10.263027370639803,-80.08235075682855,-24.48084,4.117112,-7.081991,45.63944,-9.996597,-4.8722425,15.963528,8.440008,-11.106692,14.039857,-19.886105,-3.0288877,-3.0840435,3.2667084,20.257767,12.957796,12.371075,-80.95703,41.81682,-56.47942,15.213551,-30.92465,14.233374,-14.468518,101.29085,16.736572,-9.985835,-4.558687,6.580067
8,0.3503972887992859,-4.123804092407227,75.48578643798828,-6.044815378600818,-10.280188522033628,-80.12559610971493,-24.26932,4.077082,-7.0174255,41.689617,-9.594892,-4.8057675,17.13369,8.694382,-11.005806,13.230093,-20.03041,-3.0021722,-3.1717758,3.387746,20.310448,12.901244,12.425477,-81.07584,41.774124,-56.611794,15.195203,-30.891191,14.253639,-14.494886,101.37433,16.701727,-9.409402,-4.483401,7.2873
9,0.4100748896598816,-5.002416610717773,75.35957336425781,-6.11768304324791,-10.271324814655168,-80.19636583911975,-23.992119,4.075566,-6.9625506,37.620777,-9.211763,-4.661697,18.202799,8.920031,-10.913304,12.584619,-20.242744,-2.945591,-3.2460244,3.5142064,20.329727,12.861761,12.478821,-81.165375,41.71901,-56.700363,15.194377,-30.90318,14.277011,-14.507512,101.453865,16.674894,-9.183989,-4.6157413,8.023146
