Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-2.018321990966797,-0.6739132404327393,78.34378814697266,-1.67097933590181,-1.8172299900814046,83.37296503456639,3.8336792,7.2633686,21.881027,14.593905,-16.07542,-2.8407624,2.9100657,-6.1435747,-10.742379,7.309331,-6.905111,7.2844877,-0.4658693,-1.9737773,8.802852,12.507201,14.001725,-91.826805,35.37703,40.195236,-19.557749,2.290295,15.038165,-10.869114,86.716705,38.047295,-27.602669,2.5633538,10.919993
1,-2.115306854248047,-0.5980131030082703,78.3322982788086,-1.7038169830407608,-1.7677898515254926,83.335826351121,3.8240232,7.2110333,21.870157,14.649778,-16.235567,-2.7845006,2.9004612,-6.18621,-10.687166,7.3106403,-6.9277306,7.315021,-0.4609179,-1.9889864,8.777144,12.498119,14.014375,-91.83105,35.359188,40.320675,-19.508293,2.2732012,15.058268,-10.881358,86.71467,38.028282,-27.468643,2.6150627,10.922742
2,-2.206411123275757,-0.5151264071464539,78.31803894042969,-1.7342526529135847,-1.719426042915074,83.29836292162712,3.8137376,7.15697,21.859531,14.709082,-16.398647,-2.7286606,2.8346853,-6.2436857,-10.625236,7.433121,-7.0144343,7.3522935,-0.4542417,-2.0054727,8.752636,12.488966,14.026747,-91.838005,35.33974,40.458588,-19.455683,2.2422185,15.078224,-10.892685,86.71084,38.0063,-27.33123,2.6701083,10.92591
3,-2.296457529067993,-0.43027186393737793,78.30148315429688,-1.7534921514418724,-1.6658955466921097,83.25771606521141,3.8035195,7.08948,21.853722,14.758883,-16.558765,-2.6707,2.6596527,-6.331891,-10.546662,7.778439,-7.2172565,7.378518,-0.4425056,-2.0341659,8.721869,12.479444,14.039575,-91.8461,35.32068,40.570114,-19.407108,2.2393296,15.100639,-10.903731,86.706535,37.987217,-27.200617,2.719645,10.928218
4,-2.3916735649108887,-0.3485448956489563,78.2822494506836,-1.758494561237172,-1.6016842000239842,83.21254022558334,3.7984016,7.000883,21.855532,14.777194,-16.707195,-2.6084757,2.3984573,-6.446245,-10.450953,8.286802,-7.50302,7.374374,-0.42220715,-2.0798125,8.677739,12.471876,14.052754,-91.85449,35.300037,40.618286,-19.365683,2.304855,15.129075,-10.914274,86.70323,37.970543,-27.08642,2.7589476,10.929449
5,-2.4888486862182617,-0.2587943971157074,78.26312255859375,-1.7506044280788335,-1.5247182884179897,83.1611454970925,3.7983406,6.891466,21.86604,14.759447,-16.84297,-2.541072,2.0443175,-6.589816,-10.334934,8.969487,-7.883566,7.3413267,-0.39039835,-2.1414464,8.614907,12.464321,14.068415,-91.86677,35.27543,40.554764,-19.328814,2.4783652,15.165268,-10.925824,86.701645,37.95506,-26.999378,2.7864785,10.9266815
6,-2.5788848400115967,-0.17036029696464539,78.24364471435547,-1.732070023758564,-1.438444444798554,83.10547705590105,3.8031209,6.7653785,21.88292,14.713243,-16.968582,-2.469756,1.6272188,-6.7556705,-10.203255,9.767567,-8.329724,7.285827,-0.34829628,-2.2153041,8.538733,12.455474,14.09282,-91.88477,35.24082,40.411247,-19.295004,2.7289362,15.207926,-10.942375,86.699585,37.93656,-26.931604,2.8059776,10.921016
7,-2.6694037914276123,-0.08441667258739471,78.2214584350586,-1.696192127676341,-1.3448841969079033,83.0475810684216,3.8158984,6.614,21.90658,14.635278,-17.079588,-2.3951256,1.1281471,-6.950668,-10.053339,10.722792,-8.847993,7.1963844,-0.30550078,-2.3107712,8.457565,12.452844,14.105544,-91.89249,35.21648,40.27455,-19.274172,2.9901261,15.252106,-10.950353,86.69991,37.928913,-26.864635,2.8164327,10.918553
8,-2.7513010501861572,0.011203517206013203,78.19988250732422,-1.6347096159090653,-1.2456784484131942,82.98970480151176,3.83891,6.428033,21.937397,14.524028,-17.172447,-2.3176796,0.53231466,-7.1808977,-9.882505,11.866589,-9.442024,7.0614853,-0.25942752,-2.4362428,8.376433,12.457222,14.147844,-91.89675,35.15971,40.222042,-19.268387,3.197655,15.301426,-10.973759,86.698204,37.90525,-26.779066,2.8198738,10.923669
9,-2.8272764682769775,0.10706140100955963,78.174072265625,-1.5334564728284676,-1.1354485252821636,82.9313158783759,3.8788812,6.1831756,21.980646,14.350585,-17.230457,-2.236677,-0.17148083,-7.463972,-9.678655,13.2068,-10.142096,6.88711,-0.21810496,-2.6081247,8.293631,12.471782,14.173183,-91.87771,35.118618,40.300735,-19.296654,3.3527489,15.347837,-10.98631,86.699936,37.897022,-26.67069,2.8084354,10.935778
10,-2.9057719707489014,0.20259851217269897,78.14332580566406,-1.398031876524767,-1.0149644410739653,82.87182597872341,3.9336717,5.889884,22.03398,14.122183,-17.259026,-2.1520712,-0.9700631,-7.791758,-9.442874,14.716813,-10.932936,6.674241,-0.18191752,-2.8197615,8.205934,12.496699,14.223947,-91.83619,35.047997,40.461662,-19.34875,3.4809766,15.394293,-11.0084505,86.7103,37.88087,-26.547464,2.7857816,10.952466
11,-2.9928905963897705,0.2956600785255432,78.10672760009766,-1.25744313023399,-0.8962037867129804,82.81356224018948,3.9964695,5.5881853,22.08754,13.883762,-17.284653,-2.0648026,-1.8332756,-8.131904,-9.193436,16.36178,-11.740993,6.404085,-0.14387804,-3.0434625,8.124157,12.528272,14.280238,-91.79591,34.970387,40.642548,-19.396786,3.5606637,15.44647,-11.029602,86.71726,37.864082,-26.414988,2.7630703,10.97871
12,-3.074021100997925,0.39524975419044495,78.0685806274414,-1.1336314261631002,-0.7904179914549825,82.75861577644244,4.0614033,5.316704,22.132185,13.679474,-17.333704,-1.9756107,-2.7254162,-8.452428,-8.9506035,18.098541,-12.490114,6.058217,-0.10199086,-3.253666,8.05905,12.564823,14.313656,-91.773735,34.916237,40.78313,-19.41402,3.5691347,15.508534,-11.03967,86.71485,37.853706,-26.277733,2.7518837,11.018932
13,-3.1387085914611816,0.5014199614524841,78.03419494628906,-1.0255182109095016,-0.6998069393666001,82.7039291255878,4.1294947,5.072221,22.169405,13.510563,-17.409403,-1.8801254,-3.6589506,-8.763191,-8.722286,19.97802,-13.177503,5.628276,-0.05364742,-3.4590213,8.01197,12.611521,14.350906,-91.77067,34.85631,40.87474,-19.381733,3.4632983,15.585043,-11.047496,86.70852,37.83572,-26.10368,2.7673762,11.084844
14,-3.2075538635253906,0.6092973351478577,78.00123596191406,-0.9189731293016379,-0.6182211842198144,82.64974952316213,4.2039437,4.8362155,22.202902,13.3553295,-17.498514,-1.7790918,-4.637354,-9.076597,-8.495652,21.985624,-13.832303,5.1225333,0.00059697335,-3.6692111,7.977905,12.666509,14.386372,-91.78155,34.796787,40.94638,-19.318474,3.268588,15.6732645,-11.051628,86.69756,37.812546,-25.902283,2.7992435,11.170736
15,-3.2727930545806885,0.7182832956314087,77.96807861328125,-0.8284599419550783,-0.546289835388691,82.6017459209312,4.283777,4.6223035,22.228502,13.2176895,-17.598146,-1.6807946,-5.6280103,-9.366794,-8.2607355,24.016949,-14.436362,4.55024,0.05439879,-3.8654673,7.9566526,12.721907,14.44956,-91.800354,34.709976,40.998867,-19.25059,3.0556734,15.7655115,-11.0541725,86.674095,37.79222,-25.736448,2.822731,11.254703
16,-3.3329949378967285,0.8321481943130493,77.93983459472656,-0.7648717608290241,-0.4839892928427457,82.56570315364107,4.3656526,4.4460907,22.241713,13.1073885,-17.708992,-1.5935749,-6.597427,-9.604238,-8.010628,25.967442,-14.970701,3.9243557,0.089255705,-4.029251,7.947591,12.776591,14.500231,-91.807495,34.639935,41.037,-19.208458,2.8983533,15.849924,-11.053477,86.64332,37.788563,-25.667372,2.8130586,11.3141575
17,-3.3870062828063965,0.9553934335708618,77.91697692871094,-0.7339424164899281,-0.43312644028634023,82.53957301654405,4.445361,4.3165073,22.24369,13.035604,-17.834194,-1.5147882,-7.571656,-9.78585,-7.7396474,27.927452,-15.436845,3.1715872,0.11081062,-4.152567,7.9538207,12.825138,14.585615,-91.80763,34.53641,41.045197,-19.19799,2.7881417,15.925756,-11.048683,86.60125,37.804836,-25.744215,2.7490542,11.3414545
18,-3.453709602355957,1.0786099433898926,77.89598083496094,-0.7283025745023924,-0.3931896812103902,82.52119256113785,4.5262747,4.222992,22.236412,12.993769,-17.97223,-1.4408582,-8.551724,-9.920984,-7.458258,29.904593,-15.836617,2.3150914,0.11701259,-4.2474065,7.9741983,12.874874,14.661998,-91.798546,34.443497,41.029606,-19.206009,2.697337,15.99605,-11.041388,86.555954,37.836315,-25.922007,2.6491761,11.347984
19,-3.508967161178589,1.208960771560669,77.87832641601562,-0.741396443467713,-0.36066903481039697,82.51661016930068,4.6133227,4.154815,22.216684,12.965607,-18.117561,-1.380907,-9.481969,-9.999778,-7.1843715,31.703804,-16.161093,1.5162864,0.1025038,-4.3230615,8.001389,12.926724,14.692905,-91.781105,34.40606,41.014267,-19.226734,2.6658006,16.060398,-11.037272,86.50796,37.86927,-26.120665,2.5472016,11.342183
20,-3.5596206188201904,1.3507755994796753,77.86160278320312,-0.7678367443928845,-0.3323941066181524,82.53124087554096,4.7173624,4.099654,22.182384,12.923589,-18.259089,-1.3429029,-10.308446,-10.012854,-6.9347687,33.134968,-16.408396,0.9371223,0.08209369,-4.381082,8.03115,12.973557,14.735982,-91.767586,34.35956,41.02499,-19.249826,2.7212358,16.126585,-11.029763,86.42619,37.898834,-26.274042,2.4726412,11.339458
