Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,2.792827844619751,0.3936397433280945,76.72897338867188,-2.9195817315830395,-7.45295908424123,-167.27317174065445,8.03775,9.4941,26.014122,25.524818,-25.185162,-1.3210561,-1.0045868,-9.1465645,-31.782808,28.368174,-17.079596,1.266119,-0.4627979,-0.52237254,4.4290805,-8.158117,22.120739,-17.260933,68.65441,-25.024546,8.262347,16.198833,-17.800495,-13.922186,32.426056,67.54288,18.982222,9.130707,-9.696299
1,2.8044543266296387,0.4743601083755493,76.73821258544922,-2.959511702821653,-7.4509732045723736,-167.29733287708473,8.013494,9.618663,26.016294,25.540266,-25.148668,-1.3741221,-0.94193447,-9.608141,-31.909977,28.46272,-16.948643,1.2980816,-0.4628208,-0.49768353,4.4361043,-8.068027,22.120369,-17.23285,68.39581,-24.769863,8.324743,16.248934,-17.745928,-13.926102,32.415962,67.67809,19.13951,9.034657,-9.676255
2,2.8114163875579834,0.5529001355171204,76.75418090820312,-2.9975910857766546,-7.447916738587389,-167.316997714745,7.9871426,9.73861,26.014286,25.552261,-25.110579,-1.424946,-0.8810549,-10.074991,-32.05329,28.561165,-16.822254,1.3208475,-0.47166643,-0.46496883,4.4482965,-7.974166,22.105253,-17.17674,68.13461,-24.487999,8.386798,16.302017,-17.690084,-13.947294,32.41553,67.79616,19.303263,8.942279,-9.652207
3,2.8140995502471924,0.6289849281311035,76.76824951171875,-3.0395055296564646,-7.447365683154529,-167.34537051201534,7.9648695,9.867624,26.020437,25.570974,-25.075714,-1.4798777,-0.82417107,-10.531254,-32.163708,28.650562,-16.684376,1.3590509,-0.47542918,-0.41774142,4.459238,-7.891222,22.073492,-17.13074,67.89009,-24.227278,8.441718,16.351954,-17.624548,-13.984394,32.414036,67.909874,19.457262,8.849917,-9.631546
4,2.813107490539551,0.7009753584861755,76.78202056884766,-3.091045831619323,-7.45305730319763,-167.39543240629226,7.953889,10.019385,26.047451,25.604374,-25.04755,-1.5453436,-0.7735411,-10.9603195,-32.191353,28.71647,-16.517591,1.4371637,-0.4687295,-0.35219,4.468332,-7.815574,22.03022,-17.105333,67.66192,-24.020878,8.483195,16.391275,-17.551998,-14.029099,32.39828,68.03749,19.575693,8.7540045,-9.619529
5,2.808314085006714,0.7787805795669556,76.79889678955078,-3.1531462863644766,-7.467384294590703,-167.4703596170788,7.9573603,10.195759,26.099422,25.65486,-25.027378,-1.6243082,-0.72687405,-11.361488,-32.125168,28.751694,-16.302326,1.5797081,-0.44046763,-0.2508669,4.47794,-7.766434,21.948748,-17.115614,67.468315,-23.888145,8.500114,16.420757,-17.452955,-14.105469,32.347282,68.1738,19.63227,8.650547,-9.618321
6,2.8061914443969727,0.8699325919151306,76.80760192871094,-3.2215928438913837,-7.487847004521187,-167.56307600247916,7.971266,10.388649,26.169628,25.717049,-25.012417,-1.7128199,-0.68633026,-11.743992,-31.989418,28.768724,-16.052624,1.7677479,-0.4114747,-0.14951608,4.4876676,-7.7011147,21.887396,-17.139948,67.26075,-23.816097,8.507474,16.435848,-17.365463,-14.154749,32.279644,68.35445,19.644917,8.536231,-9.6272335
7,2.7918684482574463,0.9560585021972656,76.82073974609375,-3.299707211038172,-7.511343143496839,-167.67193439070908,7.990804,10.603412,26.25352,25.792936,-25.003574,-1.8072727,-0.6547244,-12.098663,-31.78927,28.768864,-15.800436,1.9605893,-0.36559564,-0.025189152,4.4888983,-7.6669793,21.793503,-17.188126,67.100105,-23.762968,8.507168,16.450348,-17.266407,-14.224384,32.20447,68.52575,19.650452,8.428935,-9.639877
8,2.775916576385498,1.0485731363296509,76.83892059326172,-3.3886193369516295,-7.5345440800500505,-167.79510878104742,8.011972,10.842053,26.34692,25.880447,-24.999424,-1.9038726,-0.6377622,-12.420119,-31.529238,28.760733,-15.576921,2.1179934,-0.33086106,0.10210981,4.480501,-7.6193786,21.71058,-17.222761,66.94396,-23.6988,8.518433,16.460564,-17.18814,-14.283963,32.165028,68.685844,19.690138,8.33868,-9.652429
9,2.7553932666778564,1.1412839889526367,76.85478210449219,-3.4971075445839968,-7.554685120379531,-167.93204058823977,8.0238695,11.120095,26.448666,25.997215,-25.006067,-2.000356,-0.6395838,-12.690437,-31.197325,28.73605,-15.390381,2.2182982,-0.2957288,0.25271222,4.455625,-7.578722,21.603765,-17.23721,66.821,-23.5943,8.540558,16.474653,-17.11626,-14.361925,32.170918,68.81264,19.788475,8.266983,-9.66733
