Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.6929293870925903,-3.349350690841675,76.26639556884766,2.85749183158297,-13.870817518783126,68.97017754832487,19.218739,1.6638695,30.169344,13.879053,-18.281487,-2.734955,8.077225,-23.641624,-5.748521,29.696264,-15.65629,15.000033,-2.1538873,-1.0987664,5.949599,-16.054182,20.984991,-20.283747,66.93025,-27.23924,8.568938,8.2317095,-23.759703,-18.591694,27.504103,58.90999,28.16912,12.463624,-2.616194
1,-0.7625054121017456,-3.2582972049713135,76.27769470214844,2.744797488723148,-13.914294014202138,69.17795775025158,19.314262,1.660924,29.999327,13.790817,-18.300293,-2.7268286,8.094717,-23.445599,-5.9636507,29.378521,-15.688397,15.000033,-2.026769,-1.2393335,5.9551606,-15.992983,21.006006,-20.190235,66.743195,-27.12851,8.653634,8.337333,-23.74508,-18.597395,27.472523,58.945507,28.081585,12.492492,-2.6046064
2,-0.8298481106758118,-3.169421434402466,76.28617095947266,2.6303966488285715,-13.956587959745416,69.38373322652853,19.40924,1.6580651,29.831871,13.702601,-18.319454,-2.7188735,8.115577,-23.252522,-6.188018,29.059544,-15.722084,15.000033,-1.9014906,-1.3749247,5.954262,-15.948323,21.01487,-20.096794,66.58525,-27.01824,8.73144,8.443982,-23.746033,-18.597616,27.447844,59.004704,27.98674,12.525883,-2.5930052
3,-0.893608570098877,-3.0817079544067383,76.29861450195312,2.5172692228359255,-13.999997818605014,69.59395579235326,19.503996,1.6572113,29.659317,13.617931,-18.339693,-2.7103276,8.127816,-23.053303,-6.393328,28.74123,-15.750386,15.000033,-1.7661179,-1.5134188,5.9460435,-15.9238405,21.014227,-20.029,66.45659,-26.915874,8.811043,8.550201,-23.738289,-18.595848,27.42434,59.073334,27.91577,12.54234,-2.5829668
4,-0.9536603689193726,-2.9952785968780518,76.30807495117188,2.406423972058055,-14.047468554666057,69.81552349719055,19.593685,1.6642573,29.47399,13.552068,-18.366663,-2.700785,8.125082,-22.838114,-6.5532236,28.414927,-15.765779,15.000033,-1.6456612,-1.6517678,5.9477663,-15.888443,21.008577,-19.919514,66.323494,-26.775627,8.901457,8.644035,-23.736048,-18.59149,27.400316,59.149387,27.868591,12.525213,-2.5658207
5,-0.997664213180542,-2.911182403564453,76.3135757446289,2.298206074815465,-14.101080751490706,70.04851159090563,19.685337,1.676539,29.274965,13.494101,-18.39541,-2.6900508,8.105104,-22.607014,-6.6657553,28.084316,-15.773709,15.000033,-1.520307,-1.7976338,5.9446607,-15.86417,21.000015,-19.819206,66.21738,-26.6251,9.00222,8.723269,-23.717186,-18.58714,27.381567,59.23471,27.886581,12.446272,-2.5465229
6,-1.0428223609924316,-2.8299710750579834,76.32180786132812,2.1924567881433408,-14.158800825414165,70.28930355424052,19.78057,1.691902,29.066496,13.437855,-18.42364,-2.6784103,8.074264,-22.361498,-6.7447276,27.747818,-15.774446,15.000033,-1.4124559,-1.939963,5.946779,-15.829695,20.979355,-19.670353,66.11582,-26.435375,9.110678,8.790253,-23.705547,-18.578081,27.374094,59.33174,27.937656,12.32629,-2.5239239
7,-1.0716384649276733,-2.7510154247283936,76.33137512207031,2.0867569391547724,-14.217306774284438,70.54112888074482,19.86133,1.717268,28.847162,13.411516,-18.463911,-2.6661468,8.030832,-22.103842,-6.783901,27.406212,-15.756102,15.000033,-1.3115884,-2.08035,5.946835,-15.799852,20.951376,-19.525751,66.026375,-26.245945,9.225067,8.856165,-23.707468,-18.5664,27.384357,59.45215,28.00956,12.202335,-2.4998138
8,-1.1104806661605835,-2.6586616039276123,76.3372573852539,1.9833806586367417,-14.271605242115553,70.8047343510254,19.921926,1.7521175,28.617182,13.4161005,-18.514753,-2.6533103,7.972817,-21.833689,-6.7757177,27.057634,-15.704048,15.000033,-1.2146902,-2.2240252,5.947285,-15.79243,20.919092,-19.403292,65.95723,-26.076138,9.34557,8.930985,-23.713875,-18.553349,27.405655,59.57535,28.071388,12.11581,-2.4782038
9,-1.14485764503479,-2.5808205604553223,76.34190368652344,1.8779554055462901,-14.325655777992651,71.08470291752117,19.9565,1.8036311,28.373602,13.471817,-18.585472,-2.6376944,7.907874,-21.540943,-6.7003703,26.693224,-15.603706,15.000033,-1.1186703,-2.3757508,5.9560857,-15.806186,20.891294,-19.301855,65.89307,-25.925404,9.486875,9.017293,-23.723022,-18.543514,27.433939,59.693596,28.116905,12.089549,-2.4523575
10,-1.16036856174469,-2.5164496898651123,76.34521484375,1.7729502605465575,-14.379487879511856,71.3784703988672,19.971704,1.8680218,28.117344,13.566809,-18.671343,-2.6200247,7.8339877,-21.229322,-6.567097,26.317938,-15.466457,15.000033,-1.0307326,-2.5311394,5.9709854,-15.829656,20.863764,-19.202322,65.83216,-25.780035,9.644355,9.109191,-23.739956,-18.53562,27.476395,59.814537,28.159912,12.0982895,-2.4234173
11,-1.1767570972442627,-2.446510076522827,76.34700775146484,1.6722564453721305,-14.426061265154335,71.67929041445483,19.968636,1.9341304,27.8539,13.678483,-18.762526,-2.6048975,7.738348,-20.919996,-6.4141417,25.945023,-15.315611,15.000033,-0.9451498,-2.6882484,5.986045,-15.860518,20.841824,-19.125917,65.77722,-25.653698,9.793418,9.201118,-23.7537,-18.529743,27.520699,59.927734,28.203644,12.112165,-2.3998914
12,-1.1957420110702515,-2.3757925033569336,76.35296630859375,1.5804836585300668,-14.458017487426861,71.98014052230545,19.946068,1.992664,27.588612,13.791004,-18.852867,-2.597025,7.6054974,-20.635904,-6.278597,25.591925,-15.176524,15.000033,-0.8594994,-2.84383,5.9947276,-15.8952875,20.828232,-19.089384,65.732544,-25.557875,9.908693,9.287694,-23.761177,-18.525412,27.56012,60.031082,28.252537,12.100583,-2.389933
13,-1.2045284509658813,-2.3117754459381104,76.3511734008789,1.5002951659297585,-14.467845558540585,72.27874240243263,19.894417,2.0427792,27.323177,13.904877,-18.943642,-2.6039119,7.4212666,-20.37889,-6.165206,25.262794,-15.0541525,15.000033,-0.77945715,-2.9936368,5.993314,-15.929396,20.822735,-19.097702,65.69654,-25.48606,9.979044,9.366058,-23.770447,-18.522211,27.599619,60.133022,28.311241,12.052266,-2.4038577
14,-1.2093585729599,-2.252622365951538,76.35091400146484,1.428542162846459,-14.461503805948668,72.5787425173664,19.816896,2.089143,27.05491,14.028906,-19.038471,-2.6210597,7.196606,-20.138708,-6.0557566,24.94939,-14.936165,15.000033,-0.7076097,-3.139221,5.9746895,-15.972907,20.818253,-19.157412,65.68719,-25.450632,10.01709,9.442738,-23.788572,-18.511063,27.664616,60.251842,28.392654,11.980482,-2.440714
15,-1.2175335884094238,-2.1953930854797363,76.34820556640625,1.362890312063291,-14.451683596772225,72.88254075113873,19.733938,2.128878,26.78139,14.1516285,-19.129831,-2.6350265,6.9558415,-19.915184,-5.955253,24.64655,-14.819502,15.000033,-0.634671,-3.2864194,5.9667287,-16.013605,20.820621,-19.21137,65.67023,-25.424196,10.039683,9.515664,-23.794125,-18.505499,27.700562,60.341465,28.451618,11.905597,-2.4700527
16,-1.2230273485183716,-2.1520345211029053,76.3393783569336,1.3031947656201692,-14.449613394033882,73.19200959997649,19.66124,2.161966,26.500095,14.269584,-19.213993,-2.632622,6.721394,-19.711824,-5.8673964,24.352633,-14.703464,15.000033,-0.5535808,-3.4417918,5.957908,-16.062357,20.828365,-19.281275,65.6717,-25.446495,10.05658,9.5929985,-23.785406,-18.493618,27.730318,60.418983,28.50571,11.8336735,-2.482636
17,-1.222254753112793,-2.085777759552002,76.34143829345703,1.2513128679645071,-14.461036936918196,73.50893650546266,19.607529,2.1820297,26.208117,14.376176,-19.285658,-2.6031036,6.495106,-19.531677,-5.7790394,24.074083,-14.588423,15.000033,-0.47875252,-3.5975626,5.9701576,-16.095844,20.831959,-19.296364,65.66073,-25.496647,10.066948,9.677423,-23.766869,-18.489115,27.737066,60.462353,28.519802,11.780648,-2.4582384
18,-1.2216635942459106,-2.024634599685669,76.33898162841797,1.204469859738695,-14.479017194661507,73.83278402000025,19.561672,2.1929271,25.906702,14.476298,-19.348337,-2.556183,6.2657514,-19.371635,-5.693483,23.809933,-14.474975,15.000033,-0.40565532,-3.7568326,5.987505,-16.131893,20.836567,-19.306314,65.662224,-25.589878,10.064773,9.766991,-23.738688,-18.483854,27.738354,60.488247,28.519386,11.733087,-2.4152215
19,-1.2182382345199585,-1.969244122505188,76.33644104003906,1.1624240192934,-14.49748661266279,74.15767001400555,19.520355,2.1999927,25.604559,14.569317,-19.406143,-2.508072,6.0352807,-19.229736,-5.6334753,23.549221,-14.362956,15.000033,-0.3308516,-3.9113212,6.00747,-16.159998,20.84137,-19.307135,65.65957,-25.679953,10.05851,9.849354,-23.709013,-18.478447,27.734081,60.5036,28.519974,11.6799965,-2.3688726
20,-1.2111666202545166,-1.9195966720581055,76.33240509033203,1.110415050775317,-14.508598863953804,74.48635326312895,19.455439,2.2298782,25.302465,14.700608,-19.485735,-2.476436,5.8099623,-19.09133,-5.633277,23.271616,-14.24768,15.000033,-0.25237206,-4.0661554,6.0234017,-16.201902,20.858438,-19.309286,65.667885,-25.724762,10.060086,9.909517,-23.666529,-18.460117,27.705786,60.504272,28.526768,11.604098,-2.336216
21,-1.2046947479248047,-1.8673409223556519,76.3259506225586,1.0573537435228688,-14.516205208838624,74.80976477653304,19.39459,2.265596,25.009937,14.823494,-19.568222,-2.4659855,5.589115,-18.960962,-5.6735277,22.977146,-14.137775,15.000033,-0.17343828,-4.205696,6.0401015,-16.217796,20.87798,-19.295317,65.65065,-25.702202,10.065296,9.947186,-23.636833,-18.43864,27.677513,60.50977,28.56663,11.492926,-2.321447
22,-1.1918210983276367,-1.8095409870147705,76.32594299316406,1.001336160877358,-14.521985746401198,75.13274222686005,19.333488,2.3081994,24.721022,14.94727,-19.654703,-2.4677522,5.372788,-18.83809,-5.7498155,22.668753,-14.0294285,15.000033,-0.09605439,-4.3310547,6.0573196,-16.224352,20.893932,-19.266924,65.62859,-25.636719,10.070015,9.968751,-23.60631,-18.419748,27.650074,60.504673,28.63,11.357331,-2.3169613
23,-1.1725016832351685,-1.7530672550201416,76.32449340820312,0.9430215547634772,-14.51987711355062,75.45908473959864,19.250515,2.3618126,24.430145,15.0990505,-19.752972,-2.475901,5.153979,-18.732473,-5.890637,22.360535,-13.914184,15.000033,-0.019730614,-4.450171,6.0678396,-16.230577,20.909773,-19.229662,65.60656,-25.554981,10.081504,9.976532,-23.578901,-18.400257,27.62071,60.49521,28.68876,11.22555,-2.3162487
24,-1.1457948684692383,-1.7042351961135864,76.32288360595703,0.8832171067133667,-14.504055857802625,75.79289229983296,19.13236,2.4265218,24.131704,15.286451,-19.859985,-2.4843993,4.9275613,-18.649925,-6.126159,22.062601,-13.781218,15.000033,0.055845633,-4.5654516,6.0656548,-16.242836,20.924313,-19.189894,65.58503,-25.484848,10.107293,9.973564,-23.557114,-18.382116,27.592255,60.48432,28.721184,11.12597,-2.3126194
25,-1.1194448471069336,-1.6580438613891602,76.32290649414062,0.8199621758910564,-14.466652271716818,76.13870427035351,18.958765,2.508763,23.821854,15.531921,-19.983557,-2.4927733,4.683079,-18.593363,-6.4707537,21.778206,-13.6206255,15.000033,0.13032705,-4.678644,6.0434537,-16.269903,20.937698,-19.145344,65.57052,-25.428144,10.155425,9.949755,-23.542921,-18.36601,27.561207,60.47031,28.713196,11.080138,-2.3077714
26,-1.0932929515838623,-1.60773766040802,76.31802368164062,0.7525000384084651,-14.41316181111569,76.49317070213196,18.741177,2.6060236,23.504108,15.8263445,-20.123133,-2.5041232,4.4253764,-18.558422,-6.906007,21.503166,-13.441367,15.000033,0.20896538,-4.784084,6.0029235,-16.311846,20.943357,-19.107967,65.569176,-25.380537,10.218017,9.909796,-23.526064,-18.359024,27.533537,60.44672,28.689726,11.068329,-2.3059487
