Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.146815225481987,-1.5552033185958862,39.73075866699219,1.8128585747732955,4.624738141252046,86.71346796487856,-88.674805,5.42553,-14.594987,125.56257,-41.48449,-15.000033,-91.56604,1.7784028,17.327818,125.09222,-38.962162,15.000033,-2.624874,-6.288276,29.793802,-77.47703,38.340992,-50.765537,39.578617,7.7986236,-19.038143,21.632439,-78.95381,-22.497969,56.23064,36.964386,-13.593507,-24.366102,-31.370743
1,0.14203396439552307,-1.559626817703247,39.54034423828125,1.8025063865323658,4.489138894475499,86.70937404814711,-88.82731,5.3843756,-14.682794,125.927155,-41.55986,-15.000033,-91.7169,1.8069911,17.359402,125.44086,-39.032066,15.000033,-2.825008,-6.5020986,29.793802,-77.49404,38.622547,-50.960316,39.51231,7.3367753,-18.939325,20.956955,-79.07631,-22.214548,56.117485,36.93225,-13.477131,-24.401676,-31.445456
2,0.14191791415214539,-1.5665009021759033,39.317935943603516,1.7918998507533017,4.355399194613137,86.70427814964542,-88.98089,5.344496,-14.768572,126.292816,-41.636406,-15.000033,-91.87025,1.836451,17.388144,125.790825,-39.102962,15.000033,-3.0252745,-6.7237043,29.793802,-77.514404,38.912434,-51.157257,39.439438,6.8918004,-18.8346,20.33728,-79.19549,-21.941996,55.99542,36.880306,-13.349022,-24.437641,-31.518087
3,0.13774067163467407,-1.568877935409546,39.129085540771484,1.7822880014311338,4.219825439123867,86.70155755648987,-89.13137,5.302888,-14.851355,126.65633,-41.711975,-15.000033,-92.01974,1.8636957,17.417517,126.13759,-39.173298,15.000033,-3.225994,-6.943137,29.793802,-77.53265,39.20793,-51.367252,39.36444,6.408625,-18.724579,19.610298,-79.30706,-21.67649,55.87506,36.825943,-13.240626,-24.473495,-31.588844
4,0.13377048075199127,-1.5708167552947998,38.940338134765625,1.773824521723449,4.078830110448596,86.70435885120628,-89.27261,5.2567983,-14.930834,127.00966,-41.783566,-15.000033,-92.158226,1.8854609,17.449732,126.48104,-39.24305,15.000033,-3.4271226,-7.15536,29.793802,-77.55081,39.50669,-51.61205,39.29736,5.82891,-18.605791,18.614393,-79.405846,-21.41505,55.761707,36.783012,-13.182853,-24.50923,-31.656357
5,0.12965577840805054,-1.5743000507354736,38.7516975402832,1.7642387374253052,3.9260743189024194,86.71329721059237,-89.40002,5.2057385,-15.0097885,127.35696,-41.85249,-15.000033,-92.27838,1.8989993,17.48103,126.82187,-39.31366,15.000033,-3.628437,-7.3595133,29.793802,-77.56831,39.806087,-51.881775,39.23342,5.1007023,-18.434721,17.238897,-79.48701,-21.154634,55.65846,36.757545,-13.166144,-24.549997,-31.719301
6,0.12564824521541595,-1.5794429779052734,38.563758850097656,1.7533169623862814,3.7645986474289357,86.72666404901534,-89.51679,5.151468,-15.087694,127.698456,-41.919407,-15.000033,-92.385864,1.9060999,17.512308,127.15944,-39.384724,15.000033,-3.8302302,-7.558421,29.793802,-77.586365,40.10487,-52.170574,39.173153,4.2721786,-18.215122,15.595353,-79.55656,-20.893787,55.562527,36.745827,-13.180288,-24.594131,-31.77902
7,0.12245693802833557,-1.5851988792419434,38.37813949584961,1.748125438900894,3.6059519119116406,86.74465254074855,-89.63038,5.09316,-15.157367,128.03067,-41.981846,-15.000033,-92.49061,1.9141779,17.553097,127.49123,-39.453777,15.000033,-4.034041,-7.754007,29.793802,-77.60768,40.40338,-52.506134,39.13496,3.431317,-18.015028,13.853995,-79.62065,-20.632505,55.468548,36.74357,-13.256446,-24.631224,-31.839174
8,0.1204746812582016,-1.5905711650848389,38.19652557373047,1.753694864232449,3.461514846480795,86.76712612918749,-89.75126,5.0305862,-15.212652,128.34668,-42.0336,-15.000033,-92.60744,1.9281032,17.611864,127.81548,-39.512516,15.000033,-4.241283,-7.9497547,29.793802,-77.63741,40.703125,-52.919403,39.137634,2.658058,-17.911844,12.179704,-79.68873,-20.371677,55.372677,36.74498,-13.42484,-24.650976,-31.902971
9,0.11947384476661682,-1.595955491065979,38.02012634277344,1.772698821573639,3.3305092120799955,86.79619223114508,-89.88066,4.9609947,-15.252843,128.65201,-42.07498,-15.000033,-92.73713,1.9523576,17.693975,128.13672,-39.56136,15.000033,-4.45521,-8.150742,29.793802,-77.68107,41.00678,-53.418213,39.190968,1.8879107,-17.948784,10.487193,-79.762245,-20.111464,55.27266,36.748768,-13.710745,-24.644958,-31.964918
