Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-2.2393171787261963,-2.9280738830566406,77.82762908935547,0.4948832181466277,-0.8739165224531636,90.41716335822315,-3.7135296,5.002865,16.858782,17.595238,-12.600818,-2.299138,-6.649383,-10.702364,-13.069817,21.44646,-10.220829,6.611877,0.8218451,-2.911768,8.505547,-6.199945,23.037199,-39.075783,52.944305,17.581568,-4.2183704,-4.240989,-13.916541,-22.826242,52.256348,52.460056,-12.066512,2.6886342,4.7107987
1,-2.304427146911621,-2.95417857170105,77.82965087890625,0.5692158694494456,-0.9158151301740324,90.32346806608608,-3.5516236,4.8487134,16.986456,17.326582,-12.492028,-2.2295246,-6.738932,-10.824661,-12.931883,21.576624,-10.210142,6.660517,0.8360671,-3.0548239,8.467474,-6.189452,23.054583,-39.059025,52.898136,17.474066,-4.2429485,-4.2098703,-13.902287,-22.839125,52.184864,52.338947,-12.102232,2.7036195,4.6896276
2,-2.363856315612793,-3.005643844604492,77.82870483398438,0.6435932264366079,-0.9579145752444831,90.2290689760295,-3.3865519,4.6938877,17.114546,17.052835,-12.384488,-2.1596763,-6.8284802,-10.94644,-12.7932,21.708061,-10.200181,6.709516,0.8529316,-3.1973784,8.427719,-6.181893,23.069025,-39.044964,52.855644,17.358261,-4.270801,-4.176572,-13.889135,-22.844687,52.10717,52.22677,-12.145452,2.717904,4.6700935
3,-2.4213335514068604,-3.0494580268859863,77.82909393310547,0.7186462997542978,-0.9994030861696683,90.13581968271397,-3.221415,4.537329,17.241201,16.77386,-12.271099,-2.0906827,-6.9170647,-11.067602,-12.655547,21.83436,-10.187838,6.758191,0.8680155,-3.342081,8.386715,-6.176691,23.081234,-39.033802,52.821167,17.257944,-4.292337,-4.1463957,-13.873162,-22.845121,52.03128,52.11738,-12.185139,2.7322376,4.6463656
4,-2.4803285598754883,-3.096911668777466,77.83055877685547,0.7934359842223881,-1.0390097109026455,90.04606581836825,-3.052786,4.376337,17.364586,16.474144,-12.142353,-2.0236566,-7.0031724,-11.188182,-12.5214,21.948244,-10.1695595,6.805795,0.8808927,-3.4934757,8.345621,-6.175762,23.095907,-39.02953,52.800068,17.196424,-4.299829,-4.124812,-13.853494,-22.841187,51.9596,52.009502,-12.208249,2.7451897,4.61422
5,-2.53763484954834,-3.141176700592041,77.83544158935547,0.8696395315409082,-1.0783910536999084,89.96026109342169,-2.8764942,4.2104983,17.484762,16.14752,-11.993742,-1.9624133,-7.083959,-11.307261,-12.391991,22.047064,-10.144223,6.8515043,0.89396614,-3.6531358,8.306551,-6.1777577,23.112654,-39.032185,52.789513,17.203537,-4.2804937,-4.113402,-13.825904,-22.832634,51.890312,51.901947,-12.220884,2.7601175,4.573095
6,-2.595797061920166,-3.1899218559265137,77.83906555175781,0.9463237328051746,-1.1169247318767064,89.8778245445874,-2.696793,4.041655,17.601503,15.804524,-11.832405,-1.9051582,-7.161547,-11.425365,-12.266708,22.13575,-10.114437,6.8958707,0.9042494,-3.819416,8.267546,-6.1786036,23.135149,-39.03972,52.78437,17.256113,-4.2440524,-4.109027,-13.793948,-22.816765,51.82291,51.799095,-12.227013,2.7755642,4.525371
7,-2.6553916931152344,-3.23801326751709,77.84294891357422,1.0234444788794446,-1.1528109079857518,89.79643123387379,-2.5141056,3.8676944,17.717377,15.441804,-11.658726,-1.8445915,-7.24059,-11.543719,-12.141135,22.21668,-10.080321,6.940261,0.91074765,-3.9905336,8.226666,-6.179269,23.162138,-39.050705,52.784027,17.308207,-4.2057405,-4.1122866,-13.760183,-22.793825,51.76074,51.697865,-12.218328,2.786806,4.468448
8,-2.710963010787964,-3.2901625633239746,77.84564208984375,1.1054408433315461,-1.1838412344547917,89.71385395860027,-2.3322773,3.687858,17.833984,15.063968,-11.477917,-1.7734629,-7.3278937,-11.664294,-12.010894,22.296438,-10.044546,6.986106,0.9172158,-4.1675377,8.18279,-6.180925,23.198236,-39.06776,52.784435,17.313095,-4.1824193,-4.1244087,-13.725405,-22.76026,51.70019,51.597065,-12.188998,2.788569,4.4002447
9,-2.7717702388763428,-3.3459231853485107,77.84844970703125,1.1902342040289813,-1.2092637845500827,89.63149575757505,-2.1511505,3.5005615,17.949295,14.667684,-11.288973,-1.6856027,-7.4219933,-11.787536,-11.877338,22.370707,-10.006503,7.033823,0.9196557,-4.3454113,8.133231,-6.1911707,23.233274,-39.09301,52.794228,17.239412,-4.182063,-4.154964,-13.684984,-22.726719,51.64311,51.486027,-12.116926,2.7758079,4.302063
10,-2.825274705886841,-3.399385929107666,77.85443115234375,1.277599196385251,-1.2302691280787181,89.5498343503593,-1.9706606,3.3066812,18.063227,14.25513,-11.091632,-1.5863156,-7.5214977,-11.913296,-11.74152,22.440493,-9.966476,7.0826106,0.9267639,-4.5355005,8.081167,-6.1990147,23.294247,-39.134914,52.790142,17.112303,-4.1929092,-4.202398,-13.642908,-22.668941,51.57509,51.385384,-12.019819,2.7502718,4.1806607
