Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-2.157043695449829,-0.36223524808883667,78.07659149169922,0.023879916729869038,-1.9943636910041203,-1.2220140463042768,3.1075406,2.4095366,7.0398016,7.2164445,-10.076318,-3.8303618,1.7325723,-5.6048484,-11.112,9.840365,-9.1295185,5.2854424,-2.3972561,0.36296502,7.935798,-0.77975774,17.574596,-36.22187,56.470524,-6.322687,-1.1148714,-1.3750376,-5.4564342,-12.968922,40.932518,53.83982,-4.8962097,1.8120517,-6.2946796
1,-2.1533243656158447,-0.3731290102005005,78.07210540771484,0.05190868387918416,-1.984833042944414,-1.2508002352121335,3.117003,2.3869557,7.0687156,7.19094,-10.066422,-3.823856,1.5943755,-5.648622,-11.06892,10.10539,-9.270741,5.283095,-2.4124396,0.30416527,7.9516845,-0.72975564,17.64272,-36.20357,56.383633,-6.3268967,-1.0988326,-1.3648802,-5.460833,-12.943515,40.824677,53.798035,-4.8429465,1.819287,-6.3047523
2,-2.149986743927002,-0.3820808231830597,78.06885528564453,0.07940293112383098,-1.9754913522417357,-1.280354344857372,3.126864,2.364824,7.098069,7.1655154,-10.056533,-3.8168306,1.4586644,-5.6909003,-11.02517,10.364772,-9.408351,5.281254,-2.420313,0.25103983,7.9636245,-0.6989563,17.689875,-36.194145,56.326553,-6.3303437,-1.0837302,-1.3511909,-5.4652233,-12.920377,40.716576,53.762203,-4.783016,1.8279297,-6.3110814
3,-2.1517961025238037,-0.388211727142334,78.06365966796875,0.10772715801138774,-1.9659456708323277,-1.308246970021697,3.1374023,2.3416262,7.1264906,7.137753,-10.045599,-3.810693,1.3194958,-5.735101,-10.98285,10.632294,-9.551161,5.2789273,-2.4361799,0.20276228,7.9715543,-0.679347,17.712915,-36.18056,56.29693,-6.3299675,-1.0736269,-1.3372984,-5.464108,-12.905555,40.611763,53.72021,-4.7278767,1.835093,-6.3255825
4,-2.146054983139038,-0.39925792813301086,78.05965423583984,0.1387080199391163,-1.9560778708683537,-1.3323699696452769,3.1477392,2.3159125,7.152822,7.107874,-10.033285,-3.8069484,1.1695223,-5.7851706,-10.9433365,10.925163,-9.709612,5.275065,-2.4544945,0.14950505,7.979254,-0.6629891,17.733368,-36.171787,56.274826,-6.329547,-1.0694053,-1.3274953,-5.4571567,-12.8897295,40.488194,53.671413,-4.6930437,1.8351998,-6.3576365
5,-2.1392931938171387,-0.41366350650787354,78.05545043945312,0.16995278866875443,-1.9469317968768516,-1.3479193854747087,3.1576045,2.2894862,7.1727858,7.0772095,-10.020327,-3.8055503,1.0140052,-5.8389134,-10.912397,11.237733,-9.882588,5.2658176,-2.4924169,0.09481977,7.98484,-0.6434223,17.747042,-36.158413,56.263725,-6.327036,-1.0751933,-1.3191892,-5.4466434,-12.877376,40.3667,53.614082,-4.6747956,1.8264418,-6.4171095
6,-2.134770631790161,-0.4250667989253998,78.04914093017578,0.201856068130812,-1.9386870312879363,-1.3581003442290454,3.1682384,2.262304,7.1888943,7.045028,-10.006451,-3.8058765,0.8536642,-5.8959374,-10.886673,11.566955,-10.067304,5.252949,-2.525699,0.035353735,7.995985,-0.632316,17.761274,-36.153065,56.256935,-6.3209167,-1.0864908,-1.3148272,-5.42676,-12.863355,40.21084,53.546154,-4.691002,1.8094786,-6.4895945
7,-2.135453939437866,-0.4375246465206146,78.042724609375,0.2387354712136585,-1.9286040169053313,-1.3704897734547938,3.1806276,2.2302613,7.2082987,7.0043902,-9.988129,-3.8084786,0.6774765,-5.9603343,-10.856669,11.923708,-10.266088,5.2439423,-2.5587335,-0.031094445,8.0036335,-0.62223274,17.77551,-36.15079,56.255486,-6.3188763,-1.0999668,-1.3157493,-5.405294,-12.849006,40.048565,53.475098,-4.7070026,1.7905054,-6.571712
8,-2.1362826824188232,-0.44987887144088745,78.03423309326172,0.28468143501805787,-1.9147642410579706,-1.3936662390867374,3.1889799,2.1905165,7.238723,6.9656415,-9.970972,-3.814009,0.47374153,-6.036259,-10.811927,12.321973,-10.482926,5.2463346,-2.557071,-0.11487269,8.011369,-0.62671304,17.804693,-36.17585,56.252502,-6.32845,-1.108684,-1.3275337,-5.3767743,-12.82212,39.837852,53.401848,-4.7280774,1.7717305,-6.648859
9,-2.133244514465332,-0.4649646580219269,78.02629852294922,0.3389403810276709,-1.8965337915551799,-1.4286100141783442,3.1771967,2.1450815,7.280288,6.9624047,-9.973368,-3.820887,0.24485643,-6.1218596,-10.750416,12.753232,-10.714582,5.2613387,-2.5891986,-0.1973485,8.007233,-0.6066339,17.817404,-36.15392,56.24863,-6.339928,-1.1163646,-1.3584641,-5.3598323,-12.810466,39.69069,53.32799,-4.7013984,1.7607361,-6.7329626
