Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.253206342458725,-2.17044734954834,79.31111145019531,-0.6646280764618021,-1.4375251125646868,84.40272224175092,3.1660075,1.871689,0.11828725,7.8235836,-8.083011,-4.956639,1.2544731,-2.5468018,-4.8051567,8.278722,-8.564319,3.3696923,5.0154886,1.4926225,7.134781,-3.3720686,15.237204,-55.072113,66.60484,-7.3172574,-3.5810611,10.873376,-14.741235,-13.0306425,62.829105,70.7789,2.5435514,-4.400508,2.4544926
1,-0.25548240542411804,-2.1633572578430176,79.30946350097656,-0.6644939970891626,-1.4408306343791741,84.40568731298701,3.1731846,1.8700804,0.11771198,7.825999,-8.088147,-4.9553094,1.2655882,-2.5485272,-4.8092113,8.274584,-8.567111,3.3731656,4.989178,1.4923218,7.1384616,-3.3699925,15.243636,-55.129906,66.618774,-7.5280404,-3.6393359,10.982487,-14.735958,-13.010702,62.86337,70.79024,2.5321052,-4.407389,2.4665685
2,-0.25399768352508545,-2.164058208465576,79.31013488769531,-0.6646004813425112,-1.444110234711505,84.40870397613439,3.1818564,1.8678942,0.116443485,7.8253574,-8.092252,-4.955521,1.2737197,-2.5508692,-4.813367,8.276581,-8.573243,3.3774302,4.9682994,1.4928423,7.1360703,-3.369307,15.249056,-55.230972,66.64257,-7.7798243,-3.7133977,11.1223345,-14.731778,-12.987024,62.907787,70.81418,2.5340095,-4.4170346,2.4768906
3,-0.25577646493911743,-2.156163215637207,79.3084487915039,-0.6646012839846253,-1.4469995047137267,84.41153831047123,3.1884406,1.8660672,0.11685023,7.827739,-8.096853,-4.9525228,1.2830034,-2.5531535,-4.8169436,8.275208,-8.57734,3.3802183,4.958629,1.492129,7.1330194,-3.3725529,15.252301,-55.293392,66.6564,-7.9768,-3.7572334,11.2039995,-14.722347,-12.959363,62.934383,70.83813,2.5322363,-4.4249907,2.486467
4,-0.257890522480011,-2.1480510234832764,79.30939483642578,-0.6630997205085251,-1.448654100193192,84.41358835458506,3.1911795,1.8641874,0.12185368,7.8359194,-8.102856,-4.9413157,1.2872214,-2.556931,-4.818462,8.281643,-8.584734,3.379473,4.958773,1.4912342,7.131034,-3.374835,15.252406,-55.23285,66.63486,-8.031101,-3.7242672,11.140203,-14.708791,-12.929271,62.93643,70.8634,2.5250976,-4.429301,2.495225
5,-0.25604385137557983,-2.1471219062805176,79.3084945678711,-0.6591242382890143,-1.4486232632741534,84.41450150339179,3.1862478,1.8616183,0.13594232,7.856182,-8.110557,-4.913443,1.283732,-2.5639336,-4.816592,8.301229,-8.598373,3.3734577,4.956463,1.491522,7.13269,-3.3644965,15.248926,-54.905144,66.54063,-7.8141775,-3.5457988,10.792092,-14.703288,-12.889444,62.93554,70.89835,2.533267,-4.428418,2.503143
6,-0.2570280432701111,-2.138195037841797,79.30864715576172,-0.6534128796293136,-1.4474303598180742,84.41459393912692,3.1757047,1.8589437,0.15629035,7.8854146,-8.119878,-4.873984,1.2783802,-2.5726256,-4.812602,8.32189,-8.611648,3.3636572,4.952284,1.4931957,7.137076,-3.3440044,15.244287,-54.39139,66.39258,-7.405973,-3.2681997,10.243526,-14.696547,-12.851686,62.922363,70.92955,2.5400057,-4.4225755,2.5103872
7,-0.2591140866279602,-2.1283721923828125,79.30989074707031,-0.648734594297486,-1.4457123540263739,84.41460007214151,3.166001,1.8571479,0.1747629,7.9118943,-8.129182,-4.838135,1.2759624,-2.5797238,-4.808706,8.33541,-8.621225,3.3527863,4.969634,1.4937155,7.1395855,-3.333635,15.240272,-53.949017,66.255455,-7.030215,-3.0140111,9.74265,-14.674879,-12.829638,62.888985,70.940994,2.5461137,-4.4155655,2.5166194
8,-0.26242879033088684,-2.121922492980957,79.30950927734375,-0.6472598789633459,-1.444144564010241,84.41516401075803,3.162375,1.8565503,0.18332992,7.9260106,-8.137426,-4.8209786,1.271231,-2.583181,-4.806524,8.353033,-8.633027,3.3437712,4.942911,1.4963458,7.142396,-3.3092303,15.237787,-53.70897,66.173,-6.871587,-2.9010892,9.537379,-14.670638,-12.803977,62.913403,70.95469,2.5544233,-4.409667,2.5248036
9,-0.2646923363208771,-2.116450309753418,79.30962371826172,-0.6515040359700411,-1.4430797715537875,84.41610560784204,3.1692994,1.8587402,0.1774504,7.9193673,-8.143317,-4.831829,1.2726548,-2.5792124,-4.807061,8.356955,-8.637544,3.3354495,4.905434,1.4982408,7.1388254,-3.2908309,15.236903,-53.864346,66.19232,-7.087842,-3.0038698,9.800672,-14.666457,-12.777286,62.964825,70.96681,2.5561893,-4.4072795,2.5329468
