Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-2.351245403289795,-0.0517440102994442,77.09830474853516,-0.27782841530368796,-3.704392876579838,2.9289261965551714,9.210684,1.8988785,7.110595,7.8177366,-16.71589,-1.0390369,8.663622,-2.7628417,-15.756475,6.8574166,-9.936353,6.340094,-3.415269,-0.12528194,8.854398,5.791267,10.289823,-18.300528,63.52936,1.6071798,3.0070183,18.710676,4.7794094,-8.23383,19.889196,65.048096,-12.185659,-1.3837637,-8.208837
1,-2.34720778465271,-0.04420963302254677,77.09234619140625,-0.2834127359127973,-3.7126137921077413,2.9183229983827297,9.221271,1.9048036,7.1257486,7.820174,-16.725725,-1.037423,8.669161,-2.7572474,-15.7468605,6.858336,-9.931448,6.3190913,-3.409702,-0.12356389,8.861883,5.7923756,10.291299,-18.309542,63.53458,1.6236962,2.970826,18.730896,4.7693477,-8.2333,19.893686,65.05104,-12.212707,-1.3833157,-8.216599
2,-2.349045515060425,-0.04032115265727043,77.09376525878906,-0.28959704003567854,-3.72301300870583,2.904922978476117,9.2335005,1.9119765,7.1446633,7.826174,-16.738981,-1.0365347,8.677085,-2.7507849,-15.734108,6.8588967,-9.925918,6.295498,-3.4000478,-0.12005759,8.870975,5.794694,10.292808,-18.329535,63.544533,1.6338036,2.9235594,18.759094,4.753826,-8.233419,19.901815,65.061646,-12.23683,-1.3833996,-8.228377
3,-2.3533213138580322,-0.04063025861978531,77.09587097167969,-0.2945260119526941,-3.731705778932773,2.8941196936376943,9.246132,1.916979,7.1591043,7.8250084,-16.74611,-1.0344589,8.683387,-2.7458222,-15.724418,6.859577,-9.921514,6.276961,-3.381143,-0.114921235,8.871173,5.794543,10.295412,-18.380941,63.55798,1.6190963,2.8840356,18.788597,4.747267,-8.235246,19.910486,65.071785,-12.246377,-1.3840044,-8.240272
4,-2.354703903198242,-0.042143918573856354,77.09593963623047,-0.29718946746616315,-3.738830862389999,2.888724404509937,9.253064,1.9187851,7.1631527,7.8284774,-16.750322,-1.029702,8.689496,-2.7435093,-15.721026,6.859023,-9.919227,6.2708325,-3.3766246,-0.11557792,8.877455,5.7882137,10.296317,-18.400938,63.572052,1.6136969,2.8541517,18.801638,4.736524,-8.236556,19.914358,65.07698,-12.2615795,-1.3868039,-8.242928
5,-2.360823631286621,-0.041304342448711395,77.09366607666016,-0.29576652603227077,-3.744385725056758,2.890702016114606,9.252626,1.9150919,7.151508,7.8381968,-16.749012,-1.0189849,8.695144,-2.7465296,-15.726657,6.859595,-9.922462,6.285254,-3.374097,-0.11993445,8.881241,5.77193,10.298781,-18.439232,63.596516,1.5761205,2.8339674,18.803144,4.729954,-8.2394085,19.918623,65.07966,-12.261351,-1.3939391,-8.238032
6,-2.358245372772217,-0.04027799144387245,77.09648132324219,-0.2913454476293469,-3.748885132208879,2.8978832840612676,9.248678,1.9070909,7.1288447,7.8485246,-16.741774,-1.0041066,8.701238,-2.753084,-15.738784,6.85893,-9.928142,6.314163,-3.3847556,-0.12990643,8.888263,5.7570467,10.300507,-18.458464,63.617718,1.5364821,2.8213453,18.791807,4.7178073,-8.240695,19.922554,65.083244,-12.261631,-1.4039679,-8.225903
7,-2.3596529960632324,-0.04346039891242981,77.09774780273438,-0.2868568436548444,-3.751479894644478,2.9070107962850207,9.242523,1.8990217,7.1040244,7.8582654,-16.733927,-0.9911081,8.705881,-2.7595558,-15.752591,6.857961,-9.934218,6.343944,-3.3893814,-0.13985893,8.891465,5.733349,10.304289,-18.490412,63.645092,1.4864968,2.8166122,18.778765,4.7088323,-8.242394,19.927267,65.08651,-12.250431,-1.4138712,-8.213298
8,-2.3621790409088135,-0.04568563029170036,77.09789276123047,-0.2844917870785956,-3.7513048663609068,2.914857844894175,9.237068,1.8943317,7.085951,7.861676,-16.728458,-0.98596805,8.706144,-2.763143,-15.763353,6.85741,-9.937511,6.361111,-3.391018,-0.14812751,8.892024,5.72025,10.306656,-18.503855,63.65451,1.4693496,2.8230143,18.767496,4.704067,-8.24325,19.928696,65.08482,-12.245959,-1.4184364,-8.20344
9,-2.3602521419525146,-0.047986920922994614,77.09799194335938,-0.28592284176569766,-3.7461945520658957,2.921013797378255,9.229386,1.8954376,7.0780096,7.8607335,-16.729189,-0.99373674,8.700209,-2.7616148,-15.769967,6.856795,-9.937148,6.360632,-3.3821769,-0.15262464,8.886852,5.712974,10.308781,-18.50622,63.646534,1.4856117,2.8482928,18.760538,4.706465,-8.244009,19.927568,65.0761,-12.241579,-1.4153569,-8.197404
