Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.4562948942184448,-1.899298071861267,76.76133728027344,1.065923931078213,4.262152302986216,88.1562232557469,-9.614252,9.881523,8.576137,23.24629,-18.215761,-6.5064464,-10.226796,-9.148448,1.7149926,15.738331,-12.189579,11.287832,-1.1105684,-0.24373345,2.8235795,-5.7152543,19.248844,-39.98251,56.884235,-7.7307315,7.391136,-2.1243145,-12.311922,-20.29021,49.49146,60.226578,9.269471,5.382604,7.8877025
1,0.46239033341407776,-1.9029548168182373,76.76365661621094,1.0705873978505815,4.251071003323694,88.15282368635408,-9.590297,9.878483,8.579894,23.222038,-18.200155,-6.5120316,-10.213753,-9.148249,1.7194413,15.733097,-12.187384,11.285371,-1.1093124,-0.2505783,2.8491714,-5.7153807,19.271006,-39.93009,56.8619,-7.689716,7.4948816,-2.1814575,-12.31407,-20.309381,49.47421,60.224377,9.310379,5.46956,7.913964
2,0.46432939171791077,-1.9017884731292725,76.76448059082031,1.0747326020847765,4.23983177982123,88.14921893089785,-9.565863,9.875562,8.583615,23.1974,-18.184135,-6.517682,-10.201118,-9.147597,1.7241639,15.729219,-12.18607,11.282832,-1.1097354,-0.25632945,2.8729384,-5.7227316,19.285019,-39.876328,56.852894,-7.6463103,7.6064587,-2.241824,-12.317298,-20.32409,49.45496,60.228092,9.34745,5.5614552,7.942305
3,0.466786652803421,-1.9033998250961304,76.76532745361328,1.0789440260943395,4.228917759948349,88.1460005860106,-9.542486,9.872511,8.587343,23.173561,-18.168844,-6.52318,-10.188701,-9.147578,1.7284384,15.724691,-12.184228,11.280464,-1.1097031,-0.26117024,2.893377,-5.7302055,19.29367,-39.82713,56.85036,-7.6083956,7.6983895,-2.295568,-12.318327,-20.335081,49.435287,60.23777,9.380533,5.6416354,7.9661174
4,0.47057783603668213,-1.9044859409332275,76.76763916015625,1.083348403309979,4.21909008460897,88.14351358028794,-9.522287,9.869129,8.591081,23.152933,-18.156057,-6.5282264,-10.177918,-9.148532,1.7317054,15.721728,-12.183578,11.278355,-1.107784,-0.26514584,2.9058645,-5.740646,19.297588,-39.800106,56.86034,-7.5969663,7.741214,-2.3320007,-12.319596,-20.340841,49.424038,60.265125,9.414706,5.691667,7.9784884
5,0.47051888704299927,-1.9101076126098633,76.76866912841797,1.0885806668663764,4.209949722954907,88.14211596041332,-9.504806,9.864277,8.595809,23.134975,-18.14635,-6.53343,-10.171762,-9.152292,1.7340573,15.726193,-12.186754,11.277429,-1.1110696,-0.26796216,2.919324,-5.7403607,19.303198,-39.77257,56.864918,-7.603426,7.7076316,-2.3458521,-12.320675,-20.349518,49.41483,60.29916,9.445012,5.6998243,7.974424
6,0.4720539450645447,-1.912550449371338,76.76786804199219,1.0955589349974504,4.201645167556236,88.14138322968415,-9.489443,9.858382,8.601264,23.118593,-18.138615,-6.53872,-10.167918,-9.158049,1.735603,15.733879,-12.191874,11.2772455,-1.1172688,-0.26987553,2.9308183,-5.731168,19.312874,-39.753807,56.86376,-7.631592,7.619761,-2.3422844,-12.316422,-20.364029,49.409412,60.333427,9.475319,5.6778398,7.957637
7,0.4757249653339386,-1.915137529373169,76.76966857910156,1.10130483465486,4.194053504605524,88.14125402831391,-9.476835,9.8538685,8.60527,23.105608,-18.13254,-6.5428457,-10.163546,-9.162658,1.7363744,15.738867,-12.195511,11.276363,-1.1200532,-0.27105683,2.9396024,-5.7245665,19.32407,-39.747684,56.863243,-7.6670246,7.5257487,-2.3363523,-12.310746,-20.380495,49.41009,60.36671,9.50078,5.6475053,7.9410644
8,0.4793849289417267,-1.9148962497711182,76.7708740234375,1.1032355755320122,4.187205405681911,88.14161540498625,-9.465984,9.852523,8.605809,23.094725,-18.126171,-6.5444946,-10.156857,-9.162937,1.7365303,15.738896,-12.196892,11.273229,-1.1232157,-0.26994655,2.943732,-5.7260647,19.327848,-39.74232,56.871548,-7.687194,7.472959,-2.3445392,-12.302976,-20.386223,49.40706,60.401546,9.491533,5.630054,7.938176
9,0.48438921570777893,-1.9154949188232422,76.77313232421875,1.1014431766175576,4.180463893847369,88.14278488856723,-9.458814,9.856176,8.600711,23.090378,-18.12119,-6.541449,-10.141295,-9.156749,1.7356665,15.721845,-12.189795,11.26699,-1.1275197,-0.26492262,2.9545412,-5.727862,19.341389,-39.725494,56.860115,-7.6739764,7.4831567,-2.3811758,-12.288063,-20.408842,49.406693,60.39894,9.431417,5.63612,7.96302
