Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.7883626222610474,-0.9952061176300049,77.72500610351562,1.2670861035406693,2.1307241316370464,99.6431760969513,-2.9875658,5.863175,7.2741117,17.455318,-16.386871,-6.7896028,1.2077297,-5.604433,-8.608762,13.459864,-16.505037,7.60236,-3.9244916,0.30872664,6.082291,-12.77841,16.940153,-44.12114,67.37167,3.5820067,1.1326408,-2.105955,3.6722002,-15.4570675,23.178928,55.42823,-9.542617,-1.8680921,-0.72021604
1,0.7987616658210754,-0.984836995601654,77.71131134033203,1.2484143014952738,2.2252430084136186,99.58413588996693,-3.14346,5.9211736,7.3028445,17.619808,-16.56921,-6.789188,0.98685557,-5.5644913,-8.515326,13.687052,-16.681713,7.5318847,-3.906944,0.36920998,6.0799007,-13.092891,16.95007,-44.072327,66.78326,3.9170163,1.5170472,-2.4838839,3.7131464,-15.465405,23.156979,55.381535,-9.403482,-1.9216229,-0.6934544
2,0.8150513172149658,-0.9780501127243042,77.6931381225586,1.2271807745786685,2.3187146491165165,99.52434260942759,-3.2975492,5.982547,7.3323803,17.783087,-16.750538,-6.792129,0.7731162,-5.520051,-8.420383,13.901128,-16.85199,7.461616,-3.9002786,0.43685734,6.0913625,-13.369691,17.001295,-44.002483,66.145485,4.2562323,1.9124701,-2.9067402,3.75155,-15.488041,23.128366,55.31863,-9.26207,-1.9787606,-0.6561163
3,0.8326164484024048,-0.9776185154914856,77.67100524902344,1.2110775833482925,2.4135485254999707,99.46620314340184,-3.4546144,6.0372334,7.359741,17.949116,-16.934013,-6.7883763,0.5463317,-5.4838233,-8.328289,14.141924,-17.035917,7.390362,-3.8982644,0.49341923,6.109578,-13.654537,17.083956,-43.942486,65.45122,4.5912395,2.2865093,-3.2625754,3.790771,-15.511342,23.115967,55.244293,-9.131947,-2.0292542,-0.625953
4,0.8512086868286133,-0.9752066135406494,77.6443099975586,1.20821125843045,2.511370849804219,99.41250140305904,-3.6177695,6.075301,7.381782,18.118711,-17.121574,-6.767834,0.28901947,-5.4677687,-8.243881,14.445339,-17.251888,7.3168297,-3.898813,0.53089523,6.1442895,-13.996379,17.178232,-43.88817,64.6842,4.9412704,2.6075122,-3.4440904,3.8300292,-15.534272,23.121399,55.150322,-9.045819,-2.0637255,-0.6123483
5,0.8690019845962524,-0.9817759394645691,77.6131362915039,1.2213500590503004,2.6164646056508176,99.36327957201593,-3.7995312,6.09078,7.396041,18.303368,-17.316793,-6.724461,-0.021718994,-5.479874,-8.16904,14.84568,-17.513674,7.238799,-3.9012437,0.5475731,6.1985273,-14.41559,17.290934,-43.86978,63.843727,5.317308,2.853732,-3.425508,3.8651748,-15.5642395,23.151844,55.02943,-9.023676,-2.070858,-0.6189688
6,0.8914215564727783,-0.9806302189826965,77.58487701416016,1.2459317911649268,2.7267054836982925,99.31752104692156,-3.994201,6.090009,7.4047203,18.497992,-17.517431,-6.6647615,-0.3705552,-5.5123754,-8.1006155,15.315498,-17.808815,7.15755,-3.90326,0.5500011,6.2665644,-14.885768,17.414047,-43.868866,62.94633,5.7209826,3.0487373,-3.2624056,3.900089,-15.601389,23.198666,54.887115,-9.046118,-2.0586984,-0.6397018
7,0.9160005450248718,-0.9662745594978333,77.56007385253906,1.2787243660876855,2.8342668226293495,99.27550339421249,-4.1792,6.081038,7.4117894,18.684317,-17.718424,-6.5971885,-0.7180745,-5.553177,-8.035738,15.798136,-18.113905,7.0769987,-3.910012,0.5436464,6.3479533,-15.392135,17.544388,-43.85887,61.980213,6.086137,3.2282863,-2.9702444,3.950772,-15.644176,23.253736,54.718384,-9.0792,-2.0461159,-0.6674642
8,0.9304074645042419,-0.9564419984817505,77.53242492675781,1.3136039627202567,2.9313411086499293,99.23735558734656,-4.331913,6.0718665,7.421325,18.8438,-17.914755,-6.5303087,-1.0207987,-5.589998,-7.972123,16.229118,-18.405634,7.001389,-3.925452,0.5317003,6.4419017,-15.902287,17.676508,-43.781322,60.92163,6.383347,3.4292727,-2.5652518,4.0286975,-15.690569,23.309433,54.523464,-9.0867815,-2.052332,-0.69581866
9,0.9546574354171753,-0.9353669285774231,77.50479888916016,1.35348604861227,3.0114018739609922,99.19548429045471,-4.4403234,6.065276,7.442656,18.975956,-18.111542,-6.4595003,-1.2741998,-5.6203675,-7.897955,16.611923,-18.683207,6.9341774,-3.9444191,0.51335,6.553306,-16.42924,17.810888,-43.640713,59.77478,6.557094,3.6582713,-2.0028863,4.1377234,-15.737571,23.367113,54.304142,-9.071039,-2.087347,-0.73481923
