Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.0292326882481575,-2.3708245754241943,77.50165557861328,0.6385942010396477,-4.055970221569737,89.56682768601367,5.1833825,1.7684503,6.12094,8.3885765,-10.59048,-2.899001,7.6071715,-2.5244336,-16.11656,7.241181,-12.104376,2.4477184,-0.57278484,2.8679395,9.539697,-5.297566,12.164851,-42.33698,57.795876,-2.4535232,10.351263,2.8837547,-4.754538,-9.603043,26.649199,66.69245,-16.182384,7.106234,-1.4477661
1,0.03485851734876633,-2.3476953506469727,77.50315856933594,0.6426648955638236,-4.037058638441442,89.58524357452588,5.1772532,1.7622797,6.114812,8.380047,-10.600525,-2.8985078,7.6061335,-2.5312445,-16.135443,7.238955,-12.127757,2.4437182,-0.60394543,2.8657339,9.531928,-5.294741,12.176584,-42.32038,57.738426,-1.9173486,10.267904,2.5787318,-4.7428203,-9.598558,26.60393,66.67701,-16.116385,7.0843873,-1.4072726
2,0.030054286122322083,-2.3403172492980957,77.50146484375,0.6461146947348638,-4.0179517752716345,89.60442775033607,5.171483,1.755927,6.1090035,8.369556,-10.609752,-2.8971758,7.604191,-2.5387025,-16.155462,7.237456,-12.1521845,2.4387414,-0.6296161,2.8625066,9.528479,-5.297293,12.191558,-42.30484,57.6756,-1.348154,10.175036,2.2553535,-4.7333055,-9.590702,26.5365,66.66196,-16.065641,7.0616426,-1.3619031
3,0.03326594457030296,-2.3197524547576904,77.50123596191406,0.6500738412275096,-3.9993187393139498,89.6220361750416,5.1662917,1.7497827,6.10274,8.3607645,-10.619458,-2.8974686,7.6022468,-2.545382,-16.173326,7.237664,-12.175624,2.4358737,-0.65718085,2.86004,9.51649,-5.298877,12.196516,-42.296642,57.633385,-0.8486942,10.091726,1.9705116,-4.719324,-9.5870695,26.498724,66.64899,-15.991065,7.0397635,-1.3253188
4,0.03339764103293419,-2.30128812789917,77.5003433227539,0.6548309103407586,-3.9827901442035207,89.63593282400927,5.166742,1.7435715,6.0953,8.3489895,-10.6258745,-2.9018188,7.605738,-2.549628,-16.185669,7.231417,-12.190541,2.438177,-0.658645,2.8508203,9.513545,-5.309164,12.205924,-42.287865,57.60583,-0.4827871,10.0410795,1.7591941,-4.7027874,-9.578985,26.433506,66.63144,-15.923882,7.011976,-1.2960508
5,0.0396919921040535,-2.272955894470215,77.49897003173828,0.6600199112043201,-3.9672130585593854,89.64310726033733,5.1735897,1.7368325,6.086983,8.333008,-10.627787,-2.9123192,7.6131387,-2.5505133,-16.187866,7.2186155,-12.19344,2.4505916,-0.6412733,2.8332896,9.501222,-5.3172555,12.211648,-42.28967,57.610806,-0.3263712,10.041553,1.6597456,-4.677614,-9.573062,26.397,66.615906,-15.804294,6.9760303,-1.2887167
6,0.044241927564144135,-2.246753454208374,77.49711608886719,0.66642094069689,-3.9526411875729006,89.64531561409312,5.185416,1.7294306,6.0781713,8.314222,-10.626848,-2.927259,7.621696,-2.550193,-16.182713,7.2051663,-12.1896925,2.4701695,-0.60366726,2.8086736,9.487108,-5.3287187,12.215851,-42.297054,57.63758,-0.31260386,10.0794735,1.6368151,-4.6442413,-9.567807,26.362886,66.59673,-15.660402,6.933429,-1.2942117
7,0.047819849103689194,-2.2244696617126465,77.4947280883789,0.6726144883748411,-3.940646500182852,89.6481020178569,5.199448,1.7227545,6.067928,8.29689,-10.626008,-2.9430878,7.6342516,-2.5489285,-16.17867,7.190911,-12.185516,2.4879549,-0.5592188,2.7846935,9.477227,-5.343959,12.221314,-42.31565,57.6716,-0.3657064,10.12643,1.6501163,-4.612732,-9.560018,26.32544,66.579254,-15.537139,6.8951197,-1.3020909
8,0.04737001284956932,-2.204393148422241,77.49237060546875,0.6763796834231157,-3.9329765872619,89.65628712077432,5.214738,1.7176676,6.056199,8.283829,-10.628838,-2.9561784,7.650134,-2.548825,-16.18358,7.1832414,-12.19057,2.4951515,-0.54044735,2.7727056,9.478237,-5.354037,12.224346,-42.326313,57.69409,-0.40394637,10.154046,1.6581488,-4.6020355,-9.555653,26.306923,66.573135,-15.473443,6.8725085,-1.3018367
9,0.05185253545641899,-2.1872758865356445,77.48970031738281,0.6778127659100682,-3.931792864357969,89.66918195059213,5.232598,1.7167568,6.0447025,8.278748,-10.63883,-2.967474,7.6710663,-2.5488675,-16.198866,7.1857753,-12.209567,2.4839015,-0.53972715,2.7756665,9.49462,-5.364743,12.2283325,-42.341892,57.701927,-0.42323017,10.155374,1.6538266,-4.609252,-9.550895,26.2825,66.57357,-15.507631,6.873389,-1.2834144
