Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.1378602385520935,2.1362955570220947,79.20452880859375,0.2909442606495028,-0.898618588670547,-95.23193624101025,0.87832373,3.6579418,16.98185,9.481669,-10.346002,-1.4078219,1.1785399,-6.097967,-22.170616,7.956713,-6.9020443,4.074271,-0.38162446,0.59966826,8.130589,4.6055875,8.386727,-20.326366,63.92651,4.392832,-1.3362287,8.7589,-4.1600595,-11.725565,36.96634,67.83235,2.7291284,-2.8058715,-6.3587475
1,0.14220798015594482,2.13883638381958,79.20226287841797,0.28407525895902713,-0.8921954874092017,-95.2170787021345,0.8597341,3.6653926,16.984552,9.491737,-10.352297,-1.4079671,1.1718867,-6.093134,-22.187008,7.954686,-6.900214,4.0659256,-0.40690383,0.5938056,8.148893,4.5184817,8.39333,-20.536003,64.05495,4.2814097,-1.3293772,8.774336,-4.2311997,-11.713074,37.23934,67.87469,2.6968353,-2.7868707,-6.3396792
2,0.14113394916057587,2.1427125930786133,79.2056884765625,0.2770844443890002,-0.8854397958361929,-95.20120939772414,0.839766,3.6738014,16.987926,9.503199,-10.359571,-1.4086592,1.1659632,-6.0873456,-22.204584,7.9509444,-6.8977156,4.056952,-0.43649948,0.58685815,8.159235,4.4410176,8.404176,-20.763779,64.18032,4.1511974,-1.3222989,8.789755,-4.2975206,-11.699818,37.54075,67.91576,2.6801133,-2.7650025,-6.3249927
3,0.14504943788051605,2.1434006690979004,79.20330810546875,0.27132163085917566,-0.8785490778761197,-95.1876468790166,0.8218707,3.6803293,16.990171,9.511583,-10.364672,-1.4084065,1.1583414,-6.083243,-22.219612,7.949691,-6.8960857,4.0491776,-0.46760774,0.57787806,8.167978,4.375524,8.419537,-20.979477,64.29229,4.029658,-1.3135018,8.811286,-4.3684793,-11.684635,37.844875,67.96315,2.6760337,-2.7464566,-6.31188
4,0.1427828073501587,2.151592969894409,79.2028579711914,0.26775867155051336,-0.8732056149466074,-95.1805847416181,0.8081498,3.6831605,16.990143,9.517295,-10.367029,-1.4059255,1.1507893,-6.0816994,-22.227879,7.9494176,-6.8938723,4.044272,-0.48430538,0.566075,8.185115,4.298954,8.432829,-21.156261,64.40324,3.9541829,-1.3013036,8.842606,-4.4304256,-11.672876,38.100033,67.99568,2.659089,-2.7338,-6.2943544
5,0.14156630635261536,2.156750440597534,79.20305633544922,0.2707622072955139,-0.8698472444303624,-95.18202500142965,0.8011665,3.679112,16.984524,9.517312,-10.364089,-1.3985578,1.1430931,-6.0852213,-22.226875,7.9508023,-6.89145,4.0441008,-0.4942948,0.54889923,8.198174,4.2308044,8.449047,-21.304615,64.5082,3.9136128,-1.2848914,8.899959,-4.4980717,-11.658138,38.36171,68.04025,2.675709,-2.730223,-6.2802024
6,0.14286097884178162,2.1607460975646973,79.20178985595703,0.2771640135337082,-0.8680216849478787,-95.18968892589002,0.7983018,3.6703253,16.975225,9.51445,-10.357933,-1.3878058,1.1320392,-6.093723,-22.21884,7.9618044,-6.8935966,4.0472007,-0.499545,0.5270691,8.214489,4.1629605,8.465797,-21.419176,64.60925,3.9089346,-1.265471,8.972611,-4.5665426,-11.641486,38.604088,68.086235,2.692889,-2.7329776,-6.2654934
7,0.14163631200790405,2.16257905960083,79.20386505126953,0.28351538647968344,-0.8658051783337514,-95.20036814171041,0.7968708,3.661718,16.967861,9.509539,-10.350529,-1.3784708,1.122247,-6.100684,-22.208273,7.967009,-6.8913064,4.050723,-0.4913941,0.5070544,8.235317,4.0844717,8.477348,-21.50798,64.71213,3.9340098,-1.2465078,9.042748,-4.628055,-11.62966,38.80082,68.120125,2.7009041,-2.7385783,-6.2472305
8,0.14576223492622375,2.166879653930664,79.20211029052734,0.286497100785714,-0.8608471734338026,-95.21159340348743,0.7948191,3.6577287,16.969276,9.500519,-10.342476,-1.3753179,1.1108451,-6.102515,-22.198458,7.9678173,-6.8852143,4.051668,-0.48990998,0.4895361,8.248334,4.0171337,8.489302,-21.568596,64.800026,3.9696596,-1.2279565,9.093104,-4.681988,-11.6158,38.982464,68.14292,2.7132752,-2.74289,-6.2298837
9,0.15027540922164917,2.1696412563323975,79.20286560058594,0.283856184906477,-0.8506353263068728,-95.22200719861277,0.7891378,3.6603665,16.981731,9.487499,-10.333408,-1.3820876,1.0936574,-6.0983725,-22.191116,7.967692,-6.875943,4.0485187,-0.4969402,0.47868973,8.256805,3.9692452,8.500073,-21.586647,64.85986,4.032574,-1.2083814,9.115508,-4.733066,-11.601007,39.130806,68.15693,2.7169013,-2.7469454,-6.2080255
