Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.06081361323595047,-2.3746814727783203,78.02070617675781,-2.504305488390758,-2.916431288157599,90.75189190373281,0.6205985,6.621618,4.328081,20.77556,-19.644802,-3.6763384,3.5376294,0.6918176,-14.178355,16.82414,-15.028769,1.4831405,-1.3750033,4.319467,8.813866,-6.8215294,16.588413,-46.063198,60.027782,1.0216049,1.0288419,2.9084985,-7.3320794,-15.372021,48.099045,59.975246,3.9377747,1.6168822,-7.346661
1,-0.05478450283408165,-2.377140998840332,78.02252960205078,-2.5079193891636757,-2.9109135876853443,90.76389077235432,0.5970665,6.6282616,4.305834,20.80329,-19.645443,-3.6808574,3.5427096,0.7025683,-14.188222,16.80207,-15.0164995,1.4757054,-1.3746449,4.3190575,8.80765,-6.836368,16.598545,-46.036465,60.07144,1.0574455,1.022988,2.9299502,-7.32684,-15.379087,48.086853,59.993652,3.9574516,1.6081594,-7.361352
2,-0.04865875840187073,-2.378809928894043,78.0215835571289,-2.510592325380893,-2.9049612245001604,90.77629060178678,0.5721964,6.6346145,4.2823033,20.832167,-19.645296,-3.6852403,3.54705,0.7130882,-14.198396,16.780375,-15.003792,1.4681008,-1.3842155,4.3180804,8.813846,-6.8359046,16.63348,-45.985172,60.078506,1.1044308,1.0187879,2.946802,-7.329554,-15.403037,48.086586,59.994232,3.9858148,1.5998424,-7.3732834
3,-0.04237648844718933,-2.379985809326172,78.02212524414062,-2.514341374553148,-2.9001121823205214,90.78786723635042,0.5510323,6.641403,4.261442,20.85712,-19.645819,-3.689911,3.5530071,0.7239649,-14.207857,16.758223,-14.992013,1.4608648,-1.3914826,4.3177133,8.8124485,-6.8411417,16.657114,-45.948116,60.104767,1.1405435,1.0126686,2.9654129,-7.3183303,-15.41829,48.069855,59.998947,3.992899,1.5926756,-7.3862104
4,-0.03202260285615921,-2.3753294944763184,78.02056884765625,-2.5174985064624447,-2.898222550307996,90.79728077148769,0.5393151,6.6496353,4.24718,20.8722,-19.64783,-3.6952884,3.5619674,0.73527706,-14.215796,16.737617,-14.9836035,1.4544646,-1.3967886,4.3181715,8.812673,-6.845062,16.686506,-45.92145,60.1291,1.1642504,1.0038463,2.981997,-7.318705,-15.437268,48.064304,60.011555,4.0131326,1.588623,-7.396915
5,-0.026628870517015457,-2.370518445968628,78.01664733886719,-2.5224181811883786,-2.8991153061295427,90.8036935154026,0.5393714,6.6601377,4.2428665,20.873198,-19.653502,-3.7015107,3.5731077,0.7472188,-14.221443,16.720465,-14.981138,1.4491965,-1.4028986,4.321174,8.808167,-6.8481894,16.714735,-45.9094,60.163685,1.1693999,0.9889737,2.998258,-7.3126383,-15.455126,48.04976,60.02677,4.0180316,1.5898838,-7.40566
6,-0.0221736840903759,-2.368619203567505,78.01332092285156,-2.5287814210457826,-2.9020703598680853,90.80799509684192,0.5483682,6.6722713,4.2457047,20.863184,-19.660969,-3.7083967,3.58616,0.7597705,-14.225507,16.704588,-14.982258,1.4447196,-1.4055319,4.325617,8.800857,-6.85785,16.739086,-45.913506,60.212902,1.1585742,0.96867156,3.014075,-7.317889,-15.470651,48.042885,60.057175,4.033678,1.5934423,-7.4124813
7,-0.016021432355046272,-2.366732358932495,78.01487731933594,-2.533072703192987,-2.9080270007524884,90.81140731736907,0.56296015,6.6842747,4.2502847,20.85021,-19.668047,-3.715636,3.6038308,0.7724455,-14.228877,16.686827,-14.982955,1.4407058,-1.4064968,4.329061,8.798561,-6.856381,16.779015,-45.921276,60.238235,1.1435055,0.9523513,3.0271842,-7.305607,-15.496587,48.02061,60.06526,4.030503,1.6005515,-7.418379
8,-0.011085453443229198,-2.3662734031677246,78.01724243164062,-2.5380825915579486,-2.917959606707629,90.8156376251241,0.579944,6.6943955,4.251086,20.841202,-19.67115,-3.722952,3.6280584,0.7844454,-14.232567,16.6648,-14.97989,1.4369793,-1.4075286,4.3320217,8.799958,-6.862743,16.80492,-45.925606,60.275425,1.1339031,0.94004196,3.0366886,-7.3028517,-15.513617,48.00995,60.087738,4.035907,1.6051342,-7.424277
9,-0.0055788313038647175,-2.366614580154419,78.02012634277344,-2.5397552081725894,-2.935417183977433,90.82151692040402,0.60323215,6.7014894,4.245817,20.837017,-19.667183,-3.7305615,3.6654406,0.7957826,-14.237313,16.633768,-14.968595,1.4341925,-1.406594,4.331572,8.81591,-6.8614874,16.844631,-45.924713,60.284367,1.1290133,0.93894327,3.037589,-7.2944155,-15.540098,48.00232,60.09381,4.0447054,1.6091664,-7.4309587
