Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.9591107964515686,2.8993847370147705,77.89289855957031,-5.261942733706274,-3.7025971300221956,-91.70431500536473,2.3312383,17.420958,12.864984,22.312181,-19.64085,-9.093548,4.7987747,2.9202695,-13.195644,12.454475,-11.248941,2.6931796,-2.5753784,6.7456164,10.003285,-6.164484,17.318954,-44.75003,60.57661,2.4210958,0.52629906,1.9222758,-8.259648,-15.6955805,47.861347,60.843697,0.883126,1.2140852,-6.3320317
1,-0.9325371384620667,2.916828155517578,77.89653778076172,-5.2828731286124855,-3.543352233841256,-91.7385336899436,1.9971105,17.449371,12.835123,22.584187,-19.710575,-9.03865,4.596904,2.924968,-13.157352,12.416578,-11.1899,2.7422805,-2.6149087,6.7783613,9.955617,-6.1813564,17.32392,-44.711258,60.42487,2.4029946,0.51745176,1.9147143,-8.3603,-15.69992,47.81297,60.846764,0.8574802,1.2155787,-6.3362865
2,-0.9033464789390564,2.9430198669433594,77.89920806884766,-5.302741023731358,-3.3863600778330727,-91.77276858640907,1.6721879,17.475538,12.806704,22.844658,-19.777695,-8.985232,4.400552,2.9294,-13.116906,12.374104,-11.130427,2.7906184,-2.65076,6.8113065,9.914958,-6.205719,17.322817,-44.659195,60.281013,2.3968918,0.50681293,1.9019446,-8.450666,-15.713452,47.741814,60.835472,0.8084395,1.217548,-6.335921
3,-0.8744004964828491,2.975111484527588,77.89840698242188,-5.325449399655257,-3.2264484192340683,-91.80735772332739,1.3297957,17.504677,12.774914,23.129536,-19.851385,-8.927708,4.1960998,2.9331846,-13.079957,12.338117,-11.070734,2.841054,-2.6842077,6.85082,9.8758135,-6.240113,17.31208,-44.616753,60.14199,2.3905873,0.49705684,1.8943123,-8.553538,-15.735527,47.679924,60.82333,0.7853597,1.2196649,-6.334726
4,-0.8315003514289856,3.010514736175537,77.89218139648438,-5.355342679559986,-3.0595367044187145,-91.84264294930459,0.9450943,17.541698,12.735151,23.47323,-19.94034,-8.860413,3.9718556,2.9367902,-13.051725,12.318133,-11.010839,2.896624,-2.7232666,6.9041843,9.848909,-6.290519,17.287415,-44.570717,60.00088,2.3985658,0.48953137,1.8946851,-8.652638,-15.772185,47.58653,60.77631,0.75382507,1.2257919,-6.328588
5,-0.7801950573921204,3.0583913326263428,77.88971710205078,-5.39517149781221,-2.8862275567022215,-91.87814124899731,0.5152855,17.5894,12.685664,23.881735,-20.045898,-8.787865,3.7300482,2.9417622,-13.038617,12.312783,-10.948054,2.9562807,-2.762316,6.974446,9.835477,-6.3633456,17.244144,-44.52744,59.862274,2.4314325,0.48953527,1.9032724,-8.761589,-15.829204,47.468452,60.701214,0.7365372,1.2380567,-6.314697
6,-0.7229610681533813,3.108123302459717,77.88594055175781,-5.4411422708177595,-2.7084797520569124,-91.91397720530064,0.052730545,17.644646,12.629004,24.33763,-20.164165,-8.710949,3.4757454,2.9476643,-13.036028,12.317752,-10.883356,3.019237,-2.8009226,7.0610285,9.830907,-6.459262,17.176073,-44.488567,59.736942,2.480869,0.4937982,1.9186769,-8.850365,-15.913626,47.30718,60.57937,0.7008908,1.2568251,-6.294289
7,-0.6633192300796509,3.1543233394622803,77.87789916992188,-5.49087148938647,-2.523332752128592,-91.95123322508125,-0.44788334,17.702822,12.565691,24.844748,-20.296867,-8.618083,3.1994152,2.9495404,-13.033179,12.340158,-10.822014,3.088793,-2.8402958,7.156918,9.834798,-6.565348,17.100319,-44.451168,59.603294,2.5266974,0.4939951,1.9425603,-8.956021,-16.006308,47.14534,60.4503,0.6850918,1.2714361,-6.2722783
8,-0.6036282777786255,3.206524610519409,77.8718490600586,-5.541132147172976,-2.3280576123170507,-91.99121086180641,-0.990337,17.75893,12.496741,25.40392,-20.444721,-8.497711,2.891033,2.9427953,-13.019366,12.389111,-10.77029,3.168605,-2.8764162,7.2617507,9.846503,-6.682434,17.017685,-44.422356,59.456795,2.544749,0.4806245,1.9778956,-9.089875,-16.110146,47.005737,60.32134,0.7123879,1.2735406,-6.2517304
9,-0.529694139957428,3.284229040145874,77.86190032958984,-5.594179882486371,-2.1179868408905005,-92.03112483226398,-1.5869188,17.812128,12.400765,26.020449,-20.610153,-8.348893,2.550941,2.9317753,-12.991496,12.448399,-10.723015,3.2579763,-2.9111004,7.3783975,9.862798,-6.8115916,16.928743,-44.403694,59.297405,2.5221286,0.4460845,2.0196319,-9.248762,-16.228575,46.88998,60.189434,0.78732866,1.2566093,-6.233142
