Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.12978698313236237,-2.215869426727295,78.35733032226562,-0.27714000857068216,-0.7937698891586341,88.04275008527559,1.7652222,1.2061263,-8.544717,10.070732,-11.843379,-3.6713881,4.135795,-1.1380335,-1.7942845,9.114506,-12.179959,2.1440046,-2.5108297,1.7674218,5.603287,1.749697,15.139837,-24.452702,52.584724,27.630793,-0.25462985,-5.1290455,-1.7227455,-16.749477,33.046627,58.8013,-16.113998,3.5623589,6.702367
1,-0.12737984955310822,-2.2198710441589355,78.35765075683594,-0.283578531482699,-0.8018737607630217,88.00911570913159,1.7789438,1.2209069,-8.514264,10.064019,-11.83798,-3.6894798,4.1316743,-1.1248708,-1.7635812,9.115842,-12.169927,2.1416335,-2.5327103,1.7850721,5.6050406,1.7889663,15.155559,-24.401617,52.58879,27.634192,-0.33816206,-5.2155333,-1.6906407,-16.75571,33.007378,58.742077,-16.166615,3.5346656,6.844613
2,-0.12639592587947845,-2.2261950969696045,78.35814666748047,-0.2906974740613153,-0.8097895943036959,87.97565546607827,1.794375,1.2357178,-8.483972,10.053193,-11.830039,-3.7083414,4.127489,-1.1118594,-1.7330064,9.117125,-12.159705,2.1395087,-2.5577123,1.8021036,5.606593,1.8278341,15.171353,-24.341213,52.593597,27.638165,-0.42895478,-5.306368,-1.6580855,-16.75934,32.964554,58.683582,-16.22941,3.501802,6.9912686
3,-0.12647022306919098,-2.234830617904663,78.3572006225586,-0.29683496637199364,-0.8181463344026895,87.94198239612277,1.8064396,1.2503667,-8.453334,10.049916,-11.826485,-3.7257001,4.123911,-1.0984359,-1.7022485,9.117189,-12.14899,2.1369328,-2.5821517,1.8188454,5.608986,1.8670012,15.186031,-24.287731,52.600956,27.645908,-0.5085196,-5.3903217,-1.6304111,-16.760181,32.926056,58.63022,-16.28053,3.477268,7.129392
4,-0.12635435163974762,-2.245739698410034,78.35596466064453,-0.30305545597391187,-0.8273698504877673,87.90782964105524,1.8192191,1.2650806,-8.421247,10.045434,-11.8229885,-3.7391663,4.119866,-1.0852108,-1.6705995,9.118636,-12.139267,2.1334517,-2.6035278,1.8380958,5.606343,1.8989242,15.190945,-24.266706,52.630604,27.65247,-0.5579784,-5.4511657,-1.6094884,-16.758995,32.905174,58.59145,-16.294796,3.4741402,7.2433305
5,-0.12637609243392944,-2.257189989089966,78.35552978515625,-0.30943845117616986,-0.8384480013811054,87.87208957209346,1.8316519,1.2799724,-8.386111,10.043614,-11.822929,-3.7488136,4.114808,-1.071892,-1.6364275,9.123312,-12.1320305,2.1288533,-2.6255941,1.8523278,5.6174006,1.9386219,15.198056,-24.246233,52.650772,27.69064,-0.5752666,-5.495079,-1.5938847,-16.756065,32.8694,58.53972,-16.29112,3.5115051,7.362566
6,-0.12639212608337402,-2.267824649810791,78.35588073730469,-0.3151136370355818,-0.8509794244691323,87.83532477893303,1.8467667,1.2953179,-8.348827,10.038145,-11.822523,-3.7556386,4.1099873,-1.058597,-1.6005656,9.128767,-12.12577,2.1234512,-2.6366787,1.862043,5.635816,1.9752316,15.212006,-24.251938,52.669285,27.735256,-0.5656659,-5.5227304,-1.5828395,-16.748148,32.821327,58.48649,-16.264835,3.5765405,7.4809093
7,-0.12708766758441925,-2.277315855026245,78.35639190673828,-0.32162280816184013,-0.8633195245063453,87.79933972271806,1.857958,1.309588,-8.312296,10.039217,-11.824371,-3.7588322,4.1039405,-1.045966,-1.5658258,9.13554,-12.119423,2.1173675,-2.6417165,1.870584,5.64987,2.0105455,15.226125,-24.27711,52.69812,27.776743,-0.542472,-5.543032,-1.5684923,-16.737144,32.78547,58.444725,-16.22712,3.6341138,7.552909
8,-0.12919072806835175,-2.2873375415802,78.35795593261719,-0.3265664827817717,-0.8741129028252004,87.7663151879954,1.8639282,1.3216037,-8.279529,10.046852,-11.826052,-3.7574773,4.0967846,-1.0352428,-1.535295,9.142613,-12.111405,2.1107974,-2.6460786,1.8821247,5.660982,2.047455,15.235033,-24.298613,52.735535,27.817884,-0.5218734,-5.570907,-1.553831,-16.728794,32.779118,58.422813,-16.190138,3.647318,7.5386076
9,-0.12917378544807434,-2.2979462146759033,78.35953521728516,-0.33031098741602144,-0.8827763564358508,87.73742122745179,1.8648225,1.3302934,-8.252014,10.059762,-11.824302,-3.74771,4.0863433,-1.0275195,-1.5108547,9.153798,-12.102051,2.1024542,-2.6438518,1.895854,5.6723847,2.0820124,15.240059,-24.3178,52.78003,27.860884,-0.50252527,-5.607306,-1.5309672,-16.72404,32.799015,58.425743,-16.170141,3.588359,7.389865
10,-0.1288893073797226,-2.308516025543213,78.36077880859375,-0.3333435039860115,-0.8896175192256359,87.71135768483254,1.8587809,1.336385,-8.227991,10.0821085,-11.823165,-3.7312315,4.072307,-1.0219812,-1.4904903,9.169379,-12.092385,2.0926697,-2.6420643,1.9077505,5.6735787,2.1282148,15.249378,-24.350128,52.82618,27.89293,-0.47530308,-5.642802,-1.5088555,-16.715076,32.868206,58.460308,-16.135925,3.4846447,7.135609
11,-0.12968412041664124,-2.31791090965271,78.36166381835938,-0.33578841107705254,-0.8963959514256846,87.68626551632155,1.8562598,1.3421125,-8.204876,10.096239,-11.818025,-3.7153444,4.059326,-1.0173624,-1.4711471,9.183293,-12.082596,2.0842674,-2.6422932,1.9197882,5.677448,2.1789198,15.257038,-24.368832,52.874454,27.932207,-0.4531373,-5.6880317,-1.4905622,-16.707474,32.939022,58.496605,-16.105867,3.3753593,6.868344
12,-0.13253949582576752,-2.326650619506836,78.36272430419922,-0.3378527071456449,-0.9038994102400084,87.66050578052749,1.8551074,1.3492135,-8.1804285,10.109492,-11.817092,-3.707575,4.049543,-1.0112549,-1.449804,9.191412,-12.073159,2.0798545,-2.642,1.9316467,5.6827884,2.228284,15.263155,-24.375704,52.932316,27.976099,-0.44461226,-5.747495,-1.4736732,-16.701092,32.98661,58.51022,-16.075455,3.3030417,6.673808
13,-0.13351298868656158,-2.338785171508789,78.36335754394531,-0.3408160381396844,-0.9135820022013359,87.63905876383674,1.8634892,1.3568432,-8.158633,10.1032505,-11.81108,-3.711333,4.0448747,-1.0061476,-1.4306339,9.192879,-12.06553,2.0822983,-2.6482162,1.9406837,5.6891522,2.2799978,15.270786,-24.341911,52.97007,28.015074,-0.4121349,-5.9347787,-1.4673961,-16.692318,33.016087,58.506367,-16.02532,3.282683,6.5561438
14,-0.13441084325313568,-2.350996494293213,78.36446380615234,-0.3426564947143248,-0.9244061818587589,87.62085274526929,1.8703697,1.3642968,-8.139256,10.100182,-11.809992,-3.7223465,4.0446787,-1.0009053,-1.4135178,9.187667,-12.057897,2.089223,-2.6567483,1.945993,5.701753,2.3264818,15.281127,-24.270414,52.99955,28.058855,-0.36743265,-6.212697,-1.4630138,-16.680075,33.02349,58.483322,-15.974756,3.2905705,6.4778323
15,-0.1328599452972412,-2.3592305183410645,78.36383056640625,-0.34579914221625885,-0.934416578217563,87.59563111233375,1.8812747,1.374177,-8.11342,10.092559,-11.809963,-3.7357435,4.0433455,-0.9936802,-1.3891742,9.182557,-12.050852,2.0964038,-2.6642551,1.9513508,5.710334,2.39083,15.292303,-24.226988,53.058304,28.1134,-0.38211617,-6.351498,-1.4632989,-16.668272,33.023357,58.456917,-15.938747,3.310457,6.453446
16,-0.13334274291992188,-2.3710954189300537,78.36387634277344,-0.3479956089077112,-0.9408222741951213,87.55183604425478,1.8974646,1.3899524,-8.071122,10.080492,-11.811589,-3.7470894,4.0371184,-0.98074245,-1.3472483,9.179901,-12.04271,2.099241,-2.663023,1.9532177,5.703244,2.4811378,15.30945,-24.276224,53.202126,28.18282,-0.5311138,-6.1222353,-1.4596014,-16.653925,33.02936,58.43022,-15.932429,3.3285458,6.496031
17,-0.13339294493198395,-2.3782095909118652,78.36367797851562,-0.3520430565699275,-0.9405495295352183,87.47446598405779,1.9166939,1.4154624,-7.998454,10.073081,-11.823481,-3.7565308,4.020309,-0.9581648,-1.2735709,9.183084,-12.033684,2.0964851,-2.6165013,1.9431202,5.662744,2.6033306,15.351983,-24.534117,53.494904,28.254961,-0.90909994,-5.2585816,-1.4325992,-16.625124,33.009647,58.401463,-15.987537,3.345466,6.66611
18,-0.1233377456665039,-2.367448091506958,78.36251831054688,-0.3561741544933526,-0.9358227866223905,87.3736660941389,1.9398377,1.4483566,-7.9044876,10.066074,-11.842002,-3.7660525,3.996384,-0.928539,-1.1775469,9.190355,-12.024534,2.090617,-2.5445426,1.9266535,5.6021757,2.7487473,15.407858,-24.92349,53.894947,28.34732,-1.4520836,-3.9508753,-1.3859142,-16.592281,32.96703,58.357323,-16.09208,3.3679934,6.939599
19,-0.10354100167751312,-2.355494737625122,78.36024475097656,-0.36056354110983174,-0.9317791367765271,87.27564087729738,1.9637015,1.480412,-7.8139305,10.057596,-11.858573,-3.7739172,3.9729514,-0.8993723,-1.0838122,9.199281,-12.016061,2.0824928,-2.451191,1.9004048,5.543364,2.8897166,15.48517,-25.33746,54.28454,28.446903,-1.9832397,-2.6512725,-1.3300103,-16.54968,32.901405,58.314793,-16.198547,3.384607,7.195382
20,-0.09842045605182648,-2.35909104347229,78.35936737060547,-0.36407976751297,-0.9333265776592896,87.2067608091039,1.9802088,1.5033873,-7.75174,10.055874,-11.869719,-3.7783115,3.9569504,-0.8776447,-1.0171981,9.209017,-12.010055,2.0730684,-2.3917596,1.879824,5.5086617,3.0154948,15.551638,-25.600327,54.55515,28.553535,-2.3316078,-1.8119707,-1.2993668,-16.514097,32.874763,58.295135,-16.243128,3.387926,7.3126035
21,-0.09831121563911438,-2.3686702251434326,78.35932159423828,-0.36700959446034,-0.9436299895405753,87.1796199776466,1.9858706,1.513305,-7.7307467,10.066576,-11.873493,-3.7756648,3.9509444,-0.8665117,-0.98914397,9.222451,-12.008098,2.06069,-2.3670514,1.8703012,5.506193,3.103954,15.593763,-25.662027,54.66834,28.662874,-2.41818,-1.6552619,-1.285185,-16.491623,32.886173,58.300854,-16.205763,3.3660266,7.204768
22,-0.09808987379074097,-2.379925012588501,78.36030578613281,-0.3700120298386208,-0.95951786250749,87.17822365210733,1.9861069,1.5155826,-7.73565,10.082316,-11.870908,-3.7680035,3.9514995,-0.8617042,-0.9847938,9.238331,-12.008787,2.0454695,-2.3578713,1.868193,5.5225453,3.1657245,15.618341,-25.609648,54.692577,28.775042,-2.347316,-1.9053303,-1.2815486,-16.47866,32.92181,58.324963,-16.112104,3.3265433,6.95443
23,-0.09688568860292435,-2.3888397216796875,78.36190795898438,-0.3735102479580096,-0.9763286382174428,87.1862805140574,1.9857883,1.5151824,-7.74895,10.094018,-11.865055,-3.7617188,3.9537518,-0.8595619,-0.98942095,9.253354,-12.009963,2.0311596,-2.3679318,1.8675231,5.5460267,3.2282946,15.638011,-25.504921,54.682537,28.876177,-2.2225745,-2.2671895,-1.2924554,-16.468672,32.97081,58.35522,-16.006603,3.2912722,6.694856
24,-0.09491555392742157,-2.4007444381713867,78.36296844482422,-0.3758570132986754,-0.9891374968931337,87.18690966705769,1.9873798,1.5177033,-7.753026,10.097254,-11.861045,-3.763294,3.9542408,-0.8559812,-0.9879799,9.261082,-12.008201,2.0213633,-2.3686187,1.8663051,5.5602174,3.278958,15.650101,-25.449953,54.733967,28.943317,-2.1452553,-2.4396114,-1.294554,-16.462572,32.988777,58.36082,-15.936617,3.2826128,6.5608506
25,-0.09541688114404678,-2.4135138988494873,78.3641357421875,-0.3778127066819439,-0.996787586026583,87.17734527156716,1.9916143,1.5249299,-7.74386,10.089147,-11.861544,-3.7801666,3.9509077,-0.84975165,-0.9784609,9.262691,-12.005241,2.0171885,-2.3827593,1.8698167,5.5684137,3.3566754,15.655457,-25.439016,54.82726,28.9682,-2.129492,-2.3229492,-1.3143747,-16.460102,32.984745,58.348663,-15.924052,3.309004,6.622895
