Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.9623301029205322,0.6999880075454712,78.09891510009766,-0.32022504829379816,1.7947373546272731,-13.109039473377138,2.8190014,6.4789395,7.913013,6.9859896,-10.444486,-8.434099,-4.4762173,-8.466113,-10.159791,6.6662955,-3.848388,8.404992,-2.3247428,-0.5257329,5.8797703,2.8303,17.805965,-30.502895,53.78758,3.4792333,-1.2716157,-4.825129,-7.354013,-10.954297,23.265211,57.884113,-7.999641,8.372799,1.5625885
1,0.9748453497886658,0.7121762037277222,78.09556579589844,-0.3453786461299099,1.815920917580968,-13.11216318634769,2.796273,6.488568,7.8997564,7.0039263,-10.476342,-8.3440075,-4.4923162,-8.450964,-10.155953,6.66541,-3.847097,8.41098,-2.307042,-0.50523365,5.878764,2.8521361,17.811821,-30.476572,53.74563,3.461767,-1.2741767,-4.8240547,-7.3489084,-10.953462,23.241604,57.878513,-7.9549766,8.369675,1.5385439
2,0.9847697019577026,0.7266594767570496,78.08968353271484,-0.3704578030858711,1.8374541899183716,-13.116802665684764,2.7740645,6.498722,7.8873405,7.0208473,-10.507989,-8.2540455,-4.5093365,-8.434987,-10.1510105,6.6652746,-3.8455584,8.415194,-2.2886665,-0.48353446,5.8735356,2.8703806,17.812416,-30.457624,53.712654,3.4412215,-1.2773017,-4.8215246,-7.340808,-10.954014,23.223656,57.870537,-7.903295,8.36694,1.5120636
3,0.9963352084159851,0.7454581260681152,78.08381652832031,-0.3961995818919462,1.8583221207639868,-13.118518793138703,2.7508483,6.5083566,7.872754,7.039389,-10.539973,-8.163743,-4.5249524,-8.420042,-10.14836,6.6644926,-3.8447309,8.42287,-2.272114,-0.45908272,5.8798833,2.8897839,17.811306,-30.418016,53.66812,3.4343328,-1.27999,-4.8230443,-7.3370266,-10.958121,23.189245,57.86144,-7.8706846,8.363018,1.4939023
4,1.0077606439590454,0.7643114328384399,78.07906341552734,-0.42256830103859977,1.8771812736460278,-13.113206064934356,2.7254326,6.515332,7.8535595,7.061769,-10.572879,-8.072439,-4.5364366,-8.40841,-10.150858,6.6631675,-3.8469856,8.43922,-2.2567096,-0.43003276,5.8919015,2.9040465,17.805471,-30.381346,53.62069,3.418052,-1.2809043,-4.8195853,-7.335347,-10.966982,23.158558,57.86417,-7.8472123,8.359265,1.4768606
5,1.0194377899169922,0.7877147793769836,78.07343292236328,-0.450355922374325,1.8949924608062334,-13.100537547791822,2.6514966,6.5266953,7.826214,7.183475,-10.655554,-7.987917,-4.546697,-8.400181,-10.158575,6.6626306,-3.8522623,8.467286,-2.2426286,-0.39777964,5.9089055,2.914742,17.799189,-30.350105,53.566727,3.3800116,-1.2783626,-4.805207,-7.3387074,-10.973839,23.129719,57.88391,-7.838024,8.355239,1.4574252
6,1.028970718383789,0.8147549629211426,78.0654296875,-0.4792582659720355,1.9113637227301787,-13.082487526015631,2.5221014,6.5440507,7.790241,7.421379,-10.800479,-7.907915,-4.5541987,-8.394078,-10.170372,6.660757,-3.858929,8.50374,-2.2307506,-0.35706818,5.939054,2.9174168,17.780945,-30.303526,53.509243,3.344781,-1.2745034,-4.788066,-7.346167,-10.99208,23.089134,57.90553,-7.8508306,8.350589,1.4453373
7,1.0399013757705688,0.8432517647743225,78.05853271484375,-0.5086137998979275,1.925628142843275,-13.05822047952338,2.3667576,6.5617723,7.7445,7.7164803,-10.97445,-7.8165917,-4.557266,-8.390992,-10.187055,6.6591296,-3.8684874,8.5443325,-2.2167604,-0.31023875,5.9722934,2.911758,17.752274,-30.263313,53.457394,3.3138006,-1.2709115,-4.772437,-7.348244,-11.018891,23.053028,57.931072,-7.863333,8.346608,1.437232
8,1.0543999671936035,0.8707773089408875,78.04966735839844,-0.5373683213559421,1.936120007889145,-13.027110057514214,2.163923,6.580754,7.681663,8.120431,-11.204991,-7.6979747,-4.5538044,-8.392553,-10.20923,6.6590295,-3.8818374,8.585019,-2.1989794,-0.25784287,6.011459,2.899401,17.713243,-30.225586,53.408707,3.3102527,-1.2697581,-4.7701464,-7.340752,-11.054079,23.018366,57.95549,-7.8718905,8.343406,1.4395806
9,1.0682657957077026,0.9041277766227722,78.03913879394531,-0.5663897664531339,1.9436081456340095,-12.988703472165094,1.8882213,6.604787,7.595061,8.684689,-11.516504,-7.5384784,-4.543879,-8.396329,-10.237577,6.6588473,-3.8974824,8.621134,-2.178133,-0.21288195,6.0562787,2.8984516,17.693922,-30.191092,53.337215,3.3422685,-1.2694914,-4.7885404,-7.339143,-11.071598,22.988853,58.005016,-7.890062,8.33743,1.4517162
10,1.0833699703216553,0.9408364295959473,78.02942657470703,-0.5975306281281444,1.9484227301291255,-12.943248759821644,1.557029,6.6335244,7.4890075,9.369879,-11.888612,-7.349915,-4.5283875,-8.40107,-10.272094,6.6585975,-3.9154625,8.655897,-2.1529324,-0.14777538,6.11208,2.8726306,17.639147,-30.149942,53.288948,3.41579,-1.2738236,-4.820918,-7.3167815,-11.122505,22.95792,58.034542,-7.917303,8.331521,1.481784
11,1.1016619205474854,0.9797167181968689,78.01943969726562,-0.6293879918394341,1.9493042537269705,-12.89074845065222,1.2205441,6.6587086,7.3742237,10.075201,-12.273851,-7.154421,-4.505198,-8.410121,-10.313223,6.6592546,-3.9382236,8.696696,-2.1300566,-0.08928987,6.170408,2.8628278,17.602995,-30.11218,53.21634,3.4848309,-1.2766746,-4.8584213,-7.3023186,-11.156765,22.929188,58.079807,-7.9249015,8.328554,1.511062
12,1.1233110427856445,1.0215811729431152,78.0087661743164,-0.6606503687839815,1.9446187955866039,-12.831327922592903,0.9247462,6.6732583,7.261608,10.709699,-12.629246,-6.973886,-4.4701195,-8.4272995,-10.361562,6.658851,-3.9667692,8.751474,-2.112275,-0.01831036,6.2321653,2.8479798,17.543226,-30.073092,53.151913,3.5351307,-1.2803158,-4.890863,-7.271999,-11.215249,22.900373,58.09661,-7.882597,8.335858,1.5403329
13,1.146894931793213,1.0693261623382568,77.99556732177734,-0.6902380386818818,1.9317058129410805,-12.764017204875907,0.6831726,6.6748643,7.155227,11.24931,-12.943167,-6.817229,-4.4213586,-8.454992,-10.417806,6.658419,-4.002651,8.825486,-2.1031406,0.049838237,6.2986956,2.84788,17.487398,-30.028803,53.069397,3.558923,-1.2800864,-4.9190745,-7.239137,-11.270947,22.867023,58.095898,-7.785551,8.358122,1.562022
14,1.1772537231445312,1.120079517364502,77.98127746582031,-0.7188784321718024,1.9120678001700417,-12.689222716055497,0.4686779,6.6676946,7.0489554,11.748016,-13.241549,-6.6715965,-4.3610983,-8.491049,-10.481451,6.6585946,-4.0454845,8.913611,-2.100201,0.11923248,6.3707094,2.856155,17.429485,-29.97929,52.975296,3.5704422,-1.2778919,-4.9470944,-7.201412,-11.33061,22.831915,58.080605,-7.648168,8.391415,1.5814363
15,1.211360216140747,1.174006462097168,77.96963500976562,-0.745322363216145,1.8900595818421508,-12.609430985219262,0.27539012,6.6504316,6.9408364,12.211834,-13.527719,-6.526152,-4.2927036,-8.534664,-10.549739,6.657543,-4.09145,9.008329,-2.098549,0.19175561,6.443626,2.8655417,17.365185,-29.934944,52.87891,3.56481,-1.2787064,-4.9730024,-7.158002,-11.399225,22.799742,58.06224,-7.477011,8.425553,1.60281
16,1.2406834363937378,1.2318637371063232,77.95437622070312,-0.7687678292733862,1.8698774992168175,-12.527128831446692,0.09898339,6.621863,6.8289165,12.643528,-13.803665,-6.370112,-4.2215333,-8.585098,-10.619829,6.657033,-4.138586,9.102046,-2.0939507,0.26425043,6.5121255,2.875829,17.300919,-29.90532,52.780674,3.5349863,-1.2864721,-4.9956207,-7.116816,-11.471363,22.776217,58.06385,-7.278917,8.450175,1.628665
17,1.2791082859039307,1.292245626449585,77.9394760131836,-0.788456724779119,1.8481351179757972,-12.44411843063154,-0.05596915,6.5808997,6.712304,13.044128,-14.071356,-6.19681,-4.144431,-8.642302,-10.690145,6.658342,-4.186657,9.191389,-2.085543,0.3316772,6.579378,2.892465,17.246122,-29.892645,52.671555,3.4624903,-1.3027972,-5.0160832,-7.087921,-11.537195,22.767647,58.108192,-7.0467086,8.460183,1.656873
18,1.3290455341339111,1.3553794622421265,77.9283676147461,-0.8049651894704403,1.824004985258216,-12.358821458783043,-0.18896554,6.528231,6.59239,13.411975,-14.329349,-6.013195,-4.0594697,-8.706891,-10.762468,6.65943,-4.2362986,9.281049,-2.0730226,0.40599617,6.647743,2.90328,17.179739,-29.894764,52.566345,3.3581977,-1.3264309,-5.0337296,-7.052361,-11.621855,22.769617,58.16028,-6.7761674,8.463058,1.6904026
19,1.377265214920044,1.420397400856018,77.91471099853516,-0.8197623282968378,1.8058783410213508,-12.268414735908687,-0.31213015,6.466625,6.469687,13.7496805,-14.575681,-5.8289995,-3.976021,-8.778186,-10.8391,6.660844,-4.28858,9.3749485,-2.0607948,0.48089993,6.7083864,2.9181678,17.113651,-29.90474,52.458035,3.254438,-1.3535757,-5.0478926,-7.0103183,-11.709028,22.769321,58.20764,-6.4919605,8.463391,1.7291373
20,1.4350965023040771,1.4924511909484863,77.90142822265625,-0.833620794776473,1.8018814587980254,-12.170194133596926,-0.43764764,6.3980284,6.344899,14.060973,-14.809439,-5.653798,-3.9024906,-8.856274,-10.921865,6.6614885,-4.343822,9.477307,-2.0525246,0.5560274,6.752893,2.9397616,17.047329,-29.916233,52.349125,3.18553,-1.3812271,-5.0571003,-6.953978,-11.798909,22.75532,58.226547,-6.216586,8.466823,1.7751315
21,1.4993171691894531,1.5673272609710693,77.88758087158203,-0.8487370263895663,1.8169313614815439,-12.061027554037718,-0.572577,6.325356,6.216807,14.347338,-15.030599,-5.491899,-3.8432453,-8.939225,-11.013863,6.661905,-4.4035134,9.592166,-2.050609,0.6331997,6.7755213,2.968046,16.98056,-29.930998,52.241543,3.1728892,-1.4076921,-5.060097,-6.880114,-11.892197,22.729631,58.212837,-5.9459457,8.477434,1.8311921
22,1.5668306350708008,1.647973656654358,77.87368774414062,-0.8637541762207173,1.8458751299124139,-11.943184945923456,-0.71039116,6.2468066,6.085572,14.609535,-15.239857,-5.3375206,-3.7926762,-9.0279,-11.113077,6.661425,-4.4661527,9.716425,-2.0526426,0.71181864,6.7819657,3.0018206,16.913134,-29.951279,52.133724,3.194187,-1.4348985,-5.057873,-6.7933955,-11.989429,22.696898,58.17857,-5.6711917,8.491697,1.8954374
23,1.6347779035568237,1.726208209991455,77.86062622070312,-0.8741801683218324,1.8815529873512582,-11.822174000666621,-0.83900326,6.1570225,5.9542413,14.841522,-15.437555,-5.185292,-3.7459188,-9.126426,-11.21417,6.6620054,-4.5316076,9.843292,-2.0540104,0.78859544,6.781242,3.0402775,16.844807,-29.972252,52.02381,3.218201,-1.4653264,-5.052534,-6.695695,-12.08883,22.648989,58.121075,-5.407234,8.502991,1.9634191
24,1.704938530921936,1.80779230594635,77.84779357910156,-0.875521662464371,1.9169385140529516,-11.703311057082166,-0.9522724,6.0509424,5.8250093,15.050135,-15.6261215,-5.0296316,-3.6970353,-9.239085,-11.312256,6.662025,-4.597178,9.966161,-2.0503683,0.85945857,6.7818327,3.0825274,16.775572,-29.989357,51.91023,3.2133198,-1.5014428,-5.046005,-6.5909023,-12.188088,22.577576,58.041348,-5.169061,8.504867,2.03038
25,1.7851803302764893,1.8977400064468384,77.8350601196289,-0.8650454713366977,1.9526767882677074,-11.587631439753423,-1.050496,5.9249763,5.6972227,15.235378,-15.804071,-4.8650336,-3.64829,-9.369132,-11.406049,6.664385,-4.6652646,10.083674,-2.0373657,0.92163485,6.7831016,3.1260846,16.705256,-30.007734,51.796677,3.1809616,-1.5461944,-5.033768,-6.4759254,-12.284624,22.474405,57.937378,-4.984529,8.495188,2.1008456
26,1.8682260513305664,1.9898643493652344,77.82264709472656,-0.845487636461977,1.9914259442535844,-11.472431816698077,-1.1367784,5.7824802,5.5700307,15.395632,-15.970872,-4.69574,-3.6002028,-9.513506,-11.498618,6.666085,-4.7349887,10.199277,-2.0183663,0.9766951,6.7806683,3.1717086,16.633995,-30.02803,51.68397,3.1346161,-1.5974406,-5.0162296,-6.352179,-12.378631,22.345228,57.81339,-4.8386054,8.477345,2.1749253
27,1.9495021104812622,2.0782406330108643,77.80868530273438,-0.8211832572109383,2.0299649332157075,-11.357187597504403,-1.2081553,5.6298866,5.4455934,15.532455,-16.130123,-4.5312057,-3.549371,-9.666991,-11.590223,6.6691065,-4.805544,10.3129835,-2.0004163,1.0292419,6.77889,3.2241378,16.562288,-30.038511,51.564392,3.0611937,-1.6501118,-5.003214,-6.2268033,-12.470126,22.204453,57.672577,-4.679571,8.453162,2.2417924
28,2.0402283668518066,2.1723411083221436,77.7955322265625,-0.7966020143186863,2.0647071354739817,-11.241628506531436,-1.2615833,5.4737062,5.3258443,15.646718,-16.284962,-4.3808084,-3.4906604,-9.823737,-11.681813,6.6721706,-4.874678,10.424787,-1.9919375,1.0831,6.7818003,3.2901464,16.490831,-30.025118,51.42872,2.9490092,-1.6990469,-5.0045967,-6.109122,-12.560139,22.067968,57.520805,-4.455806,8.424068,2.290383
29,2.1318113803863525,2.2675890922546387,77.78163146972656,-0.7773780375082778,2.09589858973215,-11.123315855941426,-1.2983531,5.3210573,5.20939,15.740134,-16.43741,-4.2511544,-3.4229715,-9.977742,-11.777178,6.6756043,-4.9417872,10.530201,-1.9984932,1.1446228,6.788547,3.3771105,16.419725,-29.975803,51.272255,2.7919397,-1.7452961,-5.0279427,-6.0028634,-12.648945,21.940536,57.36827,-4.120756,8.39203,2.3122485
30,2.2338318824768066,2.372340202331543,77.76754760742188,-0.7596364183707078,2.124882649491618,-11.003170777369291,-1.319457,5.1667705,5.095679,15.812331,-16.585897,-4.135849,-3.348033,-10.133495,-11.874901,6.6783385,-5.0076303,10.63071,-2.0162702,1.2097017,6.7979193,3.4813776,16.349073,-29.898623,51.098885,2.5977747,-1.790639,-5.066686,-5.9041348,-12.736081,21.815948,57.209595,-3.7115712,8.355548,2.3152053
31,2.3322529792785645,2.4773287773132324,77.74900817871094,-0.7338168739191911,2.150398463429923,-10.885863782618285,-1.3209774,4.9991136,4.988326,15.858742,-16.726315,-4.025013,-3.268277,-10.3017,-11.967718,6.6822143,-5.073235,10.735353,-2.038094,1.2676122,6.81323,3.591839,16.280092,-29.811632,50.912895,2.3742182,-1.8311119,-5.1094203,-5.808731,-12.822058,21.691343,57.02585,-3.3043568,8.311657,2.3125093
32,2.435598134994507,2.587754011154175,77.73098754882812,-0.6905761609141269,2.1708908168665277,-10.775972660414002,-1.3004351,4.807114,4.8905067,15.8788805,-16.856735,-3.908873,-3.1840062,-10.492173,-12.049032,6.686271,-5.1393137,10.852929,-2.0562391,1.3083017,6.838436,3.6970506,16.214684,-29.733755,50.717472,2.1286685,-1.8627673,-5.144782,-5.7133045,-12.9071245,21.566034,56.797504,-2.9702942,8.25734,2.3175855
33,2.5432887077331543,2.7043685913085938,77.71170043945312,-0.6283799002446933,2.184386656261016,-10.670045996287225,-1.251829,4.5867863,4.7982907,15.864377,-16.970306,-3.7874405,-3.091326,-10.710854,-12.124661,6.689825,-5.2097244,11.004265,-2.0692623,1.330362,6.875926,3.7972956,16.15332,-29.666615,50.512184,1.8424921,-1.881777,-5.1734743,-5.610486,-12.992661,21.43062,56.515587,-2.744976,8.191774,2.335757
34,2.650963068008423,2.822850227355957,77.68972778320312,-0.551842063003431,2.192056447977314,-10.566968254116953,-1.1786588,4.344888,4.711161,15.819559,-17.071014,-3.6652675,-2.991383,-10.951378,-12.196051,6.693571,-5.2827587,11.178493,-2.0799658,1.3391354,6.9237633,3.8971016,16.095976,-29.603035,50.29458,1.5179259,-1.8910612,-5.200296,-5.5025053,-13.078908,21.28749,56.189045,-2.583787,8.116606,2.359671
35,2.759302854537964,2.942404270172119,77.66363525390625,-0.4592376844626643,2.1976729726050688,-10.475356663552319,-1.094205,4.083655,4.6376467,15.76617,-17.175013,-3.5394108,-2.9110906,-11.213471,-12.246349,6.7366357,-5.370512,11.337536,-2.0882895,1.3293815,6.9781265,3.9952815,16.046114,-29.545177,50.063435,1.1944214,-1.8967974,-5.220066,-5.4044785,-13.16232,21.153057,55.83176,-2.442723,8.032505,2.3827927
36,2.870917320251465,3.0620639324188232,77.63440704345703,-0.34906303859255566,2.2052031032625257,-10.403678465282319,-1.0039304,3.8041458,4.5869813,15.708246,-17.288874,-3.4060087,-2.8528392,-11.490788,-12.263049,6.802741,-5.454458,11.44262,-2.0924726,1.2997419,7.0362735,4.08647,16.00275,-29.49747,49.820793,0.91171783,-1.9055731,-5.2277927,-5.3222723,-13.248324,21.040628,55.44579,-2.2787776,7.9409475,2.400588
37,2.9837944507598877,3.1856770515441895,77.60008239746094,-0.21972114997503928,2.2176571858555976,-10.349308859268403,-0.9102665,3.502432,4.5576496,15.641988,-17.41352,-3.2604568,-2.9677384,-11.82322,-12.216855,7.2060585,-5.6987486,11.509287,-2.0976558,1.2449566,7.094328,4.180149,15.969026,-29.45159,49.56144,0.6904869,-1.9178444,-5.217662,-5.267803,-13.332748,20.96194,55.045364,-2.0754035,7.847087,2.4074175
38,3.0947165489196777,3.3072314262390137,77.560546875,-0.06968588287730162,2.232600467335593,-10.309618594617529,-0.8074078,3.175655,4.5467663,15.560604,-17.542347,-3.1053915,-3.3632355,-12.236744,-12.086233,8.180386,-6.234897,11.548824,-2.1040142,1.1635325,7.1542926,4.2772803,15.946145,-29.406551,49.284527,0.50610065,-1.9306152,-5.1941285,-5.234295,-13.412681,20.907103,54.62496,-1.859511,7.7486973,2.4069421
39,3.2065975666046143,3.4283642768859863,77.51628112792969,0.10274728233916715,2.245979918955263,-10.293381883051724,-0.6896132,2.8266776,4.5614123,15.466455,-17.672855,-2.947801,-3.8929548,-12.689264,-11.888821,9.4154005,-6.895784,11.515478,-2.1021192,1.0571215,7.2222657,4.3662868,15.935672,-29.376171,48.990765,0.33082315,-1.9446555,-5.1679225,-5.211624,-13.491789,20.86569,54.168427,-1.6424525,7.635238,2.4077287
40,3.3128890991210938,3.550987720489502,77.46520233154297,0.30284361083295236,2.2534112356015106,-10.30982352541143,-0.5489635,2.454457,4.6098003,15.357027,-17.799406,-2.794336,-4.5985475,-13.181896,-11.601418,10.998983,-7.7278576,11.363305,-2.0871317,0.9133379,7.297103,4.435987,15.942038,-29.370136,48.69135,0.13771382,-1.9604192,-5.1481934,-5.2102666,-13.5449705,20.82803,53.69466,-1.4457761,7.4945397,2.4118428
41,3.426260232925415,3.668267011642456,77.40351867675781,0.5468460214351932,2.2585260971168992,-10.35800892342247,-0.38125795,2.0375743,4.6897,15.215118,-17.912798,-2.6355958,-5.524987,-13.738247,-11.197636,13.016418,-8.79431,11.073321,-2.049835,0.7282115,7.3869424,4.4931445,15.976749,-29.406965,48.35752,-0.06873695,-1.9803375,-5.140227,-5.1956015,-13.61103,20.784418,53.148685,-1.2802366,7.3103476,2.4411004
