Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-1.6597422361373901,-0.335635781288147,74.36219787597656,-3.4478647242197438,3.356315476614621,21.653753951691506,-12.7792845,13.237972,12.540012,47.70268,-28.276157,-10.73364,-24.105186,-12.920149,15.351751,30.947763,-12.576838,8.708082,-7.787148,1.759233,20.339165,-14.178402,23.902918,-23.895943,66.96561,2.3707116,0.043785937,11.957165,-10.166816,-17.422169,-5.934172,41.97226,10.370969,-21.165554,4.9468303
1,-1.5796327590942383,-1.5857030153274536,74.2955093383789,-2.9284329540022207,2.909775181603373,21.65983481932049,-12.42249,13.676647,12.254432,47.083355,-27.61584,-11.7533865,-23.684847,-14.543601,15.357228,32.47864,-13.156897,8.426341,-6.9858217,1.3181179,20.233366,-12.684703,24.040916,-24.089117,68.31175,2.4597416,0.23961633,11.755704,-10.38715,-17.641634,-5.5408564,41.20894,10.820752,-21.488274,5.2108035
2,-1.4968045949935913,-2.8862905502319336,74.27198791503906,-2.3901147393599564,2.4331245293710637,21.651647550848757,-12.057427,14.094159,11.971056,46.54149,-27.016705,-12.775802,-23.203701,-16.230799,15.3589325,33.93977,-13.718337,8.165751,-6.209238,0.89458007,20.173347,-11.077174,24.213314,-24.219791,69.53879,2.52177,0.42487612,11.521646,-10.6926365,-17.986626,-5.0502934,40.49055,11.320472,-21.798594,5.5015516
3,-1.3755728006362915,-4.190282344818115,74.30425262451172,-1.8596109045447287,2.0011128839880485,21.67923976108092,-11.678264,14.499531,11.667876,45.822662,-26.305464,-13.780727,-22.70352,-17.870892,15.344383,35.32264,-14.215193,7.8820944,-5.491269,0.51808465,20.070757,-9.437008,24.394413,-24.329714,70.685974,2.61662,0.6430824,11.275747,-10.993199,-18.352064,-4.6013,39.836243,11.919959,-22.111923,5.81951
4,-1.2326817512512207,-5.534182071685791,74.38985443115234,-1.3649559465286756,1.687921068058598,21.79414281485064,-11.282394,14.90177,11.317002,44.673077,-25.305042,-14.747778,-22.2325,-19.347338,15.304601,36.629078,-14.606417,7.5294814,-4.8665013,0.20964096,19.841112,-7.839409,24.578762,-24.46526,71.77926,2.7917826,0.9374463,11.035638,-11.211994,-18.638266,-4.3394866,39.27576,12.668968,-22.442558,6.1671696
5,-1.0825672149658203,-6.891304016113281,74.52083587646484,-0.7823479984527897,1.545083287483916,22.065735673175435,-10.878721,15.028777,10.947228,42.906868,-23.964413,-15.000033,-21.859747,-20.837713,15.27452,37.86902,-14.931069,7.1441984,-4.381707,-0.15872343,19.41561,-6.3046947,24.769064,-24.603497,72.86225,3.0740502,1.3545126,10.78366,-11.305589,-18.780651,-4.337174,38.75476,13.545302,-22.804796,6.519615
6,-0.9185881614685059,-8.299461364746094,74.69607543945312,-0.17250394833357044,1.5122512719072,22.434362880931925,-10.454016,15.035653,10.559318,40.70796,-22.38085,-15.000033,-21.536053,-22.287138,15.238863,39.04359,-15.194783,6.7211266,-3.9768147,-0.56411946,18.860228,-4.8277245,24.97504,-24.754766,73.95672,3.4277718,1.8561647,10.52734,-11.309221,-18.777956,-4.535312,38.265827,14.490916,-23.189987,6.8705587
7,-0.7266073822975159,-9.747150421142578,74.9207763671875,0.3942288374705334,1.5501499339467244,22.857974082148633,-10.014553,15.067255,10.111758,38.20822,-20.494648,-15.000033,-21.23375,-23.550938,15.211794,40.19121,-15.342848,6.234499,-3.625912,-0.9626422,18.226536,-3.411373,25.20988,-24.974346,75.01274,3.8356862,2.3657944,10.3153305,-11.245546,-18.643766,-4.8802953,37.889217,15.514419,-23.575686,7.258164
8,-0.5222393870353699,-11.210684776306152,75.17053985595703,0.9065409647125999,1.632536834776501,23.318939020963956,-9.575312,15.1616535,9.571625,35.502903,-18.224699,-15.000033,-20.946775,-24.563242,15.230121,41.356003,-15.326677,5.6784916,-3.3235786,-1.3601995,17.553898,-2.0728102,25.489433,-25.339272,75.99255,4.26132,2.802661,10.197962,-11.148051,-18.397951,-5.3192315,37.71494,16.631086,-23.937294,7.722035
9,-0.2913682758808136,-12.716428756713867,75.4541015625,1.357513794404535,1.7531861650504532,23.813377798617584,-9.10583,15.328453,8.914725,32.548004,-15.539506,-15.000033,-20.67657,-25.303522,15.294393,42.590485,-15.209844,5.0056605,-3.0657985,-1.7439364,16.852652,-0.80465335,25.827642,-25.89811,76.87734,4.737593,3.1582105,10.2442,-11.026693,-18.031363,-5.8770976,37.765995,17.983238,-24.285679,8.364852
