Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,2.5726943016052246,-0.9205220341682434,72.61505889892578,3.0107789823235125,-1.31981397683991,166.1268387206583,-3.830819,1.9348488,3.966758,103.91329,-15.488314,-9.056879,-22.706282,4.898199,-12.664437,49.212883,-26.052433,-12.168142,-5.8680625,5.4303594,10.867189,11.014017,32.226803,-17.072178,-28.825169,3.2425108,-5.463286,1.2023472,24.33498,-17.830103,16.63117,28.86685,1.525543,-6.598642,-8.800882
1,1.7369486093521118,-0.9330800771713257,72.0362319946289,2.5195911702283698,-1.6684653408540373,165.10055079184437,-4.9985805,2.5388393,3.5670419,107.43001,-16.59647,-9.244087,-22.542662,5.775188,-12.108382,51.18857,-27.460667,-12.15598,-4.9122176,5.8034873,11.784543,13.00301,31.84864,-16.531294,-26.916685,3.9398432,-4.8995733,0.81906927,21.195864,-17.918947,18.058228,29.044462,1.1765488,-6.5693607,-9.0051155
2,0.9059374332427979,-0.9664939641952515,71.50618743896484,2.0130687341211115,-2.0207158768855074,164.06352313487764,-6.089626,3.15194,3.2264235,111.0236,-17.79576,-9.434185,-22.415295,6.6791806,-11.550461,53.230885,-28.89442,-12.153077,-4.085742,6.30004,12.677725,15.010263,31.168808,-15.8804655,-24.902771,4.696548,-4.3938146,0.2745261,17.997057,-18.060247,19.5947,29.244553,0.9208881,-6.5288863,-9.267234
3,0.09007806330919266,-1.012831687927246,71.03184509277344,1.5797681068958243,-2.386912191198136,163.0728818616497,-7.185701,3.6218626,2.8525472,114.44798,-18.98696,-9.633456,-22.223726,7.479853,-10.964854,55.206295,-30.314697,-12.12516,-3.3297362,6.8017025,13.517528,16.862602,30.308279,-15.296898,-22.747194,5.527174,-3.8261714,-0.24877869,14.827947,-18.2504,21.123585,29.341702,0.6009945,-6.477356,-9.46041
4,-0.7343850135803223,-1.0577224493026733,70.61970520019531,1.3050950504742342,-2.7738311037422783,162.1842749710415,-8.38744,3.8021476,2.3434968,117.46112,-20.04866,-9.848287,-21.862778,8.0575075,-10.333967,56.964954,-31.679539,-12.037419,-2.6821728,7.175991,14.296049,18.566889,29.389524,-14.793031,-20.527594,6.4402647,-3.0742018,-0.59435374,11.690092,-18.526987,22.6535,29.262053,0.08332941,-6.4143925,-9.466433
5,-1.5724073648452759,-1.0911279916763306,70.26979064941406,1.249500765238231,-3.1982141433272857,161.41233678273056,-9.731483,3.6294873,1.679934,120.03149,-20.908792,-10.054106,-21.291094,8.345604,-9.650191,58.498783,-33.00215,-11.874431,-2.1760197,7.3188624,15.051836,20.191357,28.480846,-14.331761,-18.19261,7.4184194,-1.9450458,-0.5500087,8.539949,-18.907492,24.291147,28.995579,-0.71250117,-6.355577,-9.197434
6,-2.417962074279785,-1.1055166721343994,69.97123718261719,1.3515296244109682,-3.6463792055485467,160.7240295672902,-11.177325,3.1953955,0.9105869,122.285324,-21.617796,-10.254335,-20.560396,8.433384,-8.940792,59.85838,-34.290623,-11.657358,-1.7776108,7.2959404,15.804739,21.797716,27.605602,-13.885147,-15.825143,8.418421,-0.5437794,-0.23351738,5.3974,-19.366562,26.038424,28.537622,-1.6837156,-6.3025723,-8.723442
7,-3.27911376953125,-1.1000150442123413,69.73049926757812,1.5106862785290336,-4.081389609443432,160.10179866965566,-12.721039,2.582136,0.027346171,124.21828,-22.222973,-10.503661,-19.709497,8.435223,-8.242019,60.988205,-35.491665,-11.40738,-1.44832,7.228109,16.516642,23.414581,26.808517,-13.44841,-13.713829,9.420979,0.7974892,0.023737624,2.3397484,-19.88675,27.78363,27.849169,-2.6861348,-6.2329206,-8.161106
8,-4.132935523986816,-1.1045336723327637,69.53312683105469,1.6251407238087339,-4.468422453703768,159.52924884692504,-14.356133,1.8689725,-0.9809636,125.81991,-22.776052,-10.859166,-18.781488,8.460095,-7.5814695,61.83926,-36.553417,-11.146511,-1.1480097,7.2340474,17.146147,25.078175,26.148668,-13.016682,-12.162252,10.415868,1.7379689,-0.09277127,-0.5537234,-20.462067,29.409853,26.900265,-3.5759814,-6.1196294,-7.6241436
9,-4.988105773925781,-1.0971980094909668,69.38723754882812,1.6666721827823747,-4.815336613750121,159.0216599572616,-16.10545,1.0157185,-2.18654,127.10445,-23.302397,-11.374609,-17.761911,8.517577,-6.9724107,62.394062,-37.48411,-10.877091,-0.890539,7.3254695,17.704147,26.844893,25.684,-12.596451,-11.299035,11.487734,2.1643255,-0.6313741,-3.3201587,-21.107418,30.955235,25.67323,-4.327151,-5.958599,-7.138391
