Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-2.5639758110046387,-0.3526363968849182,78.62098693847656,-0.1925846913224702,-5.4608030458342975,1.822806343245591,4.78186,6.746418,13.09722,11.311178,-10.013293,-5.553814,6.5950904,-7.152301,-17.018599,9.397639,-9.190075,6.427663,-1.2999177,-1.5126277,12.712263,-3.6593642,17.227232,-31.223087,62.409504,9.302359,13.58982,2.4121535,-3.1706996,-15.505383,22.846786,65.33684,18.926544,6.76925,4.5817475
1,-2.5707859992980957,-0.35518133640289307,78.61255645751953,-0.21809824257964908,-5.481296966144869,1.8478035805093678,4.6557703,6.8003545,13.03935,11.59991,-10.146575,-5.560533,6.501139,-7.159143,-17.022476,9.646792,-9.289854,6.386095,-1.3332864,-1.4932824,12.751392,-3.661431,17.238745,-31.23073,62.343143,9.291861,13.552691,2.343375,-3.1902936,-15.513524,22.843628,65.34555,18.910444,6.754605,4.588074
2,-2.581200122833252,-0.35296088457107544,78.60475158691406,-0.24221661817646176,-5.498723541113814,1.8731025664450132,4.5297356,6.8522444,12.98137,11.882546,-10.278041,-5.5700927,6.395541,-7.17101,-17.025011,9.915894,-9.399296,6.3434286,-1.3626014,-1.4727122,12.787402,-3.6600168,17.249159,-31.24388,62.27058,9.282012,13.520366,2.2768872,-3.2017834,-15.525977,22.834393,65.34725,18.891691,6.739654,4.5958834
3,-2.5952954292297363,-0.34939682483673096,78.5959701538086,-0.26768302987007203,-5.517006462769643,1.896681370260586,4.3936067,6.9076943,12.923676,12.186849,-10.417604,-5.5730243,6.292431,-7.180278,-17.026625,10.177538,-9.504436,6.3023777,-1.3857623,-1.4473623,12.83066,-3.6660419,17.259483,-31.26462,62.19531,9.2634735,13.482986,2.2081013,-3.20546,-15.547914,22.818321,65.33143,18.875786,6.7298737,4.6033096
4,-2.6025826930999756,-0.3504585027694702,78.58338165283203,-0.2950072892715369,-5.533667219512681,1.915281356955901,4.2251697,6.9713945,12.867708,12.55172,-10.580649,-5.559301,6.1670394,-7.1921334,-17.02204,10.472051,-9.619694,6.2658453,-1.4165086,-1.422007,12.874564,-3.6835093,17.2619,-31.277647,62.13325,9.233159,13.435238,2.1391134,-3.2408807,-15.559228,22.81549,65.3429,18.86607,6.725645,4.5977125
5,-2.6184709072113037,-0.347432941198349,78.5669174194336,-0.32529977627608125,-5.545854407767305,1.9301054720905553,4.0099225,7.046814,12.808446,13.001631,-10.777442,-5.519446,6.014502,-7.206334,-17.014208,10.805439,-9.747637,6.2362432,-1.4433236,-1.3843979,12.924711,-3.7090786,17.26423,-31.303875,62.05962,9.169609,13.374676,2.066753,-3.2793386,-15.589089,22.813246,65.33684,18.867931,6.736386,4.582728
6,-2.645709991455078,-0.3419497609138489,78.54694366455078,-0.3584734652859156,-5.557843409916839,1.9424415392219612,3.7666125,7.130924,12.746582,13.507857,-10.996467,-5.4609637,5.850414,-7.220176,-17.004688,11.157177,-9.880177,6.211186,-1.4721179,-1.3395442,12.982541,-3.739484,17.263134,-31.328207,61.980522,9.090928,13.305318,1.9924335,-3.3147316,-15.6347065,22.817244,65.30921,18.878584,6.7588863,4.557121
7,-2.6736674308776855,-0.3380402624607086,78.52869415283203,-0.39211949681890534,-5.566579071004236,1.9477978566857164,3.5035162,7.2194705,12.692071,14.044187,-11.226298,-5.398614,5.6579933,-7.2392097,-16.983612,11.54915,-10.027502,6.186404,-1.5034013,-1.2932124,13.044966,-3.77898,17.259636,-31.349655,61.903114,9.008112,13.230679,1.9175913,-3.373881,-15.676111,22.82606,65.29752,18.894566,6.7831883,4.530418
8,-2.7064075469970703,-0.33269307017326355,78.50846862792969,-0.42368560552982165,-5.570294622214039,1.9417187574819144,3.2284026,7.3082876,12.654798,14.5889635,-11.458152,-5.347344,5.42387,-7.267637,-16.941248,11.998397,-10.197363,6.157739,-1.5315279,-1.2480949,13.115346,-3.831169,17.256014,-31.370068,61.82479,8.934794,13.155314,1.8434174,-3.4588556,-15.712029,22.833872,65.30272,18.916098,6.8039794,4.511532
9,-2.7413289546966553,-0.32502108812332153,78.48457336425781,-0.4499238073164048,-5.570837894047114,1.9244243073235738,2.9482105,7.391176,12.637583,15.1314,-11.689564,-5.3090487,5.150662,-7.310128,-16.871931,12.50435,-10.394883,6.1262293,-1.5566983,-1.2089059,13.195618,-3.8957155,17.253914,-31.392859,61.74234,8.87626,13.082349,1.7679507,-3.5735068,-15.737749,22.840946,65.33199,18.943935,6.8284235,4.5042186
10,-2.7892446517944336,-0.3179100453853607,78.45877075195312,-0.4730795175869014,-5.568329050135076,1.8976444278099434,2.6570284,7.472387,12.63532,15.685756,-11.925944,-5.276228,4.8432636,-7.3625193,-16.781542,13.059399,-10.614594,6.093774,-1.5694139,-1.1487352,13.297645,-3.9759228,17.24585,-31.434698,61.63882,8.814512,13.00815,1.6900684,-3.6600125,-15.82342,22.839779,65.2964,18.993261,6.868005,4.515282
11,-2.844741106033325,-0.302854984998703,78.43032836914062,-0.4984721214668168,-5.559503787384126,1.8599882961160232,2.342851,7.562965,12.64477,16.269678,-12.170929,-5.2502074,4.4963007,-7.416065,-16.679117,13.66395,-10.846125,6.0571733,-1.5821201,-1.091818,13.404608,-4.065932,17.23943,-31.463415,61.53924,8.759018,12.929331,1.6149509,-3.7730954,-15.894215,22.835665,65.27786,19.038813,6.893621,4.524486
12,-2.903722047805786,-0.2891199290752411,78.39950561523438,-0.5329395678843475,-5.541110881935408,1.8099730602612358,1.9928145,7.6749654,12.662738,16.901747,-12.428074,-5.2322774,4.103744,-7.4611845,-16.573845,14.319656,-11.079977,6.0127544,-1.5936397,-1.0299115,13.517369,-4.1665497,17.23487,-31.473951,61.443783,8.701262,12.842185,1.5470753,-3.8938603,-15.967057,22.826357,65.24367,19.080301,6.8914185,4.5269957
