Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-1.6803460121154785,-0.27283045649528503,78.44847869873047,0.9235712856019629,5.008779425812674,3.1820742481167508,-4.000622,2.0989141,10.413598,6.8287497,-8.4463625,-2.5561929,-6.321177,-6.7134647,-10.88938,10.375964,-9.699672,5.8588395,-1.0399941,-0.9461927,1.7304581,5.8025417,20.21962,-25.450672,44.79782,9.9339905,2.3515646,-6.118906,4.7232046,-15.209553,25.657581,51.070168,-1.8510602,0.8403063,-4.799478
1,-1.6709657907485962,-0.2721692621707916,78.44950866699219,0.9151351985014442,5.0233850972973215,3.1800115227831487,-4.010493,2.1101305,10.411809,6.8288474,-8.45222,-2.5633554,-6.315618,-6.699399,-10.890434,10.341427,-9.689073,5.8440814,-1.034962,-0.9407855,1.7288384,5.819516,20.235382,-25.438013,44.77808,9.933733,2.3531163,-6.1216984,4.7226977,-15.210205,25.652718,51.0572,-1.8349464,0.8433051,-4.7850194
2,-1.6641755104064941,-0.27325835824012756,78.44959259033203,0.9062636496746087,5.038363485444519,3.1778475796355896,-4.0203786,2.1216657,10.409958,6.828858,-8.458595,-2.5708537,-6.309594,-6.684786,-10.89149,10.304734,-9.677568,5.8281984,-1.0273765,-0.9311261,1.7216201,5.8239536,20.237492,-25.433071,44.778896,9.93247,2.3545074,-6.122497,4.7234464,-15.210328,25.650349,51.049393,-1.8147205,0.84647596,-4.774051
3,-1.6579147577285767,-0.27637338638305664,78.44988250732422,0.8981218711146133,5.05266358817602,3.175899779156128,-4.030348,2.1325815,10.408211,6.829237,-8.46425,-2.5776572,-6.3032494,-6.670936,-10.892705,10.268841,-9.665817,5.8145523,-1.0227984,-0.9225536,1.7186047,5.832773,20.241974,-25.42012,44.772873,9.936829,2.3556132,-6.121529,4.72108,-15.211077,25.644184,51.040417,-1.8019661,0.8497259,-4.758752
4,-1.6514980792999268,-0.27748435735702515,78.45044708251953,0.8924782904626525,5.065357282421706,3.17447781406507,-4.0384603,2.1406622,10.406979,6.8290095,-8.468545,-2.5824592,-6.296794,-6.660115,-10.893891,10.236486,-9.654701,5.806899,-1.0220352,-0.91537285,1.7156874,5.839795,20.243496,-25.414015,44.771385,9.940427,2.3582597,-6.106578,4.7171025,-15.211551,25.63906,51.034515,-1.7993159,0.85336006,-4.7403746
5,-1.6451220512390137,-0.2792130410671234,78.44965362548828,0.8902346737133577,5.075722050928321,3.1737557801309744,-4.0445547,2.1452103,10.4063225,6.8290367,-8.471309,-2.5839243,-6.287801,-6.6526484,-10.895276,10.203964,-9.641035,5.808915,-1.0264914,-0.90990514,1.7238926,5.8545284,20.248402,-25.39879,44.75472,9.955365,2.3627312,-6.0762596,4.7081943,-15.214223,25.615086,51.024494,-1.8226246,0.857646,-4.701356
6,-1.637540340423584,-0.27926164865493774,78.45021057128906,0.8914271223515496,5.084311475219702,3.1731526776272796,-4.049341,2.145961,10.406788,6.8288293,-8.472416,-2.5828564,-6.28008,-6.6494827,-10.895783,10.178089,-9.6293545,5.817947,-1.034702,-0.9081151,1.7228749,5.860763,20.24886,-25.396673,44.758884,9.96429,2.368788,-6.032586,4.7025275,-15.214693,25.608442,51.021896,-1.8424548,0.86222464,-4.665964
7,-1.6304593086242676,-0.27937600016593933,78.45178985595703,0.8917843359259336,5.0926610710685924,3.173611020943406,-4.0538316,2.1476817,10.406372,6.8285437,-8.473443,-2.5821135,-6.2688723,-6.644796,-10.898309,10.145771,-9.614304,5.8272653,-1.0379242,-0.9033372,1.7386247,5.873784,20.251343,-25.390165,44.7394,9.98327,2.3744373,-5.981632,4.6906166,-15.219007,25.562683,51.011,-1.8930442,0.86686075,-4.6150036
8,-1.6244640350341797,-0.2815890610218048,78.45245361328125,0.891114859483262,5.101794774577028,3.173904154156652,-4.0591893,2.1503992,10.406398,6.8294153,-8.476401,-2.5839927,-6.262322,-6.6398664,-10.9005575,10.122151,-9.605711,5.8306303,-1.0406846,-0.89891547,1.7463707,5.876947,20.252472,-25.392826,44.73571,9.98902,2.3759527,-5.945369,4.6847367,-15.222018,25.543154,51.00228,-1.9293066,0.8692095,-4.6016607
9,-1.6174955368041992,-0.28377383947372437,78.45165252685547,0.8882433298798895,5.111192554118329,3.174319202911106,-4.063651,2.155269,10.406948,6.8294024,-8.48086,-2.5902019,-6.259268,-6.633697,-10.903478,10.106417,-9.604293,5.824276,-1.0438297,-0.89520264,1.7511312,5.8783755,20.25272,-25.394842,44.73605,9.9886675,2.373247,-5.927079,4.680669,-15.222742,25.540705,50.995296,-1.9629252,0.8692743,-4.627885
