Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,1.487432837486267,-0.25617334246635437,74.80590057373047,3.8920779233780434,12.856170827425483,178.90319700646768,1.6325588,27.42341,34.471172,31.142492,-15.231183,-2.2988431,-33.333935,-9.873347,-7.487691,46.67323,-23.34299,1.1765893,-2.7372372,-1.6677444,2.4841232,15.243651,29.813631,-22.500275,-38.1484,20.998312,4.914765,-11.195694,19.695444,-39.854877,10.139916,-17.098116,-9.396188,-4.472751,-6.6831737
1,1.4297972917556763,0.7083216309547424,74.80249786376953,3.831303270161979,12.718105484285516,179.15372644433614,1.4773883,25.759243,32.418556,31.66895,-15.487357,-2.698746,-32.827564,-9.136058,-8.257747,46.453484,-23.464195,0.23090881,-3.7489002,-1.3259702,2.425962,14.957293,29.73099,-22.810602,-39.01311,21.950974,5.0304427,-10.955853,20.627012,-39.671387,9.668854,-16.940605,-10.799785,-4.3517947,-7.033539
2,1.3477604389190674,1.6635971069335938,74.8383560180664,3.7659569664696386,12.579566796479359,179.39957319285563,1.3250761,24.122866,30.31945,32.306976,-15.794562,-3.1269739,-32.327747,-8.389679,-9.024044,46.266464,-23.645945,-0.71996635,-4.667801,-0.9958648,2.3611844,14.4507265,29.557093,-23.28158,-39.634396,23.003138,5.1756363,-10.721765,21.607616,-39.34278,9.125516,-16.719736,-12.4057045,-4.1963,-7.356775
3,1.2550785541534424,2.6136443614959717,74.93163299560547,3.7050497229203865,12.441088091193365,179.65816387709455,1.2191887,22.470858,28.356152,32.92105,-16.091402,-3.5258195,-31.787271,-7.6389813,-9.778751,45.984562,-23.739197,-1.6481899,-5.5475254,-0.67433965,2.2596602,13.846414,29.343983,-23.820002,-40.17893,23.976084,5.2815976,-10.529821,22.621897,-38.932743,8.558569,-16.512962,-13.789743,-4.109899,-7.6084495
4,1.1433321237564087,3.563232660293579,75.08175659179688,3.65497881458283,12.30302911562604,179.94605276903178,1.2001756,20.76296,26.706137,33.362026,-16.304768,-3.8371835,-31.162012,-6.8860707,-10.518521,45.481327,-23.591837,-2.5264344,-6.3913546,-0.35675433,2.0938556,13.181129,29.146336,-24.398209,-40.756798,24.688297,5.28162,-10.404462,23.742413,-38.483746,7.937189,-16.445189,-14.535926,-4.2057433,-7.7353945
5,1.0302804708480835,4.5080413818359375,75.27545166015625,3.6151790751604507,12.164150877091645,-179.69393365503296,1.245945,18.989338,25.383896,33.618416,-16.422785,-3.9981546,-30.410305,-6.139377,-11.278516,44.67502,-23.17118,-3.341987,-7.228339,-0.030604262,1.8494976,12.474612,29.008984,-25.04378,-41.429356,24.993267,5.1580167,-10.316136,25.045923,-38.02262,7.2179284,-16.605265,-14.451937,-4.577655,-7.6720567
6,0.9296010136604309,5.457744598388672,75.50725555419922,3.580255781290863,12.025127643199294,-179.2839690474163,1.3384297,17.16777,24.296404,33.726326,-16.461985,-4.053425,-29.572279,-5.3910785,-12.053389,43.650593,-22.550072,-4.11332,-8.053665,0.30155143,1.5575846,11.761434,28.945234,-25.734856,-42.204784,24.995886,4.947548,-10.244945,26.50036,-37.552876,6.4272237,-16.952612,-13.758939,-5.145416,-7.4684305
7,0.8318622708320618,6.39748477935791,75.76683807373047,3.5479654258617197,11.888819512502366,-178.90505833575477,1.5281979,15.300014,23.452238,33.583485,-16.383741,-4.10166,-28.728624,-4.6209025,-12.783327,42.535942,-21.734394,-4.8631983,-8.8150835,0.6190694,1.2521253,11.080485,28.949837,-26.383244,-43.09083,24.903238,4.664015,-10.234196,28.005505,-37.064274,5.639257,-17.398762,-12.675667,-5.7632236,-7.240024
8,0.7169113755226135,7.351450443267822,76.06407928466797,3.516085652847117,11.758069410546765,-178.63796355553993,1.8689953,13.3907,22.85667,33.083893,-16.151451,-4.2402215,-27.95903,-3.8133051,-13.410884,41.459576,-20.730433,-5.6149855,-9.464576,0.9005493,0.9633055,10.465749,29.00803,-26.898058,-44.084545,24.928518,4.319695,-10.330834,29.438019,-36.54514,4.9332833,-17.83486,-11.429785,-6.290209,-7.11025
9,0.6283733248710632,8.286211967468262,76.37925720214844,3.4897459122090573,11.640307049192526,-178.5058010679663,2.4007134,11.438297,22.59347,32.158848,-15.747535,-4.4747796,-27.276726,-2.967512,-13.915498,40.41021,-19.511543,-6.3854866,-9.984674,1.1388524,0.67801243,9.909675,29.112743,-27.249367,-45.207924,25.175465,3.8749275,-10.629138,30.77909,-35.989876,4.3229322,-18.235125,-9.877272,-6.7102375,-7.1332335
