Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-1.5208553075790405,0.6468371748924255,59.3985481262207,-4.756553452699288,19.35410849803109,71.61456020126906,-78.29962,25.048935,-5.4145927,83.44396,-26.471277,-11.487954,-75.53303,-2.517664,3.892822,77.64994,-22.82873,13.137885,-6.2656965,-11.560724,29.793802,-66.06841,55.083008,-28.496822,-1.7262717,32.81039,-21.49764,42.493404,-53.47499,0.024801156,48.48452,-8.25927,-17.1036,-14.659182,-22.770832
1,-1.6025676727294922,0.6947305202484131,59.42866897583008,-4.748207401141359,19.345079074882637,71.5279204265428,-78.22526,25.161015,-5.224392,83.529884,-26.751589,-11.305158,-75.49187,-2.4871337,4.0311065,77.55553,-22.793234,13.250284,-6.478186,-11.735104,29.793802,-65.7397,55.45207,-28.264748,-1.9143188,32.728054,-21.50354,42.43564,-53.68901,0.3601163,48.690956,-8.031369,-17.185858,-14.694445,-22.718176
2,-1.685931921005249,0.7231189012527466,59.43986129760742,-4.748253999970422,19.33902011745292,71.44035095373167,-78.15814,25.274857,-5.0446672,83.613884,-27.029308,-11.129695,-75.45094,-2.4553971,4.1584735,77.45659,-22.756475,13.360807,-6.6630282,-11.882178,29.793802,-65.4293,55.776264,-28.04434,-2.0874312,32.65336,-21.512907,42.37926,-53.878365,0.6363439,48.894115,-7.841019,-17.258188,-14.73081,-22.671576
3,-1.7766369581222534,0.7522116899490356,59.44670486450195,-4.745970564454652,19.334222608168016,71.35302711621594,-78.091576,25.384418,-4.8610797,83.70355,-27.312077,-10.942979,-75.41263,-2.4239373,4.2942386,77.35971,-22.718836,13.473626,-6.8211627,-12.0092945,29.793802,-65.13706,56.05559,-27.842756,-2.2520604,32.589985,-21.519672,42.326485,-54.073082,0.8685542,49.067085,-7.6498876,-17.315557,-14.758494,-22.625893
4,-1.8778905868530273,0.7863999605178833,59.456626892089844,-4.726077920491202,19.32121081436447,71.2680728358063,-78.00624,25.48396,-4.6543016,83.80563,-27.608957,-10.726457,-75.37277,-2.3957074,4.461335,77.274956,-22.681902,13.592344,-6.9793425,-12.125047,29.793802,-64.84447,56.296432,-27.641273,-2.406097,32.5429,-21.519075,42.279404,-54.149647,1.0499042,49.263912,-7.5448017,-17.441072,-14.764139,-22.57041
5,-1.9824098348617554,0.8229784965515137,59.465049743652344,-4.684687393481219,19.307159100765475,71.18775419560271,-77.90984,25.577526,-4.416134,83.92665,-27.949017,-10.464974,-75.34229,-2.3719182,4.667017,77.20587,-22.643078,13.71895,-7.1186604,-12.230459,29.793802,-64.56289,56.498226,-27.454561,-2.5654383,32.50299,-21.505709,42.234417,-54.23477,1.1953822,49.41356,-7.4196305,-17.583181,-14.741311,-22.500986
6,-2.089299201965332,0.8684964179992676,59.47920608520508,-4.628890449921448,19.294269121720927,71.11046384081786,-77.8075,25.665836,-4.157463,84.06067,-28.318758,-10.172007,-75.32018,-2.350837,4.898937,77.14723,-22.602371,13.851003,-7.235152,-12.32764,29.793802,-64.2927,56.657234,-27.28722,-2.7271261,32.47997,-21.482304,42.19212,-54.370457,1.3222282,49.504387,-7.2434673,-17.71153,-14.699664,-22.42281
7,-2.2123823165893555,0.9207051396369934,59.490447998046875,-4.565689077312578,19.268652764099137,71.03163054531176,-77.68374,25.738153,-3.8912985,84.19851,-28.663605,-9.872007,-75.28636,-2.3304467,5.149289,77.09237,-22.563826,13.986549,-7.366455,-12.413125,29.793802,-64.01305,56.78563,-27.109547,-2.8698032,32.479294,-21.459873,42.157894,-54.321815,1.4064091,49.667107,-7.202569,-17.923977,-14.648933,-22.343128
8,-2.3301892280578613,0.9731436967849731,59.50202941894531,-4.515466695294135,19.247946140465615,70.94332767652642,-77.5682,25.78506,-3.647518,84.328445,-28.919958,-9.587724,-75.24742,-2.30627,5.3937163,77.02073,-22.521456,14.121546,-7.4491873,-12.465245,29.793802,-63.779797,56.882572,-26.980259,-3.008707,32.479687,-21.447422,42.133568,-54.43255,1.4783845,49.734814,-7.0318694,-17.976498,-14.610905,-22.293306
9,-2.458517074584961,1.0257755517959595,59.51597595214844,-4.476134487527343,19.211146389702073,70.84090933618124,-77.4377,25.797028,-3.434605,84.45317,-29.05909,-9.309818,-75.18205,-2.2732272,5.634747,76.93325,-22.479637,14.253011,-7.542353,-12.496343,29.793802,-63.54012,56.958557,-26.847689,-3.1201758,32.509117,-21.448082,42.128635,-54.340603,1.5107453,49.892765,-7.0129733,-18.069431,-14.57805,-22.265295
