Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.03828330338001251,2.08571195602417,78.89036560058594,-0.013943972420675356,0.38282071419021524,-86.85049261109101,1.0914605,8.631118,12.217064,10.547093,-11.601491,-8.943401,0.22579743,-3.4089553,-18.588943,7.4432726,-7.471217,1.5582974,-1.7662078,1.3728822,6.087657,-2.524855,16.136593,-39.062195,44.06274,15.21444,-4.709704,1.0021418,-10.905325,-13.175426,46.39479,56.54949,-17.477272,-3.157055,3.6764755
1,-0.041129354387521744,2.0142815113067627,78.8905029296875,-0.017083112481325345,0.37737881795361905,-86.84393186422339,1.1879389,8.625135,12.219511,10.438231,-11.574481,-8.973791,0.2704511,-3.407058,-18.597744,7.455233,-7.5121584,1.5541824,-1.7644981,1.3745363,5.9499354,-1.8898804,16.17543,-39.202324,44.71616,15.115942,-4.64896,0.94411755,-10.477272,-13.218102,46.940155,57.188305,-17.633043,-3.198494,3.900912
2,-0.04823680222034454,1.9595489501953125,78.89043426513672,-0.019529712111384743,0.3717748929344235,-86.83890983221265,1.2843233,8.619985,12.222586,10.331039,-11.548275,-9.003932,0.31529027,-3.4041688,-18.60582,7.4666567,-7.5522046,1.5491353,-1.7941744,1.3878995,5.819846,-1.2246174,16.219173,-39.292686,45.33532,15.030452,-4.5986195,0.88348585,-10.036411,-13.318098,47.537125,57.768944,-17.730131,-3.2436385,4.113603
3,-0.044094305485486984,1.9304286241531372,78.88844299316406,-0.02109045084101383,0.36696022269344897,-86.8308119600298,1.3800133,8.613629,12.224328,10.22089,-11.520346,-9.034539,0.36085463,-3.4018004,-18.61574,7.475541,-7.5919614,1.5459199,-1.8053294,1.4045618,5.6913853,-0.58767295,16.257814,-39.414597,45.980976,14.935835,-4.535769,0.8147615,-9.57373,-13.44987,48.100964,58.319607,-17.903233,-3.2748036,4.3607097
4,-0.04186220094561577,1.8963664770126343,78.8866195678711,-0.021348505847863374,0.3643282833764729,-86.81518231306269,1.4761451,8.603101,12.2230215,10.099046,-11.48603,-9.066146,0.40676993,-3.4021385,-18.630358,7.478935,-7.6305947,1.5474738,-1.8085911,1.4223721,5.560911,0.009949961,16.297117,-39.577835,46.67571,14.8199,-4.442588,0.724921,-9.08103,-13.604153,48.6113,58.846203,-18.284697,-3.2710328,4.6852694
5,-0.03977184370160103,1.851015567779541,78.88534545898438,-0.02015755612589167,0.365603123165614,-86.79071651191916,1.5706531,8.589678,12.219513,9.965081,-11.44545,-9.101922,0.452563,-3.4039812,-18.649834,7.475632,-7.6697445,1.5548065,-1.8059672,1.4399339,5.4224644,0.56707925,16.342817,-39.805138,47.43341,14.813858,-4.3190637,0.60924906,-8.541314,-13.773388,49.05975,59.34484,-19.025871,-3.2287064,5.1249266
6,-0.04053514450788498,1.8084063529968262,78.88465881347656,-0.01838818939420585,0.3696970438681442,-86.75963420256298,1.6642388,8.573873,12.214398,9.821919,-11.400003,-9.140548,0.49803942,-3.4070733,-18.672808,7.4669595,-7.7085714,1.5663714,-1.7947092,1.4559294,5.280185,1.093102,16.397554,-40.081734,48.233067,14.878825,-4.1731887,0.47465912,-7.991203,-13.954014,49.48569,59.837822,-19.98875,-3.1655486,5.647472
7,-0.040989261120557785,1.7649319171905518,78.88520050048828,-0.014764025491835083,0.37337788454282517,-86.72353502757284,1.7591586,8.553435,12.204904,9.671851,-11.349894,-9.175976,0.54525155,-3.4136355,-18.700037,7.4559126,-7.745598,1.5810703,-1.7820702,1.4691329,5.140436,1.5998505,16.46126,-40.359234,49.04551,14.748123,-3.9976614,0.32578182,-7.415939,-14.141665,49.840866,60.313892,-20.994879,-3.0883062,6.1931224
8,-0.035969898104667664,1.722084403038025,78.8847885131836,-0.00889561396833472,0.373431684919239,-86.68346590078109,1.8586078,8.526012,12.188541,9.514765,-11.294094,-9.202223,0.5952662,-3.4261703,-18.732244,7.450067,-7.783089,1.5977553,-1.7660893,1.4780381,5.013525,2.092553,16.532187,-40.59489,49.84253,14.158352,-3.7835994,0.17008752,-6.8508296,-14.333442,50.13044,60.793556,-21.79036,-2.9993014,6.7007537
9,-0.030379559844732285,1.6851842403411865,78.88426208496094,0.0006079998518492976,0.36629328191969884,-86.63619579682516,1.9648741,8.488534,12.160261,9.352019,-11.232486,-9.216925,0.65272,-3.4476414,-18.773485,7.4491534,-7.8193913,1.6190479,-1.7542565,1.4805657,4.9025555,2.5672293,16.608812,-40.80331,50.64544,12.960581,-3.4784214,0.027148131,-6.277521,-14.524779,50.335068,61.271526,-22.311317,-2.882193,7.1727715
10,-0.025823578238487244,1.639944076538086,78.884033203125,0.013070359711098564,0.3545311958364652,-86.58218222487126,2.0762603,8.443162,12.122864,9.1821,-11.165013,-9.223459,0.71499956,-3.476226,-18.822187,7.452023,-7.8556914,1.6445742,-1.7398521,1.4773872,4.8052764,3.0161476,16.691494,-41.002518,51.463165,11.32231,-3.1013832,-0.104100406,-5.728798,-14.713586,50.505962,61.770786,-22.631155,-2.7387583,7.634211
11,-0.01533181220293045,1.5980312824249268,78.88282775878906,0.026276917238071174,0.3442398688525135,-86.52865085735175,2.1872187,8.395213,12.085402,9.007796,-11.094526,-9.224635,0.7735012,-3.5068781,-18.870173,7.4576306,-7.8917947,1.6687433,-1.727454,1.4719441,4.7095795,3.4602895,16.780115,-41.132545,52.247314,9.453116,-2.7502809,-0.25258172,-5.15607,-14.897796,50.572964,62.251278,-22.94813,-2.5896401,8.060174
12,-0.008054750971496105,1.5544750690460205,78.88166809082031,0.03880746344220427,0.3415033946833948,-86.48286046702023,2.2923093,8.349859,12.056875,8.830947,-11.023223,-9.223037,0.820038,-3.5346181,-18.909887,7.463384,-7.9267054,1.6859597,-1.7039058,1.4683886,4.614122,3.9070678,16.875376,-41.14923,52.94753,7.5593286,-2.520909,-0.45425302,-4.6157694,-15.077816,50.5935,62.735435,-23.289387,-2.4604313,8.424746
13,-0.0030251815915107727,1.5208733081817627,78.88179779052734,0.05033716492815909,0.35121193878463974,-86.45018074410659,2.3880095,8.308977,12.04415,8.650354,-10.950238,-9.216458,0.84690523,-3.557755,-18.935612,7.4703226,-7.959641,1.6918135,-1.6737669,1.4687381,4.513943,4.3695254,16.976631,-41.01394,53.540813,5.3948154,-2.4707272,-0.7523717,-4.0813785,-15.252752,50.538555,63.2139,-23.73243,-2.363839,8.696535
