Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.24098025262355804,2.212522268295288,77.95330810546875,-0.493921486147398,-1.5835927915547152,-90.42082436737147,4.369234,7.132364,5.5237856,15.275267,-18.001917,-7.3838096,-0.41679433,-4.163241,-2.9594219,19.501282,-17.527319,5.5807586,-3.2210488,3.5288627,5.9576917,-1.1573092,15.766598,-48.700455,54.899242,0.9224101,2.5897298,4.3331723,-5.256535,-12.809656,37.92528,60.588684,5.6499662,14.308999,-2.0583875
1,0.23079586029052734,2.234285354614258,77.95270538330078,-0.49307216711564755,-1.531039356645856,-90.39724193636978,4.1446724,7.1536217,5.475946,15.550376,-18.044483,-7.40777,-0.55636346,-4.1667876,-2.9832687,19.628057,-17.542475,5.5748987,-3.2190235,3.531815,5.9480596,-1.2449633,15.783263,-48.723587,54.89504,0.92181295,2.5808353,4.323858,-5.340383,-12.814037,37.986988,60.63093,5.6199594,14.354345,-1.92382
2,0.2230023443698883,2.26002836227417,77.95358276367188,-0.4914523363962115,-1.479167521819407,-90.37463707112646,3.9255455,7.1753173,5.430402,15.818789,-18.086254,-7.4334064,-0.6924115,-4.169461,-3.0065498,19.750925,-17.557007,5.570503,-3.2337546,3.537277,5.938015,-1.310144,15.816718,-48.732376,54.86684,0.92174625,2.5727952,4.3120418,-5.408594,-12.828515,38.06154,60.65545,5.5867367,14.401605,-1.7967093
3,0.21312420070171356,2.2944111824035645,77.9532470703125,-0.48989860727107737,-1.4259179947974565,-90.35018617729203,3.6962237,7.19554,5.3808174,16.099112,-18.128796,-7.458153,-0.8348701,-4.1733894,-3.0310876,19.879984,-17.57203,5.5630436,-3.2363837,3.5424938,5.930241,-1.3957304,15.839022,-48.75081,54.85618,0.91918933,2.562842,4.305015,-5.493308,-12.8438635,38.13796,60.68592,5.5661187,14.447156,-1.6562654
4,0.20138230919837952,2.3295702934265137,77.9513931274414,-0.4847980544297209,-1.3689899898925457,-90.32095234423738,3.445747,7.2123594,5.32143,16.398088,-18.16695,-7.4796567,-0.9932608,-4.1805763,-3.0589583,20.023596,-17.587385,5.547931,-3.2340558,3.5475008,5.9268036,-1.5009166,15.858648,-48.773586,54.852234,0.90649605,2.549783,4.310152,-5.610765,-12.864932,38.24126,60.720943,5.5711145,14.489443,-1.4864136
5,0.19053195416927338,2.3709511756896973,77.95159149169922,-0.478429146266266,-1.3139017191382094,-90.28683761981969,3.1831367,7.2260613,5.2530165,16.711145,-18.199635,-7.5019064,-1.1624721,-4.1902943,-3.0892625,20.185383,-17.604578,5.5224495,-3.2443576,3.5576468,5.9400635,-1.6019709,15.898955,-48.783737,54.814655,0.8847991,2.5340877,4.3309097,-5.7500205,-12.923275,38.402233,60.722713,5.6373253,14.528061,-1.285876
6,0.18045051395893097,2.4163644313812256,77.9525375366211,-0.4706114891677273,-1.2599851464353098,-90.24913000834015,2.9109826,7.237432,5.177945,17.035267,-18.228771,-7.52459,-1.3390195,-4.2018137,-3.1215622,20.358557,-17.622128,5.489613,-3.2435734,3.5684576,5.962376,-1.7232457,15.938201,-48.806854,54.781982,0.85360444,2.5156226,4.363722,-5.9059515,-12.994755,38.575344,60.715126,5.734726,14.562808,-1.0614145
7,0.16765756905078888,2.4692165851593018,77.95266723632812,-0.45971193116476566,-1.1948857398937003,-90.207271198875,2.6054263,7.2448716,5.0926547,17.386536,-18.257055,-7.538885,-1.5379666,-4.2172666,-3.1578455,20.54149,-17.638529,5.453461,-3.2387965,3.582536,5.984955,-1.8575172,15.978354,-48.82567,54.74423,0.8168172,2.495529,4.4005766,-6.0822964,-13.084066,38.770313,60.692497,5.8281903,14.601405,-0.808968
8,0.15206663310527802,2.528303384780884,77.9536361694336,-0.4460427024884213,-1.1061479082396666,-90.16063170601821,2.23936,7.2473855,4.993083,17.787487,-18.289837,-7.5360084,-1.7733468,-4.2384005,-3.2003808,20.730652,-17.651075,5.4179664,-3.2270067,3.6012058,5.999842,-2.0076306,16.017956,-48.833263,54.699905,0.77700627,2.4746718,4.4334087,-6.2998424,-13.189966,38.998337,60.668488,5.8968625,14.649692,-0.52367175
9,0.1404857486486435,2.5981128215789795,77.95619201660156,-0.4321011141226705,-0.9942634725447044,-90.11301814933685,1.8153399,7.24758,4.8788066,18.237103,-18.33242,-7.511197,-2.0440094,-4.2613883,-3.245324,20.923483,-17.660719,5.380964,-3.20919,3.6272857,6.0062356,-2.1698961,16.05783,-48.825043,54.644978,0.73251665,2.4525928,4.460196,-6.552108,-13.313066,39.265102,60.633274,5.919142,14.719898,-0.18503137
10,0.12585537135601044,2.6680095195770264,77.95803833007812,-0.4164700451152883,-0.8647009239282291,-90.06335937160175,1.3387576,7.245443,4.7510395,18.737783,-18.383427,-7.4698267,-2.343712,-4.2866883,-3.2929623,21.121922,-17.668259,5.341478,-3.186247,3.6597023,6.0085635,-2.344552,16.098663,-48.805626,54.58073,0.6827511,2.429031,4.4851623,-6.8376493,-13.453109,39.57073,60.587437,5.9192023,14.804846,0.198267
