Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-2.7028419971466064,0.0944572240114212,78.48651123046875,2.3795576842609654,-5.273208774389893,-4.189867680146604,8.262214,2.1636086,14.53938,8.937601,-10.965277,-0.38113135,6.506456,-6.0940948,-3.900522,7.285556,-10.23699,10.078362,-0.65808785,-0.3924559,10.898092,0.23502271,10.477759,-36.122173,56.31258,-14.926663,3.5213072,4.666346,-1.6873798,-10.14399,32.085743,61.16797,15.825154,6.7966228,-0.42693892
1,-2.6995859146118164,0.10727120190858841,78.49027252197266,2.411721087635766,-5.25399378811671,-4.214107832096211,8.264629,2.110414,14.5860405,8.900888,-10.945387,-0.36121246,6.502704,-6.141211,-3.8528752,7.239002,-10.258262,10.158228,-0.6154042,-0.40361956,10.900364,0.24212134,10.480939,-36.101746,56.286312,-15.028326,3.5805328,4.6605544,-1.6978955,-10.143089,32.079693,61.188034,15.861612,6.784119,-0.434266
2,-2.7066872119903564,0.11511395126581192,78.49009704589844,2.447040637873728,-5.23814468391038,-4.237259275602999,8.277515,2.0518212,14.633725,8.850296,-10.916131,-0.34074208,6.498948,-6.1925597,-3.8053873,7.202248,-10.285068,10.237814,-0.57841945,-0.4137514,10.909143,0.25328156,10.482356,-36.074818,56.24894,-15.132359,3.6485157,4.6523848,-1.7207288,-10.143751,32.07472,61.21933,15.898077,6.7700744,-0.43753314
3,-2.7098841667175293,0.13162650167942047,78.49381256103516,2.479315172703495,-5.218313068603307,-4.2646662010130445,8.286565,1.996477,14.6819725,8.798654,-10.891473,-0.3208447,6.4910903,-6.2400355,-3.7542565,7.162183,-10.310348,10.318236,-0.54861873,-0.4203715,10.920949,0.26487586,10.483252,-36.02169,56.210106,-15.210613,3.7083986,4.641736,-1.7504935,-10.147635,32.073044,61.246754,15.926994,6.758373,-0.4401903
4,-2.7093048095703125,0.15131759643554688,78.49617004394531,2.5034806520289816,-5.187850887367497,-4.302437674392374,8.28267,1.9502108,14.730943,8.751227,-10.882251,-0.30240223,6.4743114,-6.2775598,-3.69471,7.1090765,-10.329261,10.401031,-0.50997186,-0.41517544,10.923239,0.27433398,10.481899,-35.964638,56.174675,-15.252983,3.7521985,4.6372986,-1.7801989,-10.154338,32.070385,61.272552,15.947239,6.7477636,-0.44620252
5,-2.7143020629882812,0.16985872387886047,78.49563598632812,2.5171217087979727,-5.146084805450254,-4.349654691450586,8.264316,1.9153359,14.773194,8.705612,-10.887248,-0.27996975,6.445883,-6.3013988,-3.6273937,7.04882,-10.34786,10.483503,-0.46092126,-0.39577678,10.916915,0.2823961,10.478868,-35.901146,56.141518,-15.228029,3.7766871,4.6397095,-1.8103285,-10.162385,32.05923,61.29629,15.952794,6.7384834,-0.45580944
6,-2.7170159816741943,0.19636501371860504,78.50152587890625,2.5226166869825235,-5.096226639276913,-4.4041123212021684,8.233562,1.8897786,14.81108,8.665656,-10.9046545,-0.25498542,6.416571,-6.3145447,-3.5548666,6.967838,-10.358171,10.565758,-0.42277336,-0.36219248,10.914526,0.28961918,10.468413,-35.79276,56.105488,-15.13672,3.7884667,4.6385756,-1.8496937,-10.184078,32.04958,61.31083,15.942275,6.7323704,-0.46302688
7,-2.721761703491211,0.22063185274600983,78.50635528564453,2.5262527163079294,-5.038536478204174,-4.4697871023470155,8.203315,1.8647071,14.86044,8.613464,-10.928455,-0.23822199,6.3472347,-6.3278713,-3.4690173,6.9449024,-10.3956995,10.653875,-0.35984853,-0.32444173,10.900167,0.29254678,10.46044,-35.715797,56.073387,-15.065043,3.7891726,4.6483235,-1.8864181,-10.198833,32.032047,61.332787,15.929567,6.72587,-0.47460052
8,-2.7238614559173584,0.24909698963165283,78.51029205322266,2.533323341513579,-4.974372725432559,-4.551652799447344,8.187217,1.8321234,14.938241,8.531273,-10.952092,-0.24052162,6.25505,-6.3482814,-3.3667197,6.941119,-10.433698,10.754293,-0.3074191,-0.2764823,10.896782,0.2929893,10.439575,-35.59329,56.030735,-15.024515,3.785422,4.651891,-1.9432931,-10.234066,32.030483,61.35024,15.910616,6.724255,-0.47818637
9,-2.7276980876922607,0.28386908769607544,78.51798248291016,2.542978311188374,-4.911138989871753,-4.655398930240664,8.202478,1.7934073,15.056122,8.4125,-10.978312,-0.27253047,6.1577578,-6.3732276,-3.2422462,6.9370747,-10.460235,10.863416,-0.2244418,-0.22648495,10.89169,0.29548112,10.423942,-35.49806,55.978615,-15.078326,3.7737682,4.669061,-2.0059469,-10.258977,32.025986,61.383816,15.88817,6.7227707,-0.48156166
