Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.2063031792640686,1.9908573627471924,78.33702087402344,-0.1754506621679359,1.1823804262734967,-86.98914349676097,-3.6899583,10.311846,9.37895,12.259702,-9.235062,-8.660144,0.81559706,-8.881158,-16.75752,12.436506,-13.870739,6.5429816,-2.103575,3.0600307,7.692961,-5.116135,18.89797,-37.894558,53.20432,-9.168874,3.2709267,-2.4720483,-5.601878,-18.364414,30.666843,54.255257,14.638148,12.417828,-7.042415
1,-0.22448068857192993,2.0039265155792236,78.33477020263672,-0.1876625813736975,1.1693769587314207,-86.97317658369649,-3.719615,10.343706,9.344684,12.31255,-9.241324,-8.691955,0.7714818,-8.867706,-16.764545,12.55335,-13.922504,6.513221,-2.122626,3.0658174,7.700837,-5.1178675,18.930508,-37.891968,53.20825,-9.181805,3.2531343,-2.4769537,-5.6003704,-18.381975,30.613653,54.236847,14.618542,12.415606,-7.022054
2,-0.24338778853416443,2.014410972595215,78.33389282226562,-0.19980865168861692,1.155358181096873,-86.95636857382699,-3.74718,10.375147,9.310239,12.364678,-9.248896,-8.722801,0.73173225,-8.853749,-16.772724,12.6648035,-13.9726,6.4847636,-2.1420586,3.0711136,7.705719,-5.125578,18.954462,-37.891365,53.226967,-9.195324,3.2330248,-2.4828732,-5.600458,-18.394917,30.56113,54.225914,14.598229,12.412921,-7.000292
3,-0.26464852690696716,2.0256662368774414,78.33605194091797,-0.21156226050595114,1.1433918091484454,-86.94117064210194,-3.7797167,10.407116,9.276093,12.420343,-9.255023,-8.755614,0.6820866,-8.841464,-16.778538,12.788938,-14.026664,6.4536996,-2.1489365,3.0758414,7.7172365,-5.1291227,18.997047,-37.900574,53.218285,-9.210858,3.2177458,-2.4860253,-5.5874863,-18.419203,30.491756,54.191845,14.575611,12.411326,-6.9795794
4,-0.2819472551345825,2.0401742458343506,78.33079528808594,-0.22185221580027276,1.1367954159360376,-86.92959831460439,-3.8264651,10.440363,9.242458,12.487072,-9.258007,-8.79313,0.605853,-8.834382,-16.778418,12.948252,-14.092372,6.4163675,-2.153966,3.084224,7.7270746,-5.1301637,19.040848,-37.90598,53.200466,-9.22038,3.2072997,-2.4808443,-5.591755,-18.447569,30.432583,54.171257,14.563631,12.406409,-6.968021
5,-0.3027767837047577,2.0542259216308594,78.32806396484375,-0.2320103195499163,1.1355677936356887,-86.92103306742422,-3.8844402,10.476,9.20869,12.558632,-9.254385,-8.834642,0.50701547,-8.829966,-16.774374,13.135204,-14.164665,6.371152,-2.1592453,3.0982804,7.7304854,-5.1365323,19.070139,-37.90469,53.19387,-9.219093,3.2037084,-2.4641519,-5.6206346,-18.470142,30.382496,54.180775,14.56461,12.395397,-6.9763117
6,-0.3231683671474457,2.0809881687164307,78.31999969482422,-0.24193517045558427,1.1383604390091857,-86.91491761377358,-3.95335,10.513195,9.174483,12.639231,-9.2489395,-8.879137,0.388908,-8.8290615,-16.766842,13.348161,-14.2450695,6.320377,-2.1553967,3.1163397,7.739461,-5.1364913,19.113684,-37.905373,53.158875,-9.214314,3.2076042,-2.4410248,-5.640723,-18.508724,30.320059,54.169697,14.570446,12.383126,-6.9943433
7,-0.34074288606643677,2.103848457336426,78.31398010253906,-0.24888320096767463,1.145907199485322,-86.9130148787241,-4.035582,10.550053,9.142012,12.731315,-9.241497,-8.929408,0.24427888,-8.834472,-16.751549,13.596347,-14.338825,6.26547,-2.1445518,3.1363673,7.7503986,-5.1348157,19.164845,-37.909847,53.107784,-9.208811,3.2129653,-2.4128695,-5.67008,-18.56109,30.267918,54.156647,14.582644,12.371592,-7.007737
8,-0.3732493817806244,2.138471841812134,78.313232421875,-0.2500129466846331,1.1589649817994367,-86.91743813181289,-4.1381965,10.58461,9.112705,12.847207,-9.236952,-8.988029,0.06272266,-8.850305,-16.72378,13.895812,-14.454937,6.207872,-2.1230125,3.155654,7.760575,-5.1394987,19.217415,-37.925392,53.05197,-9.204985,3.2143412,-2.3805618,-5.714371,-18.622545,30.234486,54.149307,14.593945,12.363356,-7.0014057
9,-0.39821821451187134,2.1727256774902344,78.30506134033203,-0.24537779517116892,1.1794367361044324,-86.9304897192892,-4.2573934,10.615748,9.087981,12.977166,-9.230141,-9.060644,-0.15639672,-8.876289,-16.680645,14.242274,-14.591035,6.1506977,-2.0898519,3.173799,7.762343,-5.158979,19.268635,-37.97586,53.002243,-9.209449,3.210685,-2.337381,-5.779478,-18.688204,30.229607,54.159424,14.607228,12.360594,-6.9671316
10,-0.4294479787349701,2.2081592082977295,78.3000259399414,-0.2361111904119801,1.2062875449449686,-86.95068270219517,-4.392207,10.644902,9.0664625,13.120949,-9.221872,-9.144127,-0.4047729,-8.909259,-16.625706,14.622598,-14.742974,6.092091,-2.0450287,3.1929293,7.7623925,-5.184446,19.328655,-38.052513,52.94007,-9.221303,3.2053757,-2.2856593,-5.8500404,-18.770435,30.239906,54.163956,14.621926,12.362488,-6.91291
11,-0.4513990581035614,2.246856212615967,78.28948211669922,-0.22127753517454254,1.2359027935448346,-86.97367151923214,-4.5503254,10.672595,9.046336,13.297343,-9.220809,-9.227974,-0.6900462,-8.953974,-16.56139,15.062101,-14.91953,6.0264482,-1.9883964,3.2109268,7.770722,-5.2076106,19.390167,-38.10974,52.86444,-9.224394,3.197842,-2.2381794,-5.9336925,-18.862625,30.256653,54.167503,14.636466,12.364,-6.8521814
12,-0.48944684863090515,2.313184976577759,78.27049255371094,-0.1998359171351203,1.2646324314362813,-86.99568438638181,-4.738436,10.699399,9.025556,13.522097,-9.234087,-9.301751,-1.0178419,-9.013895,-16.490322,15.580897,-15.128595,5.94811,-1.920048,3.2270782,7.7990017,-5.220628,19.449684,-38.10508,52.77049,-9.208125,3.1876814,-2.2079883,-6.028027,-18.964088,30.26598,54.162,14.645156,12.36088,-6.7973647
