Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-2.3858609199523926,0.8275408148765564,78.41122436523438,-0.6958698033808599,0.02688224806131671,-7.669731250636054,3.386354,5.1493177,12.261634,7.9021974,-10.82738,-5.4375486,-3.2940385,-4.098637,-7.994719,10.838552,-8.311659,3.9526346,4.072134,0.20355947,4.79332,5.7567344,13.667739,-22.933247,54.52909,2.7294164,3.4626217,7.296432,-4.9806714,-16.422445,33.13638,60.304302,-9.044521,5.0105977,-0.5383639
1,-2.383419990539551,0.8310892581939697,78.41346740722656,-0.6908636243307159,0.028599076732630097,-7.671350389147649,3.4113867,5.1285753,12.260079,7.839599,-10.805387,-5.422766,-3.293017,-4.109978,-7.9894323,10.828663,-8.304195,3.9688516,4.10258,0.18949145,4.782915,5.8633165,13.659416,-22.974953,54.523212,2.6993234,3.4549954,7.263132,-4.887421,-16.41953,33.155148,60.160152,-9.03909,5.005357,-0.50453776
2,-2.3799338340759277,0.8397319316864014,78.41520690917969,-0.6860333070316718,0.030691961570132865,-7.673516666652279,3.4357824,5.10809,12.259078,7.7783523,-10.784872,-5.4076943,-3.2915235,-4.121074,-7.9834356,10.817043,-8.295713,3.9854767,4.1365256,0.17783305,4.7628207,5.9552,13.639861,-23.025993,54.54601,2.663027,3.4431367,7.236101,-4.8032475,-16.408754,33.177,60.040432,-9.031072,4.9976997,-0.47243556
3,-2.3807930946350098,0.8483402729034424,78.4166488647461,-0.6810343589828844,0.032353678912705824,-7.674607666602758,3.4649448,5.08629,12.257337,7.707074,-10.759414,-5.393271,-3.2905316,-4.132635,-7.9788413,10.808045,-8.288872,4.001292,4.166011,0.1680021,4.7468386,6.048825,13.613826,-23.07043,54.563,2.6372535,3.4364126,7.204291,-4.7236905,-16.39288,33.19769,59.92388,-9.026359,4.991293,-0.44162393
4,-2.381108045578003,0.8562977313995361,78.41871643066406,-0.6755711594234556,0.03465349384520862,-7.67350243896739,3.4854603,5.0660534,12.252345,7.651214,-10.736885,-5.3804903,-3.2920637,-4.1450725,-7.977506,10.803698,-8.284628,4.0150075,4.1954403,0.1661743,4.719933,6.124429,13.573376,-23.12621,54.609802,2.6165788,3.4361537,7.1654716,-4.6563087,-16.365278,33.219097,59.8452,-9.018087,4.981628,-0.41681898
5,-2.3824901580810547,0.8611816763877869,78.42013549804688,-0.668405362290835,0.03680475701923275,-7.669411254839145,3.5025568,5.044466,12.242766,7.599985,-10.711124,-5.368072,-3.2961426,-4.1602507,-7.980472,10.806726,-8.284847,4.026564,4.215992,0.17236461,4.685987,6.178016,13.4963255,-23.174728,54.690544,2.6241102,3.4527094,7.111004,-4.6210136,-16.306503,33.24305,59.82602,-9.01234,4.968799,-0.40277556
6,-2.386626720428467,0.8639919757843018,78.41947174072266,-0.6601367816851723,0.03928077656420599,-7.6632122903117414,3.5174563,5.0218525,12.230015,7.5511484,-10.682682,-5.355981,-3.3031795,-4.177285,-7.986431,10.816485,-8.288765,4.036513,4.230125,0.172921,4.6709633,6.2647424,13.455772,-23.210384,54.70271,2.6428452,3.4853551,7.0298595,-4.5670943,-16.271235,33.264557,59.75832,-9.000287,4.956189,-0.38644174
7,-2.3850317001342773,0.8694872260093689,78.42036437988281,-0.6527741989169555,0.04163741241037043,-7.655597742115232,3.530413,5.0013685,12.216751,7.506972,-10.656437,-5.347089,-3.3113124,-4.193653,-7.994112,10.8297615,-8.295174,4.044654,4.242468,0.17707363,4.656325,6.34869,13.413526,-23.252014,54.718597,2.6594176,3.5145695,6.9513373,-4.515686,-16.230515,33.28289,59.70025,-8.991799,4.945205,-0.36952105
8,-2.3847572803497314,0.8698438405990601,78.42259216308594,-0.6485799938827842,0.04385073293426439,-7.647328022229007,3.54485,4.985485,12.205943,7.4632072,-10.633715,-5.3441052,-3.316421,-4.206182,-8.002205,10.838753,-8.300273,4.0508394,4.2538714,0.18927298,4.6290617,6.407151,13.345998,-23.308199,54.787712,2.6627858,3.5219524,6.899961,-4.489582,-16.157642,33.30153,59.701355,-8.993769,4.93708,-0.35184819
9,-2.383216142654419,0.8745624423027039,78.42185974121094,-0.650471166891222,0.045142527428252054,-7.639623464489,3.565117,4.977972,12.200748,7.415767,-10.614588,-5.3541512,-3.318659,-4.2115026,-8.009875,10.845888,-8.305233,4.052174,4.2642198,0.20706448,4.611126,6.474972,13.298904,-23.38112,54.843052,2.6372805,3.4991684,6.874839,-4.4471436,-16.099733,33.310703,59.67424,-9.007874,4.936616,-0.31835064
