Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-2.0827736854553223,0.10843001306056976,79.09293365478516,-0.15065318544412226,-2.6669185663457373,0.1549437641645613,5.059788,4.273457,1.1514472,9.455009,-12.337536,-4.5986295,7.0956597,-2.5040226,-14.200565,7.2922664,-12.600353,2.4502325,-2.9566574,-0.26262832,6.8933635,-5.595738,18.005869,-49.94822,61.536243,0.5866503,-0.052680366,8.623193,4.4412947,-13.283783,24.544863,58.842438,-10.611823,-2.7820106,-0.38729784
1,-2.0960659980773926,0.12042775005102158,79.0943832397461,-0.14263887295471983,-2.641151868321145,0.15139061084757627,5.0248704,4.2470465,1.152382,9.442398,-12.33311,-4.5696645,7.0543704,-2.5285707,-14.196877,7.2890058,-12.579176,2.4857483,-2.9685206,-0.26468813,6.9252276,-5.5631394,18.085028,-49.93295,61.409195,0.5836655,-0.038994752,8.6177,4.4108424,-13.314171,24.552593,58.79102,-10.687175,-2.6576865,-0.4315082
2,-2.1104490756988525,0.1329866647720337,79.09647369384766,-0.1345033346403607,-2.6146238176764123,0.1483188295607682,4.989933,4.221456,1.1528691,9.427759,-12.32929,-4.5451345,7.0158305,-2.551937,-14.194423,7.2783523,-12.5548935,2.5222347,-2.9749312,-0.26800573,6.947082,-5.555883,18.123207,-49.92685,61.34014,0.5818655,-0.028186034,8.614415,4.3738537,-13.328992,24.55552,58.76019,-10.775352,-2.5225408,-0.48194927
3,-2.121851682662964,0.14712832868099213,79.1003646850586,-0.12638973694442598,-2.5935632227432732,0.14309648958816085,4.959281,4.1952043,1.1549437,9.418588,-12.326034,-4.511305,6.9840355,-2.5749478,-14.188843,7.264978,-12.528497,2.5572963,-2.9729536,-0.27770686,6.9556847,-5.5614905,18.125614,-49.928722,61.324394,0.5858668,-0.023013642,8.612868,4.3476567,-13.330419,24.556807,58.7523,-10.843223,-2.4238226,-0.5269462
4,-2.1405797004699707,0.16328923404216766,79.10253143310547,-0.11080989374167029,-2.5692556939671327,0.13547415769712645,4.915547,4.156889,1.1580838,9.42636,-12.321276,-4.4524136,6.871258,-2.6282449,-14.17458,7.416065,-12.584387,2.590756,-2.9782386,-0.2801654,6.990599,-5.564116,18.155743,-49.93025,61.251747,0.5736959,-0.019255249,8.613748,4.2835226,-13.34959,24.562052,58.744392,-10.865259,-2.356229,-0.5608721
5,-2.1585071086883545,0.18105542659759521,79.1051254272461,-0.0902176696176857,-2.5540466058393965,0.12521505453379514,4.86923,4.11102,1.1613356,9.459798,-12.317,-4.3636885,6.7267027,-2.6979804,-14.151284,7.653658,-12.682657,2.6168125,-2.9769003,-0.296182,7.018496,-5.5737762,18.164305,-49.93837,61.215958,0.5644886,-0.026448853,8.615742,4.2301702,-13.35731,24.567886,58.765034,-10.812118,-2.3898537,-0.5743667
6,-2.177415132522583,0.20510488748550415,79.10880279541016,-0.0643624156153202,-2.5412305951837224,0.11308689169753856,4.81808,4.0573263,1.1647911,9.507689,-12.310224,-4.252696,6.576866,-2.775759,-14.122387,7.905147,-12.78515,2.6378515,-2.975373,-0.31529146,7.0521035,-5.582476,18.173378,-49.952686,61.170284,0.5454982,-0.038926374,8.620427,4.1659756,-13.368449,24.579323,58.802155,-10.698394,-2.4867141,-0.57263434
7,-2.1951160430908203,0.22681203484535217,79.11261749267578,-0.03769529085935925,-2.533232003774595,0.09631802954424311,4.7685814,3.9996114,1.1725034,9.565283,-12.308618,-4.1276197,6.4372787,-2.854891,-14.088285,8.14311,-12.878745,2.6617758,-2.9721746,-0.331999,7.0896983,-5.5871873,18.184406,-49.970142,61.1191,0.5256283,-0.052973237,8.625837,4.1016965,-13.386472,24.593803,58.840942,-10.575136,-2.5969179,-0.56509155
8,-2.2128796577453613,0.2507486641407013,79.11689758300781,-0.012838147057021757,-2.530769006778877,0.07111380911076506,4.728696,3.9395418,1.1901661,9.621588,-12.316546,-3.9961894,6.3164644,-2.9317513,-14.048166,8.3508005,-12.954934,2.6967416,-2.962602,-0.34661353,7.1313243,-5.5902476,18.188353,-49.981647,61.07303,0.5201923,-0.066333875,8.62826,4.043453,-13.396334,24.601196,58.87102,-10.499325,-2.670495,-0.5629929
9,-2.2279181480407715,0.28096842765808105,79.11785888671875,0.00843006304724551,-2.5295448603438313,0.033706249745117475,4.693448,3.8778708,1.2221619,9.676749,-12.336305,-3.8544135,6.185636,-3.0118775,-13.997153,8.576707,-13.036259,2.7499504,-2.9473836,-0.33107412,7.189349,-5.578373,18.208353,-49.994175,60.977615,0.51196563,-0.07934546,8.628217,4.0048165,-13.470611,24.613297,58.842487,-10.46367,-2.6873457,-0.554143
10,-2.2476131916046143,0.3234325349330902,79.11906433105469,0.027292553493438617,-2.5330203155693587,-0.012017879684872706,4.6638303,3.8145099,1.2632945,9.735796,-12.366061,-3.7005002,6.060284,-3.0923588,-13.938605,8.798257,-13.111035,2.8148992,-2.9247825,-0.31168798,7.2525473,-5.571021,18.21607,-50.000336,60.894875,0.518166,-0.09472272,8.62478,3.9678817,-13.539863,24.615181,58.81038,-10.471155,-2.6747785,-0.5483574
