Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.6331983208656311,-1.959931492805481,77.00727844238281,4.317015001779891,5.160854343437709,86.84069505146688,-15.730594,-5.7841196,16.900982,14.3096695,-5.264649,4.642059,-9.715327,-10.425632,-3.3387353,73.36507,5.2114034,15.000033,-0.3954961,-6.8575068,3.8885498,8.8602915,-1.9361302,-95.672424,60.983418,9.942676,-10.568532,-2.7347941,9.464504,2.8780487,89.25479,55.78836,4.99645,-19.296412,-17.350115
1,0.5643588304519653,-1.2667540311813354,77.10774230957031,4.419506892981258,4.728315652389437,86.87443961102962,-14.118778,-6.1946664,16.76534,13.215492,-5.2791724,4.4716234,-10.428127,-11.304318,-3.748656,74.4985,3.1180654,14.2680855,-0.6665718,-6.9673448,4.2255,9.043721,-1.9769645,-95.460785,61.076622,9.801628,-10.56517,-2.8066487,9.563541,2.9463663,88.971466,55.8154,4.8457503,-19.311209,-16.536242
2,0.5212509036064148,-0.5571042895317078,77.20413208007812,4.383004393834807,4.325390064324595,86.87751061292633,-12.72908,-6.364804,16.604048,12.553959,-5.5098557,4.2665553,-11.132966,-12.335388,-4.5700216,75.62719,1.0007399,12.786477,-0.9090139,-6.9608216,4.539639,9.223676,-2.009947,-95.2529,61.17515,9.655165,-10.566321,-2.8785987,9.658879,3.019923,88.680336,55.836536,4.687238,-19.32717,-15.699191
3,0.48562368750572205,0.13894616067409515,77.30305480957031,4.329595780783332,3.9424923694740994,86.85920769151804,-11.348197,-6.51385,16.454353,11.873183,-5.7284346,4.056767,-11.8577385,-13.2564535,-5.2863584,76.65916,-1.0581495,11.384045,-1.1336541,-6.9274244,4.8288713,9.406099,-2.028,-95.03672,61.23599,9.519082,-10.557235,-2.9500263,9.760603,3.067253,88.39913,55.846786,4.541893,-19.346016,-14.906829
4,0.4398873448371887,0.8252913355827332,77.40452575683594,4.244545916742247,3.6087836543374117,86.78652980428377,-9.982719,-6.624432,16.342491,11.126679,-5.9069,3.8310192,-12.657623,-13.972372,-5.827202,77.44882,-2.91186,10.095134,-1.3043748,-6.831049,5.058558,9.598892,-2.0422735,-94.81039,61.241096,9.407412,-10.525101,-3.019938,9.87862,3.0945742,88.13397,55.873055,4.427932,-19.37081,-14.22487
5,0.36837485432624817,1.5167447328567505,77.50840759277344,4.113941396324501,3.36021514827964,86.61665945247942,-8.640584,-6.681264,16.30475,10.268492,-6.035036,3.5937355,-13.600249,-14.450457,-6.1619987,77.96564,-4.5418067,8.877026,-1.3882567,-6.63245,5.179339,9.819961,-2.066575,-94.546005,61.177715,9.32699,-10.467839,-3.102061,10.031477,3.1102169,87.858246,55.95224,4.3442297,-19.402918,-13.654634
6,0.28807759284973145,2.2072856426239014,77.610595703125,3.9508424154181423,3.1716690427102847,86.37885940514917,-7.31456,-6.70094,16.319801,9.329409,-6.1249704,3.347758,-14.645884,-14.749411,-6.3528748,78.28208,-6.007417,7.7133946,-1.4179997,-6.359718,5.2221913,10.063896,-2.1273344,-94.248764,61.095062,9.27045,-10.394373,-3.1921623,10.207075,3.1047988,87.585464,56.05863,4.284907,-19.439486,-13.16717
7,0.23281744122505188,2.9291458129882812,77.6983413696289,3.783924356682275,2.980226968527877,86.14854528185745,-5.982195,-6.7155538,16.326857,8.36742,-6.181551,3.0809832,-15.688001,-14.919581,-6.476962,78.40941,-7.275249,6.670971,-1.4395864,-6.0779443,5.281155,10.289179,-2.1844182,-93.975494,60.996407,9.231203,-10.304726,-3.2672734,10.367259,3.0796366,87.347595,56.143005,4.248584,-19.47749,-12.77532
8,0.15322308242321014,3.672356128692627,77.76718139648438,3.639800439369814,2.7229087541186687,86.00114170188134,-4.634808,-6.7535124,16.26617,7.473051,-6.2220354,2.7833862,-16.618168,-15.018837,-6.6099153,78.36118,-8.313094,5.8159842,-1.510698,-5.8517933,5.4591165,10.4508915,-2.2769206,-93.75215,60.965836,9.218422,-10.205824,-3.312176,10.464776,3.023799,87.16959,56.14849,4.2265964,-19.51319,-12.481356
9,0.09119968116283417,4.372339248657227,77.82888793945312,3.534754183894319,2.352727180940942,85.97535010717337,-3.4179525,-6.7778087,16.120483,7.0599174,-6.455179,2.4320107,-17.37582,-15.095782,-6.804033,78.145294,-9.060031,5.156259,-1.6460135,-5.7190714,5.823917,10.522405,-2.353588,-93.59999,60.97362,9.243264,-10.083814,-3.3216946,10.476606,2.9720433,87.05902,56.073296,4.214863,-19.543098,-12.341047
